,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.469B,,1.469B,3.863B,8.143B,12.01B,1.769B,4.55B,83.00M,,6.402B,988.00M,20.86B,,,,,,,10.36B,-5.498B,4.863B,19.89B,2.162B,22.05B,2.479B,29.39B,50.26B,,2020-09,2.613B,1.064B,3.677B,,3.394B,3.394B,268.00M,3.662B,6.086B,6.086B,,2.087B,16.12B,9.978B,1.151B,11.13B,462.00M,865.00M,1.327B,4.868B,2.098B,19.42B,2020-09,482.00M,32.81B,3.082B,17.80B,,2020-09,AOR,
2020-06,2.30B,,2.30B,3.515B,7.715B,11.23B,1.83B,4.599B,237.00M,,6.666B,939.00M,21.14B,,,,,,,10.09B,-5.372B,4.721B,19.72B,2.197B,21.92B,2.451B,29.09B,50.22B,,2020-06,2.383B,929.00M,3.312B,,4.121B,4.121B,267.00M,4.388B,6.212B,6.212B,,2.074B,16.61B,10.47B,1.112B,11.58B,446.00M,782.00M,1.228B,4.944B,1.972B,19.73B,2020-06,482.00M,32.29B,3.05B,17.81B,,2020-06,AOR,
2020-03,5.33B,,5.33B,3.547B,7.938B,11.48B,1.684B,4.602B,566.00M,,6.852B,1.074B,24.74B,,,,,,,9.932B,-5.395B,4.537B,19.65B,2.259B,21.91B,2.52B,28.97B,53.71B,,2020-03,2.788B,814.00M,3.602B,,5.047B,5.047B,259.00M,5.306B,6.825B,6.825B,,2.112B,18.44B,12.95B,1.155B,14.11B,435.00M,659.00M,1.094B,5.024B,1.846B,22.07B,2020-03,482.00M,31.98B,3.015B,17.81B,,2020-03,AOR,
2019-12,902.00M,,902.00M,3.544B,7.857B,11.40B,1.733B,4.419B,154.00M,,6.306B,1.171B,19.78B,0.00,400.00M,3.232B,5.441B,,688.00M,9.761B,-5.286B,4.475B,19.68B,2.315B,21.99B,2.594B,29.06B,48.84B,,2019-12,3.162B,941.00M,4.103B,,2.92B,2.92B,252.00M,3.172B,7.148B,7.148B,,1.776B,16.80B,9.01B,1.251B,10.26B,481.00M,709.00M,1.19B,5.172B,1.84B,18.46B,2019-12,482.00M,31.63B,3.039B,17.36B,,2019-12,AOR,
2019-09,974.00M,,974.00M,3.489B,8.077B,11.57B,1.67B,4.706B,197.00M,,6.573B,1.038B,20.15B,,,,,,,,,4.217B,19.62B,2.376B,21.99B,2.427B,28.64B,48.79B,,2019-09,2.999B,968.00M,3.967B,,4.661B,4.661B,241.00M,4.902B,6.854B,6.854B,,1.95B,18.23B,8.989B,1.23B,10.22B,526.00M,527.00M,1.053B,4.151B,1.625B,17.05B,2019-09,482.00M,30.91B,2.999B,17.35B,,2019-09,AOR,Restated
2019-06,702.00M,,702.00M,3.673B,7.554B,11.23B,1.587B,4.749B,144.00M,,6.48B,1.148B,19.56B,,,,,,,,,4.091B,19.66B,2.457B,22.12B,2.307B,28.52B,48.07B,,2019-06,2.86B,897.00M,3.757B,,4.96B,4.96B,240.00M,5.20B,6.714B,6.714B,,1.811B,18.01B,8.975B,1.112B,10.09B,570.00M,630.00M,1.20B,4.241B,1.655B,17.18B,2019-06,482.00M,30.29B,2.959B,17.38B,,2019-06,AOR,Restated
2019-03,673.00M,,673.00M,3.718B,7.367B,11.08B,1.535B,4.51B,140.00M,,6.185B,924.00M,18.87B,,,,,,,,,4.054B,19.67B,2.518B,22.19B,2.359B,28.60B,47.47B,,2019-03,3.008B,811.00M,3.819B,,2.097B,2.097B,255.00M,2.352B,6.695B,6.695B,,2.001B,15.38B,11.45B,1.129B,12.58B,544.00M,678.00M,1.222B,4.334B,1.714B,19.85B,2019-03,482.00M,29.78B,2.937B,17.28B,,2019-03,AOR,Restated
2018-12,963.00M,,963.00M,3.759B,6.576B,10.34B,1.504B,4.357B,116.00M,,5.977B,914.00M,18.19B,0.00,386.00M,2.962B,5.152B,,472.00M,8.972B,-4.994B,3.978B,19.59B,2.585B,22.18B,1.062B,27.22B,45.41B,,2018-12,3.179B,952.00M,4.131B,,973.00M,973.00M,0.00,973.00M,7.27B,7.27B,,1.849B,14.74B,11.44B,0.00,11.44B,577.00M,726.00M,1.303B,4.422B,1.768B,18.94B,2018-12,482.00M,29.33B,2.946B,17.24B,,2018-12,AOR,Restated
2018-09,1.01B,,1.01B,3.736B,7.564B,11.30B,1.425B,4.688B,134.00M,,6.247B,1.401B,19.96B,,,,,,,,,4.244B,19.49B,2.667B,22.15B,608.00M,27.00B,46.96B,,2018-09,3.033B,943.00M,3.976B,,1.678B,1.678B,,1.678B,7.327B,7.327B,,2.089B,15.69B,11.40B,,11.40B,544.00M,750.00M,1.294B,4.16B,1.662B,18.52B,2018-09,482.00M,28.69B,2.914B,15.97B,,2018-09,AOR,Restated
2018-06,1.862B,,1.862B,3.874B,7.125B,11.00B,1.381B,4.385B,124.00M,,5.89B,1.076B,19.83B,,,,,,,,,4.179B,19.74B,2.738B,22.48B,670.00M,27.32B,47.15B,,2018-06,3.032B,892.00M,3.924B,,2.881B,2.881B,,2.881B,7.219B,7.219B,,1.931B,16.57B,11.40B,,11.40B,594.00M,587.00M,1.181B,4.561B,1.446B,18.58B,2018-06,482.00M,28.12B,2.865B,15.91B,,2018-06,AOR,Restated
