,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,9.431B,9.431B,7.836B,1.595B,511.00M,511.00M,,118.00M,,-118.00M,,511.00M,1.084B,,118.00M,-118.00M,12.00M,-118.00M,978.00M,144.00M,834.00M,,834.00M,834.00M,1.308B,,2020-09,2.91,,,,2020-09,2.90,,,,2020-09,286.45M,,2020-09,AOR,
2020-06,9.264B,9.264B,7.849B,1.415B,574.00M,574.00M,,132.00M,,-132.00M,,574.00M,841.00M,,132.00M,-132.00M,18.00M,-132.00M,727.00M,102.00M,625.00M,,625.00M,625.00M,1.078B,,2020-06,2.18,,,,2020-06,2.18,,,,2020-06,286.39M,,2020-06,AOR,
2020-03,8.749B,8.749B,7.261B,1.488B,547.00M,547.00M,,107.00M,,-107.00M,,547.00M,941.00M,,107.00M,-107.00M,14.00M,-107.00M,848.00M,142.00M,706.00M,,706.00M,706.00M,1.167B,,2020-03,2.45,,,,2020-03,2.43,,,,2020-03,288.57M,,2020-03,AOR,
2019-12,10.77B,10.77B,8.816B,1.957B,629.00M,629.00M,,122.00M,,-110.00M,,629.00M,1.328B,,122.00M,-110.00M,-4.00M,-110.00M,1.214B,194.00M,1.02B,,1.02B,1.02B,1.54B,,2019-12,3.53,,,,2019-12,3.51,,,,2019-12,288.75M,,2019-12,AOR,
2019-09,9.761B,9.761B,7.973B,1.788B,572.00M,572.00M,,114.00M,,-114.00M,,572.00M,1.216B,,114.00M,-114.00M,-12.00M,-114.00M,1.09B,177.00M,913.00M,,913.00M,913.00M,1.414B,,2019-09,3.17,,,,2019-09,3.14,,,,2019-09,288.37M,,2019-09,AOR,Restated
2019-06,9.555B,9.555B,7.869B,1.686B,596.00M,596.00M,,119.00M,,-119.00M,,596.00M,1.09B,,119.00M,-119.00M,12.00M,-119.00M,983.00M,177.00M,806.00M,,806.00M,806.00M,1.312B,,2019-06,2.80,,,,2019-06,2.77,,,,2019-06,288.10M,,2019-06,AOR,Restated
2019-03,9.261B,9.261B,7.633B,1.628B,614.00M,614.00M,,117.00M,,-117.00M,,614.00M,1.014B,,117.00M,-117.00M,18.00M,-117.00M,915.00M,170.00M,745.00M,,745.00M,745.00M,1.237B,,2019-03,2.59,,,,2019-03,2.56,,,,2019-03,287.92M,,2019-03,AOR,Restated
2018-12,10.38B,10.38B,8.595B,1.783B,557.00M,557.00M,,130.00M,,-112.00M,,557.00M,1.226B,,130.00M,-112.00M,18.00M,-112.00M,1.132B,223.00M,909.00M,0.00,909.00M,909.00M,1.483B,,2018-12,3.10,0.00,,,2018-12,3.07,0.00,,,2018-12,293.16M,,2018-12,AOR,Restated
2018-09,9.094B,9.094B,7.407B,1.687B,552.00M,552.00M,,114.00M,,-114.00M,,552.00M,1.135B,,114.00M,-114.00M,2.00M,-114.00M,1.023B,159.00M,864.00M,-13.00M,851.00M,864.00M,1.352B,,2018-09,2.92,-0.04,,,2018-09,2.89,-0.04,,,2018-09,295.34M,,2018-09,AOR,Restated
2018-06,9.186B,9.186B,7.486B,1.70B,612.00M,612.00M,,103.00M,,-103.00M,,612.00M,1.088B,,103.00M,-103.00M,-15.00M,-103.00M,970.00M,184.00M,786.00M,,786.00M,786.00M,1.291B,,2018-06,2.65,,,,2018-06,2.62,,,,2018-06,296.15M,,2018-06,AOR,Restated
