,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2020-09,834.00M,,122.00M,90.00M,212.00M,212.00M,-29.00M,30.00M,,-34.00M,-734.00M,299.00M,224.00M,,360.00M,-43.00M,106.00M,,1.119B,,2020-09,,,,,-151.00M,-367.00M,,2020-09,0.00,-1.236B,,0.00,0.00,-315.00M,-315.00M,,-16.00M,-1.567B,,2020-09,2.30B,1.469B,,2020-09,-16.00M,-816.00M,-420.00M,0.00,289.00M,40.00M,,2020-09,
2020-06,625.00M,,132.00M,87.00M,219.00M,219.00M,-55.00M,31.00M,,537.00M,270.00M,113.00M,-407.00M,,,-490.00M,-514.00M,,843.00M,,2020-06,,,,,176.00M,-45.00M,,2020-06,-2.50B,-3.535B,,-52.00M,-52.00M,-315.00M,-315.00M,,84.00M,-3.818B,,2020-06,5.33B,2.30B,,2020-06,-10.00M,-1.035B,-2.50B,-52.00M,13.00M,155.00M,,2020-06,
2020-03,706.00M,,122.00M,90.00M,212.00M,212.00M,-28.00M,30.00M,,-181.00M,-111.00M,-546.00M,-375.00M,,,-373.00M,-1.405B,,-666.00M,,2020-03,,,,,8.00M,-177.00M,,2020-03,3.96B,6.231B,,-449.00M,-449.00M,-295.00M,-295.00M,,-202.00M,5.285B,,2020-03,902.00M,5.33B,,2020-03,-14.00M,6.231B,,-449.00M,43.00M,66.00M,,2020-03,
2019-12,1.02B,,114.00M,90.00M,204.00M,204.00M,164.00M,30.00M,,36.00M,223.00M,270.00M,170.00M,,-191.00M,460.00M,940.00M,,2.394B,,2019-12,,,,,10.00M,-390.00M,,2019-12,-850.00M,-1.797B,,0.00,0.00,-294.00M,-294.00M,,29.00M,-2.062B,,2019-12,974.00M,902.00M,,2019-12,-14.00M,-947.00M,-850.00M,0.00,-487.00M,-271.00M,,2019-12,
2019-09,913.00M,,120.00M,90.00M,210.00M,210.00M,-55.00M,31.00M,,52.00M,-340.00M,-90.00M,137.00M,,191.00M,42.00M,-60.00M,,1.091B,,2019-09,,,,,3.00M,-241.00M,,2019-09,0.00,-447.00M,,0.00,0.00,-295.00M,-295.00M,,177.00M,-565.00M,,2019-09,702.00M,974.00M,,2019-09,-13.00M,-447.00M,0.00,0.00,90.00M,55.00M,,2019-09,Restated
2019-06,806.00M,,118.00M,92.00M,210.00M,210.00M,-7.00M,32.00M,,-100.00M,-186.00M,-346.00M,-134.00M,,,16.00M,-650.00M,,291.00M,,2019-06,,,,,5.00M,-176.00M,,2019-06,0.00,384.00M,,-98.00M,-98.00M,-295.00M,-295.00M,,-58.00M,-67.00M,,2019-06,673.00M,702.00M,,2019-06,-19.00M,384.00M,0.00,-98.00M,360.00M,168.00M,,2019-06,Restated
2019-03,745.00M,,114.00M,91.00M,205.00M,205.00M,-10.00M,40.00M,,49.00M,-824.00M,-210.00M,-167.00M,,,-623.00M,-1.824B,,-795.00M,,2019-03,,,,,-6.00M,-187.00M,,2019-03,0.00,1.01B,,-133.00M,-133.00M,-268.00M,-268.00M,,88.00M,697.00M,,2019-03,963.00M,673.00M,,2019-03,-5.00M,1.01B,,-133.00M,37.00M,48.00M,,2019-03,Restated
2018-12,909.00M,,121.00M,100.00M,221.00M,221.00M,63.00M,30.00M,,-550.00M,770.00M,263.00M,127.00M,,,-76.00M,1.394B,,2.067B,,2018-12,,,-60.00M,,386.00M,83.00M,,2018-12,0.00,-818.00M,,-1.236B,-1.236B,-274.00M,-274.00M,,137.00M,-2.191B,,2018-12,1.01B,963.00M,,2018-12,-6.00M,-818.00M,,-1.236B,-305.00M,-144.00M,,2018-12,Restated
2018-09,864.00M,,109.00M,106.00M,215.00M,215.00M,-60.00M,39.00M,,240.00M,-467.00M,-312.00M,0.00,,,271.00M,-508.00M,,790.00M,,2018-09,,,0.00,,95.00M,-73.00M,,2018-09,0.00,-1.118B,,-97.00M,-97.00M,-275.00M,-275.00M,,-71.00M,-1.561B,,2018-09,1.862B,1.01B,,2018-09,-8.00M,-1.118B,,-97.00M,150.00M,49.00M,,2018-09,Restated
2018-06,786.00M,,117.00M,101.00M,218.00M,218.00M,-10.00M,42.00M,,-39.00M,72.00M,-306.00M,34.00M,,,-10.00M,-210.00M,,787.00M,,2018-06,,,-10.04B,,75.00M,-10.14B,,2018-06,7.461B,7.753B,,-169.00M,-169.00M,-276.00M,-276.00M,,-422.00M,6.886B,,2018-06,4.332B,1.862B,,2018-06,-4.00M,7.753B,,-169.00M,155.00M,74.00M,,2018-06,Restated
