,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,4.549B,4.549B,4.218B,331.32M,,124.52M,,12.03M,-12.03M,124.52M,206.80M,12.03M,-12.03M,,-12.03M,194.77M,46.96M,147.81M,,147.81M,147.81M,231.46M,24.66M,206.80M,,1.09,,1.09,1.09,,1.08,,1.08,1.08,,135.97M,137.18M,0.51,,AOR,
2020-09,4.225B,4.225B,3.938B,286.37M,,118.13M,,7.465M,-7.465M,118.13M,168.24M,7.465M,-7.465M,,-7.465M,160.77M,24.24M,136.53M,,136.53M,136.53M,195.16M,26.92M,168.24M,,1.01,,1.01,1.01,,1.00,,1.00,1.00,,135.67M,137.13M,0.51,,AOR,
2020-06,3.628B,3.628B,3.314B,313.97M,,125.18M,,10.21M,-10.21M,125.18M,188.79M,10.21M,-10.21M,,-10.21M,178.58M,34.64M,143.94M,,143.94M,143.94M,214.54M,25.76M,188.79M,,1.07,,1.07,1.07,,1.06,,1.06,1.06,,135.01M,135.61M,0.51,,AOR,
2020-03,3.805B,3.805B,3.567B,237.73M,,128.29M,,15.23M,-15.23M,128.29M,109.44M,15.23M,-15.23M,,-15.23M,94.21M,16.07M,78.15M,,78.15M,78.15M,133.83M,24.39M,109.44M,,0.58,,0.58,0.58,,0.57,,0.57,0.57,,135.47M,135.97M,0.51,,AOR,
2019-12,3.793B,3.793B,3.513B,279.88M,,143.08M,,10.78M,-10.78M,143.08M,136.81M,10.78M,-10.78M,,-10.78M,126.02M,26.92M,99.11M,,99.11M,99.11M,162.13M,25.33M,136.81M,,0.73,,0.73,0.73,,0.73,,0.73,0.73,,136.00M,136.00M,0.51,,AOR,
2019-09,3.856B,3.856B,3.543B,312.87M,,111.78M,,13.18M,-13.18M,111.78M,201.08M,13.18M,-13.18M,,-13.18M,187.90M,41.01M,146.89M,,146.89M,146.89M,226.56M,25.48M,201.08M,,1.08,,1.08,1.08,,1.07,,1.07,1.07,,136.38M,137.48M,0.50,,AOR,Restated
2019-06,3.909B,3.909B,3.553B,356.33M,,128.80M,,6.615M,-6.615M,128.80M,227.54M,6.615M,-6.615M,,-6.615M,220.92M,51.74M,169.18M,,169.18M,169.18M,252.62M,25.08M,227.54M,,1.23,,1.23,1.23,,1.22,,1.22,1.22,,137.18M,138.26M,0.50,,AOR,Restated
2019-03,3.751B,3.751B,3.413B,338.70M,,114.15M,,17.14M,-17.14M,114.15M,224.55M,17.14M,-17.14M,,-17.14M,207.41M,45.62M,161.79M,,161.79M,161.79M,249.11M,24.56M,224.55M,,1.17,,1.17,1.17,,1.16,,1.16,1.16,,137.85M,138.96M,0.50,,AOR,Restated
2018-12,4.138B,4.138B,3.763B,374.47M,,118.95M,,9.456M,-9.456M,118.95M,255.52M,9.456M,-9.456M,,-9.456M,246.06M,58.91M,187.15M,,187.15M,187.15M,279.84M,24.33M,255.52M,,1.36,,1.36,1.36,,1.34,,1.34,1.34,,137.76M,139.46M,0.50,,AOR,Restated
2018-09,4.292B,4.292B,3.933B,358.74M,,112.77M,,6.526M,-6.526M,112.77M,245.97M,6.526M,-6.526M,,-6.526M,239.45M,63.55M,175.90M,,175.90M,175.90M,269.90M,23.92M,245.97M,,1.27,,1.27,1.27,,1.25,,1.25,1.25,,138.80M,140.16M,0.46,,AOR,Restated
2018-06,4.276B,4.276B,3.945B,330.85M,,111.84M,,5.128M,-5.128M,111.84M,219.01M,5.128M,-5.128M,,-5.128M,213.88M,54.72M,159.16M,,159.16M,159.16M,243.25M,24.24M,219.01M,,1.14,,1.14,1.14,,1.13,,1.13,1.13,,139.46M,140.61M,0.46,,AOR,Restated
2018-03,3.925B,3.925B,3.628B,297.63M,,106.04M,,10.70M,-10.70M,106.04M,191.58M,10.70M,-10.70M,,-10.70M,180.88M,38.59M,142.30M,,142.30M,142.30M,215.83M,24.24M,191.58M,,1.02,,1.02,1.02,,1.01,,1.01,1.01,,140.03M,141.27M,0.46,,AOR,Restated
2017-12,3.960B,3.960B,3.640B,320.25M,,109.37M,,17.50M,-17.50M,109.37M,210.88M,17.50M,-17.50M,,-17.50M,193.37M,40.82M,152.56M,,152.56M,152.56M,234.51M,23.64M,210.88M,,1.09,,1.09,1.09,,1.08,,1.08,1.08,,139.55M,141.32M,0.46,,AOR,Restated
2017-09,3.784B,3.784B,3.484B,300.64M,,106.18M,,10.48M,-10.48M,106.18M,194.46M,10.48M,-10.48M,,-10.48M,183.98M,64.80M,119.19M,,119.19M,119.19M,218.43M,23.96M,194.46M,,0.85,,0.85,0.85,,0.85,,0.85,0.85,,140.42M,141.02M,0.45,,AOR,Restated
2017-06,3.710B,3.710B,3.420B,289.57M,,107.75M,,9.368M,-9.368M,107.75M,181.82M,9.368M,-9.368M,,-9.368M,172.45M,61.38M,111.07M,,111.07M,111.07M,204.77M,22.95M,181.82M,,0.79,,0.79,0.79,,0.78,,0.78,0.78,,141.06M,141.59M,0.45,,AOR,Restated
2017-03,3.415B,3.415B,3.137B,278.06M,,90.10M,,9.302M,-9.302M,90.10M,187.96M,9.302M,-9.302M,,-9.302M,178.66M,56.58M,122.08M,,122.08M,122.08M,210.39M,22.43M,187.96M,,0.86,,0.86,0.86,,0.86,,0.86,0.86,,141.48M,141.86M,0.45,,AOR,Restated
2016-12,3.415B,3.415B,3.114B,301.21M,,107.65M,,3.118M,-3.118M,107.65M,193.56M,3.118M,-3.118M,,-3.118M,190.45M,68.14M,122.30M,,122.30M,122.30M,215.52M,21.95M,193.56M,,0.86,,0.86,0.86,,0.86,,0.86,0.86,,141.70M,142.23M,0.45,,AOR,Restated
2016-09,3.356B,3.356B,3.054B,301.58M,,90.31M,,7.426M,-7.426M,90.31M,211.27M,7.426M,-7.426M,,-7.426M,203.84M,74.81M,129.03M,,129.03M,129.03M,228.92M,17.66M,211.27M,,0.90,,0.90,0.90,,0.90,,0.90,0.90,,142.61M,142.88M,0.43,,AOR,Restated
2016-06,3.300B,3.300B,2.976B,323.96M,,90.22M,,6.265M,-6.265M,90.22M,233.75M,6.265M,-6.265M,,-6.265M,227.48M,84.39M,143.09M,,143.09M,143.09M,251.93M,18.18M,233.75M,,1.00,,1.00,1.00,,1.00,,1.00,1.00,,143.00M,143.22M,0.43,,AOR,Restated
2016-03,3.074B,3.074B,2.788B,285.84M,,86.89M,,8.772M,-8.772M,86.89M,198.95M,8.772M,-8.772M,,-8.772M,190.18M,71.22M,118.96M,,118.96M,118.96M,215.83M,16.88M,198.95M,,0.83,,0.83,0.83,,0.83,,0.83,0.83,,143.52M,143.66M,0.43,,AOR,Restated
