,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,147.81M,,,24.66M,24.66M,-23.52M,10.87M,-0.454M,1.992M,-93.93M,,14.91M,51.89M,,,23.34M,-3.795M,162.14M,,-13.75M,,-5.687M,-8.061M,0.00,,0.00,-13.75M,,0.00,-60.00M,-60.00M,,-110.27M,-110.27M,-2.528M,-2.528M,7.115M,,-165.68M,,252.57M,-17.29M,8.516M,243.80M,,,393.00M,-453.00M,-110.27M,,AOR,
2020-09,136.53M,,,26.92M,26.92M,-8.739M,10.78M,-5.128M,0.763M,-352.28M,,3.587M,10.54M,,,5.111M,-333.04M,-168.59M,,-15.22M,,-5.825M,-9.397M,0.00,,0.00,-15.22M,,0.00,60.00M,60.00M,,-1.569M,-1.569M,-70.32M,-70.32M,80.25M,,68.35M,,362.24M,-115.46M,5.795M,252.57M,,,64.00M,-4.00M,-1.569M,,AOR,
2020-06,143.94M,,,25.76M,25.76M,-2.351M,10.95M,-8.262M,11.55M,53.04M,,19.78M,149.96M,,,39.07M,261.85M,447.14M,,-10.34M,,-3.78M,-6.556M,0.387M,,5.525M,-4.424M,,,-321.00M,-321.00M,,-1.171M,-1.171M,-67.23M,-67.23M,9.026M,,-380.38M,,294.57M,62.34M,5.322M,362.24M,,,214.00M,-535.00M,-1.171M,,AOR,
2020-03,78.15M,,,24.39M,24.39M,1.622M,11.40M,-3.737M,0.788M,-124.43M,,-11.04M,98.68M,,,-23.00M,-59.78M,58.50M,,-14.70M,,-7.841M,-6.862M,-223.62M,,,-238.32M,,,178.00M,178.00M,,-82.36M,-82.36M,-69.87M,-69.87M,11.27M,,37.04M,,447.86M,-142.78M,-10.50M,294.57M,,,765.60M,-587.60M,-82.36M,,AOR,
2019-12,99.11M,,,25.33M,25.33M,0.953M,-1.574M,-1.584M,0.641M,121.90M,,-10.93M,-37.01M,,,9.523M,83.48M,211.56M,,-19.52M,,-9.629M,-9.893M,-0.012M,,0.011M,-19.52M,,-118.00M,100.00M,-18.00M,,-68.90M,-68.90M,-69.92M,-69.92M,22.65M,,-134.18M,,384.42M,57.86M,5.571M,447.86M,,,540.00M,-558.00M,-68.90M,,AOR,
2019-09,146.89M,,,25.48M,25.48M,1.962M,8.85M,-1.555M,-5.432M,43.38M,,-2.536M,-60.93M,,,13.80M,-6.285M,167.33M,,-19.38M,,-9.887M,-9.492M,-0.809M,,16.62M,-3.571M,,-1.00M,0.00,-1.00M,,-69.35M,-69.35M,-68.86M,-68.86M,12.49M,,-126.72M,,355.31M,37.04M,-7.926M,384.42M,,,456.00M,-457.00M,-69.35M,,AOR,Restated
2019-06,169.18M,,,25.08M,25.08M,-4.958M,14.68M,-0.895M,0.385M,-42.00M,,-10.04M,20.17M,,,26.53M,-5.333M,199.60M,,-17.70M,,-8.155M,-9.544M,-14.24M,,0.00,-31.94M,,-88.00M,0.00,-88.00M,,-106.64M,-106.64M,-69.27M,-69.27M,8.337M,,-255.57M,,445.47M,-87.91M,-2.259M,355.31M,,,473.00M,-561.00M,-106.64M,,AOR,Restated
2019-03,161.79M,,,24.56M,24.56M,-0.364M,17.12M,-4.458M,0.576M,111.80M,,-6.367M,37.47M,,,-86.97M,55.93M,256.93M,,-13.86M,,-8.619M,-5.246M,-44.14M,,0.008M,-58.00M,,,-5.00M,-5.00M,,-79.67M,-79.67M,-69.74M,-69.74M,19.62M,,-134.79M,,378.62M,64.14M,2.72M,445.47M,,,14.00M,-19.00M,-79.67M,,AOR,Restated
2018-12,187.15M,,,24.33M,24.33M,-9.521M,19.32M,-1.043M,0.465M,119.98M,,1.289M,-112.37M,,,31.12M,40.02M,264.01M,,-14.28M,,-9.206M,-5.078M,-4.00M,,-2.017M,-20.30M,,0.00,5.00M,5.00M,,-99.56M,-99.56M,-70.06M,-70.06M,4.861M,,-159.76M,,297.80M,83.95M,-3.14M,378.62M,,,86.00M,-81.00M,-99.56M,,AOR,Restated
2018-09,175.90M,,,23.92M,23.92M,3.22M,23.77M,-1.843M,0.682M,-72.80M,,9.414M,33.47M,,,21.40M,-8.513M,220.41M,,-19.50M,,-15.22M,-4.279M,0.00,,-0.059M,-19.56M,,0.00,-66.00M,-66.00M,,-84.31M,-84.31M,-64.60M,-64.60M,10.58M,,-204.33M,,310.58M,-3.478M,-9.296M,297.80M,,,170.00M,-236.00M,-84.31M,,AOR,Restated
