,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,243.80M,,243.80M,2.450B,197.18M,2.647B,,51.15M,,,,2.942B,,,,,498.73M,,,498.73M,,498.73M,,1.704B,1.704B,,,2.203B,5.144B,,1.283B,43.70M,,1.327B,308.03M,1.635B,,,66.17M,66.17M,,1.840B,1.093B,268.57M,1.362B,22.18M,22.18M,,14.52M,1.425B,3.264B,,,,,,,1.880B,,AOR,
2020-09,252.57M,,252.57M,2.346B,187.97M,2.534B,,65.77M,,,,2.853B,,,,,523.06M,,,523.06M,,523.06M,1.473B,118.74M,1.592B,16.63M,90.26M,2.222B,5.075B,,1.197B,12.07M,72.11M,1.281B,222.37M,1.503B,59.98M,59.98M,66.69M,126.67M,,1.761B,1.093B,279.21M,1.372B,44.94M,44.94M,,0.278M,1.440B,3.201B,,13.59M,4.294B,555.42M,2.918B,-70.86M,1.873B,,AOR,
2020-06,362.24M,,362.24M,2.018B,154.42M,2.173B,,69.08M,,,,2.604B,,,,,527.75M,,,527.75M,,527.75M,1.466B,126.59M,1.592B,14.49M,87.18M,2.222B,4.826B,,1.247B,14.82M,41.46M,1.303B,180.44M,1.483B,,,64.60M,64.60M,,1.673B,1.093B,280.45M,1.373B,51.92M,51.92M,,0.258M,1.448B,3.121B,,13.47M,4.227B,543.61M,2.996B,-84.09M,1.704B,,AOR,
2020-03,294.57M,,294.57M,2.093B,123.56M,2.216B,,95.90M,,,,2.607B,,,,,557.71M,,,557.71M,,557.71M,1.451B,132.01M,1.583B,14.60M,86.36M,2.242B,4.848B,,1.099B,14.47M,51.65M,1.165B,159.83M,1.325B,320.92M,320.92M,70.42M,391.34M,,1.805B,1.093B,286.21M,1.379B,55.77M,55.77M,,0.265M,1.456B,3.261B,,13.46M,4.153B,533.82M,3.005B,-108.34M,1.587B,,AOR,
2019-12,447.86M,,447.86M,1.974B,132.87M,2.107B,,85.00M,,,,2.640B,0.00,20.15M,112.41M,294.84M,310.86M,1.042M,61.54M,800.84M,-281.55M,519.28M,1.292B,142.69M,1.434B,13.48M,33.72M,2.001B,4.641B,,984.60M,12.35M,78.23M,1.075B,163.90M,1.239B,142.88M,142.88M,61.28M,204.16M,,1.556B,1.092B,259.44M,1.352B,39.78M,39.78M,,0.27M,1.414B,2.970B,,13.49M,4.145B,546.65M,2.958B,-76.15M,1.671B,,AOR,
2019-09,384.42M,,384.42M,2.074B,150.57M,2.225B,,73.72M,,,,2.683B,,,,,473.35M,,,473.35M,,473.35M,1.286B,98.68M,1.385B,11.56M,83.89M,1.953B,4.637B,,1.019B,19.47M,57.32M,1.096B,174.57M,1.271B,,,55.85M,55.85M,,1.434B,1.253B,216.61M,1.470B,37.21M,37.21M,,0.257M,1.529B,2.963B,,13.52M,4.116B,549.38M,2.915B,-90.90M,1.673B,,AOR,Restated
2019-06,355.31M,,355.31M,2.100B,179.02M,2.279B,,72.00M,,,,2.707B,,,,,484.74M,,,484.74M,,484.74M,1.292B,110.87M,1.403B,12.96M,77.25M,1.978B,4.684B,,1.064B,25.31M,58.21M,1.148B,200.92M,1.349B,,,54.79M,54.79M,,1.496B,1.254B,215.83M,1.470B,36.34M,36.34M,,0.372M,1.528B,3.025B,,13.57M,4.038B,541.09M,2.861B,-72.33M,1.659B,,AOR,Restated
2019-03,445.47M,,445.47M,2.058B,165.56M,2.223B,,59.39M,,,,2.728B,,,,,482.70M,,,482.70M,,482.70M,1.284B,116.37M,1.400B,13.50M,72.54M,1.969B,4.697B,,995.97M,68.05M,63.54M,1.128B,182.06M,1.310B,,,53.67M,53.67M,,1.430B,1.342B,211.07M,1.553B,40.41M,40.41M,,0.37M,1.615B,3.045B,,13.69M,3.938B,527.09M,2.759B,-66.64M,1.653B,,AOR,Restated
2018-12,378.62M,,378.62M,2.162B,159.64M,2.322B,,52.39M,,,,2.753B,0.00,23.65M,130.96M,284.07M,,1.241M,58.93M,498.85M,-270.55M,228.30M,1.259B,143.50M,1.402B,9.993M,33.62M,1.674B,4.427B,,971.02M,28.36M,92.08M,1.091B,183.23M,1.275B,5.00M,5.00M,0.00,5.00M,,1.433B,1.341B,0.00,1.341B,35.76M,35.76M,,0.43M,1.399B,2.832B,,13.73M,3.846B,521.49M,2.714B,-71.94M,1.595B,,AOR,Restated
2018-09,297.80M,,297.80M,2.252B,201.41M,2.453B,,53.91M,,,,2.805B,,,,,,,,,,231.96M,1.265B,120.22M,1.385B,9.27M,60.98M,1.688B,4.493B,,1.078B,15.21M,74.85M,1.168B,225.67M,1.394B,,,,,,1.515B,1.341B,,1.341B,44.56M,44.56M,,1.026M,1.411B,2.926B,,13.80M,3.729B,502.44M,2.621B,-57.41M,1.567B,,AOR,Restated
2018-06,310.58M,,310.58M,2.202B,182.25M,2.385B,,63.37M,,,,2.759B,,,,,,,,,,228.32M,1.266B,130.25M,1.396B,10.71M,59.56M,1.695B,4.453B,,1.060B,18.39M,74.17M,1.152B,207.22M,1.359B,66.00M,66.00M,,66.00M,,1.525B,1.341B,,1.341B,42.78M,42.78M,,1.201M,1.410B,2.935B,,13.87M,3.617B,478.45M,2.545B,-46.54M,1.518B,,AOR,Restated
2018-03,349.78M,,349.78M,2.019B,161.03M,2.180B,,60.87M,,,,2.591B,,,,,,,,,,230.61M,1.274B,140.87M,1.415B,11.13M,60.30M,1.717B,4.308B,,990.06M,42.78M,74.90M,1.108B,165.94M,1.274B,651.00M,651.00M,,651.00M,,1.994B,750.00M,,750.00M,52.88M,52.88M,,0.596M,828.69M,2.823B,,13.94M,3.523B,451.97M,2.485B,-19.02M,1.485B,,AOR,Restated
2017-12,333.89M,,333.89M,2.114B,,2.114B,,63.12M,,,,2.511B,0.00,23.66M,130.71M,288.35M,,4.575M,50.62M,497.91M,-267.58M,230.33M,1.276B,178.36M,1.454B,6.87M,33.52M,1.725B,4.236B,,1.000B,12.24M,96.36M,1.109B,58.23M,1.167B,,715.00M,,715.00M,,1.987B,750.00M,,750.00M,45.36M,45.36M,,0.601M,822.64M,2.810B,,13.95M,3.437B,444.28M,2.451B,-18.46M,1.426B,,AOR,Restated
2017-09,297.31M,,297.31M,2.104B,,2.104B,,53.22M,,,,2.455B,,,,,,,,,,232.90M,1.276B,160.60M,1.436B,5.917M,45.78M,1.721B,4.176B,,1.034B,11.48M,70.33M,1.116B,59.76M,1.175B,,719.00M,,719.00M,,1.986B,750.00M,,750.00M,66.40M,66.40M,,0.241M,834.41M,2.821B,,13.99M,3.350B,427.03M,2.413B,-22.88M,1.355B,,AOR,Restated
2017-06,273.18M,,273.18M,1.948B,,1.948B,,63.64M,,,,2.285B,,,,,,,,,,234.31M,1.243B,154.12M,1.397B,5.142M,44.37M,1.681B,3.966B,,978.43M,16.00M,76.86M,1.071B,59.44M,1.131B,,592.00M,,592.00M,,1.797B,750.00M,,750.00M,63.67M,63.67M,,0.242M,831.19M,2.629B,,14.07M,3.295B,421.13M,2.355B,-37.31M,1.337B,,AOR,Restated
2017-03,229.79M,,229.79M,1.803B,,1.803B,,60.04M,,,,2.093B,,,,,,,,,,235.06M,1.241B,162.94M,1.404B,3.527M,40.65M,1.683B,3.776B,,893.24M,59.01M,74.02M,1.026B,50.86M,1.077B,,740.00M,,740.00M,,1.877B,500.00M,,500.00M,64.35M,64.35M,,0.233M,582.50M,2.460B,,14.12M,3.248B,417.62M,2.320B,-44.04M,1.316B,,AOR,Restated
2016-12,247.67M,,247.67M,1.711B,,1.711B,,49.24M,,,,2.008B,0.00,23.64M,130.05M,247.51M,,8.534M,40.31M,450.04M,-217.09M,232.95M,1.233B,194.83M,1.428B,2.25M,16.83M,1.680B,3.688B,,839.74M,15.47M,82.05M,937.26M,70.35M,1.008B,740.00M,740.00M,,740.00M,,1.846B,500.00M,,500.00M,65.12M,65.12M,,0.222M,584.19M,2.430B,,14.13M,3.191B,419.28M,2.305B,-61.44M,1.258B,,AOR,Restated
2016-09,224.45M,,224.45M,1.683B,,1.683B,,54.66M,,5.755M,,1.968B,,,,,,,,,,226.47M,1.275B,150.03M,1.425B,,44.63M,1.697B,3.664B,,820.30M,10.75M,77.39M,908.45M,70.78M,979.22M,,725.00M,,725.00M,,1.800B,500.00M,,500.00M,75.53M,75.53M,,0.223M,594.60M,2.394B,,14.19M,3.123B,411.24M,2.241B,-37.46M,1.270B,,AOR,Restated
2016-06,207.08M,,207.08M,1.603B,,1.603B,,59.13M,,10.26M,,1.879B,,,,,,,,,,211.90M,1.109B,108.07M,1.217B,,41.23M,1.470B,3.349B,,757.79M,42.09M,78.93M,878.82M,62.99M,941.81M,,465.00M,,465.00M,,1.491B,500.00M,,500.00M,75.94M,75.94M,,0.221M,594.77M,2.086B,,14.28M,3.057B,404.78M,2.175B,-37.97M,1.263B,,AOR,Restated
