,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,144.60M,,,,-1.20M,10.90M,10.20M,21.10M,21.10M,,,7.20M,0.00,1.00M,,,,132.80M,132.80M,,332.30M,-19.50M,,-19.50M,,0.00,-52.20M,35.20M,165.60M,-10.10M,-534.60M,-544.70M,,-0.10M,-0.10M,,-75.70M,-3.50M,-79.20M,0.00,,-921.80M,1.479B,-423.90M,1.055B,,,-10.10M,-0.10M,53.20M,47.40M
2020-06,89.90M,0.00,,,-1.00M,10.60M,10.20M,20.80M,20.80M,,,7.80M,0.00,17.50M,,,,-115.40M,-115.40M,,100.40M,-5.60M,,-5.60M,,0.00,210.10M,118.10M,-858.20M,-25.00M,-4.104B,-4.129B,,0.00,0.00,,-75.50M,-3.50M,-79.00M,0.00,,985.20M,1.252B,227.40M,1.479B,,,-25.00M,0.00,10.90M,54.60M
2020-03,130.40M,,,,-16.20M,11.20M,10.70M,21.90M,21.90M,,,8.30M,0.00,501.70M,,,,-463.80M,-463.80M,,215.80M,-11.60M,,-11.60M,,0.00,-606.60M,-66.20M,-1.287B,-10.10M,766.20M,756.10M,,-305.80M,-305.80M,,-77.30M,-3.50M,-80.80M,0.70M,,1.522B,801.00M,450.90M,1.252B,,,-10.10M,-305.80M,13.20M,105.40M
2019-12,137.40M,-0.20M,,,-1.00M,12.70M,9.80M,22.50M,22.50M,,,7.90M,0.00,15.40M,,,,30.70M,30.70M,,234.50M,-13.40M,,-13.40M,,470.70M,-307.50M,-16.40M,266.00M,-244.40M,230.20M,-14.20M,,-2.60M,-2.60M,,-69.90M,-3.60M,-73.50M,11.20M,0.00,-492.50M,793.00M,8.00M,801.00M,,,-244.40M,-2.60M,21.20M,116.80M
2019-09,135.20M,0.10M,,,-0.50M,9.80M,8.00M,17.80M,17.80M,,,8.60M,0.00,3.10M,,,,-109.50M,-109.50M,,62.50M,-24.20M,,-24.20M,,0.00,-12.10M,-43.90M,-315.60M,-15.10M,1.244B,1.229B,,-0.10M,-0.10M,,-69.90M,-3.50M,-73.40M,3.50M,0.00,265.40M,780.70M,12.30M,793.00M,,,-15.10M,-0.10M,23.10M,126.10M
2019-06,133.20M,-0.10M,,,-0.40M,9.70M,8.00M,17.70M,17.70M,,,6.50M,0.00,0.60M,,,,-199.90M,-199.90M,,-34.70M,-25.80M,,-25.80M,,108.70M,271.60M,28.30M,-20.70M,-30.00M,-124.30M,-154.30M,,-0.10M,-0.10M,,-69.80M,-3.50M,-73.30M,2.50M,-0.90M,221.60M,614.50M,166.20M,780.70M,,,-30.00M,-0.10M,54.30M,123.50M
2019-03,114.60M,,,,-0.60M,9.50M,6.70M,16.20M,16.20M,,,7.60M,0.30M,21.30M,,,,-186.50M,-186.50M,,-21.50M,-4.30M,,-4.30M,,-60.00M,65.90M,28.30M,-240.20M,-31.70M,-702.50M,-734.20M,,-1.70M,-1.70M,,-65.20M,-3.50M,-68.70M,6.90M,,-55.80M,932.00M,-317.50M,614.50M,,,-31.70M,-1.70M,9.10M,107.00M
2018-12,133.00M,10.00M,,,7.90M,9.50M,6.90M,16.40M,16.40M,,,9.00M,-0.10M,5.80M,,,,-54.30M,-54.30M,,129.50M,-39.30M,,-39.30M,,42.00M,276.40M,9.20M,83.70M,-20.10M,-272.90M,-293.00M,,-0.10M,-0.10M,,-65.00M,-3.60M,-68.60M,0.70M,-0.90M,180.80M,538.00M,394.00M,932.00M,,,-20.10M,-0.10M,4.40M,97.70M
2018-09,117.00M,-0.10M,,,-0.50M,8.80M,4.90M,13.70M,13.70M,,,6.10M,0.30M,11.20M,,,,29.60M,29.60M,,185.60M,-15.80M,,-15.80M,,0.00,-131.60M,30.30M,195.60M,-240.00M,-1.007B,-1.247B,,-0.10M,-0.10M,,-60.10M,-3.50M,-63.60M,9.40M,0.00,-559.00M,715.80M,-177.80M,538.00M,,,-240.00M,-0.10M,15.70M,81.20M
2018-06,110.20M,0.00,,,-0.20M,8.90M,4.90M,13.80M,13.80M,,,6.20M,0.30M,2.20M,,,,-19.20M,-19.20M,,119.80M,-19.90M,,-19.90M,,-35.80M,-125.70M,-37.00M,-557.00M,-181.10M,944.30M,763.20M,,-0.10M,-0.10M,,-59.90M,-3.50M,-63.40M,6.70M,-0.30M,280.50M,872.50M,-156.70M,715.80M,,,-181.10M,-0.10M,19.40M,71.20M
2018-03,107.90M,-0.10M,,,-0.40M,9.10M,5.10M,14.20M,14.20M,,,7.30M,0.80M,15.50M,,,,3.70M,3.70M,,154.40M,-12.90M,,-12.90M,,0.00,-186.40M,7.40M,277.30M,-35.50M,-190.40M,-225.90M,,-2.20M,-2.20M,,-58.80M,-3.50M,-62.30M,11.10M,,-441.80M,882.60M,-10.10M,872.50M,,,-35.50M,-2.20M,6.10M,62.20M
2017-12,106.30M,9.80M,,,6.90M,9.80M,7.90M,17.70M,17.70M,,,8.00M,-0.20M,7.80M,,,,22.60M,22.60M,,202.40M,-1.80M,,-1.80M,,0.00,-285.60M,9.60M,-477.10M,-24.60M,-14.40M,-39.00M,,-0.10M,-0.10M,,-58.60M,-3.60M,-62.20M,33.70M,-0.70M,440.70M,716.60M,166.00M,882.60M,,,-24.60M,-0.10M,12.80M,57.50M
2017-09,90.80M,0.00,,,-1.10M,9.90M,7.90M,17.80M,17.80M,,,5.50M,0.10M,21.40M,,,,49.00M,49.00M,,190.50M,-10.40M,,-10.40M,,-145.10M,50.70M,-6.10M,-170.80M,-356.00M,-293.30M,-649.30M,,-0.10M,-0.10M,,-58.30M,-3.50M,-61.80M,3.30M,0.00,24.70M,672.20M,44.40M,716.60M,,,-356.00M,-0.10M,73.80M,52.10M
