,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalDeposits,PensionLiability,DerivativeContractLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,616.80M,1.055B,4.081B,5.136B,,,,,5.136B,,,,,,,,281.30M,3.066B,178.00M,3.244B,45.25B,423.80M,44.83B,8.003B,,58.84B,60.87B,,,,,,,,657.50M,1.592B,,1.592B,,,49.64B,,,51.23B,53.04B,249.40M,1.589B,7.657B,1.469B,244.10M,-77.90M,7.832B
2020-06,491.90M,1.479B,4.080B,5.560B,,,,,5.560B,,,,,,,,285.70M,3.066B,188.20M,3.254B,45.46B,414.00M,45.05B,7.935B,,59.02B,61.51B,,,,,,,,492.10M,2.304B,,2.304B,,,49.93B,,,52.24B,53.75B,249.40M,1.525B,7.651B,1.469B,244.10M,-73.90M,7.763B
2020-03,507.60M,1.252B,4.277B,5.528B,,,,,5.528B,,,,,,,,300.80M,3.066B,198.50M,3.264B,44.30B,341.70M,43.96B,8.144B,,58.07B,60.43B,,,,,,,,1.421B,5.502B,,5.502B,,,44.74B,,,50.24B,52.71B,249.40M,1.514B,7.644B,1.469B,244.10M,-92.70M,7.726B
2019-12,484.20M,801.00M,3.564B,4.365B,169.10M,51.70M,220.80M,32.60M,4.960B,49.80M,330.60M,515.60M,279.20M,197.40M,1.373B,-596.60M,776.00M,3.066B,219.70M,3.285B,44.17B,246.60M,43.93B,7.494B,33.60M,55.71B,58.59B,31.30M,31.30M,104.30M,135.60M,3.106B,3.106B,3.106B,5.270B,1.013B,313.20M,1.326B,,,43.59B,177.90M,96.20M,45.19B,50.64B,249.40M,1.513B,7.639B,1.165B,244.10M,-166.90M,7.947B
2019-09,635.20M,635.20M,3.136B,3.772B,,,,,3.772B,,,,,,,,258.50M,2.868B,196.80M,3.065B,38.81B,246.00M,38.56B,6.959B,,50.60B,52.07B,,,,,,,,1.681B,3.864B,,3.864B,,,38.57B,,,42.44B,44.94B,249.00M,1.449B,6.902B,1.162B,244.10M,-182.30M,7.131B
2019-06,,505.90M,3.246B,3.752B,,,,,3.752B,,,,,,,,261.00M,2.868B,204.80M,3.073B,38.57B,244.00M,38.33B,7.071B,,50.32B,51.62B,,,,,,,,1.345B,2.966B,,2.966B,,,39.47B,,,42.43B,44.58B,249.00M,1.388B,6.891B,1.162B,244.10M,-193.00M,7.046B
2019-03,,508.50M,3.166B,3.674B,,,,,3.674B,,,,,,,,255.80M,2.723B,173.30M,2.896B,35.52B,240.90M,35.28B,7.006B,,46.84B,48.09B,,,,,,,,1.285B,2.476B,,2.476B,,,36.90B,,,39.38B,41.47B,248.80M,1.329B,6.559B,1.162B,244.10M,-224.60M,6.621B
2018-12,665.70M,932.00M,3.121B,4.053B,164.60M,31.40M,196.00M,27.50M,4.380B,50.10M,300.00M,468.30M,,170.70M,989.10M,-532.80M,456.30M,2.686B,180.00M,2.866B,35.28B,240.40M,35.04B,6.973B,11.40M,45.52B,47.88B,55.10M,55.10M,87.90M,143.00M,2.342B,2.342B,2.342B,3.663B,969.00M,,969.00M,,,36.16B,168.50M,139.00M,37.44B,41.34B,248.80M,1.285B,6.549B,1.162B,244.10M,-256.80M,6.534B
2018-09,410.50M,410.50M,3.448B,3.859B,,,,,3.859B,,,,,,,,243.80M,2.435B,133.70M,2.569B,32.21B,238.00M,31.98B,7.200B,,43.00B,44.13B,,,,,,,,996.30M,3.281B,,3.281B,,,33.21B,,,36.49B,38.17B,248.50M,1.221B,6.054B,1.162B,244.10M,-270.80M,5.959B
2018-06,462.70M,462.70M,3.508B,3.971B,,,,,3.971B,,,,,,,,246.30M,2.435B,138.60M,2.574B,32.53B,236.80M,32.29B,7.235B,,43.36B,44.57B,,,,,,,,1.110B,4.418B,,4.418B,,,32.47B,,,36.89B,38.67B,248.50M,1.168B,6.040B,1.162B,244.10M,-260.70M,5.900B
2018-03,402.20M,402.20M,3.634B,4.036B,,,,,4.036B,,,,,,,,250.00M,2.411B,143.50M,2.555B,32.11B,235.30M,31.88B,7.338B,,42.99B,44.10B,,,,,,,,1.071B,3.698B,,3.698B,,,32.89B,,,36.59B,38.26B,248.50M,1.121B,6.029B,1.162B,244.10M,-255.80M,5.846B
2017-12,505.10M,882.60M,3.134B,4.017B,154.70M,68.70M,223.40M,19.40M,4.337B,47.20M,283.90M,422.00M,,161.30M,914.40M,-495.60M,418.80M,2.411B,148.60M,2.56B,32.61B,234.40M,32.38B,6.773B,0.00,42.27B,44.45B,57.90M,57.90M,86.40M,144.30M,2.757B,2.757B,2.757B,4.023B,1.127B,,1.127B,11.30M,11.30M,33.06B,155.50M,88.30M,34.44B,38.63B,248.50M,1.040B,6.012B,1.162B,244.10M,-181.70M,5.820B
2017-09,414.10M,414.10M,3.50B,3.914B,,,,,3.914B,,,,,,,,264.70M,2.411B,156.50M,2.568B,32.40B,233.40M,32.17B,6.896B,,42.86B,44.00B,,,,,,,,838.80M,4.211B,,4.211B,,,32.55B,,,36.76B,38.25B,248.40M,996.40M,5.972B,1.162B,244.10M,-169.70M,5.746B
2017-06,455.90M,455.90M,3.899B,4.354B,,,,,4.354B,,,,,,,,270.20M,2.263B,163.30M,2.426B,31.64B,231.60M,31.41B,6.782B,,41.85B,43.02B,,,,,,,,953.00M,4.038B,,4.038B,,,31.81B,,,35.85B,37.32B,248.40M,967.80M,5.965B,1.162B,244.10M,-174.60M,5.704B
2017-03,380.80M,380.80M,4.164B,4.545B,,,,,4.545B,,,,,,,,239.40M,1.993B,143.10M,2.136B,29.70B,231.30M,29.47B,6.496B,,39.18B,40.23B,,,,,,,,940.70M,3.146B,,3.146B,,,30.51B,,,33.65B,35.03B,248.20M,960.90M,5.473B,1.162B,244.10M,-181.90M,5.195B
2016-12,432.40M,614.10M,4.410B,5.024B,133.80M,29.90M,163.70M,15.90M,5.378B,38.10M,265.10M,413.10M,,161.80M,878.10M,-456.70M,421.40M,1.993B,149.40M,2.142B,29.85B,229.30M,29.62B,6.464B,9.40M,38.76B,40.61B,47.20M,47.20M,68.00M,115.20M,2.835B,2.835B,2.835B,3.911B,1.291B,,1.291B,,,29.86B,132.30M,121.70M,31.41B,35.47B,248.10M,949.30M,5.446B,1.162B,244.10M,-195.00M,5.142B
2016-09,347.50M,347.50M,5.279B,5.627B,,,,,5.627B,,,,,,,,245.10M,1.957B,113.30M,2.070B,29.41B,226.30M,29.19B,7.104B,,39.68B,40.69B,,,,,,,,1.175B,4.316B,,4.316B,,,29.66B,,,33.97B,35.83B,4.00M,927.30M,5.360B,1.162B,,-120.40M,4.862B
2016-06,343.90M,343.90M,5.076B,5.420B,,,,,5.420B,,,,,,,,249.50M,1.957B,119.10M,2.076B,29.10B,220.40M,28.88B,6.832B,,39.14B,40.15B,,,,,,,,1.001B,4.621B,,4.621B,,,29.00B,,,33.62B,35.32B,3.90M,905.80M,5.350B,1.162B,,-120.30M,4.830B
2016-03,302.70M,302.70M,4.997B,5.300B,,,,,5.300B,,,,,,,,252.10M,1.956B,123.30M,2.079B,28.54B,215.50M,28.33B,6.683B,,38.31B,39.26B,,,,,,,,654.20M,4.114B,,4.114B,,,29.11B,,,33.22B,34.47B,3.90M,889.60M,5.344B,1.162B,,-134.70M,4.791B
2015-12,334.80M,715.30M,4.528B,5.243B,124.30M,26.30M,150.60M,15.30M,5.567B,38.80M,267.60M,419.70M,,158.20M,884.30M,-432.10M,452.20M,1.959B,129.10M,2.088B,28.46B,211.00M,28.25B,6.186B,1.90M,37.08B,38.95B,48.00M,48.00M,43.70M,91.70M,3.20B,3.20B,3.20B,4.135B,1.297B,,1.297B,,,28.42B,126.30M,109.50M,29.95B,34.22B,3.90M,880.80M,5.338B,1.162B,,-177.20M,4.732B
2015-09,300.30M,300.30M,4.466B,4.766B,,,,,4.766B,,,,,,,,258.70M,1.954B,130.20M,2.085B,27.71B,207.50M,27.50B,5.851B,,36.52B,37.48B,,,,,,,,832.30M,3.209B,,3.209B,,,28.28B,,,31.49B,32.75B,3.90M,861.00M,5.327B,1.162B,,-146.10M,4.731B
2015-06,362.80M,362.80M,4.714B,5.077B,,,,,5.077B,,,,,,,,262.90M,1.954B,136.10M,2.091B,27.62B,205.40M,27.41B,5.636B,,36.16B,37.18B,,,,,,,,946.60M,3.646B,,3.646B,,,27.43B,,,31.08B,32.50B,3.90M,843.80M,5.320B,1.162B,,-164.50M,4.686B
2015-03,306.80M,306.80M,4.607B,4.914B,,,,,4.914B,,,,,,,,268.40M,1.954B,142.10M,2.097B,26.98B,200.90M,26.78B,5.512B,,35.44B,36.41B,,,,,,,,976.00M,3.209B,,3.209B,,,27.15B,,,30.36B,31.73B,3.90M,833.20M,5.304B,1.162B,,-140.60M,4.682B
2014-12,345.10M,1.014B,3.994B,5.007B,117.40M,21.10M,138.50M,16.80M,5.395B,39.50M,269.20M,399.90M,,161.60M,870.20M,-411.50M,458.70M,1.954B,148.00M,2.102B,26.65B,198.30M,26.45B,4.877B,7.00M,33.98B,36.00B,51.30M,51.30M,55.20M,106.50M,2.026B,2.026B,2.026B,3.532B,1.30B,,1.30B,,,26.14B,151.90M,97.00M,27.69B,31.36B,3.90M,826.70M,5.291B,1.162B,,-168.20M,4.633B
2014-09,312.00M,312.00M,4.081B,4.393B,,,,,4.693B,,,,,,,,282.50M,1.954B,154.20M,2.109B,25.99B,196.90M,25.79B,4.719B,,33.64B,34.77B,,,,,,,,944.60M,3.493B,,3.493B,,,25.26B,,,28.75B,30.12B,3.90M,812.10M,5.286B,1.161B,,-124.50M,4.655B
2014-06,464.10M,464.10M,3.823B,4.287B,,,,,4.287B,,,,,,,,289.30M,1.954B,160.40M,2.115B,25.49B,192.60M,25.30B,4.503B,,32.94B,33.92B,,,,,,,,972.30M,3.841B,,3.841B,,,24.09B,,,27.93B,29.29B,3.90M,800.60M,5.281B,1.161B,,-126.20M,4.636B
2014-03,427.70M,427.70M,3.921B,4.348B,,,,,4.348B,,,,,,,,292.50M,1.954B,166.60M,2.121B,24.65B,190.30M,24.46B,4.587B,,32.17B,33.11B,,,,,,,,1.262B,3.265B,,3.265B,,,23.67B,,,26.93B,28.52B,3.90M,778.20M,5.276B,1.161B,,-137.50M,4.596B
2013-12,350.80M,474.40M,4.208B,4.683B,112.70M,21.60M,134.30M,18.40M,4.927B,39.20M,271.50M,404.20M,,162.90M,877.80M,-389.40M,488.40M,1.954B,172.80M,2.127B,24.45B,187.80M,24.26B,4.871B,8.00M,31.88B,33.21B,46.20M,46.20M,69.10M,115.30M,3.46B,3.46B,3.46B,4.902B,909.90M,,909.90M,,,22.56B,118.60M,77.00M,23.66B,28.65B,3.90M,779.00M,5.277B,1.170B,,-155.10M,4.568B
2013-09,447.30M,447.30M,4.343B,4.79B,,,,,4.79B,,,,,,,,314.20M,1.954B,179.40M,2.134B,23.26B,188.20M,23.07B,4.405B,,30.60B,31.51B,,,,,,,,1.244B,3.017B,,3.017B,,,22.19B,,,25.21B,26.87B,3.90M,770.50M,5.273B,1.039B,,-202.50M,4.638B
2013-06,379.60M,379.60M,4.559B,4.939B,,,,,4.939B,,,,,,,,320.10M,1.954B,185.90M,2.140B,22.93B,185.70M,22.75B,4.622B,,30.51B,31.34B,,,,,,,,1.419B,2.846B,,2.846B,,,21.98B,,,24.83B,26.67B,3.90M,763.10M,5.269B,1.009B,,-178.80M,4.678B
2013-03,320.50M,320.50M,4.698B,5.018B,,,,,5.018B,,,,,,,,327.00M,1.954B,192.50M,2.147B,22.21B,187.30M,22.02B,4.760B,,29.86B,30.60B,,,,,,,,1.441B,2.068B,,2.068B,,,21.79B,,,23.86B,25.71B,3.90M,753.60M,5.265B,856.40M,,-108.50M,4.886B
