,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,423.20M,423.20M,310.18M,113.02M,11.36M,11.36M,,,,,41.01M,,-41.01M,,11.36M,101.66M,,41.01M,-41.01M,1.628M,-41.01M,62.27M,0.665M,62.04M,,,-2.126M,0.922M,59.91M,58.54M,231.12M,127.83M,103.28M,0.52,,,,0.508,0.52,0.52,,,,0.508,0.52,114.22M,114.47M,1.0
2020-06,413.03M,413.03M,296.39M,116.64M,10.56M,10.56M,,,,,42.12M,,-42.12M,,10.56M,106.08M,,42.12M,-42.12M,14.65M,-42.12M,78.61M,1.20M,77.73M,,,-2.666M,0.922M,75.06M,75.06M,248.18M,127.45M,120.73M,0.65,,,,0.6499,0.65,0.65,,,,0.6499,0.65,114.20M,114.44M,1.0
2020-03,418.10M,418.10M,294.20M,123.90M,13.26M,13.26M,,,,,43.48M,,-43.48M,,13.26M,110.63M,,43.48M,-43.48M,-28.94M,-43.48M,38.21M,0.667M,37.95M,,,-1.304M,0.922M,36.65M,37.05M,208.35M,126.66M,81.69M,0.31,,,,0.3135,0.31,0.31,,,,0.3135,0.31,114.11M,114.49M,1.0
2019-12,416.82M,416.82M,289.03M,127.79M,13.16M,13.16M,,,,,43.70M,,-43.70M,,13.16M,114.63M,,43.70M,-43.70M,84.57M,-43.70M,155.50M,0.882M,155.06M,,,-5.471M,0.922M,149.59M,67.27M,324.78M,125.58M,199.20M,1.3,,,,0.5777,1.3,1.3,,,,0.5798,1.3,113.97M,114.30M,0.96
2019-09,415.63M,415.63M,298.12M,117.51M,10.22M,10.22M,,,,,44.51M,,-44.51M,,10.22M,107.28M,,44.51M,-44.51M,19.80M,-44.51M,82.57M,1.491M,81.46M,,,-2.814M,0.922M,78.64M,77.66M,252.03M,124.94M,127.08M,0.68,,,,0.6714,0.68,0.68,,,,0.6714,0.68,113.88M,114.14M,0.96
2019-06,407.39M,407.39M,291.54M,115.85M,10.40M,10.40M,,,,,45.94M,,-45.94M,,10.40M,105.45M,,45.94M,-45.94M,4.872M,-45.94M,64.39M,0.682M,64.14M,,,-2.224M,0.922M,61.92M,61.62M,234.51M,124.18M,110.32M,0.53,,,,0.5274,0.53,0.53,,,,0.5274,0.53,113.84M,114.09M,0.96
2019-03,401.18M,401.18M,286.01M,115.17M,12.34M,12.34M,,,,,45.70M,,-45.70M,,12.34M,102.83M,,45.70M,-45.70M,9.069M,-45.70M,66.20M,0.641M,65.96M,,,-2.298M,0.922M,63.66M,54.80M,234.98M,123.08M,111.90M,0.55,,,,0.4721,0.55,0.55,,,,0.4722,0.55,113.73M,113.93M,0.96
2018-12,398.15M,398.15M,280.31M,117.84M,9.063M,9.063M,,,-0.609M,,44.45M,,-44.45M,,9.063M,108.78M,,44.45M,-44.45M,-0.596M,-44.45M,63.73M,0.785M,63.52M,,,-2.235M,0.922M,61.28M,61.25M,229.95M,121.77M,108.18M,0.53,,,,0.5297,0.53,0.53,,,,0.5297,0.53,113.69M,113.88M,0.9225
2018-09,397.11M,397.11M,290.59M,106.52M,6.38M,6.38M,,,-1.878M,,44.65M,,-44.65M,,6.38M,100.14M,,44.65M,-44.65M,-0.568M,-44.65M,54.92M,0.616M,54.70M,,,-1.913M,0.922M,52.79M,53.72M,224.27M,124.70M,99.57M,0.46,,,,0.4682,0.46,0.46,,,,0.4682,0.46,113.67M,113.91M,0.9225
2018-06,390.07M,390.07M,283.05M,107.02M,9.211M,9.211M,,,-2.826M,,43.58M,,-43.58M,,9.211M,97.81M,,43.58M,-43.58M,7.969M,-43.58M,62.20M,0.57M,61.98M,,,-2.174M,0.922M,59.81M,59.87M,228.94M,123.16M,105.78M,0.52,,,,0.5205,0.52,0.52,,,,0.5205,0.52,113.65M,113.85M,0.9225
