,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentAccruedExpenses,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,RestrictedCommonStock,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,18.41M,,18.41M,9.182M,27.59M,,,,,,,,,,,,,43.47M,,172.74M,11.10B,11.13B,,,570.01M,570.01M,,,570.01M,4.426B,4.426B,,,215.18M,,13.84M,,4.439B,5.009B,1.149M,-1.258B,7.173B,,0.009M,-12.40M,5.904B
2020-06,19.67M,,19.67M,15.93M,35.59M,,,,,,,,,,,,,43.59M,,157.02M,11.10B,11.13B,,,473.80M,473.80M,,,473.80M,4.473B,4.473B,,,216.74M,,13.33M,,4.486B,4.960B,1.149M,-1.203B,7.169B,,0.009M,-12.66M,5.955B
2020-03,34.51M,,34.51M,14.54M,49.05M,,,,,,,,,,,,,43.69M,,141.75M,11.11B,11.16B,,,445.45M,445.45M,,,445.45M,4.484B,4.484B,,,218.15M,,11.27M,,4.495B,4.940B,1.149M,-1.161B,7.170B,,0.009M,-12.93M,5.997B
2019-12,20.48M,,20.48M,50.06M,70.54M,,,,,,,,,,,,,43.67M,,172.78M,11.16B,11.23B,,,472.26M,472.26M,,,472.26M,4.455B,4.455B,,,220.89M,,14.13M,,4.469B,4.941B,1.149M,-1.085B,7.166B,,0.009M,-13.18M,6.069B
2019-09,25.83M,,25.83M,16.86M,65.20M,,,,,,,,,,,,,43.82M,,178.35M,11.18B,11.25B,,,521.37M,521.37M,,,521.37M,4.476B,4.476B,,,220.16M,,13.66M,,4.490B,5.011B,1.147M,-1.120B,7.150B,,0.009M,-14.87M,6.016B
2019-06,40.97M,,40.97M,16.71M,57.68M,,,,,,,,,,,,,44.00M,,149.30M,11.22B,11.27B,,,450.21M,450.21M,,,450.21M,4.540B,4.540B,,,221.06M,,12.10M,,4.552B,5.002B,1.147M,-1.087B,7.146B,,0.009M,-9.092M,6.051B
2019-03,44.62M,,44.62M,14.76M,59.39M,,,,,,,,,,,,,44.14M,,144.38M,11.24B,11.30B,,,419.32M,419.32M,,,419.32M,4.548B,4.548B,,,223.18M,,11.04M,,4.559B,4.978B,1.146M,-1.037B,7.142B,,0.009M,-3.30M,6.102B
2018-12,34.26M,,34.26M,17.41M,51.67M,,,,,,,,,,,,,44.18M,,120.41M,11.27B,11.32B,,,413.85M,413.85M,,,413.85M,4.528B,4.528B,,,222.35M,,9.414M,,4.538B,4.952B,1.145M,-989.26M,7.138B,,0.009M,-0.212M,6.150B
2018-09,46.14M,,46.14M,33.26M,88.70M,,,,,,,,,,,,,44.62M,,134.25M,11.33B,11.42B,,,473.80M,473.80M,,,473.80M,4.504B,4.504B,,,224.15M,,9.607M,,4.514B,4.987B,1.145M,-940.77M,7.135B,,0.009M,11.56M,6.207B
2018-06,32.61M,,32.61M,28.19M,61.55M,,,,,,,,,,,,,44.77M,,122.56M,11.39B,11.45B,,,409.60M,409.60M,,,409.60M,4.549B,4.549B,,,227.12M,,9.41M,,4.558B,4.968B,1.145M,-887.67M,7.131B,,0.009M,7.986M,6.252B
