,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-12,1.011B,,1.011B,276.00M,306.00M,66.00M,259.00M,,325.00M,63.00M,,,,3.639B,0.00,99.00M,791.00M,2.811B,833.00M,144.00M,4.678B,-3.287B,1.391B,40.00M,,40.00M,615.00M,,254.00M,6.781B,9.081B,12.72B,,204.00M,17.00M,,221.00M,338.00M,559.00M,4.00M,,,4.00M,,4.00M,28.00M,28.00M,690.00M,1.325B,5.298B,5.298B,,987.00M,,,241.00M,6.526B,7.851B,,652.00M,1.349B,,,14.00M,,,-1.212B,4.869B,,AOR,Restated
2015-09,1.048B,,1.048B,545.00M,559.00M,150.00M,440.00M,,590.00M,87.00M,,218.00M,,2.502B,,,,,8.845B,231.00M,9.076B,-6.361B,2.715B,40.00M,,40.00M,789.00M,,0.00,6.774B,10.32B,12.82B,,344.00M,37.00M,,381.00M,403.00M,784.00M,,,,,,,68.00M,68.00M,,898.00M,5.402B,5.402B,259.00M,1.365B,,,277.00M,7.044B,7.942B,,653.00M,1.449B,,,14.00M,,,-1.313B,4.878B,,AOR,Restated
2015-06,1.121B,,1.121B,537.00M,549.00M,150.00M,453.00M,,603.00M,82.00M,,162.00M,,2.517B,,,,,8.935B,171.00M,9.106B,-6.378B,2.728B,40.00M,,40.00M,791.00M,,2.00M,6.805B,10.37B,12.88B,,343.00M,34.00M,,377.00M,413.00M,790.00M,,,,,,,82.00M,82.00M,,919.00M,5.402B,5.402B,196.00M,1.362B,,,275.00M,7.039B,7.958B,,657.00M,1.428B,,,14.00M,,,-1.323B,4.925B,,AOR,Restated
2015-03,1.158B,,1.158B,539.00M,562.00M,149.00M,496.00M,,645.00M,95.00M,,192.00M,,2.652B,,,,,8.828B,171.00M,8.999B,-6.304B,2.695B,40.00M,,40.00M,798.00M,,3.00M,6.821B,10.36B,13.01B,,319.00M,30.00M,,349.00M,386.00M,735.00M,,,,,,,70.00M,70.00M,,852.00M,5.402B,5.402B,195.00M,1.444B,,,284.00M,7.13B,7.982B,,662.00M,1.445B,,,14.00M,,,-1.379B,5.027B,,AOR,Restated
2014-12,1.58B,,1.58B,525.00M,550.00M,149.00M,446.00M,,595.00M,80.00M,,,,2.805B,0.00,127.00M,1.22B,6.706B,894.00M,131.00M,9.078B,-6.324B,2.754B,40.00M,,40.00M,803.00M,,44.00M,6.819B,10.46B,13.26B,,331.00M,24.00M,,355.00M,441.00M,796.00M,,,,,,,75.00M,75.00M,,918.00M,5.402B,5.402B,14.00M,1.333B,,,308.00M,7.043B,7.961B,,670.00M,1.508B,,,14.00M,,,-1.393B,5.304B,,AOR,Restated
2014-09,1.62B,,1.62B,583.00M,606.00M,152.00M,426.00M,,578.00M,97.00M,,111.00M,,3.012B,,,,,8.942B,215.00M,9.157B,-6.408B,2.749B,40.00M,,40.00M,801.00M,,0.00,6.838B,10.43B,13.44B,,351.00M,39.00M,,390.00M,428.00M,818.00M,0.00,,,0.00,,0.00,83.00M,83.00M,,957.00M,5.402B,5.402B,338.00M,907.00M,,0.00,318.00M,6.627B,7.584B,,671.00M,1.494B,,,14.00M,,,-857.00M,5.856B,,AOR,Restated
2014-06,845.00M,,845.00M,590.00M,627.00M,150.00M,446.00M,,596.00M,106.00M,,128.00M,,3.29B,,,,,9.027B,157.00M,9.184B,-6.428B,2.756B,40.00M,,40.00M,803.00M,,0.00,8.817B,12.42B,15.71B,,335.00M,36.00M,,371.00M,429.00M,800.00M,0.00,,,0.00,,0.00,75.00M,75.00M,137.00M,1.069B,5.402B,5.402B,410.00M,832.00M,,51.00M,334.00M,7.494B,8.563B,,747.00M,495.00M,,,14.00M,,,-663.00M,7.092B,,AOR,Restated
2014-03,780.00M,,780.00M,560.00M,594.00M,149.00M,477.00M,,626.00M,108.00M,,207.00M,,2.315B,,,,,8.968B,140.00M,9.108B,-6.357B,2.751B,40.00M,,40.00M,820.00M,,37.00M,7.003B,12.19B,14.50B,,409.00M,51.00M,,460.00M,474.00M,934.00M,2.00M,,,2.00M,,2.00M,80.00M,80.00M,,1.072B,5.407B,5.407B,306.00M,777.00M,,33.00M,364.00M,6.548B,7.62B,,745.00M,344.00M,,,14.00M,,,-701.00M,6.852B,,AOR,Restated
2013-12,830.00M,,830.00M,518.00M,619.00M,146.00M,396.00M,,542.00M,117.00M,,130.00M,,2.326B,0.00,129.00M,1.262B,6.712B,913.00M,112.00M,9.128B,-6.327B,2.801B,42.00M,,42.00M,805.00M,,5.00M,8.598B,12.25B,14.58B,,343.00M,36.00M,,379.00M,454.00M,833.00M,2.00M,,,2.00M,,2.00M,82.00M,82.00M,154.00M,1.128B,5.402B,5.402B,285.00M,801.00M,,37.00M,382.00M,6.617B,7.745B,,743.00M,294.00M,,,14.00M,,,-686.00M,6.795B,,AOR,Restated
2013-09,903.00M,,903.00M,663.00M,694.00M,148.00M,385.00M,,533.00M,114.00M,0.00,113.00M,,2.357B,,,,,9.02B,101.00M,9.121B,-6.311B,2.81B,42.00M,,42.00M,821.00M,,261.00M,7.535B,13.25B,15.61B,,362.00M,49.00M,,411.00M,452.00M,863.00M,2.00M,,,2.00M,,2.00M,65.00M,65.00M,,987.00M,6.084B,6.084B,44.00M,1.771B,,39.00M,650.00M,8.505B,9.492B,,742.00M,379.00M,,,14.00M,,,-1.463B,6.078B,,AOR,Restated
