,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2010-12,1.467B,0.00,1.467B,483.00M,502.00M,520.00M,79.00M,,478.00M,81.00M,,113.00M,,2.641B,0.00,1.136B,1.572B,7.372B,895.00M,640.00M,11.62B,-6.784B,4.831B,40.00M,,40.00M,210.00M,,266.00M,5.078B,10.79B,13.43B,,340.00M,,,340.00M,734.00M,1.074B,0.00,,,0.00,,0.00,,,,1.074B,5.06B,5.06B,366.00M,366.00M,1.323B,2.00M,992.00M,7.741B,8.815B,,670.00M,181.00M,4.552B,,,,,-791.00M,4.612B,,AOR,Restated
2010-09,1.368B,0.00,1.368B,511.00M,592.00M,391.00M,88.00M,,479.00M,87.00M,,122.00M,,2.648B,0.00,953.00M,,,10.10B,685.00M,11.74B,-6.748B,4.988B,40.00M,,40.00M,211.00M,,271.00M,5.065B,11.40B,14.05B,,326.00M,,,326.00M,656.00M,982.00M,1.00M,,24.00M,25.00M,,25.00M,,,,1.007B,5.10B,5.10B,704.00M,704.00M,1.644B,6.00M,982.00M,8.43B,9.437B,,670.00M,36.00M,4.547B,,,,,-643.00M,4.61B,,AOR,Restated
2010-06,1.846B,3.00M,1.849B,523.00M,574.00M,386.00M,86.00M,,472.00M,91.00M,,136.00M,,3.122B,0.00,950.00M,,,14.23B,679.00M,15.86B,-6.782B,9.074B,40.00M,,40.00M,210.00M,,270.00M,1.044B,11.59B,14.71B,,322.00M,,,322.00M,663.00M,985.00M,1.00M,,3.00M,4.00M,,4.00M,,,,989.00M,5.124B,5.124B,1.642B,1.642B,1.854B,11.00M,988.00M,9.608B,10.60B,,265.00M,2.631B,1.796B,,,,,-592.00M,4.10B,,AOR,Restated
2010-03,2.16B,1.00M,2.161B,592.00M,626.00M,418.00M,97.00M,,515.00M,93.00M,,136.00M,,3.531B,0.00,942.00M,,,14.30B,680.00M,15.92B,-6.743B,9.177B,40.00M,,40.00M,210.00M,,1.175B,1.042B,11.64B,15.18B,,329.00M,,,329.00M,603.00M,932.00M,1.00M,,3.00M,4.00M,,4.00M,,,,936.00M,5.671B,5.671B,1.578B,3.52B,,11.00M,991.00M,10.18B,11.12B,,264.00M,2.628B,1.789B,,,,,-635.00M,4.046B,,AOR,Restated
2009-12,1.869B,49.00M,1.918B,548.00M,1.15B,477.00M,97.00M,,447.00M,82.00M,,109.00M,,3.706B,0.00,1.099B,1.68B,7.55B,881.00M,650.00M,11.86B,-6.682B,5.178B,40.00M,,40.00M,214.00M,,299.00M,5.057B,11.54B,15.25B,,317.00M,,,317.00M,631.00M,948.00M,4.00M,,3.00M,7.00M,,7.00M,,,,955.00M,5.683B,5.683B,1.538B,1.538B,2.00B,10.00M,1.02B,10.24B,11.20B,,264.00M,2.658B,1.786B,,,,,-664.00M,4.044B,,AOR,Restated
2009-09,1.628B,47.00M,1.675B,719.00M,1.018B,416.00M,82.00M,,498.00M,87.00M,,150.00M,,3.428B,0.00,916.00M,,,14.29B,936.00M,16.15B,-6.594B,9.552B,40.00M,,40.00M,215.00M,,396.00M,1.076B,11.94B,15.36B,,325.00M,,,325.00M,708.00M,1.033B,3.00M,,41.00M,44.00M,,44.00M,,,,1.077B,5.554B,5.554B,1.663B,1.663B,1.649B,16.00M,1.057B,9.923B,11.00B,,264.00M,2.844B,1.781B,,,,,-540.00M,4.349B,,AOR,Restated
2009-06,1.746B,60.00M,1.806B,733.00M,1.069B,456.00M,74.00M,,530.00M,92.00M,,151.00M,,3.648B,0.00,1.146B,,,14.38B,739.00M,16.26B,-6.46B,9.805B,40.00M,,40.00M,216.00M,,419.00M,1.114B,12.19B,15.84B,,314.00M,,,314.00M,816.00M,1.13B,1.00M,,388.00M,389.00M,,389.00M,,,,1.519B,5.609B,5.609B,1.677B,1.677B,1.699B,28.00M,1.061B,10.05B,11.56B,,264.00M,2.855B,1.776B,,,,,-646.00M,4.249B,,AOR,Restated
2009-03,1.656B,92.00M,1.748B,720.00M,993.00M,447.00M,,261.00M,708.00M,98.00M,,,,3.697B,0.00,1.156B,,,14.30B,790.00M,16.24B,-6.313B,9.93B,40.00M,,40.00M,226.00M,,959.00M,1.129B,12.28B,15.98B,,285.00M,,,285.00M,825.00M,1.11B,1.00M,,406.00M,407.00M,,407.00M,,,,1.517B,5.609B,5.609B,1.723B,3.346B,,13.00M,1.115B,10.07B,11.59B,,264.00M,3.013B,1.771B,,,,,-667.00M,4.381B,,AOR,Restated
2008-12,2.294B,138.00M,2.432B,703.00M,776.00M,599.00M,103.00M,,702.00M,101.00M,,159.00M,,4.17B,562.00M,1.117B,1.643B,7.358B,4.586B,1.024B,16.29B,-6.252B,10.04B,43.00M,,43.00M,232.00M,,438.00M,1.123B,12.52B,16.70B,,381.00M,,,381.00M,933.00M,1.314B,1.00M,,407.00M,408.00M,,408.00M,,,,1.722B,5.609B,5.609B,1.805B,1.805B,1.618B,33.00M,1.094B,10.13B,11.85B,,264.00M,3.278B,1.767B,,,,,-495.00M,4.814B,,AOR,Restated
2008-09,4.099B,701.00M,4.80B,742.00M,742.00M,153.00M,,559.00M,712.00M,113.00M,,164.00M,21.00M,6.552B,,,,,14.51B,121.00M,14.63B,-6.444B,8.183B,919.00M,,919.00M,,,,6.562B,15.66B,22.22B,,449.00M,,,449.00M,2.211B,2.66B,2.00M,,880.00M,882.00M,,882.00M,,,4.00M,3.546B,5.941B,5.941B,2.683B,2.683B,,,2.441B,11.06B,14.61B,,264.00M,4.67B,1.764B,,,907.00M,,907.00M,7.605B,,,Restated
2008-06,81.00M,,81.00M,839.00M,839.00M,316.00M,,874.00M,732.00M,133.00M,,150.00M,1.243B,3.178B,0.00,5.621B,,,11.48B,239.00M,17.34B,-6.431B,10.90B,931.00M,,931.00M,,,,8.697B,20.53B,23.71B,,509.00M,,,509.00M,939.00M,1.448B,164.00M,,870.00M,1.034B,,1.034B,,,505.00M,2.987B,7.092B,7.092B,2.666B,2.666B,,,3.273B,13.03B,16.02B,,264.00M,4.516B,1.753B,,,493.00M,667.00M,1.16B,7.693B,,,Restated
2008-03,69.00M,,69.00M,878.00M,878.00M,319.00M,,970.00M,840.00M,150.00M,,150.00M,1.102B,3.189B,0.00,5.487B,,,10.48B,324.00M,16.29B,-6.435B,9.854B,948.00M,,948.00M,,,,9.765B,20.57B,23.76B,,537.00M,,,537.00M,874.00M,1.411B,151.00M,,807.00M,958.00M,,958.00M,,,413.00M,2.782B,7.014B,7.014B,2.562B,2.562B,,,3.698B,13.27B,16.06B,,262.00M,4.738B,1.636B,,,479.00M,585.00M,1.064B,7.70B,,,Restated
2007-12,114.00M,,114.00M,1.396B,1.396B,315.00M,,940.00M,1.255B,177.00M,,156.00M,,3.098B,0.00,5.673B,2.449B,12.64B,975.00M,442.00M,22.18B,-9.529B,12.65B,2.207B,,2.207B,,,,5.851B,20.71B,23.81B,,869.00M,,,869.00M,1.177B,2.046B,54.00M,,507.00M,561.00M,,561.00M,,,,2.607B,6.834B,6.834B,3.29B,3.29B,,,3.094B,13.22B,15.82B,,262.00M,5.014B,1.609B,,,527.00M,569.00M,1.096B,7.981B,,,
2007-09,80.00M,,80.00M,1.491B,1.491B,326.00M,,997.00M,1.323B,406.00M,,,,3.30B,0.00,5.264B,,,16.40B,412.00M,22.08B,-9.511B,12.57B,2.20B,,2.20B,,,,5.301B,20.07B,23.37B,,894.00M,,,894.00M,1.185B,2.079B,387.00M,,262.00M,649.00M,,649.00M,,,,2.728B,7.033B,7.033B,2.863B,2.863B,,,3.278B,13.17B,15.90B,,262.00M,5.239B,1.554B,,,487.00M,-73.00M,414.00M,7.469B,,,
2007-06,215.00M,,215.00M,1.583B,1.583B,316.00M,,992.00M,1.308B,378.00M,,,,3.484B,0.00,5.197B,,,16.10B,2.105B,23.40B,-9.325B,14.08B,2.181B,,2.181B,,,,3.649B,19.91B,23.39B,,1.01B,,,1.01B,1.145B,2.155B,504.00M,,63.00M,567.00M,,567.00M,,,,2.722B,6.585B,6.585B,2.906B,2.906B,,,3.325B,12.82B,15.54B,,270.00M,5.269B,2.098B,,,405.00M,-189.00M,216.00M,7.853B,,,
2007-03,1.185B,,1.185B,1.471B,1.471B,319.00M,,1.165B,1.437B,356.00M,,,114.00M,4.563B,0.00,5.132B,,,15.80B,2.007B,22.94B,-8.954B,13.99B,2.158B,,2.158B,,,,3.532B,19.68B,24.24B,,920.00M,,,920.00M,1.22B,2.14B,590.00M,,70.00M,660.00M,,660.00M,,,,2.80B,7.454B,7.454B,2.897B,2.897B,,,3.251B,13.60B,16.40B,,270.00M,5.367B,1.973B,,,,,230.00M,7.84B,,,
2006-12,243.00M,,243.00M,1.327B,1.327B,485.00M,,1.444B,1.355B,385.00M,,,975.00M,4.285B,0.00,3.681B,,,15.96B,395.00M,20.04B,-8.901B,11.14B,2.185B,,2.185B,,,,9.255B,22.58B,26.86B,,948.00M,,,948.00M,1.363B,2.311B,72.00M,,488.00M,560.00M,,560.00M,,,258.00M,3.129B,7.675B,7.675B,3.011B,3.011B,,,3.962B,14.65B,17.78B,,295.00M,4.755B,3.812B,,,313.00M,-90.00M,223.00M,9.085B,,,
2006-09,127.00M,,127.00M,1.961B,1.961B,487.00M,,1.496B,1.983B,440.00M,,,88.00M,4.599B,0.00,1.355B,,3.665B,11.56B,640.00M,17.22B,,17.22B,2.254B,,2.254B,,,,3.297B,22.77B,27.37B,,1.142B,,,1.142B,1.098B,2.24B,607.00M,,492.00M,1.099B,,1.099B,,,18.00M,3.357B,7.683B,7.683B,3.848B,3.848B,,,3.263B,14.79B,18.15B,,301.00M,4.39B,4.108B,,,,,422.00M,9.221B,,,
2006-06,149.00M,,149.00M,2.083B,2.083B,487.00M,,1.424B,1.911B,427.00M,,,134.00M,4.704B,0.00,1.282B,,3.696B,11.75B,607.00M,17.33B,,17.33B,2.243B,,2.243B,,,,3.338B,22.91B,27.62B,,1.222B,,,1.222B,1.327B,2.549B,127.00M,,553.00M,680.00M,,680.00M,,,,3.229B,7.703B,7.703B,3.913B,3.913B,,,3.273B,14.89B,18.12B,,308.00M,4.328B,4.428B,,,,,436.00M,9.50B,,,
2006-03,144.00M,,144.00M,1.971B,1.971B,499.00M,,1.569B,2.068B,433.00M,,,,4.616B,0.00,2.639B,,,25.77B,648.00M,29.06B,-11.79B,17.27B,2.235B,,2.235B,,,,3.256B,22.76B,27.38B,,1.193B,,,1.193B,1.253B,2.446B,64.00M,,699.00M,763.00M,,763.00M,,,,3.209B,7.816B,7.816B,4.001B,4.001B,,,3.126B,14.94B,18.15B,,307.00M,4.137B,4.381B,,,,,404.00M,9.229B,,,
2005-12,1.104B,,1.104B,1.749B,1.749B,472.00M,,1.413B,1.885B,414.00M,,,223.00M,5.375B,0.00,1.037B,,3.705B,11.40B,527.00M,16.67B,,16.67B,2.982B,,2.982B,,,,3.203B,22.85B,28.23B,,1.227B,,,1.227B,1.622B,2.849B,6.00M,,381.00M,387.00M,,387.00M,,,25.00M,3.261B,8.255B,8.255B,4.032B,4.032B,,,2.881B,15.17B,18.43B,,304.00M,4.84B,4.227B,,,,,429.00M,9.80B,,,
2005-09,889.00M,,889.00M,2.015B,2.015B,,,,1.992B,581.00M,,,,5.477B,0.00,2.288B,,,25.02B,544.00M,27.86B,-10.24B,17.62B,,2.988B,2.988B,,,,3.076B,23.68B,29.16B,,1.167B,,,1.167B,1.562B,2.729B,6.00M,,182.00M,188.00M,,188.00M,,,,2.917B,8.862B,8.862B,4.396B,4.396B,,,2.856B,16.11B,19.03B,,304.00M,5.174B,4.219B,,,,,429.00M,10.13B,,,
2005-06,1.715B,,1.715B,2.065B,2.065B,,,,2.018B,612.00M,,,,6.41B,,,,,25.12B,451.00M,25.58B,-10.24B,15.34B,,2.977B,2.977B,,,,5.271B,23.58B,29.99B,,1.225B,,,1.225B,1.655B,2.88B,2.00M,,225.00M,227.00M,,227.00M,,,,3.107B,9.785B,9.785B,4.32B,4.32B,,,2.932B,17.04B,20.14B,,303.00M,5.012B,4.212B,,,,,322.00M,9.849B,,,
2005-03,402.00M,,402.00M,1.84B,1.84B,,,,2.122B,634.00M,,,1.119B,6.117B,,,,,25.40B,324.00M,25.72B,-10.24B,15.48B,,2.997B,2.997B,,,,5.073B,23.55B,29.67B,,1.15B,,,1.15B,1.313B,2.463B,2.00M,,96.00M,98.00M,,98.00M,,,308.00M,2.869B,10.13B,10.13B,4.315B,4.315B,,,2.847B,17.30B,20.16B,,302.00M,4.715B,4.144B,,,,,344.00M,9.505B,,,
2004-12,1.197B,,1.197B,1.577B,1.577B,,,,1.876B,588.00M,,,1.183B,6.421B,0.00,300.00M,3.089B,17.41B,6.601B,268.00M,27.66B,-10.06B,17.61B,,2.996B,2.996B,,,,2.928B,23.53B,29.95B,,1.159B,,,1.159B,1.432B,2.591B,5.00M,,489.00M,494.00M,,494.00M,,,297.00M,3.382B,10.14B,10.14B,4.312B,4.312B,,,2.861B,17.32B,20.70B,,300.00M,4.573B,4.075B,,,,,307.00M,9.255B,,,
2004-09,1.227B,,1.227B,1.804B,1.804B,,,,1.998B,527.00M,,,,5.556B,,,,,21.10B,242.00M,21.34B,-9.265B,12.08B,,3.241B,3.241B,,,,8.407B,23.73B,29.28B,,1.102B,,,1.102B,1.337B,2.439B,3.00M,,490.00M,493.00M,,493.00M,,,,2.932B,10.88B,10.88B,4.451B,4.451B,,,1.963B,17.29B,20.22B,,300.00M,4.47B,4.021B,,,,,268.00M,9.059B,,,
2004-06,725.00M,,725.00M,1.86B,1.86B,508.00M,1.428B,,1.936B,488.00M,,,,5.009B,,,,,21.15B,279.00M,21.43B,-9.265B,12.16B,,3.218B,3.218B,,,,8.334B,23.71B,28.72B,,1.114B,,,1.114B,1.323B,2.437B,2.00M,,445.00M,447.00M,,447.00M,,,,2.884B,11.20B,11.20B,4.373B,4.373B,,,1.859B,17.43B,20.31B,,299.00M,3.972B,4.009B,,,,,130.00M,8.41B,,,
2004-03,79.00M,,79.00M,1.753B,1.753B,,,,2.02B,471.00M,,,,4.323B,0.00,959.00M,,,21.41B,1.02B,23.38B,-9.265B,14.12B,,3.232B,3.232B,,,,6.462B,23.81B,28.14B,,1.065B,,,1.065B,1.212B,2.277B,181.00M,,1.129B,1.31B,,1.31B,,,,3.587B,11.29B,11.29B,4.303B,4.303B,,,1.747B,17.34B,20.92B,,278.00M,3.693B,3.042B,,,,,201.00M,7.214B,,,
2003-12,171.00M,,171.00M,1.484B,1.484B,,,,1.911B,455.00M,,,,4.021B,0.00,318.00M,2.989B,17.29B,911.00M,403.00M,21.91B,-9.265B,12.65B,,3.237B,3.237B,,,,8.695B,24.58B,28.60B,,1.041B,,,1.041B,1.39B,2.431B,5.00M,,90.00M,95.00M,,95.00M,,,,2.526B,12.40B,12.40B,4.294B,4.294B,,,2.274B,18.96B,21.49B,,275.00M,3.662B,2.94B,,,,,232.00M,7.109B,,,
2003-09,57.00M,,57.00M,1.661B,1.661B,,,,1.959B,436.00M,,,,4.113B,,,,,20.20B,514.00M,20.71B,-7.963B,12.75B,,3.221B,3.221B,,,,8.364B,24.33B,28.45B,,975.00M,,,975.00M,1.214B,2.189B,255.00M,,92.00M,347.00M,,347.00M,,,,2.536B,12.88B,12.88B,4.139B,4.139B,,,1.969B,18.99B,21.53B,,275.00M,3.659B,2.913B,,,,,74.00M,6.921B,,,
2003-06,58.00M,,58.00M,1.737B,1.737B,,,,2.093B,427.00M,,,,4.315B,0.00,1.753B,,24.69B,,669.00M,27.11B,-7.963B,19.15B,,3.224B,3.224B,,,,2.148B,24.52B,28.84B,,1.046B,,,1.046B,1.192B,2.238B,368.00M,,594.00M,962.00M,,962.00M,,,,3.20B,12.63B,12.63B,4.111B,4.111B,,,1.992B,18.73B,21.93B,,274.00M,3.666B,2.879B,,,,,87.00M,6.906B,,,
2003-03,67.00M,,67.00M,1.638B,1.638B,,,,2.167B,455.00M,,,,4.327B,0.00,1.677B,,20.19B,,709.00M,22.58B,-7.963B,14.61B,,3.191B,3.191B,,,,6.564B,24.37B,28.70B,,975.00M,,,975.00M,1.162B,2.137B,436.00M,,595.00M,1.031B,,1.031B,,,,3.168B,12.89B,12.89B,4.072B,4.072B,,,1.935B,18.90B,22.07B,,274.00M,3.597B,2.878B,,,,,-121.00M,6.628B,,,
2002-12,115.00M,,115.00M,1.413B,1.413B,,,,1.941B,419.00M,,,,3.888B,,,,,20.24B,687.00M,20.93B,-7.963B,12.96B,,3.131B,3.131B,,,,8.235B,24.33B,28.22B,,983.00M,,,983.00M,1.223B,2.206B,65.00M,,786.00M,851.00M,,851.00M,,,,3.057B,12.72B,12.72B,4.056B,4.056B,,,1.762B,18.54B,21.60B,,274.00M,3.74B,2.875B,,,,,-266.00M,6.623B,,,
2002-09,130.00M,,130.00M,1.672B,1.672B,,,,1.951B,485.00M,,,,4.238B,0.00,320.00M,2.877B,15.94B,944.00M,1.338B,21.42B,-7.847B,13.57B,,2.812B,2.812B,,,,8.172B,24.56B,28.80B,,1.059B,,,1.059B,1.189B,2.248B,231.00M,,791.00M,1.022B,,1.022B,,,,3.27B,13.16B,13.16B,4.36B,4.36B,,,1.379B,18.90B,22.17B,,431.00M,3.702B,2.826B,,,,,-333.00M,6.626B,,,
2002-06,149.00M,,149.00M,1.72B,1.72B,,,,2.012B,550.00M,,,,4.431B,0.00,321.00M,2.888B,16.57B,206.00M,1.36B,21.35B,-7.624B,13.72B,,2.778B,2.778B,,,,8.279B,24.78B,29.21B,,1.125B,,,1.125B,1.32B,2.445B,467.00M,,368.00M,835.00M,,835.00M,,,,3.28B,13.36B,13.36B,4.389B,4.389B,,,1.404B,19.15B,22.43B,,431.00M,3.778B,2.825B,,,,,-252.00M,6.782B,,,
2002-03,138.00M,,138.00M,1.666B,1.666B,,,,2.072B,509.00M,,,,4.385B,0.00,318.00M,2.773B,16.45B,203.00M,1.169B,20.91B,-7.288B,13.62B,,2.741B,2.741B,,,,8.169B,24.53B,28.92B,,1.072B,,,1.072B,1.177B,2.249B,522.00M,,214.00M,736.00M,,736.00M,,,451.00M,3.436B,13.52B,13.52B,4.353B,4.353B,,,921.00M,18.80B,22.23B,,436.00M,3.794B,2.797B,,,,,-342.00M,6.685B,,,
2001-12,204.00M,,204.00M,1.095B,1.095B,,,,1.428B,407.00M,,,,3.134B,0.00,226.00M,2.31B,12.02B,814.00M,428.00M,15.80B,-7.061B,8.737B,,1.095B,1.095B,,,,5.327B,15.16B,18.29B,,809.00M,,,809.00M,1.042B,1.851B,4.00M,,8.00M,12.00M,,12.00M,,,,1.863B,6.073B,6.073B,2.377B,2.377B,,,1.285B,9.735B,11.60B,,495.00M,3.852B,2.693B,,,,,-345.00M,6.695B,,,
2001-09,113.00M,,113.00M,1.315B,1.315B,327.00M,,1.234B,1.561B,402.00M,,,,3.391B,0.00,226.00M,2.257B,11.88B,779.00M,,15.15B,-6.982B,8.165B,,1.106B,1.106B,,,,5.793B,15.06B,18.46B,,890.00M,,,890.00M,1.098B,1.988B,239.00M,,7.00M,246.00M,,246.00M,,,,2.234B,5.82B,5.82B,2.40B,2.40B,,,1.146B,9.366B,11.60B,,516.00M,3.955B,2.664B,,,,,-280.00M,6.855B,,,
2001-06,71.00M,70.00M,141.00M,1.319B,1.319B,1.378B,,222.00M,1.60B,450.00M,,,,3.51B,0.00,234.00M,2.168B,11.41B,2.485B,2.359B,18.66B,-6.728B,11.93B,1.123B,,1.123B,,,,1.74B,14.80B,18.30B,,918.00M,,,918.00M,967.00M,1.885B,892.00M,,353.00M,1.245B,,1.245B,,,353.00M,3.483B,4.692B,4.692B,2.432B,2.432B,,,744.00M,7.868B,11.35B,,562.00M,3.952B,2.615B,,,,,-175.00M,6.954B,,,
2001-03,65.00M,,65.00M,1.338B,1.338B,1.286B,368.00M,,1.654B,432.00M,,,,3.489B,0.00,233.00M,2.155B,11.92B,3.455B,670.00M,18.43B,-6.543B,11.88B,,1.123B,1.123B,,,,1.643B,14.65B,18.14B,,870.00M,,,870.00M,972.00M,1.842B,1.63B,,75.00M,1.705B,,1.705B,,,,3.547B,4.346B,4.346B,2.385B,2.385B,,,1.093B,7.824B,11.37B,,585.00M,3.869B,2.576B,,,-262.00M,1.00M,-261.00M,6.769B,,,
2000-12,123.00M,,123.00M,1.328B,1.328B,,,,1.499B,,,,427.00M,3.377B,0.00,235.00M,2.172B,11.39B,842.00M,,14.64B,-6.483B,8.157B,,1.15B,1.15B,,,,5.49B,14.80B,18.17B,,921.00M,,,921.00M,1.05B,1.971B,645.00M,,88.00M,733.00M,,733.00M,,,,2.704B,5.093B,5.093B,2.377B,2.377B,,,1.168B,8.638B,11.34B,,629.00M,3.849B,2.532B,,,,,-178.00M,6.832B,,,
2000-09,87.00M,,87.00M,,1.507B,,,,1.469B,,,,367.00M,3.43B,,,,,,,14.38B,-6.336B,8.045B,,1.146B,1.146B,,,,5.436B,14.63B,18.06B,,927.00M,,,927.00M,,927.00M,,,,950.00M,,950.00M,,,796.00M,2.673B,5.143B,5.143B,2.209B,2.209B,,,1.144B,8.496B,11.17B,,694.00M,3.744B,2.492B,,,,,-42.00M,6.888B,,,
2000-06,115.00M,,115.00M,,1.543B,,,,1.546B,,,,383.00M,3.587B,,,,,,,14.37B,-6.218B,8.151B,,1.094B,1.094B,,,,5.349B,14.59B,18.18B,,1.007B,,,1.007B,,1.007B,,,,775.00M,,775.00M,,,1.003B,2.785B,5.175B,5.175B,2.186B,2.186B,,,1.122B,8.483B,11.27B,,733.00M,4.839B,2.256B,831.00M,,,,-84.00M,6.913B,,,
2000-03,96.00M,,96.00M,,1.55B,,,,1.564B,,,,243.00M,3.453B,,,,,,,14.63B,-6.383B,8.243B,,1.174B,1.174B,,,,5.081B,14.50B,17.95B,,911.00M,,,911.00M,,911.00M,,,,1.093B,,1.093B,,,1.121B,3.125B,4.468B,4.468B,2.154B,2.154B,,,1.015B,7.637B,10.76B,,777.00M,4.731B,2.21B,413.00M,,,,-116.00M,7.189B,,,
1999-12,1.643B,,1.643B,,1.39B,,,,1.329B,,,,278.00M,4.64B,,,,,,,13.38B,-5.817B,7.56B,,792.00M,792.00M,,,,5.347B,13.70B,18.34B,,961.00M,,,961.00M,,961.00M,,,,909.00M,,909.00M,,,1.093B,2.963B,5.10B,5.10B,1.985B,1.985B,,,1.118B,8.203B,11.17B,,886.00M,4.578B,2.086B,210.00M,,,,-167.00M,7.173B,,,
1999-09,128.00M,,128.00M,,1.17B,,,,968.00M,,,,277.00M,2.543B,,,,,,,14.86B,-5.707B,9.155B,,,,,,,1.251B,10.41B,12.95B,,729.00M,,,729.00M,,729.00M,,,,96.00M,,96.00M,,,732.00M,1.557B,4.243B,4.243B,1.482B,1.482B,,,881.00M,6.606B,8.163B,,258.00M,4.485B,411.00M,216.00M,,-152.00M,,-152.00M,4.786B,,,
1999-06,54.00M,,54.00M,,1.161B,,,,989.00M,,,,279.00M,2.483B,,,,,,,11.89B,-5.622B,6.267B,,,,,,,4.12B,10.39B,12.87B,,732.00M,,,732.00M,,732.00M,,,,64.00M,,64.00M,,,721.00M,1.517B,4.486B,4.486B,1.419B,1.419B,,,814.00M,6.719B,8.236B,,,4.328B,,,,,,,4.634B,,,
1999-03,37.00M,,37.00M,,1.074B,,,,1.058B,,,,295.00M,2.464B,,,,,,,14.98B,-5.703B,9.28B,,,,,,,1.098B,10.38B,12.84B,,715.00M,,,715.00M,,715.00M,,,,640.00M,,640.00M,,,654.00M,2.009B,4.266B,4.266B,1.367B,1.367B,,,745.00M,6.378B,8.387B,,,4.245B,,,,,,,4.455B,,,
1998-12,35.00M,,35.00M,,967.00M,,,,962.00M,,,,294.00M,2.258B,,,,,,,14.40B,-5.53B,8.874B,,,,,,,1.702B,10.58B,12.83B,,699.00M,,,699.00M,,699.00M,,,,657.00M,,657.00M,,,707.00M,2.063B,4.098B,4.098B,1.404B,1.404B,,,743.00M,6.245B,8.308B,,,4.372B,,,,,,,4.526B,,,
1998-09,332.00M,,332.00M,,990.00M,,,,923.00M,,,,279.00M,2.524B,,,,,,,11.63B,-5.458B,6.174B,,,,,,,3.974B,10.15B,12.67B,,635.00M,,,635.00M,,635.00M,,,,97.00M,,97.00M,,,592.00M,1.324B,4.654B,4.654B,1.369B,1.369B,,,720.00M,6.743B,8.067B,,,4.422B,,,,,,,4.605B,,,
1998-06,41.00M,,41.00M,,1.004B,,,,947.00M,,,,336.00M,2.328B,,,,,,,11.64B,-5.38B,6.256B,,,,,,,3.913B,10.17B,12.50B,,671.00M,,,671.00M,,671.00M,,,,91.00M,,91.00M,,,635.00M,1.397B,4.494B,4.494B,1.321B,1.321B,,,691.00M,6.506B,7.903B,,,4.391B,,,,,,,4.594B,,,
1998-03,32.00M,,32.00M,,978.00M,,,,1.053B,,,,337.00M,2.40B,,,,,,,11.66B,-5.322B,6.342B,,,,,,,3.84B,10.18B,12.58B,,673.00M,,,673.00M,,673.00M,,,,307.00M,,307.00M,,,641.00M,1.621B,4.338B,4.338B,1.291B,1.291B,,,712.00M,6.341B,7.962B,,,4.402B,,,,,,,4.62B,,,
1997-12,122.00M,,122.00M,,975.00M,,,,983.00M,,,,298.00M,2.378B,,,,,,,14.68B,-5.489B,9.186B,,,,,,,1.511B,10.70B,13.08B,,694.00M,,,694.00M,,694.00M,,,,270.00M,,270.00M,,,648.00M,1.612B,4.515B,4.515B,1.418B,1.418B,,121.00M,760.00M,6.693B,8.305B,,,4.397B,,,,,,,4.649B,,,
1997-09,43.00M,,43.00M,,1.111B,,,,938.00M,,,,274.00M,2.366B,,,,,,,12.14B,-5.407B,6.738B,,,,,,,4.014B,10.75B,13.12B,,654.00M,,,654.00M,,654.00M,,,,546.00M,,546.00M,,,591.00M,1.791B,4.427B,4.427B,1.366B,1.366B,,119.00M,772.00M,6.565B,8.356B,,,4.378B,,,,,,,4.643B,,,
1997-06,39.00M,,39.00M,,1.143B,,,,950.00M,,,,301.00M,2.433B,,,,,,,12.18B,-5.328B,6.848B,,,,,,,3.72B,10.57B,13.00B,,659.00M,,,659.00M,,659.00M,,,,321.00M,,321.00M,,,600.00M,1.58B,4.695B,4.695B,1.351B,1.351B,,117.00M,675.00M,6.721B,8.301B,,,4.344B,,,,,,,4.583B,,,
