,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-06,317.00M,,,,22.00M,,21.00M,43.00M,,119.00M,15.00M,,9.00M,-35.00M,-18.00M,30.00M,4.00M,103.00M,,,10.00M,129.00M,597.00M,,-97.00M,,,,,24.00M,-73.00M,,0.00,0.00,0.00,,0.00,0.00,,,-243.00M,,-243.00M,23.00M,-1.00M,-221.00M,,598.00M,303.00M,901.00M,,,0.00,0.00,0.00,41.00M,67.00M,,AOR,Restated
2018-03,269.00M,,,,12.00M,,34.00M,46.00M,,120.00M,10.00M,,9.00M,4.00M,-83.00M,-66.00M,-5.00M,-173.00M,,,5.00M,-322.00M,136.00M,,-81.00M,,,,,5.00M,-76.00M,,-62.00M,0.00,-62.00M,,0.00,0.00,,,-242.00M,,-242.00M,25.00M,-7.00M,-286.00M,,824.00M,-226.00M,598.00M,,,0.00,-62.00M,0.00,17.00M,105.00M,,AOR,Restated
2017-12,271.00M,,,,33.00M,,25.00M,-57.00M,,127.00M,35.00M,1.00M,11.00M,-54.00M,78.00M,-43.00M,-3.00M,-78.00M,,,66.00M,20.00M,354.00M,,-160.00M,,,88.00M,,247.00M,175.00M,,0.00,0.00,0.00,,0.00,0.00,,,-242.00M,,-242.00M,39.00M,1.00M,-202.00M,,497.00M,327.00M,824.00M,,,0.00,0.00,0.00,40.00M,66.00M,,AOR,Restated
2017-09,130.00M,,,,24.00M,,25.00M,49.00M,,132.00M,3.00M,6.00M,10.00M,-53.00M,-35.00M,11.00M,4.00M,129.00M,,,-63.00M,46.00M,323.00M,,-97.00M,,,423.00M,,-28.00M,298.00M,,-606.00M,0.00,-606.00M,,0.00,0.00,,,-233.00M,,-233.00M,8.00M,6.00M,-825.00M,,701.00M,-204.00M,497.00M,,,325.00M,-931.00M,0.00,23.00M,123.00M,,AOR,Restated
2017-06,24.00M,,,-3.00M,10.00M,,15.00M,22.00M,,129.00M,3.00M,147.00M,9.00M,-29.00M,-8.00M,21.00M,-4.00M,192.00M,,,-17.00M,184.00M,489.00M,,-87.00M,,,,,49.00M,-38.00M,,,,,,,,,,-233.00M,,-233.00M,26.00M,2.00M,-205.00M,,455.00M,246.00M,701.00M,,,,,,47.00M,72.00M,,AOR,Restated
2017-03,157.00M,,,3.00M,14.00M,,32.00M,49.00M,,133.00M,3.00M,,10.00M,-37.00M,-70.00M,-28.00M,-9.00M,-137.00M,,,-36.00M,-280.00M,35.00M,,-75.00M,,,,,7.00M,-68.00M,,0.00,,0.00,,,,,,-233.00M,,-233.00M,55.00M,-10.00M,-188.00M,,676.00M,-221.00M,455.00M,,,,0.00,,59.00M,120.00M,,AOR,Restated
2016-12,-238.00M,121.00M,,11.00M,60.00M,18.00M,0.00,137.00M,,137.00M,-255.00M,14.00M,7.00M,-29.00M,42.00M,12.00M,8.00M,-50.00M,,,69.00M,81.00M,-151.00M,,-207.00M,,,2.117B,,92.00M,1.968B,,-1.70B,0.00,-1.70B,,0.00,0.00,,,-232.00M,0.00,-232.00M,13.00M,-1.00M,-1.92B,,779.00M,-103.00M,676.00M,,,0.00,-1.70B,0.00,485.00M,79.00M,,AOR,Restated
2016-09,227.00M,-121.00M,,1.00M,19.00M,-9.00M,0.00,-59.00M,,139.00M,40.00M,8.00M,13.00M,-72.00M,-6.00M,32.00M,-2.00M,25.00M,,,2.00M,51.00M,347.00M,,-129.00M,,,377.00M,,-38.00M,217.00M,,300.00M,0.00,300.00M,,-374.00M,-374.00M,,,-231.00M,-11.00M,-242.00M,36.00M,3.00M,-277.00M,,492.00M,287.00M,779.00M,,,300.00M,0.00,-374.00M,0.00,142.00M,,AOR,Restated
2016-06,168.00M,,,1.00M,13.00M,-6.00M,1.00M,-1.00M,,147.00M,38.00M,15.00M,16.00M,-39.00M,-43.00M,60.00M,0.00,106.00M,,,25.00M,148.00M,492.00M,,-101.00M,,,438.00M,,10.00M,350.00M,,297.00M,,297.00M,,-831.00M,-831.00M,,,-228.00M,-11.00M,-239.00M,8.00M,0.00,-765.00M,,415.00M,77.00M,492.00M,,,300.00M,-3.00M,-831.00M,0.00,100.00M,,AOR,Restated
2016-03,81.00M,,,-13.00M,17.00M,-3.00M,4.00M,-36.00M,,142.00M,18.00M,,24.00M,-36.00M,-47.00M,-43.00M,-1.00M,-70.00M,,,10.00M,-151.00M,47.00M,,-73.00M,,,-6.00M,,79.00M,24.00M,,378.00M,,378.00M,,-798.00M,-798.00M,,,-241.00M,,-241.00M,4.00M,-11.00M,-668.00M,,1.012B,-597.00M,415.00M,,,1.098B,-720.00M,-798.00M,0.00,125.00M,,AOR,Restated
2015-12,70.00M,30.00M,,6.00M,5.00M,87.00M,10.00M,100.00M,,120.00M,-10.00M,1.00M,9.00M,-44.00M,47.00M,19.00M,5.00M,12.00M,,,,78.00M,339.00M,,-174.00M,,,-9.00M,,20.00M,-163.00M,,0.00,,0.00,,-34.00M,-34.00M,,,-159.00M,-22.00M,-181.00M,,-31.00M,-212.00M,,1.048B,-36.00M,1.012B,,,0.00,0.00,-34.00M,10.00M,57.00M,,AOR,Restated
2015-09,191.00M,-9.00M,,20.00M,2.00M,5.00M,11.00M,29.00M,,118.00M,-6.00M,1.00M,6.00M,-23.00M,-18.00M,6.00M,0.00,-22.00M,,,,-34.00M,282.00M,,-112.00M,,,-1.00M,,0.00,-113.00M,,0.00,,0.00,,-77.00M,-77.00M,,,-159.00M,-11.00M,-170.00M,,5.00M,-242.00M,,1.121B,-73.00M,1.048B,,,0.00,0.00,-77.00M,-1.00M,118.00M,,AOR,Restated
2015-06,144.00M,-5.00M,,-8.00M,1.00M,7.00M,11.00M,6.00M,,118.00M,3.00M,0.00,8.00M,-31.00M,2.00M,42.00M,9.00M,66.00M,,,,119.00M,367.00M,,-108.00M,,,4.00M,,12.00M,-92.00M,,0.00,,0.00,,-154.00M,-154.00M,,,-149.00M,-11.00M,-160.00M,,2.00M,-312.00M,,1.158B,-37.00M,1.121B,,,0.00,0.00,-154.00M,4.00M,58.00M,,AOR,Restated
2015-03,101.00M,-16.00M,,29.00M,10.00M,6.00M,10.00M,39.00M,,123.00M,13.00M,13.00M,8.00M,-37.00M,-14.00M,-57.00M,-11.00M,-91.00M,,,,-173.00M,87.00M,,-89.00M,,,-30.00M,,,-119.00M,,0.00,,0.00,,-253.00M,-253.00M,,,-152.00M,,-152.00M,,15.00M,-390.00M,,1.58B,-422.00M,1.158B,,,0.00,0.00,-253.00M,1.00M,114.00M,,AOR,Restated
2014-12,177.00M,76.00M,,12.00M,,,-48.00M,-20.00M,,125.00M,35.00M,1.00M,11.00M,-33.00M,56.00M,-20.00M,11.00M,-22.00M,,,0.00,25.00M,325.00M,,-156.00M,,239.00M,-24.00M,,56.00M,-124.00M,,0.00,17.00M,17.00M,,-80.00M,-80.00M,,,-152.00M,-22.00M,-174.00M,35.00M,-39.00M,-241.00M,,1.62B,-40.00M,1.58B,,,0.00,,-80.00M,0.00,66.00M,,AOR,Restated
2014-09,1.164B,-1.002B,,13.00M,,,-13.00M,-1.002B,,123.00M,45.00M,0.00,9.00M,-35.00M,33.00M,8.00M,13.00M,21.00M,,,-26.00M,49.00M,353.00M,,-105.00M,,-105.00M,711.00M,,18.00M,624.00M,,0.00,-11.00M,-11.00M,,-123.00M,-123.00M,,,-154.00M,-11.00M,-165.00M,30.00M,4.00M,-265.00M,,908.00M,712.00M,1.62B,,,0.00,,-123.00M,0.00,100.00M,,AOR,Restated
2014-06,291.00M,-21.00M,,-12.00M,,,-44.00M,-77.00M,,126.00M,89.00M,1.00M,11.00M,-44.00M,-50.00M,34.00M,-7.00M,-17.00M,,,-35.00M,-75.00M,322.00M,,-83.00M,,-83.00M,1.00M,,-11.00M,-93.00M,,887.00M,0.00,887.00M,,0.00,0.00,,,-128.00M,-11.00M,-139.00M,39.00M,-888.00M,-101.00M,,780.00M,128.00M,908.00M,,,887.00M,,0.00,0.00,52.00M,,AOR,Restated
2014-03,194.00M,-25.00M,,14.00M,,,-47.00M,-58.00M,,126.00M,36.00M,0.00,9.00M,-39.00M,66.00M,-88.00M,15.00M,-80.00M,,,-72.00M,-159.00M,109.00M,,-51.00M,,-51.00M,19.00M,,-14.00M,-46.00M,,,-6.00M,-6.00M,,0.00,0.00,,,-129.00M,,-129.00M,15.00M,2.00M,-118.00M,,835.00M,-55.00M,780.00M,,,,,0.00,0.00,101.00M,,AOR,Restated
2013-12,54.00M,-16.00M,,1.00M,,,22.00M,6.00M,,129.00M,-102.00M,367.00M,8.00M,-16.00M,15.00M,-13.00M,-17.00M,-96.00M,,,13.00M,-98.00M,348.00M,,-110.00M,,-110.00M,5.00M,0.00,-6.00M,-111.00M,,-677.00M,-1.00M,-678.00M,0.00,0.00,0.00,0.00,0.00,-128.00M,-23.00M,-151.00M,21.00M,9.00M,-799.00M,,1.397B,-562.00M,835.00M,,0.00,550.00M,-1.227B,0.00,8.00M,91.00M,,AOR,Restated
2013-09,167.00M,-21.00M,,-2.00M,,,27.00M,4.00M,,120.00M,24.00M,2.00M,12.00M,-58.00M,20.00M,36.00M,-3.00M,77.00M,,,-58.00M,72.00M,343.00M,,-69.00M,,-69.00M,-1.58B,0.00,2.00M,-1.647B,,331.00M,1.00M,332.00M,116.00M,0.00,116.00M,0.00,0.00,-128.00M,0.00,-128.00M,9.00M,10.00M,339.00M,,2.362B,-965.00M,1.397B,,116.00M,494.00M,-163.00M,0.00,0.00,109.00M,,AOR,Restated
2013-06,198.00M,-14.00M,,4.00M,,,28.00M,18.00M,,111.00M,23.00M,3.00M,10.00M,-50.00M,67.00M,32.00M,-10.00M,34.00M,,,-62.00M,61.00M,374.00M,,-47.00M,,-47.00M,8.00M,22.00M,-12.00M,-29.00M,,-21.00M,4.00M,-17.00M,781.00M,,781.00M,669.00M,669.00M,-109.00M,0.00,-109.00M,51.00M,3.00M,1.378B,,639.00M,1.723B,2.362B,,1.45B,0.00,-21.00M,,0.00,55.00M,,AOR,Restated
2013-03,144.00M,-7.00M,,4.00M,,,24.00M,21.00M,,112.00M,26.00M,,12.00M,-34.00M,-135.00M,-68.00M,-14.00M,-66.00M,,,-59.00M,-342.00M,-61.00M,,-35.00M,,-35.00M,6.00M,,-13.00M,-42.00M,,-156.00M,3.00M,-153.00M,,,,,,-93.00M,,-93.00M,81.00M,9.00M,-156.00M,,898.00M,-259.00M,639.00M,,,,-156.00M,,0.00,111.00M,,AOR,Restated
2012-12,142.00M,-30.00M,,2.00M,,,20.00M,-8.00M,,118.00M,40.00M,5.00M,9.00M,-46.00M,2.00M,-20.00M,-5.00M,-5.00M,,,20.00M,-8.00M,252.00M,,-59.00M,,-59.00M,44.00M,110.00M,-6.00M,89.00M,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,-92.00M,,-92.00M,39.00M,2.00M,-51.00M,,608.00M,290.00M,898.00M,,0.00,0.00,0.00,,0.00,61.00M,,AOR,Restated
2012-09,117.00M,-22.00M,,-10.00M,,,19.00M,-13.00M,,112.00M,62.00M,7.00M,10.00M,-8.00M,-101.00M,-22.00M,-9.00M,14.00M,,,-47.00M,-165.00M,122.00M,,-75.00M,,-75.00M,12.00M,-97.00M,-6.00M,-166.00M,,-181.00M,-12.00M,-193.00M,0.00,,0.00,0.00,0.00,-81.00M,,-81.00M,66.00M,-1.00M,-209.00M,,861.00M,-253.00M,608.00M,,0.00,0.00,-181.00M,,0.00,122.00M,,AOR,Restated
2012-06,84.00M,-10.00M,,9.00M,,,-30.00M,-31.00M,,113.00M,13.00M,4.00M,8.00M,-34.00M,0.00,28.00M,10.00M,65.00M,,,7.00M,110.00M,267.00M,,-68.00M,,-68.00M,18.00M,0.00,-8.00M,-58.00M,,-4.00M,9.00M,5.00M,0.00,,0.00,0.00,0.00,-80.00M,,-80.00M,2.00M,-3.00M,-76.00M,,728.00M,133.00M,861.00M,,0.00,,-4.00M,,0.00,54.00M,,AOR,Restated
2012-03,41.00M,-7.00M,,-7.00M,,,-28.00M,-42.00M,,113.00M,-6.00M,8.00M,10.00M,-18.00M,-7.00M,-40.00M,-8.00M,-56.00M,,,-55.00M,-166.00M,-60.00M,,-54.00M,,-54.00M,6.00M,,-9.00M,-57.00M,,-2.00M,-29.00M,-31.00M,,,,,,-81.00M,,-81.00M,5.00M,-1.00M,-108.00M,,953.00M,-225.00M,728.00M,,,,-2.00M,,,114.00M,,AOR,Restated
2011-12,331.00M,,,-5.00M,,,85.00M,71.00M,,117.00M,51.00M,19.00M,6.00M,-405.00M,-37.00M,-6.00M,13.00M,-59.00M,,,46.00M,-43.00M,147.00M,,-53.00M,-353.00M,-406.00M,,,-22.00M,-66.00M,,-33.00M,28.00M,-5.00M,,-13.00M,-13.00M,,,,,-81.00M,1.00M,-1.00M,-99.00M,,971.00M,-18.00M,953.00M,,,,-33.00M,-13.00M,7.00M,58.00M,,AOR,Restated
2011-09,-109.00M,,,19.00M,,,-10.00M,-42.00M,,120.00M,-103.00M,34.00M,2.00M,252.00M,43.00M,-9.00M,0.00,-51.00M,,,-20.00M,-37.00M,117.00M,,-66.00M,157.00M,91.00M,,,-1.00M,90.00M,,0.00,-8.00M,-8.00M,,-24.00M,-24.00M,,,,,-81.00M,0.00,-4.00M,-117.00M,,881.00M,90.00M,971.00M,,,,0.00,-24.00M,6.00M,115.00M,,AOR,Restated
2011-06,109.00M,,,-1.00M,,,1.00M,-20.00M,,120.00M,-13.00M,2.00M,3.00M,-80.00M,-17.00M,35.00M,-4.00M,15.00M,,,-36.00M,-7.00M,114.00M,,-46.00M,3.00M,-43.00M,,,-10.00M,-53.00M,,-548.00M,1.00M,-547.00M,,,,,,,,-80.00M,3.00M,-19.00M,-643.00M,,1.463B,-582.00M,881.00M,,,,-548.00M,,13.00M,91.00M,,AOR,Restated
2011-03,,,,-7.00M,,,5.00M,-158.00M,,123.00M,39.00M,1.00M,14.00M,89.00M,-79.00M,-66.00M,-10.00M,-38.00M,,,-2.00M,-195.00M,-87.00M,,-47.00M,193.00M,146.00M,,,5.00M,151.00M,,-2.00M,-19.00M,-21.00M,,,,,,,,-81.00M,34.00M,,-68.00M,,1.467B,-4.00M,1.463B,,,,-2.00M,,2.00M,156.00M,,AOR,Restated
2010-12,171.00M,,,-4.00M,,,204.00M,154.00M,,127.00M,-1.257B,112.00M,8.00M,726.00M,98.00M,2.00M,4.00M,19.00M,,,61.00M,184.00M,225.00M,,-53.00M,,-53.00M,,148.00M,-359.00M,-51.00M,,-65.00M,16.00M,-49.00M,,0.00,0.00,,,,,-27.00M,0.00,1.00M,-75.00M,,1.368B,99.00M,1.467B,,,,-65.00M,0.00,-444.00M,57.00M,,AOR,Restated
2010-09,1.116B,,,-4.00M,,-3.00M,-76.00M,-93.00M,,124.00M,-90.00M,2.00M,4.00M,-905.00M,-18.00M,-7.00M,-1.00M,-19.00M,,,-16.00M,-61.00M,97.00M,,-43.00M,-130.00M,-173.00M,,0.00,174.00M,1.00M,,-2.00M,-15.00M,-17.00M,,0.00,0.00,,,,,-560.00M,0.00,1.00M,-576.00M,,1.846B,-478.00M,1.368B,,,,-2.00M,0.00,-1.00M,133.00M,,AOR,Restated
2010-06,14.00M,,,10.00M,,0.00,-16.00M,-16.00M,,126.00M,56.00M,1.00M,6.00M,14.00M,-45.00M,40.00M,6.00M,-6.00M,,,-7.00M,-12.00M,189.00M,,-39.00M,15.00M,-24.00M,,0.00,88.00M,64.00M,,-548.00M,-8.00M,-556.00M,,,,,,,,-10.00M,0.00,-1.00M,-567.00M,,2.16B,-314.00M,1.846B,,,,-548.00M,,1.00M,120.00M,,AOR,Restated
2010-03,-18.00M,,,-10.00M,,3.00M,-133.00M,-223.00M,,126.00M,34.00M,2.00M,6.00M,-72.00M,481.00M,-65.00M,-13.00M,-47.00M,,,-33.00M,323.00M,178.00M,,-59.00M,115.00M,56.00M,,47.00M,47.00M,150.00M,,-17.00M,-7.00M,-24.00M,,,,,,,,-11.00M,0.00,-2.00M,-37.00M,,1.869B,291.00M,2.16B,,,,-17.00M,,444.00M,153.00M,,AOR,Restated
2009-12,-181.00M,,194.00M,-7.00M,,1.00M,-91.00M,-72.00M,,134.00M,86.00M,211.00M,8.00M,68.00M,-272.00M,4.00M,8.00M,-5.00M,,,125.00M,-140.00M,114.00M,,-52.00M,-350.00M,-402.00M,,56.00M,409.00M,63.00M,,59.00M,16.00M,75.00M,,2.00M,2.00M,,,,,-11.00M,,-2.00M,64.00M,,1.628B,241.00M,1.869B,,,491.00M,-416.00M,2.00M,-5.00M,51.00M,,AOR,Restated
2009-09,-5.00M,,-171.00M,-17.00M,,12.00M,32.00M,-164.00M,,149.00M,-22.00M,82.00M,7.00M,-27.00M,54.00M,36.00M,4.00M,-90.00M,,,10.00M,14.00M,34.00M,,-69.00M,350.00M,281.00M,,11.00M,-18.00M,274.00M,,-369.00M,-46.00M,-415.00M,,0.00,0.00,,,,,-10.00M,0.00,-1.00M,-426.00M,,1.746B,-118.00M,1.628B,,,34.00M,-449.00M,0.00,-16.00M,168.00M,,AOR,Restated
2009-06,-116.00M,,-23.00M,-21.00M,,-11.00M,-7.00M,-62.00M,,129.00M,-9.00M,79.00M,5.00M,-19.00M,-72.00M,174.00M,10.00M,1.00M,,,6.00M,119.00M,126.00M,,-40.00M,,-40.00M,-8.00M,33.00M,43.00M,28.00M,,-52.00M,42.00M,-10.00M,,0.00,0.00,,,,,-53.00M,0.00,-1.00M,-64.00M,,1.656B,90.00M,1.746B,,,-34.00M,24.00M,0.00,10.00M,52.00M,,AOR,Restated
2009-03,-266.00M,,0.00,4.00M,,-5.00M,-15.00M,4.00M,,126.00M,11.00M,86.00M,6.00M,-37.00M,-146.00M,37.00M,1.00M,-255.00M,,,-3.00M,-366.00M,-436.00M,,-78.00M,,-78.00M,8.00M,46.00M,-78.00M,-102.00M,,-1.00M,-42.00M,-43.00M,,-2.00M,-2.00M,,,,,-53.00M,0.00,-2.00M,-100.00M,,2.294B,-638.00M,1.656B,,,,-43.00M,-2.00M,53.00M,161.00M,,AOR,Restated
2008-12,-1.214B,,,27.00M,,-10.00M,-63.00M,-247.00M,,143.00M,-168.00M,1.347B,1.00M,99.00M,91.00M,80.00M,3.00M,-1.295B,,,,-1.121B,-1.16B,,-130.00M,,-130.00M,,555.00M,-189.00M,236.00M,,-773.00M,28.00M,-745.00M,,0.00,0.00,,,,,-127.00M,0.00,-12.00M,-884.00M,,4.102B,-1.808B,2.294B,,,0.00,-745.00M,0.00,1.161B,66.00M,,AOR,Restated
2008-09,275.00M,,20.00M,13.00M,,-23.00M,-63.00M,-1.468B,,152.00M,-702.00M,306.00M,13.00M,-214.00M,197.00M,58.00M,23.00M,1.147B,,,166.00M,1.591B,-47.00M,,-129.00M,,-129.00M,,-680.00M,6.368B,5.559B,,-92.00M,-1.271B,-1.363B,,0.00,0.00,,,,,-127.00M,1.00M,-10.00M,-1.499B,,89.00M,4.013B,4.102B,,,-830.00M,-533.00M,0.00,-15.00M,175.00M,,,Restated
2008-06,-303.00M,,-20.00M,-3.00M,,-3.00M,-58.00M,-176.00M,,153.00M,-125.00M,418.00M,7.00M,217.00M,-133.00M,121.00M,30.00M,147.00M,,,-166.00M,-1.00M,190.00M,,-180.00M,,-180.00M,-29.00M,-47.00M,76.00M,-180.00M,,-103.00M,257.00M,154.00M,,0.00,0.00,,,,,-126.00M,2.00M,-23.00M,7.00M,,72.00M,17.00M,89.00M,,,257.00M,-103.00M,0.00,2.00M,51.00M,,,Restated
2008-03,,,,11.00M,,4.00M,-16.00M,-10.00M,,211.00M,-10.00M,93.00M,26.00M,-200.00M,-107.00M,-37.00M,9.00M,-257.00M,,,,-392.00M,-282.00M,,-169.00M,,-169.00M,29.00M,-20.00M,4.00M,-156.00M,,-4.00M,534.00M,530.00M,,0.00,0.00,,,,,-127.00M,1.00M,-8.00M,396.00M,,114.00M,-42.00M,72.00M,,,573.00M,-43.00M,0.00,26.00M,165.00M,,,Restated
2007-12,-98.00M,,,,,,,4.00M,221.00M,221.00M,-78.00M,,,159.00M,92.00M,194.00M,39.00M,-69.00M,,,83.00M,339.00M,547.00M,,-402.00M,44.00M,-358.00M,93.00M,154.00M,-1.00M,-112.00M,,,,-267.00M,2.00M,-10.00M,-8.00M,,,,,-127.00M,,1.00M,-401.00M,,80.00M,34.00M,114.00M,,2.00M,,,-10.00M,,,,,
