,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.358B,1.358B,739.20M,618.80M,354.70M,0.30M,2.50M,0.30M,-2.20M,,354.70M,264.10M,0.30M,2.50M,-2.20M,0.30M,-2.20M,262.20M,66.10M,196.10M,196.10M,195.88M,306.70M,42.00M,264.70M,,0.34,,,0.3396,0.34,,0.34,,,0.3396,0.34,,574.10M,576.30M,0.25,,AOR,
2020-09,1.413B,1.413B,772.70M,640.60M,351.50M,1.00M,2.60M,0.10M,-2.50M,,351.50M,289.10M,0.10M,2.60M,-2.50M,1.00M,-2.50M,287.60M,66.10M,221.50M,221.50M,220.73M,331.30M,41.10M,290.20M,,0.39,,,0.3887,0.39,,0.38,,,0.3787,0.38,,573.90M,576.10M,0.25,,AOR,
2020-06,1.509B,1.509B,837.40M,671.60M,355.30M,-0.30M,2.40M,0.10M,-2.30M,,355.30M,316.30M,0.10M,2.40M,-2.30M,-0.30M,-2.30M,313.70M,74.80M,238.90M,238.90M,239.13M,356.80M,40.70M,316.10M,,0.42,,,0.4204,0.42,,0.42,,,0.4204,0.42,,573.20M,575.00M,0.25,,AOR,
2020-03,1.367B,1.367B,730.20M,636.80M,365.90M,0.40M,2.20M,0.10M,-2.10M,,365.90M,270.90M,0.10M,2.20M,-2.10M,0.40M,-2.10M,269.20M,66.60M,202.60M,202.60M,202.30M,310.00M,38.60M,271.40M,,0.35,,,0.3495,0.35,,0.35,,,0.3495,0.35,,573.90M,575.30M,0.25,,AOR,
2019-12,1.277B,1.277B,678.50M,598.40M,359.90M,0.40M,2.60M,0.10M,-2.50M,,359.90M,238.50M,0.10M,2.60M,-2.50M,0.40M,-2.50M,236.40M,57.70M,178.70M,178.70M,178.40M,276.90M,37.90M,239.00M,,0.31,,,0.3095,0.31,,0.31,,,0.3095,0.31,,574.10M,575.60M,0.22,,AOR,Restated
2019-09,1.379B,1.379B,728.00M,651.10M,369.20M,0.00,3.60M,0.10M,-3.50M,,369.20M,281.90M,0.10M,3.60M,-3.50M,0.00,-3.50M,278.40M,64.90M,213.50M,213.50M,213.50M,319.30M,37.30M,282.00M,,0.37,,,0.37,0.37,,0.37,,,0.37,0.37,,573.50M,574.40M,0.22,,AOR,Restated
2019-06,1.368B,1.368B,727.20M,641.20M,366.70M,0.50M,3.70M,0.10M,-3.60M,,366.70M,274.50M,0.10M,3.70M,-3.60M,0.50M,-3.60M,271.40M,66.80M,204.60M,204.60M,204.22M,312.20M,37.10M,275.10M,,0.36,,,0.3593,0.36,,0.36,,,0.3593,0.36,,573.20M,574.60M,0.215,,AOR,Restated
2019-03,1.309B,1.309B,684.60M,624.70M,363.60M,0.30M,4.00M,0.10M,-3.90M,,363.60M,261.10M,0.10M,4.00M,-3.90M,0.30M,-3.90M,257.50M,63.40M,194.10M,194.10M,193.87M,297.90M,36.40M,261.50M,,0.34,,,0.3396,0.34,,0.34,,,0.3396,0.34,,572.20M,573.00M,0.215,,AOR,Restated
2018-12,1.232B,1.232B,643.80M,587.80M,354.40M,0.00,3.70M,0.10M,-3.60M,,354.40M,233.40M,0.10M,3.70M,-3.60M,0.00,-3.60M,229.80M,61.00M,168.80M,168.80M,168.80M,269.40M,35.90M,233.50M,,0.295,,,0.295,0.295,,0.295,,,0.295,0.295,,572.10M,572.50M,0.20,,AOR,Restated
2018-09,1.280B,1.280B,664.00M,615.80M,353.80M,0.30M,3.00M,0.10M,-2.90M,,353.80M,262.00M,0.10M,3.00M,-2.90M,0.30M,-2.90M,259.40M,61.80M,197.60M,197.60M,197.37M,297.20M,34.80M,262.40M,,0.34,,,0.3396,0.34,,0.34,,,0.3396,0.34,,574.00M,574.50M,0.20,,AOR,Restated
2018-06,1.268B,1.268B,650.20M,617.70M,349.30M,0.60M,3.20M,0.10M,-3.10M,,349.30M,268.40M,0.10M,3.20M,-3.10M,0.60M,-3.10M,265.90M,54.70M,211.20M,211.20M,210.72M,303.20M,34.10M,269.10M,,0.37,,,0.3692,0.37,,0.37,,,0.3692,0.37,,574.30M,574.50M,0.185,,AOR,Restated
2018-03,1.186B,1.186B,608.20M,577.60M,342.70M,-0.40M,2.70M,0.10M,-2.60M,,342.70M,234.90M,0.10M,2.70M,-2.60M,-0.40M,-2.60M,231.90M,57.60M,174.30M,174.30M,174.60M,268.00M,33.40M,234.60M,,0.305,,,0.3055,0.305,,0.305,,,0.3055,0.305,,575.20M,575.80M,0.185,,AOR,Restated
2017-12,1.088B,1.088B,557.30M,531.20M,327.80M,-0.10M,2.60M,0.10M,-2.50M,,327.80M,203.40M,0.10M,2.60M,-2.50M,-0.10M,-2.50M,200.80M,48.40M,152.40M,152.40M,152.48M,235.70M,32.30M,203.40M,,0.265,,,0.2651,0.265,,0.265,,,0.2651,0.265,,574.60M,575.20M,0.16,,AOR,Restated
2017-09,1.133B,1.133B,576.90M,555.90M,327.50M,0.10M,2.60M,0.10M,-2.50M,,327.50M,228.40M,0.10M,2.60M,-2.50M,0.10M,-2.50M,226.00M,82.90M,143.10M,143.10M,143.04M,261.10M,32.50M,228.60M,,0.25,,,0.2499,0.25,,0.25,,,0.2499,0.25,,575.00M,575.20M,0.16,,AOR,Restated
2017-06,1.122B,1.122B,563.00M,558.50M,321.60M,0.60M,2.20M,0.10M,-2.10M,,321.60M,236.90M,0.10M,2.20M,-2.10M,0.60M,-2.10M,235.40M,86.50M,148.90M,148.90M,148.52M,269.50M,31.90M,237.60M,,0.26,,,0.2593,0.26,,0.26,,,0.2593,0.26,,577.40M,577.60M,0.16,,AOR,Restated
2017-03,1.048B,1.048B,529.70M,518.00M,305.90M,0.40M,1.70M,0.10M,-1.60M,,305.90M,212.10M,0.10M,1.70M,-1.60M,0.40M,-1.60M,210.90M,76.70M,134.20M,134.20M,133.95M,243.30M,30.70M,212.60M,,0.23,,,0.2296,0.23,,0.23,,,0.2296,0.23,,578.48M,578.91M,0.16,,AOR,Restated
2016-12,947.90M,947.90M,476.00M,471.90M,289.60M,0.20M,1.80M,0.10M,-1.70M,,289.60M,182.30M,0.10M,1.80M,-1.70M,0.20M,-1.70M,180.80M,66.00M,114.80M,114.80M,114.67M,211.70M,29.10M,182.60M,,0.20,,,0.1998,0.20,,0.20,,,0.1998,0.20,,577.75M,578.78M,0.15,,AOR,Restated
2016-09,1.013B,1.013B,513.30M,499.80M,297.10M,0.20M,1.80M,0.10M,-1.70M,,297.10M,202.70M,0.10M,1.80M,-1.70M,0.20M,-1.70M,201.20M,74.30M,126.90M,126.90M,126.77M,229.70M,26.70M,203.00M,,0.22,,,0.2198,0.22,,0.22,,,0.2198,0.22,,577.99M,578.30M,0.15,,AOR,Restated
2016-06,1.014B,1.014B,512.70M,501.60M,292.60M,0.20M,1.50M,0.10M,-1.40M,,292.60M,209.00M,0.10M,1.50M,-1.40M,0.20M,-1.40M,207.80M,76.30M,131.50M,131.50M,131.37M,234.10M,24.80M,209.30M,,0.23,,,0.2298,0.23,,0.225,,,0.2248,0.225,,577.84M,578.24M,0.15,,AOR,Restated
2016-03,986.70M,986.70M,495.20M,491.50M,290.20M,-0.10M,1.40M,0.10M,-1.30M,,290.20M,201.30M,0.10M,1.40M,-1.30M,-0.10M,-1.30M,199.90M,73.70M,126.20M,126.20M,126.26M,224.70M,23.40M,201.30M,,0.22,,,0.2201,0.22,,0.22,,,0.2201,0.22,,577.62M,578.25M,0.15,,AOR,Restated
2015-12,922.81M,922.81M,462.27M,460.54M,282.09M,0.741M,1.004M,0.101M,-0.903M,,282.09M,178.45M,0.101M,1.004M,-0.903M,0.741M,-0.903M,178.28M,66.34M,111.94M,111.94M,111.48M,204.99M,25.70M,179.29M,,0.195,,,0.1942,0.195,,0.195,,,0.1942,0.195,,579.12M,580.04M,0.14,,AOR,Restated
2015-09,995.25M,995.25M,493.02M,502.22M,282.38M,0.162M,0.942M,0.137M,-0.805M,,282.38M,219.85M,0.137M,0.942M,-0.805M,0.162M,-0.805M,219.20M,82.71M,136.49M,136.49M,136.39M,241.48M,21.34M,220.15M,,0.235,,,0.2348,0.235,,0.235,,,0.2348,0.235,,579.84M,580.95M,0.14,,AOR,Restated
