,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,4.986B,2.972B,1.814B,1.158B,658.40M,129.80M,,-18.90M,117.30M,-117.30M,,788.20M,370.30M,117.30M,-117.30M,-11.40M,-117.30M,241.60M,55.90M,185.70M,,,185.70M,193.46M,791.20M,432.30M,358.90M,,0.36,,0.3750,0.36,,0.36,,0.3750,0.36,,516.90M,517.70M,0.00,,AOR,
2020-06,4.458B,2.731B,1.706B,1.026B,719.40M,156.30M,,-15.80M,116.20M,-116.20M,,875.70M,150.00M,116.20M,-116.20M,-13.80M,-116.20M,20.00M,-19.40M,39.40M,,,39.40M,53.71M,551.90M,415.70M,136.20M,,0.08,,0.1077,0.08,,0.08,,0.1077,0.08,,516.90M,517.20M,0.00,,AOR,
2020-03,4.424B,2.619B,1.713B,906.10M,605.40M,114.20M,,-1.80M,119.90M,-119.90M,,719.60M,186.50M,119.90M,-119.90M,-35.90M,-119.90M,30.70M,9.90M,20.80M,,,20.80M,31.23M,565.60M,415.00M,150.60M,,0.04,,0.0602,0.04,,0.04,,0.0602,0.04,,516.40M,517.00M,0.00,,AOR,
2019-12,-2.471B,3.192B,2.104B,1.087B,654.40M,151.80M,,-8.90M,126.00M,-126.00M,,806.20M,281.20M,126.00M,-126.00M,-20.00M,-126.00M,135.20M,114.70M,20.50M,,,20.50M,23.35M,808.90M,547.70M,261.20M,,0.04,,0.0455,0.04,,0.04,,0.0455,0.04,,516.30M,519.50M,0.00,,AOR,
2019-09,5.052B,2.962B,1.889B,1.072B,632.70M,167.90M,,51.90M,128.90M,-128.90M,,800.60M,271.80M,128.90M,-128.90M,42.90M,-128.90M,185.80M,-4.00M,189.80M,,,189.80M,151.62M,784.40M,469.70M,314.70M,,0.37,,0.2960,0.37,,0.37,,0.2960,0.37,,516.00M,516.20M,0.00,,AOR,Restated
2019-06,4.631B,2.852B,1.919B,932.60M,668.60M,147.60M,,-20.90M,131.20M,-131.20M,,816.20M,116.40M,131.20M,-131.20M,-37.30M,-131.20M,-52.10M,116.40M,-168.50M,,,-168.50M,-152.95M,580.50M,501.40M,79.10M,,-0.33,,-0.2998,-0.33,,-0.33,,-0.2998,-0.33,,515.50M,515.50M,0.00,,AOR,Restated
2019-03,4.158B,2.496B,1.690B,805.20M,607.90M,172.60M,,-0.70M,131.20M,-131.20M,,780.50M,24.70M,131.20M,-131.20M,-8.00M,-131.20M,-114.50M,-89.50M,-25.00M,,,-25.00M,-27.70M,517.20M,500.50M,16.70M,,-0.05,,-0.0552,-0.05,,-0.05,,-0.0552,-0.05,,515.00M,515.00M,0.00,,AOR,Restated
2018-12,-3.150B,3.079B,2.063B,1.016B,632.90M,148.80M,,-1.10M,135.20M,-135.20M,,781.70M,233.90M,135.20M,-135.20M,-21.70M,-135.20M,77.00M,25.80M,51.20M,,,51.20M,49.27M,821.10M,608.90M,212.20M,,0.10,,0.0963,0.10,,0.10,,0.0963,0.10,,514.80M,516.50M,0.00,,AOR,Restated
2018-09,4.861B,2.862B,1.823B,1.039B,577.30M,144.10M,,20.40M,136.20M,-136.20M,,721.40M,317.80M,136.20M,-136.20M,10.60M,-136.20M,192.20M,15.50M,176.70M,,,176.70M,159.42M,829.00M,500.60M,328.40M,,0.34,,0.3064,0.34,,0.34,,0.3065,0.34,,514.50M,516.50M,0.00,,AOR,Restated
2018-06,4.825B,2.808B,1.846B,962.50M,623.30M,206.70M,,46.40M,139.20M,-139.20M,,830.00M,132.50M,139.20M,-139.20M,25.40M,-139.20M,18.70M,-18.80M,37.50M,,,37.50M,2.168M,659.80M,501.90M,157.90M,,0.07,,0.0013,0.07,,0.07,,0.0016,0.07,,514.40M,516.30M,0.00,,AOR,Restated
2018-03,2.650B,2.684B,1.700B,984.30M,607.50M,204.90M,,-16.20M,131.70M,-131.70M,,812.40M,171.90M,131.70M,-131.70M,-29.70M,-131.70M,10.50M,-76.60M,87.10M,,,87.10M,87.54M,640.70M,498.50M,142.20M,,0.17,,0.1709,0.17,,0.17,,0.1708,0.17,,514.40M,516.80M,0.00,,AOR,Restated
2017-12,3.190B,3.239B,1.944B,1.295B,660.30M,202.40M,,-12.70M,128.30M,-128.30M,,862.70M,431.90M,128.30M,-128.30M,23.50M,-128.30M,327.10M,82.80M,244.30M,,,244.30M,242.51M,981.40M,526.00M,455.40M,,0.46,,0.4566,0.46,,0.46,,0.4567,0.46,,533.30M,535.80M,0.00,,AOR,Restated
2017-09,2.956B,2.987B,1.809B,1.178B,664.10M,182.30M,,-15.20M,131.80M,-131.80M,,846.40M,331.70M,131.80M,-131.80M,-20.30M,-131.80M,179.60M,91.30M,88.30M,,,88.30M,88.48M,754.50M,443.10M,311.40M,,0.17,,0.1703,0.17,,0.16,,0.1603,0.16,,535.20M,537.00M,0.00,,AOR,Restated
2017-06,2.926B,2.962B,1.737B,1.225B,620.50M,181.10M,,50.00M,136.30M,-136.30M,,801.60M,423.80M,136.30M,-136.30M,37.20M,-136.30M,324.70M,27.70M,297.00M,,,297.00M,244.13M,882.20M,421.20M,461.00M,,0.56,,0.4612,0.56,,0.55,,0.4515,0.55,,535.00M,537.00M,0.00,,AOR,Restated
2017-03,2.687B,2.720B,1.634B,1.085B,630.80M,217.50M,,-9.00M,138.20M,-138.20M,,848.30M,236.70M,138.20M,-138.20M,-26.90M,-138.20M,71.60M,5.20M,66.40M,,,66.40M,65.19M,625.30M,415.50M,209.80M,,0.12,,0.1177,0.12,,0.12,,0.1178,0.12,,534.50M,536.90M,0.00,,AOR,Restated
2016-12,3.222B,3.268B,1.933B,1.335B,710.90M,194.60M,1.60M,-117.70M,149.80M,-137.50M,,905.50M,429.50M,149.80M,-137.50M,-67.10M,-137.50M,224.90M,-192.60M,417.50M,,,417.50M,438.86M,851.30M,476.60M,374.70M,,0.78,,0.8200,0.78,,0.78,,0.8198,0.78,,534.30M,536.40M,0.00,,AOR,Restated
2016-09,3.030B,3.057B,1.774B,1.283B,656.90M,199.10M,,-558.00M,144.40M,-144.40M,,856.00M,427.30M,144.40M,-144.40M,-608.20M,-144.40M,-325.30M,-205.50M,-119.80M,,,-119.80M,231.68M,265.00M,445.90M,-180.90M,,-0.23,,0.4413,-0.23,,-0.23,,0.4413,-0.23,,523.60M,523.60M,0.00,,AOR,Restated
2016-06,2.540B,2.561B,1.389B,1.172B,581.40M,179.50M,30.20M,-30.10M,90.30M,-90.30M,,760.90M,410.80M,90.30M,-90.30M,-117.40M,-90.30M,203.10M,34.70M,168.40M,,,168.40M,249.64M,596.80M,303.40M,293.40M,,0.33,,0.4911,0.33,,0.33,,0.4894,0.33,,504.40M,509.70M,0.00,,AOR,Restated
2016-03,2.176B,2.191B,1.284B,907.00M,549.30M,253.60M,,1.50M,70.30M,-70.30M,,802.90M,104.10M,70.30M,-70.30M,-14.80M,-70.30M,19.00M,5.10M,13.90M,,,13.90M,2.408M,386.40M,297.10M,89.30M,,0.03,,0.0065,0.03,,0.03,,0.0074,0.03,,489.80M,509.60M,0.00,,AOR,Restated
2015-12,2.475B,2.491B,1.428B,1.063B,596.20M,159.00M,43.30M,73.20M,70.90M,-67.90M,,755.20M,307.40M,70.90M,-67.90M,-21.20M,-67.90M,218.30M,23.70M,194.60M,0.00,,194.60M,178.82M,629.90M,340.70M,289.20M,,0.40,,0.3678,0.40,,0.38,,0.3491,0.38,,490.20M,510.00M,0.00,,AOR,Restated
2015-09,2.676B,2.695B,1.380B,1.315B,537.10M,174.80M,1.40M,-3.70M,95.10M,-134.50M,,711.90M,603.40M,95.10M,-134.50M,-13.80M,-134.50M,455.10M,26.50M,428.60M,,,428.60M,415.89M,807.90M,257.70M,550.20M,,0.87,,0.8441,0.87,,0.83,,0.8053,0.83,,490.50M,514.00M,0.00,,AOR,Restated
2015-06,2.357B,2.372B,1.364B,1.008B,564.20M,168.20M,,0.90M,93.90M,-93.90M,,732.40M,275.70M,93.90M,-93.90M,-1.10M,-93.90M,180.70M,12.80M,167.90M,-0.10M,,167.80M,166.96M,533.30M,258.70M,274.60M,,0.34,,0.3383,0.34,,0.32,,0.3184,0.32,,490.10M,521.90M,0.00,,AOR,Restated
2015-03,1.855B,1.872B,1.042B,830.10M,483.20M,169.90M,,-17.70M,79.50M,-79.50M,,653.10M,177.00M,79.50M,-79.50M,-36.20M,-79.50M,61.30M,4.70M,56.60M,,,56.60M,72.94M,315.80M,175.00M,140.80M,,0.14,,0.1791,0.14,,0.13,,0.1668,0.13,,418.00M,443.80M,0.00,,AOR,Restated
2014-12,2.058B,2.083B,1.114B,969.00M,425.60M,150.20M,,79.30M,82.00M,-82.00M,,655.80M,313.20M,82.00M,-82.00M,41.20M,-82.00M,272.40M,81.90M,190.50M,-1.30M,,189.20M,133.74M,522.90M,168.50M,354.40M,,0.51,,0.3620,0.51,,0.47,,0.3316,0.47,,374.60M,400.70M,0.00,,AOR,Restated
2014-09,2.069B,2.084B,1.072B,1.012B,418.30M,158.20M,,-20.90M,83.90M,-83.90M,-80.00M,496.50M,515.90M,83.90M,-83.90M,-19.40M,-83.90M,412.60M,-86.80M,499.40M,-0.30M,,499.10M,515.61M,630.20M,133.70M,496.50M,,1.33,,1.374,1.33,,1.26,,1.302,1.26,,374.10M,397.30M,0.00,,AOR,Restated
2014-06,1.816B,1.837B,1.028B,808.80M,404.10M,155.40M,,-23.20M,84.60M,-84.60M,,559.50M,249.30M,84.60M,-84.60M,-26.90M,-84.60M,137.80M,11.20M,126.60M,-1.40M,,125.20M,146.52M,351.60M,129.20M,222.40M,,0.34,,0.3970,0.34,,0.32,,0.3737,0.32,,373.80M,397.40M,0.00,,AOR,Restated
2014-03,1.703B,1.716B,977.80M,737.80M,377.70M,118.00M,,-3.10M,82.70M,-82.70M,,495.70M,242.10M,82.70M,-82.70M,-7.70M,-82.70M,151.70M,35.10M,116.60M,-0.70M,,115.90M,118.28M,369.60M,135.20M,234.40M,,0.31,,0.3164,0.31,,0.29,,0.2960,0.29,,372.30M,396.70M,0.00,,AOR,Restated
2013-12,1.794B,1.808B,1.013B,795.90M,380.00M,155.90M,,13.20M,79.60M,-79.60M,0.00,535.90M,260.00M,79.60M,-79.60M,12.70M,-79.60M,193.10M,12.20M,180.90M,-0.70M,,180.20M,167.83M,414.80M,142.10M,272.70M,,0.48,,0.4472,0.48,,0.45,,0.4188,0.45,,376.70M,396.30M,0.00,,AOR,Restated
2013-09,1.756B,1.767B,958.90M,808.50M,349.80M,114.00M,,10.10M,73.90M,-73.90M,15.00M,478.80M,329.70M,73.90M,-73.90M,-60.50M,-73.90M,195.30M,35.90M,159.40M,-0.50M,,158.90M,150.66M,396.10M,126.90M,269.20M,,0.42,,0.3984,0.42,,0.40,,0.3792,0.40,,382.10M,395.50M,0.00,,AOR,Restated
2013-06,1.687B,1.702B,959.30M,742.40M,315.40M,111.40M,,-6.90M,81.80M,-81.80M,,426.80M,315.60M,81.80M,-81.80M,-14.10M,-81.80M,219.70M,41.00M,178.70M,-1.00M,,177.70M,183.31M,419.60M,118.10M,301.50M,,0.47,,0.4847,0.47,,0.46,,0.4745,0.46,,381.20M,387.10M,0.00,,AOR,Restated
2013-03,1.619B,1.632B,938.00M,693.50M,351.40M,126.50M,,-1.80M,78.00M,-78.00M,,477.90M,215.60M,78.00M,-78.00M,1.60M,-78.00M,139.20M,31.70M,107.50M,-0.60M,,106.90M,108.29M,346.10M,128.90M,217.20M,,0.27,,0.2735,0.27,,0.27,,0.2735,0.27,,393.20M,399.00M,0.00,,AOR,Restated
2012-12,1.709B,1.723B,980.53M,742.31M,354.60M,117.73M,,1.017M,74.57M,-74.57M,,480.63M,261.68M,74.57M,-74.57M,3.913M,-74.57M,191.02M,28.75M,162.27M,-0.258M,,162.01M,161.15M,394.38M,128.78M,265.60M,,0.40,,0.3979,0.40,,0.39,,0.3879,0.39,,406.80M,412.48M,0.00,,AOR,Restated
2012-09,1.790B,1.802B,1.009B,793.12M,342.23M,108.25M,,-7.95M,76.05M,-76.05M,,450.48M,342.64M,76.05M,-76.05M,-1.741M,-76.05M,264.85M,52.76M,212.09M,-0.829M,,211.26M,217.62M,512.07M,171.17M,340.90M,,0.52,,0.5357,0.52,,0.51,,0.5255,0.51,,406.47M,411.56M,0.00,,AOR,Restated
2012-06,1.678B,1.688B,985.18M,702.64M,359.01M,94.36M,,12.21M,75.67M,-75.67M,,453.37M,249.26M,75.67M,-75.67M,16.42M,-75.67M,190.02M,50.84M,139.17M,-0.622M,,138.55M,129.61M,388.66M,122.98M,265.68M,,0.33,,0.3087,0.33,,0.33,,0.3089,0.33,,420.28M,424.39M,0.00,,AOR,Restated
2012-03,1.573B,1.584B,913.43M,670.23M,336.56M,80.96M,,-2.173M,82.41M,-82.41M,,417.52M,252.71M,82.41M,-82.41M,-11.99M,-82.41M,158.31M,28.84M,129.47M,-0.391M,,129.08M,130.86M,364.39M,123.67M,240.72M,,0.30,,0.3042,0.30,,0.30,,0.3041,0.30,,427.25M,432.36M,0.00,,AOR,Restated
2011-12,1.508B,1.531B,886.64M,644.60M,301.03M,76.08M,,-42.64M,81.11M,-81.11M,,377.10M,267.50M,81.11M,-81.11M,-57.51M,-81.11M,128.88M,-1.018M,129.89M,-0.403M,,129.49M,157.21M,334.22M,124.24M,209.98M,,0.31,,0.3750,0.31,,0.30,,0.3645,0.30,,426.56M,429.69M,0.00,,AOR,Restated
