,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,3.989B,4.066B,2.141B,1.926B,45.20M,337.70M,291.30M,,-291.30M,,982.30M,943.20M,,291.30M,-291.30M,80.40M,-291.30M,732.30M,-1.20M,748.20M,,,0.40M,,748.60M,715.60M,1.690B,666.20M,1.024B,1.51,,,,1.444,1.51,1.5,,,,1.4340000000000002,1.5,496.18M,497.46M,0.7
2020-06,3.422B,3.494B,1.774B,1.720B,35.10M,317.50M,294.00M,,-294.00M,,997.00M,722.70M,,294.00M,-294.00M,79.20M,-294.00M,507.90M,12.60M,514.50M,,,6.30M,,520.80M,486.57M,1.504B,701.70M,801.90M,1.05,,,,0.9809,1.05,1.05,,,,0.9812,1.05,495.66M,497.34M,0.7
2020-03,3.677B,3.748B,2.003B,1.745B,31.40M,321.10M,292.10M,,-292.10M,,993.30M,751.60M,,292.10M,-292.10M,56.70M,-292.10M,516.20M,46.50M,499.30M,,,-4.10M,,495.20M,466.63M,1.504B,695.60M,808.30M,1.0,,,,0.9422,1.0,1.0,,,,0.9425,1.0,494.60M,496.61M,0.7
2019-12,3.546B,3.616B,2.222B,1.394B,-110.30M,301.80M,290.90M,,-290.90M,,942.70M,451.10M,,290.90M,-290.90M,-72.10M,-290.90M,88.10M,-43.60M,152.70M,,,0.80M,,153.50M,234.02M,1.174B,794.90M,379.00M,0.31,,,,0.473,0.31,0.31,,,,0.4724,0.31,494.04M,495.91M,0.7
2019-09,4.247B,4.315B,2.391B,1.924B,43.00M,320.50M,275.10M,,-275.10M,,965.70M,958.20M,,275.10M,-275.10M,76.20M,-275.10M,759.30M,40.60M,733.90M,,,-0.40M,,733.50M,692.80M,1.705B,670.70M,1.034B,1.49,,,,1.4080000000000001,1.49,1.48,,,,1.3980000000000001,1.48,493.84M,495.46M,0.67
2019-06,3.501B,3.574B,2.098B,1.476B,50.40M,302.30M,250.70M,,-250.70M,,924.90M,551.00M,,250.70M,-250.70M,87.00M,-250.70M,387.30M,-54.40M,459.10M,,,2.20M,,461.30M,424.51M,1.282B,643.60M,638.00M,0.93,,,,0.8555,0.93,0.93,,,,0.8557,0.93,493.58M,495.38M,0.67
2019-03,3.992B,4.057B,2.353B,1.704B,28.90M,309.90M,255.80M,,-255.80M,,915.70M,788.40M,,255.80M,-255.80M,67.50M,-255.80M,600.10M,44.50M,574.10M,,,-1.30M,,572.80M,546.04M,1.487B,630.90M,855.90M,1.16,,,,1.1059999999999999,1.16,1.16,,,,1.1059999999999999,1.16,493.31M,494.48M,0.67
2018-12,3.745B,3.801B,2.309B,1.492B,-30.50M,279.70M,251.30M,,-251.30M,,870.80M,621.70M,,251.30M,-251.30M,-1.60M,-251.30M,368.80M,21.80M,364.80M,,,-1.40M,,363.40M,392.10M,1.242B,622.30M,620.10M,0.73,,,,0.7882,0.73,0.73,,,,0.788,0.73,493.15M,494.45M,0.67
2018-09,4.278B,4.333B,2.768B,1.565B,30.90M,294.20M,256.80M,,-256.80M,,896.80M,668.60M,,256.80M,-256.80M,69.10M,-256.80M,480.90M,-80.70M,579.70M,,,-2.10M,,577.60M,555.04M,1.372B,633.80M,737.70M,1.17,,,,1.124,1.17,1.17,,,,1.124,1.17,492.98M,493.94M,0.62
2018-06,3.904B,4.013B,2.420B,1.593B,30.80M,283.20M,242.30M,,-242.30M,,836.40M,757.00M,,242.30M,-242.30M,68.90M,-242.30M,583.60M,72.20M,530.10M,,,-1.70M,,528.40M,501.41M,1.403B,577.20M,825.90M,1.07,,,,1.015,1.07,1.07,,,,1.015,1.07,492.69M,493.51M,0.62
2018-03,4.000B,4.048B,2.517B,1.531B,30.70M,285.60M,234.00M,,-234.00M,,825.30M,706.00M,,234.00M,-234.00M,68.20M,-234.00M,540.20M,102.00M,456.70M,,,-2.30M,,454.40M,429.50M,1.341B,567.10M,774.20M,0.92,,,,0.8694,0.92,0.92,,,,0.8695,0.92,492.27M,493.13M,0.62
2017-12,3.747B,3.810B,2.214B,1.597B,-69.80M,267.40M,227.00M,,-239.70M,,778.70M,818.00M,,227.00M,-239.70M,-23.90M,-239.70M,554.40M,171.90M,401.80M,,,-1.10M,,400.70M,448.86M,1.317B,535.60M,781.40M,0.82,,,,0.9179,0.82,0.81,,,,0.9077,0.81,491.91M,493.16M,0.62
2017-09,4.045B,4.105B,2.338B,1.766B,35.00M,272.60M,223.30M,2.40M,-220.90M,,791.10M,975.10M,2.40M,223.30M,-220.90M,46.40M,-220.90M,800.60M,264.00M,556.70M,,,-12.00M,,544.70M,521.25M,1.576B,551.70M,1.024B,1.11,,,,1.062,1.11,1.1,,,,1.052,1.1,491.84M,492.99M,0.59
2017-06,3.509B,3.576B,2.098B,1.478B,26.60M,259.60M,222.90M,2.30M,-220.60M,,745.10M,733.40M,2.30M,222.90M,-220.60M,38.00M,-220.60M,550.80M,190.60M,376.20M,,,-1.20M,,375.00M,357.60M,1.296B,522.00M,773.70M,0.76,,,,0.7246,0.76,0.76,,,,0.7247,0.76,491.79M,492.64M,0.59
2017-03,3.895B,3.933B,2.332B,1.601B,253.60M,259.80M,221.80M,8.00M,-213.80M,,741.70M,859.20M,8.00M,221.80M,-213.80M,265.00M,-213.80M,910.40M,343.20M,594.20M,,,-2.00M,,592.20M,431.67M,1.649B,517.00M,1.132B,1.2,,,,0.8735,1.2,1.2,,,,0.8737,1.2,491.71M,492.03M,0.59
2016-12,3.743B,3.790B,2.592B,1.198B,28.50M,250.10M,210.00M,9.80M,-200.20M,,662.20M,535.60M,9.80M,210.00M,-200.20M,71.70M,-200.20M,407.10M,60.30M,375.20M,0.00,,-1.80M,,373.40M,349.12M,1.048B,431.00M,617.10M,0.76,0.0,,,0.7106,0.76,0.76,0.0,,,0.7106,0.76,491.71M,491.86M,0.59
2016-09,4.607B,4.652B,2.712B,1.941B,-2.238B,264.40M,225.30M,2.00M,-223.30M,,803.70M,1.137B,2.00M,225.30M,-223.30M,-2.238B,-223.30M,-1.324B,-534.50M,-764.20M,0.00,,-1.60M,,-765.80M,576.76M,-522.80M,575.80M,-1.099B,-1.56,0.0,,,1.17,-1.56,-1.56,0.0,,,1.17,-1.56,491.70M,491.81M,0.56
2016-06,3.840B,3.893B,2.264B,1.629B,35.10M,249.40M,224.90M,2.40M,-222.50M,,763.20M,866.20M,2.40M,224.90M,-222.50M,35.10M,-222.50M,678.80M,165.00M,506.40M,-2.50M,,-1.80M,,502.10M,478.03M,1.450B,546.50M,903.70M,1.03,-0.01,,,0.9759,1.02,1.03,-0.01,,,0.976,1.02,491.46M,491.64M,0.56
2016-03,4.009B,4.045B,2.401B,1.644B,35.60M,254.10M,217.00M,2.10M,-214.90M,,751.20M,892.90M,2.10M,217.00M,-214.90M,35.60M,-214.90M,713.60M,235.50M,503.10M,,,-1.90M,,501.20M,477.35M,1.468B,537.60M,930.60M,1.02,,,,0.9714,1.02,1.02,,,,0.9715,1.02,491.11M,491.33M,0.56
2015-12,3.580B,3.615B,2.427B,1.187B,40.60M,239.30M,215.80M,1.80M,-214.00M,,721.00M,466.40M,1.80M,215.80M,-214.00M,40.60M,-214.00M,293.00M,92.50M,205.20M,265.50M,,-1.10M,,469.60M,176.32M,1.034B,525.10M,508.80M,0.41,0.54,,,0.3534,0.95,0.41,0.54,,,0.3534,0.95,490.90M,491.07M,0.56
2015-09,4.401B,4.431B,2.688B,1.743B,34.40M,248.20M,220.20M,1.60M,-218.60M,,783.10M,960.20M,1.60M,220.20M,-218.60M,34.40M,-218.60M,776.00M,275.60M,511.80M,7.80M,,-1.30M,,518.30M,488.32M,1.567B,571.00M,996.20M,1.04,0.02,,,0.9948,1.06,1.04,0.02,,,0.9948,1.06,490.65M,490.80M,0.53
