,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,748.20M,,32.70M,-110.30M,-77.60M,666.20M,,666.20M,666.20M,305.80M,,-48.60M,,-45.20M,-58.20M,22.90M,-251.90M,7.20M,26.30M,-119.10M,-372.80M,,1.176B,-1.476B,,-1.476B,0.00,-19.40M,35.90M,-1.460B,1.272B,-679.60M,592.60M,25.50M,,25.50M,-351.10M,,-351.10M,-24.20M,242.80M,504.70M,-40.90M,,463.80M,25.50M,1.554B,-961.90M,,-3.10M,209.30M
2020-06,514.50M,,-43.70M,,-43.70M,701.70M,,701.70M,701.70M,265.50M,,12.90M,,-35.10M,-48.10M,-84.50M,-24.10M,13.50M,-142.10M,0.00,-285.30M,,1.130B,-1.489B,,-1.489B,0.00,-20.00M,27.00M,-1.482B,863.80M,-1.388B,-523.70M,54.90M,,54.90M,-340.90M,,-340.90M,-5.30M,-815.00M,1.671B,-1.166B,,504.70M,54.90M,691.10M,-1.215B,,3.10M,268.60M
2020-03,499.30M,,57.40M,,57.40M,695.60M,,695.60M,695.60M,-31.90M,,63.10M,,-31.40M,-32.60M,-35.80M,-205.00M,5.30M,-242.70M,-125.60M,-636.40M,,615.70M,-1.794B,,-1.794B,,2.90M,25.10M,-1.766B,1.103B,1.626B,2.729B,56.10M,,56.10M,-363.70M,,-363.70M,-32.70M,2.388B,432.60M,1.238B,,1.671B,56.10M,3.045B,-315.90M,,,212.60M
2019-12,152.70M,,12.40M,-24.60M,-12.20M,794.90M,,794.90M,794.90M,-449.20M,,147.90M,,-46.10M,122.80M,-131.60M,537.00M,10.50M,-14.80M,-187.60M,336.30M,,920.20M,-1.716B,,-1.716B,2.90M,-4.50M,-69.50M,-1.787B,820.70M,328.30M,1.149B,20.60M,,20.60M,-348.00M,,-348.00M,-12.10M,809.50M,489.80M,-57.20M,,432.60M,20.60M,1.372B,-223.50M,,-22.80M,-689.70M
2019-09,733.90M,,31.30M,0.00,31.30M,670.70M,,670.70M,670.70M,255.50M,,57.00M,,-37.90M,-40.50M,-2.00M,-149.80M,32.80M,-98.90M,101.20M,-157.20M,,1.549B,-1.407B,,-1.407B,-340.10M,-41.30M,26.20M,-1.763B,408.50M,233.00M,641.50M,12.40M,,12.40M,-333.90M,,-333.90M,-6.40M,313.60M,389.70M,100.10M,,489.80M,12.40M,951.70M,-310.20M,,3.10M,199.50M
2019-06,459.10M,,-138.40M,,-138.40M,643.60M,,643.60M,643.60M,160.90M,,4.20M,,-36.10M,108.00M,-88.20M,-12.90M,46.20M,-3.30M,-146.50M,-96.70M,,992.50M,-1.423B,,-1.423B,-581.20M,-17.50M,9.20M,-2.012B,965.20M,419.00M,1.384B,17.80M,,17.80M,-334.50M,,-334.50M,-21.20M,1.046B,363.10M,26.60M,,389.70M,17.80M,1.855B,-470.90M,,19.70M,321.30M
2019-03,574.10M,,65.50M,,65.50M,630.90M,,630.90M,630.90M,-58.80M,,32.50M,,-14.20M,57.50M,-26.40M,-229.60M,-18.80M,-219.70M,19.40M,-417.60M,,808.30M,-1.598B,,-1.598B,,-18.50M,33.50M,-1.583B,1.051B,-52.00M,998.70M,14.50M,,14.50M,-333.60M,,-333.60M,13.90M,693.50M,444.10M,-81.00M,,363.10M,14.50M,1.286B,-286.90M,,,168.90M
2018-12,364.80M,,29.00M,,-13.80M,622.30M,,622.30M,622.30M,-302.60M,,49.70M,,-25.10M,198.20M,-78.00M,482.30M,-1.20M,48.70M,-54.70M,595.30M,,1.291B,-1.642B,,-1.642B,0.00,-17.50M,-4.90M,-1.665B,535.50M,-332.60M,202.90M,11.10M,,11.10M,-333.00M,,-333.00M,-0.10M,-119.10M,937.50M,-493.40M,,444.10M,11.10M,1.041B,-838.20M,,-27.90M,-631.30M
2018-09,579.70M,,17.50M,,17.50M,633.80M,,633.80M,633.80M,78.20M,,198.30M,,-14.00M,157.60M,67.50M,-111.10M,-3.10M,213.40M,108.00M,432.30M,,1.926B,-1.467B,,-1.467B,0.00,-8.90M,26.00M,-1.450B,727.20M,-346.60M,380.60M,11.60M,,11.60M,-308.30M,,-308.30M,-9.70M,74.20M,387.30M,550.20M,,937.50M,11.60M,1.015B,-634.20M,,-5.90M,175.90M
2018-06,530.10M,,-112.20M,,-112.20M,577.20M,,577.20M,577.20M,246.00M,,73.50M,,-13.00M,-249.60M,2.70M,22.20M,54.90M,-49.10M,122.00M,-96.90M,,1.205B,-1.318B,,-1.318B,0.00,-14.10M,21.00M,-1.311B,555.70M,-69.60M,486.10M,18.70M,,18.70M,-308.10M,,-308.10M,-19.40M,177.30M,316.50M,70.80M,,387.30M,18.70M,1.506B,-1.020B,,33.80M,267.40M
2018-03,456.70M,,-0.70M,,-0.70M,567.10M,,567.10M,567.10M,23.60M,,-61.20M,,-12.70M,39.70M,28.50M,-203.60M,-40.10M,-63.20M,73.50M,-165.20M,,802.20M,-1.930B,,-1.930B,,-17.30M,19.10M,-1.928B,280.20M,1.020B,1.300B,32.20M,,32.20M,-306.10M,,-306.10M,3.00M,1.030B,412.60M,-96.10M,,316.50M,32.20M,1.861B,-560.80M,,,188.00M
2017-12,401.80M,12.40M,32.90M,27.80M,73.10M,535.60M,,535.60M,535.60M,-160.30M,,90.50M,,-13.90M,-172.80M,-40.60M,435.00M,37.50M,78.50M,-113.30M,224.30M,,1.146B,-1.948B,,-1.948B,,-11.20M,25.40M,-1.934B,433.90M,579.30M,1.013B,12.20M,,12.20M,-316.90M,,-316.90M,0.80M,709.30M,490.80M,-78.20M,,412.60M,12.20M,1.111B,-98.20M,,-6.80M,613.80M
2017-09,556.70M,-12.40M,28.50M,0.00,16.10M,551.70M,,551.70M,551.70M,485.30M,,60.30M,,-1.50M,-69.20M,68.00M,-157.80M,-52.90M,28.60M,-72.90M,-256.20M,,1.407B,-1.302B,,-1.302B,,-18.10M,-5.70M,-1.326B,1.148B,-792.40M,355.20M,0.00,,0.00,-290.10M,,-290.10M,0.10M,65.20M,344.30M,146.50M,,490.80M,0.00,1.554B,-1.199B,,6.80M,-1.056B
2017-06,376.20M,,-90.70M,-93.30M,-183.90M,522.00M,,522.00M,522.00M,455.20M,,1.40M,,-4.10M,34.70M,-22.90M,-179.40M,0.60M,0.40M,-1.90M,-168.50M,,910.20M,-1.180B,,-1.180B,,-11.00M,17.80M,-1.173B,293.40M,315.70M,609.10M,,,,-293.50M,,-293.50M,-7.90M,307.70M,299.40M,44.90M,,344.30M,,1.106B,-496.70M,,,236.40M
2017-03,594.20M,,6.00M,,-220.50M,517.00M,,517.00M,517.00M,91.80M,,19.30M,,9.00M,235.80M,13.40M,-63.90M,-45.90M,-289.30M,-54.10M,-204.00M,,806.80M,-1.370B,,-1.370B,,-18.10M,2.164B,776.20M,-1.176B,-177.00M,-1.353B,0.00,,0.00,-291.40M,,-291.40M,-42.70M,-1.687B,403.50M,-104.10M,,299.40M,0.00,82.90M,-1.436B,,,205.90M
2016-12,375.20M,,94.20M,21.60M,22.30M,431.00M,,431.00M,431.00M,-310.30M,,-34.10M,,-47.80M,14.20M,48.60M,552.90M,-17.30M,182.90M,-237.10M,544.20M,0.00,1.101B,-1.395B,,-1.395B,,-126.30M,11.30M,-1.618B,523.30M,234.70M,758.00M,0.00,,0.00,-291.20M,,-291.20M,-8.90M,457.90M,212.20M,-59.20M,,403.50M,0.00,1.27B,-512.00M,,-32.20M,-637.00M
2016-09,-764.20M,0.00,7.90M,0.00,7.90M,575.80M,,575.80M,575.80M,-442.30M,,2.242B,,15.80M,-74.80M,118.60M,-18.90M,5.20M,32.60M,-2.70M,60.00M,0.00,1.695B,-1.150B,,-1.150B,,21.20M,-0.60M,-1.129B,261.80M,-582.00M,-320.20M,3.30M,,3.30M,-276.70M,,-276.70M,-7.20M,-600.80M,246.80M,-34.60M,,212.20M,3.30M,1.494B,-554.40M,,6.00M,211.60M
2016-06,506.40M,,27.80M,-84.80M,-57.00M,546.50M,,546.50M,546.50M,387.80M,,-16.40M,,7.40M,-155.20M,-11.60M,-122.70M,4.70M,-31.10M,-132.90M,-448.80M,-2.50M,923.40M,-1.116B,,-1.116B,,-48.00M,2.60M,-1.161B,-269.50M,839.30M,569.80M,18.80M,,18.80M,-276.60M,,-276.60M,-17.60M,294.40M,190.40M,56.40M,,246.80M,18.80M,-202.70M,-487.80M,,18.90M,226.40M
2016-03,503.10M,,20.90M,,20.90M,537.60M,,537.60M,537.60M,295.80M,,10.60M,,-0.50M,-10.80M,-95.40M,-203.60M,21.60M,-212.90M,-66.50M,-567.60M,,799.90M,-1.249B,,-1.249B,,108.50M,2.20M,-1.138B,177.80M,421.00M,598.80M,12.10M,,12.10M,-276.50M,,-276.50M,18.00M,352.40M,176.40M,14.00M,,190.40M,12.10M,946.10M,-347.30M,,7.30M,199.00M
2015-12,205.20M,,34.80M,33.20M,68.00M,525.10M,,525.10M,525.10M,-19.90M,,44.50M,,13.40M,217.70M,-232.40M,218.30M,-37.20M,-51.90M,-112.80M,1.70M,59.70M,897.70M,-1.264B,,-1.264B,,-93.00M,38.10M,-777.90M,213.90M,18.00M,231.90M,13.70M,,13.70M,-275.60M,,-275.60M,15.60M,-129.80M,177.80M,-10.00M,,426.90M,13.70M,505.50M,-273.60M,,-115.60M,-639.10M
2015-09,511.80M,,58.80M,0.70M,59.50M,571.00M,,571.00M,571.00M,223.50M,,71.80M,,1.70M,16.50M,45.80M,43.70M,-9.70M,220.30M,-44.10M,272.50M,5.50M,1.717B,-1.102B,,-1.102B,,23.70M,24.70M,-1.056B,-102.00M,-323.00M,-425.00M,12.10M,,12.10M,-261.30M,,-261.30M,-1.00M,-679.20M,195.20M,-17.40M,,177.80M,12.10M,327.80M,-752.80M,,17.90M,208.50M
