,Cash,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,TotalDeposits,PensionLiability,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,,33.00B,33.00B,43.00B,,43.00B,,76.00B,,,,,,,68.00B,,68.00B,22.00B,,115.00B,191.00B,,,,,,,,2.00B,2.00B,2.00B,2.00B,43.00B,,43.00B,,,87.00B,,,130.00B,168.00B,,,,,,,,,,,23.00B,,AOR,
2020-09,2.105B,33.03B,33.03B,40.39B,,40.39B,,73.42B,12.30B,-7.47B,4.835B,,,,73.12B,6.058B,67.06B,22.44B,,113.84B,187.26B,,8.232B,,8.232B,,8.232B,,1.716B,1.716B,1.716B,9.948B,44.78B,,44.78B,,,85.46B,,,130.24B,165.39B,,161.00M,12.76B,11.82B,,76.00M,-600.00M,-2.348B,,-2.872B,21.87B,,AOR,
2020-06,2.043B,41.50B,41.50B,37.03B,,37.03B,,78.53B,11.96B,-7.131B,4.829B,,,,74.61B,6.051B,68.56B,19.94B,,110.08B,188.61B,,7.731B,,7.731B,,7.731B,,1.567B,1.567B,1.567B,9.298B,48.80B,,48.80B,,,84.80B,,,133.60B,167.55B,,161.00M,12.05B,11.76B,,85.00M,-608.00M,-2.388B,,-2.911B,21.06B,,AOR,
2020-03,2.286B,36.10B,36.10B,44.27B,,44.27B,,80.36B,11.60B,-6.799B,4.798B,,,,82.90B,5.477B,77.42B,5.032B,,105.70B,186.06B,,7.977B,,7.977B,,7.977B,,3.497B,3.497B,3.497B,11.47B,52.59B,,52.59B,,,77.96B,,,130.55B,165.05B,,161.00M,12.16B,11.68B,,90.00M,-575.00M,-2.511B,,-2.996B,21.01B,,AOR,
2019-12,3.402B,23.93B,23.93B,56.79B,,56.79B,,80.73B,11.40B,-6.562B,4.834B,3.315B,267.00M,3.582B,92.16B,2.535B,89.62B,8.406B,,117.60B,198.32B,,12.74B,1.122B,13.86B,1.79B,15.65B,3.001B,3.441B,6.442B,6.442B,22.09B,57.81B,25.00M,57.84B,,,73.29B,2.429B,,133.55B,175.25B,,163.00M,13.87B,11.77B,,33.00M,-581.00M,-2.189B,,-2.737B,23.07B,,AOR,
2019-09,3.169B,24.27B,24.27B,56.01B,2.846B,58.86B,,83.12B,11.40B,-6.681B,4.715B,,,,88.14B,2.372B,85.76B,8.445B,,111.06B,194.18B,,12.87B,,12.87B,,12.87B,,2.818B,2.818B,2.818B,15.68B,58.47B,,58.47B,,,75.16B,,,133.64B,171.16B,,165.00M,13.65B,11.87B,,38.00M,-479.00M,-2.22B,,-2.661B,23.02B,,AOR,Restated
2019-06,4.70B,26.87B,26.87B,58.09B,3.173B,61.26B,,88.13B,11.24B,-6.581B,4.658B,,,,87.42B,2.301B,85.12B,8.542B,,109.47B,197.60B,,16.52B,,16.52B,,16.52B,,2.827B,2.827B,2.827B,19.34B,57.74B,,57.74B,,,74.60B,,,132.34B,174.51B,,167.00M,13.55B,11.98B,,35.00M,-480.00M,-2.161B,,-2.606B,23.09B,,AOR,Restated
2019-03,4.026B,33.18B,33.18B,56.23B,3.128B,59.36B,,92.53B,10.79B,-6.315B,4.479B,,,,84.96B,2.121B,82.84B,6.457B,,104.66B,197.19B,,16.16B,,16.16B,,16.16B,,2.028B,2.028B,2.028B,18.19B,58.42B,,58.42B,,,75.08B,,,133.50B,174.98B,,168.00M,12.69B,11.96B,,,,,,-2.599B,22.22B,,AOR,Restated
2018-12,3.253B,27.44B,27.44B,55.32B,,55.32B,,82.76B,10.43B,-6.015B,4.416B,3.072B,275.00M,3.347B,85.65B,2.258B,83.40B,4.647B,,105.84B,188.60B,,12.26B,1.079B,13.33B,1.596B,14.93B,752.00M,2.348B,3.10B,3.10B,18.03B,58.40B,19.00M,58.42B,,,69.96B,2.164B,,130.55B,166.31B,,170.00M,12.50B,12.22B,,-8.00M,-456.00M,-2.133B,,-2.597B,22.29B,,AOR,Restated
2018-09,4.323B,30.23B,30.23B,54.97B,3.16B,58.13B,,88.36B,10.41B,-6.116B,4.295B,,,,81.03B,1.937B,79.10B,6.071B,,100.73B,189.09B,,15.60B,,15.60B,,15.60B,,2.292B,2.292B,2.292B,17.90B,55.30B,,55.30B,,,71.37B,,,126.67B,167.63B,,171.00M,11.52B,12.27B,,-29.00M,-429.00M,-2.046B,,-2.504B,21.46B,,AOR,Restated
