,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2006-01,3.542B,3.542B,2.098B,1.444B,,750.00M,,,,,,750.00M,694.00M,,,,,,721.00M,202.00M,519.00M,,0.00,,519.00M,519.00M,772.00M,78.00M,694.00M,,1.29,0.00,0.00,1.29,1.29,,1.26,0.00,0.0001,1.26,1.26,,395.63M,408.33M,0.15,,,
2005-10,1.892B,1.892B,1.286B,606.00M,,586.00M,-1.00M,,,,,586.00M,20.00M,,,,-1.00M,,-2.00M,-1.00M,-1.00M,,,,-1.00M,-0.40M,90.00M,70.00M,20.00M,,-0.0025,,,-0.0010,-0.0025,,-0.0025,,,-0.0010,-0.0025,,400.80M,400.80M,0.15,,,
2005-07,2.29B,2.29B,1.545B,745.00M,,592.00M,,,,,,592.00M,153.00M,,,,,,135.00M,53.00M,82.00M,,,,82.00M,82.00M,226.25M,73.25M,153.00M,,0.20,0.00,,0.20,0.20,,0.20,0.00,,0.20,0.20,,410.00M,410.00M,0.15,,,
2005-04,1.975B,1.975B,1.290B,684.65M,,566.12M,2.628M,,,,,566.12M,118.53M,,,,2.628M,,103.42M,37.00M,66.42M,,16.84M,,83.26M,64.73M,196.29M,77.75M,118.53M,,0.16,0.04,0.00,0.1559,0.20,,0.16,0.04,0.0405,0.1559,0.20,,416.32M,416.32M,0.15,,,
2005-01,3.328B,3.328B,2.030B,1.298B,,670.64M,4.158M,,,,,670.64M,627.54M,,,,4.158M,,617.07M,235.00M,382.07M,,,,382.07M,379.49M,733.32M,105.78M,627.54M,,0.83,0.00,,0.8240,0.83,,0.81,0.00,,0.8042,0.81,,431.12M,440.37M,0.12,,,
2004-10,1.891B,1.891B,1.279B,611.40M,,558.26M,53.31M,,,,,558.26M,53.14M,,,,53.31M,,100.34M,22.00M,78.34M,,,,78.34M,36.72M,127.68M,74.53M,53.14M,,0.17,0.00,,0.0816,0.17,,0.16,0.00,,0.0733,0.16,,470.77M,479.90M,0.12,,,
2004-07,2.211B,2.211B,1.413B,797.97M,,571.03M,18.60M,,,,,571.03M,226.94M,,,,18.60M,,241.95M,94.00M,147.95M,,,,147.95M,136.58M,304.05M,77.11M,226.94M,,0.31,0.00,,0.2862,0.31,,0.31,0.00,,0.2862,0.31,,477.26M,477.26M,0.12,,,
2004-04,1.978B,1.978B,1.303B,675.65M,,556.28M,40.93M,,,,,556.28M,119.37M,,,,40.93M,,156.64M,60.00M,96.64M,,,,96.64M,71.38M,194.95M,75.58M,119.37M,,0.19,0.00,,0.1403,0.19,,0.19,0.00,,0.1403,0.19,,508.62M,508.62M,0.12,,,
2004-01,3.231B,3.231B,1.890B,1.341B,,699.85M,-3.541M,,,,,699.85M,641.41M,,,,-3.541M,,634.84M,247.00M,387.84M,,,,387.84M,390.00M,700.67M,59.26M,641.41M,,0.75,0.00,,0.7542,0.75,,0.73,0.00,,0.7341,0.73,,518.29M,531.06M,0.10,,,
2003-10,1.847B,1.847B,1.251B,595.45M,,553.28M,133.42M,,,,,553.28M,42.17M,,,,133.42M,,200.67M,71.00M,129.67M,,,,129.67M,43.46M,126.73M,84.56M,42.17M,,0.25,0.00,,0.0833,0.25,,0.25,0.00,,0.0856,0.25,,517.08M,524.38M,0.10,,,
2003-07,2.014B,2.014B,1.312B,702.22M,,531.86M,0.91M,,,,,531.86M,170.37M,,,,0.91M,,167.96M,66.00M,101.96M,,,,101.96M,101.41M,237.54M,67.18M,170.37M,,0.20,0.00,,0.1989,0.20,,0.19,0.00,,0.1890,0.19,,509.80M,536.63M,0.10,,,
2003-04,1.842B,1.842B,1.23B,612.00M,,503.00M,71.00M,,,,,503.00M,109.00M,,,,71.00M,,163.00M,65.00M,97.00M,,,,97.00M,54.31M,186.00M,77.00M,109.00M,,0.19,0.00,,0.1064,0.19,,0.19,0.00,,0.1064,0.19,,510.53M,510.53M,0.10,,,
2003-01,2.966B,2.966B,1.731B,1.235B,,647.38M,3.418M,,,,0.192M,647.57M,587.64M,,,,3.418M,,592.48M,236.00M,356.48M,-3.357M,,0.063M,353.12M,354.42M,661.52M,73.88M,587.64M,,0.70,-0.01,,0.6961,0.69,,0.68,-0.01,,0.6761,0.67,,521.28M,532.82M,0.075,,,
2002-10,1.768B,1.768B,1.203B,564.16M,,546.81M,5.001M,,,,,546.81M,17.35M,,,,5.001M,,21.63M,8.00M,13.63M,2.141M,,,15.78M,10.48M,95.98M,78.63M,17.35M,,0.03,0.00,,0.0240,0.03,,0.03,0.00,,0.0241,0.03,,523.02M,531.21M,0.075,,,
2002-07,1.912B,1.912B,1.239B,672.97M,,534.30M,-2.135M,,,,,534.30M,138.67M,,,,-2.135M,,136.76M,55.00M,81.76M,1.486M,,,83.25M,83.04M,220.16M,81.49M,138.67M,,0.16,0.00,,0.1625,0.16,,0.15,0.00,,0.1524,0.15,,521.51M,536.84M,0.075,,,
2002-04,1.799B,1.799B,1.177B,622.00M,,494.00M,-35.00M,,,,34.00M,528.00M,94.00M,,,,-35.00M,,86.00M,42.00M,44.00M,6.00M,,-6.00M,50.00M,65.00M,170.00M,76.00M,94.00M,,0.10,0.01,,0.1443,0.11,,0.09,0.01,,0.1331,0.10,,474.00M,487.00M,0.075,,,
2002-01,2.198B,2.198B,1.111B,1.087B,,484.13M,-17.78M,,,,0.00,484.13M,602.77M,,,,-17.78M,,551.61M,238.00M,313.61M,,,-48.75M,326.61M,324.28M,668.16M,65.39M,602.77M,,0.74,0.00,,0.7624,0.74,,0.72,0.00,,0.7420,0.72,,475.32M,484.66M,0.075,,,
2001-10,1.906B,1.906B,1.340B,566.58M,,583.13M,172.63M,,,,-170.00M,413.13M,153.46M,,,,172.63M,,149.15M,59.00M,90.15M,,,1.736M,90.15M,-14.19M,214.37M,60.91M,153.46M,,0.21,0.00,,-0.0332,0.21,,0.21,0.00,,-0.0310,0.21,,429.00M,433.00M,0.075,,,
2001-07,2.192B,2.192B,1.500B,691.97M,,614.95M,69.25M,,,,,614.95M,77.02M,,,,69.25M,,126.55M,55.00M,71.55M,,,-11.30M,71.55M,30.00M,162.39M,85.38M,77.02M,,0.17,0.00,,0.0728,0.17,,0.16,0.00,,0.0647,0.16,,427.59M,435.83M,0.075,,,
2001-04,2.127B,2.127B,1.456B,670.55M,,607.79M,5.906M,,,,,607.79M,62.76M,,,,5.906M,,54.69M,24.00M,30.69M,,,-5.685M,30.69M,27.15M,128.08M,65.32M,62.76M,,0.07,0.00,,0.0619,0.07,,0.07,0.00,,0.0619,0.07,,438.44M,438.44M,0.075,,,
2001-01,2.539B,2.539B,1.734B,805.60M,,543.23M,-61.22M,,,,,358.30M,447.29M,,,,-61.22M,,386.25M,169.00M,217.25M,,,-35.33M,238.25M,253.98M,523.37M,76.07M,447.29M,,0.51,0.0466,,0.5810,0.51,,0.49,0.0446,,0.5570,0.49,,517.43M,548.42M,0.075,,,
2000-10,2.169B,2.169B,1.365B,804.18M,,637.96M,6.85M,,,,,702.06M,102.12M,,,,6.85M,,87.23M,38.00M,49.23M,,,-6.911M,49.23M,45.12M,166.22M,62.17M,102.12M,,0.12,0.00,,0.1103,0.12,,0.11,0.00,,0.1007,0.11,,425.58M,441.37M,0.075,,,
2000-07,2.289B,2.289B,1.547B,742.42M,,585.34M,11.06M,,,,,585.34M,157.07M,,,,11.06M,,139.57M,62.00M,77.57M,,,-15.90M,77.57M,70.93M,225.17M,68.10M,157.07M,,0.18,0.00,,0.1645,0.18,,0.17,0.00,,0.1551,0.17,,428.62M,446.23M,0.075,,,
2000-04,2.125B,2.125B,1.427B,698.05M,,571.00M,9.77M,,,,,571.00M,127.05M,,,,9.77M,,111.95M,49.00M,62.95M,,,-10.86M,62.95M,57.09M,191.71M,64.66M,127.05M,,0.15,0.00,,0.1364,0.15,,0.14,0.00,,0.1268,0.14,,430.48M,445.31M,0.075,,,
2000-01,3.329B,3.329B,2.014B,1.315B,,638.10M,40.60M,,,,,701.80M,613.40M,,,,40.60M,,587.30M,253.00M,334.30M,,,-46.00M,334.30M,309.94M,677.10M,63.70M,613.40M,,0.69,,,0.6473,0.69,,0.66,,,0.6176,0.66,,570.94M,575.02M,0.075,,,
1999-10,2.064B,2.064B,1.322B,742.10M,,585.10M,20.70M,,,,,649.60M,92.50M,,,,20.70M,,86.70M,46.00M,40.70M,,,-6.00M,40.70M,28.28M,157.00M,64.50M,92.50M,,0.10,0.00,,0.0695,0.10,,0.09,0.00,,0.0625,0.09,,407.00M,452.22M,0.075,,,
1999-07,2.268B,2.268B,1.466B,802.10M,,602.10M,-0.60M,,,,,670.50M,131.60M,,,,-0.60M,,97.40M,45.00M,52.40M,,,-13.60M,52.40M,52.76M,200.00M,68.40M,131.60M,,0.12,0.00,,0.1208,0.12,,0.11,0.00,,0.1108,0.11,,460.45M,460.45M,0.075,,,
1999-04,2.105B,2.105B,1.369B,735.60M,,590.80M,15.30M,,,,,666.20M,69.40M,,,,15.30M,,60.50M,27.00M,33.50M,,,-7.40M,33.50M,24.32M,144.80M,75.40M,69.40M,,0.08,0.00,,0.0581,0.08,,0.07,0.00,,0.0508,0.07,,418.75M,478.57M,0.075,,,
1999-01,3.274B,3.274B,2.080B,1.194B,,651.90M,15.60M,,,,,723.80M,470.10M,,,,15.60M,,429.30M,186.00M,243.30M,,,-36.90M,243.30M,233.94M,542.00M,71.90M,470.10M,,0.58,,,0.5593,0.58,,0.56,,,0.5399,0.56,,452.11M,465.68M,0.065,,,
1998-10,2.000B,2.000B,1.313B,686.50M,,535.80M,12.60M,,,,,605.50M,81.00M,,,,12.60M,,70.40M,31.00M,39.40M,,,-6.10M,39.40M,31.84M,150.70M,69.70M,81.00M,,0.09,0.00,,0.0727,0.09,,0.09,0.00,,0.0727,0.09,,437.78M,437.78M,0.065,,,
1998-07,2.083B,2.083B,1.399B,684.40M,,538.30M,1.667B,,,,,608.00M,76.40M,,,,1.667B,,1.714B,30.00M,1.684B,,,-12.60M,1.684B,46.47M,146.10M,69.70M,76.40M,,3.57,0.00,,0.0985,3.57,,3.47,0.00,,0.0957,3.47,,471.79M,485.39M,0.065,,,
1998-04,2.008B,2.008B,1.347B,661.40M,,530.30M,104.80M,,,,,605.00M,56.40M,,,,104.80M,,137.50M,58.00M,79.50M,,,-7.90M,79.50M,16.62M,131.10M,74.70M,56.40M,,0.15,0.00,,0.0314,0.15,,0.14,0.00,,0.0293,0.14,,530.00M,567.86M,0.065,,,
1998-01,3.268B,3.268B,2.025B,1.244B,,680.90M,-261.00M,,,,,767.60M,475.90M,,,,-261.00M,,164.30M,79.00M,85.30M,,,-32.60M,85.30M,241.90M,562.60M,86.70M,475.90M,,0.15,0.00,,0.4207,0.15,,0.15,0.00,,0.4207,0.15,,578.49M,578.49M,0.06,,,
1997-10,2.071B,2.071B,1.373B,697.90M,,525.80M,69.00M,,,,,602.70M,95.20M,,,,69.00M,,138.70M,59.00M,79.70M,,,-7.60M,79.70M,38.30M,172.10M,76.90M,95.20M,,0.15,0.00,,0.0721,0.15,,0.15,0.00,,0.0721,0.15,,531.33M,531.33M,0.06,,,
1997-07,2.020B,2.020B,1.407B,613.20M,,466.20M,6.80M,,,,,540.50M,72.70M,,,,6.80M,,52.60M,25.00M,27.60M,,,-10.60M,27.60M,23.52M,147.00M,74.30M,72.70M,,0.05,0.00,,0.0426,0.05,,0.05,0.00,,0.0426,0.05,,552.00M,552.00M,0.06,,,
1997-04,1.830B,1.830B,1.253B,576.90M,,451.80M,17.40M,,,,,527.20M,49.70M,,,,17.40M,,44.90M,20.00M,24.90M,,,-5.60M,24.90M,14.46M,125.10M,75.40M,49.70M,,0.05,0.00,,0.0290,0.05,,0.05,0.00,,0.0290,0.05,,498.00M,498.00M,0.06,,,
1997-01,2.966B,2.966B,1.913B,1.053B,,555.40M,-0.80M,,,,,628.90M,424.40M,,,,-0.80M,,375.40M,162.00M,213.40M,,,-28.60M,213.40M,213.88M,497.90M,73.50M,424.40M,,0.38,0.00,,0.3808,0.38,,0.37,0.00,,0.3708,0.37,,570.67M,599.58M,0.05,,,
1996-10,1.995B,1.995B,1.368B,627.20M,,467.00M,125.40M,,,,,538.80M,88.40M,,,,125.40M,,188.50M,29.00M,159.50M,,,-4.60M,159.50M,53.39M,160.20M,71.80M,88.40M,,0.30,0.00,,0.1004,0.30,,0.30,0.00,,0.1004,0.30,,531.67M,531.67M,0.05,,,
1996-07,1.896B,1.896B,1.331B,564.40M,,410.40M,6.50M,,,,,482.90M,81.50M,,,,6.50M,,61.20M,28.00M,33.20M,,,-8.20M,33.20M,29.30M,154.00M,72.50M,81.50M,,0.06,0.00,,0.0530,0.06,,0.06,0.00,,0.0530,0.06,,553.33M,553.33M,0.05,,,
1996-04,1.788B,1.788B,1.247B,541.30M,,415.70M,17.10M,,,,,487.50M,53.80M,,,,17.10M,,50.20M,22.00M,28.20M,,,-4.30M,28.20M,17.94M,125.60M,71.80M,53.80M,,0.05,0.00,,0.0318,0.05,,0.05,0.00,,0.0318,0.05,,564.00M,564.00M,0.05,,,
1996-01,2.771B,2.771B,1.892B,879.20M,,464.30M,49.00M,,,,,535.30M,343.90M,,,,49.00M,,352.20M,136.00M,216.20M,,,,216.20M,186.12M,414.90M,71.00M,343.90M,,0.31,0.00,,0.2670,0.31,,0.30,0.00,,0.2582,0.30,,698.99M,720.25M,0.10,,,
1995-10,1.803B,1.803B,1.277B,526.50M,,361.60M,616.50M,,,,,435.10M,91.40M,,,,616.50M,,685.30M,28.00M,657.30M,,,,657.30M,65.99M,164.90M,73.50M,91.40M,,0.92,0.00,,0.0924,0.92,,0.92,0.00,,0.0924,0.92,,714.46M,714.46M,0.05,,,
1995-07,1.719B,1.719B,1.223B,495.60M,,326.90M,4.20M,,,,,398.80M,96.80M,,,,4.20M,,80.80M,32.00M,48.80M,,,,48.80M,46.26M,168.70M,71.90M,96.80M,,0.07,0.00,,0.0664,0.07,,0.07,0.00,,0.0664,0.07,,697.14M,697.14M,0.10,,,
1995-04,1.588B,1.588B,1.116B,472.10M,,322.60M,2.70M,,,,,392.10M,80.00M,,,,2.70M,,66.20M,27.00M,39.20M,,,,39.20M,37.58M,149.50M,69.50M,80.00M,,0.06,0.00,,0.0575,0.06,,0.06,0.00,,0.0575,0.06,,653.33M,653.33M,0.05,,,
1995-01,2.539B,2.539B,1.637B,901.90M,,391.50M,5.20M,,,,,461.90M,440.00M,,,,5.20M,,425.70M,169.00M,256.70M,,,,256.70M,253.56M,510.40M,70.40M,440.00M,,0.355,0.00,,0.3506,0.355,,0.355,0.00,,0.3506,0.355,,716.96M,717.39M,0.045,,,
1994-10,1.715B,1.715B,1.150B,564.90M,,329.80M,1.30M,,,,,399.30M,165.60M,,,,1.30M,,150.50M,60.00M,90.50M,,,,90.50M,89.72M,235.10M,69.50M,165.60M,,0.13,0.00,,0.1289,0.13,,0.13,0.00,,0.1289,0.13,,717.76M,717.76M,0.045,,,
1994-07,1.585B,1.585B,1.123B,462.60M,,300.40M,1.30M,,,,,360.30M,102.30M,,,,1.30M,,88.80M,35.00M,53.80M,,,,53.80M,53.01M,162.20M,59.90M,102.30M,,0.08,0.00,,0.0789,0.08,,0.08,0.00,,0.0789,0.08,,717.27M,717.27M,0.045,,,
1994-04,1.482B,1.482B,1.029B,452.90M,,293.70M,2.80M,,,,,361.70M,91.20M,,,,2.80M,,79.30M,32.00M,47.30M,,,,47.30M,45.62M,159.20M,68.00M,91.20M,,0.07,0.00,,0.0677,0.07,,0.07,0.00,,0.0677,0.07,,717.13M,717.13M,0.045,,,
1994-01,2.421B,2.421B,1.649B,771.80M,,365.10M,3.20M,,,,,433.60M,338.20M,,,,3.20M,,325.30M,129.00M,196.30M,,,,196.30M,194.37M,406.70M,68.50M,338.20M,,0.28,0.00,,0.2772,0.28,,0.27,0.00,,0.2674,0.27,,680.30M,732.96M,0.045,,,
1993-10,1.617B,1.617B,1.106B,510.90M,,298.20M,3.70M,,,,,362.10M,148.80M,,,,3.70M,,136.20M,54.00M,82.20M,,,,82.20M,79.97M,212.70M,63.90M,148.80M,,0.12,0.00,,0.1167,0.12,,0.12,0.00,,0.1167,0.12,,685.00M,685.00M,0.045,,,
1993-07,1.689B,1.689B,1.191B,498.20M,,301.40M,1.30M,,,,,372.00M,126.20M,,,,1.30M,,111.20M,43.00M,68.20M,,,,68.20M,67.40M,196.80M,70.50M,126.20M,,0.10,0.00,,0.0988,0.10,,0.10,0.00,,0.0988,0.10,,682.00M,682.00M,0.045,,,
1993-04,1.519B,1.519B,1.069B,449.30M,,295.20M,1.70M,,,,,363.70M,85.60M,,,,1.70M,,72.20M,28.00M,44.20M,,,,44.20M,43.16M,154.10M,68.50M,85.60M,,0.06,0.00,,0.0586,0.06,,0.06,0.00,,0.0586,0.06,,736.67M,736.67M,0.045,,,
1993-01,2.428B,2.428B,1.581B,847.00M,,367.10M,0.70M,,,,,432.70M,414.30M,,,,0.70M,,399.90M,156.00M,243.90M,,,,243.90M,243.47M,479.90M,65.60M,414.30M,,0.34,0.00,,0.3394,0.34,,0.34,0.00,,0.3394,0.34,,703.10M,703.10M,0.035,,,
1992-10,1.611B,1.611B,1.104B,507.60M,,295.10M,2.10M,,,,,362.30M,145.30M,,,,2.10M,,130.00M,50.00M,80.00M,,,,80.00M,78.71M,212.50M,67.10M,145.30M,,0.11,0.00,,0.1082,0.11,,0.11,0.00,,0.1082,0.11,,727.27M,727.27M,0.035,,,
1992-07,1.489B,1.489B,1.026B,463.10M,,268.20M,4.10M,,,,,320.40M,142.70M,,,,4.10M,,131.10M,51.00M,80.10M,,,,80.10M,77.59M,194.90M,52.20M,142.70M,,0.11,0.00,,0.1066,0.11,,0.11,0.00,,0.1066,0.11,,728.18M,728.18M,0.035,,,
1992-04,1.416B,1.416B,995.50M,420.10M,,271.60M,12.20M,,,,,333.70M,86.40M,,,,12.20M,,84.50M,33.00M,51.50M,,,,51.50M,44.06M,148.50M,62.10M,86.40M,,0.07,0.00,,0.0599,0.07,,0.07,0.00,,0.0599,0.07,,735.71M,735.71M,0.035,,,
1992-01,2.056B,2.056B,1.333B,722.80M,,318.60M,1.10M,,,,,380.00M,342.80M,,,,1.10M,,328.30M,128.00M,200.30M,,,,200.30M,199.63M,404.20M,61.40M,342.80M,,0.28,0.00,,0.2790,0.28,,0.28,0.00,,0.2790,0.28,,705.71M,705.71M,0.035,,,
1991-10,1.433B,1.433B,978.30M,455.10M,,265.20M,1.90M,,,,,320.50M,134.60M,,,,1.90M,,118.90M,46.00M,72.90M,,,,72.90M,71.74M,189.90M,55.30M,134.60M,,0.10,0.00,,0.0984,0.10,,0.10,0.00,,0.0984,0.10,,729.00M,729.00M,0.035,,,
1991-07,1.375B,1.375B,931.30M,443.90M,,249.00M,4.90M,,,,,303.40M,140.50M,,,,4.90M,,129.20M,50.00M,79.20M,,,,79.20M,76.20M,194.90M,54.40M,140.50M,,0.11,0.00,,0.1058,0.11,,0.11,0.00,,0.1058,0.11,,720.00M,720.00M,0.035,,,
1991-04,1.284B,1.284B,890.20M,394.30M,,248.00M,3.70M,,,,,299.60M,94.70M,,,,3.70M,,83.90M,33.00M,50.90M,,,,50.90M,48.66M,146.30M,51.60M,94.70M,,0.07,0.00,,0.0669,0.07,,0.07,0.00,,0.0669,0.07,,727.14M,727.14M,0.035,,,
1991-01,1.744B,1.744B,1.120B,623.60M,,279.70M,3.30M,,,,,329.70M,293.90M,,,,3.30M,,282.10M,110.00M,172.10M,,,,172.10M,170.09M,343.90M,50.00M,293.90M,,0.25,0.00,,0.2469,0.25,,0.24,0.00,,0.2372,0.24,,655.71M,707.45M,0.03,,,
1990-10,1.248B,1.248B,821.40M,426.50M,,228.00M,4.20M,,,,,275.40M,151.10M,,,,4.20M,,138.90M,54.00M,84.90M,,,,84.90M,82.33M,198.50M,47.40M,151.10M,,0.12,0.00,,0.1164,0.12,,0.12,0.00,,0.1164,0.12,,707.50M,707.50M,0.03,,,
1990-07,1.155B,1.155B,758.10M,396.50M,,211.10M,2.60M,,,,,255.60M,140.90M,,,,2.60M,,130.00M,51.00M,79.00M,,,,79.00M,77.42M,185.40M,44.40M,140.90M,,0.11,0.00,,0.1078,0.11,,0.11,0.00,,0.1078,0.11,,718.18M,718.18M,0.03,,,
1990-04,1.107B,1.107B,739.00M,368.30M,,214.10M,2.50M,,,,,256.70M,111.60M,,,,2.50M,,102.30M,40.00M,62.30M,,,,62.30M,60.78M,154.20M,42.60M,111.60M,,0.09,0.00,,0.0878,0.09,,0.09,0.00,,0.0878,0.09,,692.22M,692.22M,0.03,,,
1990-01,1.582B,1.582B,1.018B,564.60M,,251.30M,0.40M,,,,,295.50M,269.10M,,,,0.40M,,256.10M,103.00M,153.10M,,,,153.10M,152.86M,313.30M,44.20M,269.10M,,0.22,0.00,,0.2196,0.22,,0.21,0.00,,0.2097,0.21,,678.50M,737.50M,0.02,,,
1989-10,1.110B,1.110B,723.00M,387.40M,,197.60M,2.80M,,,,,237.90M,149.50M,,,,2.80M,,138.90M,54.00M,84.90M,,,,84.90M,83.19M,189.80M,40.30M,149.50M,,0.12,0.00,,0.1176,0.12,,0.12,0.00,,0.1176,0.12,,707.50M,707.50M,0.02,,,
1989-07,990.30M,990.30M,,,,,,,,,,,990.30M,,,,,,,,63.80M,,,,63.80M,,990.30M,,990.30M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,717.82M,717.82M,0.02,,,
1989-04,964.60M,964.60M,,,,,,,,,,,964.60M,,,,,,,,45.20M,,,,45.20M,,964.60M,,964.60M,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,716.77M,716.77M,0.02,,,
1989-01,1.356B,1.356B,,,,,,,,,,,-2.247B,,,,,,,,120.10M,,,,120.10M,,-2.247B,,-2.247B,,,,,,,,,,,,,,716.77M,716.77M,0.015,,,
1988-10,1.011B,1.011B,,,,,,,,,,,1.011B,,,,,,,,70.40M,,,,70.40M,,1.011B,,1.011B,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,716.72M,716.72M,0.015,,,
1988-07,893.10M,893.10M,,,,,,,,,,,893.10M,,,,,,,,30.70M,,,,30.70M,,893.10M,,893.10M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,715.39M,715.39M,0.015,,,
1988-04,811.10M,811.10M,,,,,,,,,,,811.10M,,,,,,,,23.90M,,,,23.90M,,811.10M,,811.10M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,715.39M,715.39M,0.015,,,
1988-01,1.010B,1.010B,,,,,,,,,,,-2.109B,,,,,,,,63.30M,,,,63.30M,,-2.109B,,-2.109B,,,,,,,,,,,,,,715.39M,715.39M,0.015,,,
1987-10,891.70M,891.70M,,,,,,,,,,,891.70M,,,,,,,,69.30M,,,,69.30M,,891.70M,,891.70M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,755.90M,755.90M,0.015,,,
1987-07,822.10M,822.10M,,,,,,,,,,,822.10M,,,,,,,,57.20M,,,,57.20M,,822.10M,,822.10M,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,755.52M,755.52M,0.015,,,
1987-04,803.50M,803.50M,,,,,,,,,,,803.50M,,,,,,,,45.50M,,,,45.50M,,803.50M,,803.50M,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,754.60M,754.60M,0.015,,,
1987-01,982.10M,982.10M,,,,,,,,,,,-1.722B,,,,,,,,87.60M,,,,87.60M,,-1.722B,,-1.722B,,,,,,,,,,,,,,754.60M,754.60M,0.01,,,
1986-10,803.70M,803.70M,,,,,,,,,,,803.70M,,,,,,,,68.60M,,,,68.60M,,803.70M,,803.70M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,753.13M,753.13M,0.01,,,
1986-07,695.30M,695.30M,,,,,,,,,,,695.30M,,,,,,,,40.20M,,,,40.20M,,695.30M,,695.30M,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,720.12M,720.12M,0.0100,,,
1986-04,661.60M,661.60M,,,,,,,,,,,661.60M,,,,,,,,31.40M,,,,31.40M,,661.60M,,661.60M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,717.48M,717.48M,0.0100,,,
1986-01,787.20M,787.20M,,,,,,,,,,,-1.324B,,,,,,,,56.10M,,,,56.10M,,-1.324B,,-1.324B,,,,,,,,,,,,,,718.64M,718.64M,,,,
1985-10,613.30M,613.30M,,,,,,,,,,,613.30M,,,,,,,,42.10M,,,,42.10M,,613.30M,,613.30M,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,716.20M,716.20M,,,,
1985-07,525.40M,525.40M,,,,,,,,,,,525.40M,,,,,,,,25.70M,,,,25.70M,,525.40M,,525.40M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,716.20M,716.20M,,,,
1985-04,461.10M,461.10M,,,,,,,,,,,461.10M,,,,,,,,21.30M,,,,21.30M,,461.10M,,461.10M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,713.46M,713.46M,,,,
1985-01,433.70M,433.70M,,,,,,,,,,,-736.30M,,,,,,,,33.60M,,,,33.60M,,-736.30M,,-736.30M,,,,,,,,,,,,,,715.01M,715.01M,,,,
1984-10,348.60M,348.60M,,,,,,,,,,,348.60M,,,,,,,,28.40M,,,,28.40M,,348.60M,,348.60M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,712.91M,712.91M,,,,
1984-07,290.20M,290.20M,,,,,,,,,,,290.20M,,,,,,,,16.90M,,,,16.90M,,290.20M,,290.20M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,709.80M,709.80M,,,,
1984-04,270.60M,270.60M,,,,,,,,,,,270.60M,,,,,,,,13.60M,,,,13.60M,,270.60M,,270.60M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,709.80M,709.80M,,,,
