,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,1.315B,0.00,0.30M,,0.00,0.30M,,33.60M,33.60M,0.00,-1.580B,10.80M,,0.464M,-34.30M,-3.70M,24.80M,12.20M,,356.90M,355.90M,135.66M,,2020-09,-19.98M,0.018M,0.018M,0.00,0.234M,110.58M,90.85M,,2020-09,-0.183M,,-0.183M,,0.001M,0.001M,6.979M,-6.358M,0.439M,2020-09,612.13M,226.96M,6.012M,,2020-09,,,-0.183M,0.001M,,AOR,
2020-06,966.40M,-11.70M,-0.10M,,-0.20M,-12.00M,-33.60M,34.70M,34.70M,4.60M,-1.184B,8.80M,,-1.778M,22.50M,-66.10M,62.20M,-9.10M,,265.40M,274.90M,92.12M,,2020-06,-18.12M,-0.005M,-0.005M,0.00,-84.65M,14.20M,-88.57M,,2020-06,-0.182M,,-0.182M,,0.00,0.00,4.134M,-6.931M,-2.979M,2020-06,608.44M,0.57M,3.119M,,2020-06,,,-0.182M,0.00,,AOR,
2020-03,685.90M,,0.10M,,-0.40M,-0.30M,33.60M,33.60M,33.60M,0.00,-827.70M,9.70M,,-0.192M,2.20M,-13.70M,-4.70M,-9.50M,,187.50M,161.80M,62.81M,,2020-03,-21.69M,0.038M,0.038M,-0.10M,0.00,9.231M,-12.42M,,2020-03,-1.415M,,-1.415M,,-100.00M,-100.00M,4.068M,-1.265M,-98.62M,2020-03,662.65M,-48.23M,-5.977M,,2020-03,,,-1.415M,-100.00M,,AOR,
2019-12,553.50M,0.00,0.90M,,-1.30M,-0.40M,,34.40M,34.40M,4.20M,-646.00M,10.20M,,0.802M,-28.80M,38.70M,33.80M,13.90M,,145.50M,203.10M,159.80M,,2019-12,-21.60M,0.044M,0.044M,1.435M,75.81M,-116.89M,-61.20M,,2019-12,-0.156M,,-0.156M,,-8.00M,-8.00M,3.373M,0.00,-4.783M,2019-12,563.35M,93.82M,5.476M,,2019-12,,,-0.156M,-8.00M,,AOR,
2019-09,-258.80M,0.00,0.10M,,-0.20M,-0.10M,,33.70M,33.70M,0.00,390.60M,9.10M,,2.45M,15.80M,-6.50M,-13.00M,10.30M,,-83.80M,-77.20M,99.75M,,2019-09,-31.09M,-0.001M,-0.001M,0.00,-59.73M,-19.09M,-109.91M,,2019-09,-0.128M,,-0.128M,,-4.999M,-4.999M,5.828M,-5.192M,-4.491M,2019-09,583.37M,-14.65M,-5.366M,,2019-09,,,-0.128M,-4.999M,,AOR,Restated
2019-06,598.80M,0.00,-0.10M,,,-0.10M,-32.90M,33.20M,33.20M,0.00,-716.40M,7.80M,,6.402M,16.60M,3.60M,-48.80M,54.30M,,200.00M,225.70M,155.40M,,2019-06,-22.21M,0.012M,0.012M,-0.02M,0.00,7.151M,-15.07M,,2019-06,-0.122M,,-0.122M,,-15.00M,-15.00M,3.912M,-4.434M,-15.64M,2019-06,458.54M,124.69M,0.145M,,2019-06,,,-0.122M,-15.00M,,AOR,Restated
2019-03,865.20M,,0.30M,,,0.30M,32.90M,32.90M,32.90M,1.60M,-1.059B,8.50M,,-10.66M,-2.00M,-11.60M,34.40M,-16.70M,,200.20M,204.30M,42.94M,,2019-03,-23.63M,0.074M,0.074M,7.403M,-16.08M,9.522M,-22.71M,,2019-03,-0.237M,,-0.237M,,0.00,0.00,3.831M,-1.433M,2.161M,2019-03,434.16M,22.39M,1.982M,,2019-03,,,-0.237M,0.00,,AOR,Restated
2018-12,-828.50M,0.00,0.80M,,-2.60M,-1.80M,-103.60M,34.50M,34.50M,293.30M,814.10M,8.60M,,1.709M,-12.50M,13.40M,-1.30M,-6.40M,,-210.10M,-216.90M,105.01M,,2018-12,-53.87M,0.042M,0.042M,0.00,-0.266M,-0.713M,-54.81M,,2018-12,-1.366M,,-1.366M,,-48.91M,-48.91M,3.275M,0.00,-47.00M,2018-12,435.59M,3.195M,-4.62M,,2018-12,,,-1.366M,-48.91M,,AOR,Restated
2018-09,269.30M,0.00,0.40M,,0.40M,0.80M,34.90M,34.90M,34.90M,0.00,-318.00M,7.10M,,-2.723M,19.70M,-14.60M,-0.60M,-3.00M,,69.40M,70.90M,62.28M,,2018-09,-22.05M,0.173M,0.173M,0.00,0.045M,-7.673M,-29.51M,,2018-09,-0.09M,,-0.09M,,0.00,0.00,3.746M,-5.832M,-2.176M,2018-09,404.08M,30.59M,0.912M,,2018-09,,,-0.09M,0.00,,AOR,Restated
2018-06,268.00M,0.00,0.40M,,0.40M,0.80M,34.40M,34.40M,34.40M,0.00,-286.40M,6.20M,,1.162M,12.30M,5.20M,-28.70M,6.90M,,58.00M,53.70M,77.86M,,2018-06,-26.72M,4.082M,4.082M,-0.003M,0.266M,-61.48M,-83.84M,,2018-06,-1.418M,,-1.418M,,0.00,0.00,3.24M,-3.838M,-2.016M,2018-06,407.64M,-7.996M,4.436M,,2018-06,,,-1.418M,0.00,,AOR,Restated
2018-03,656.80M,-5.10M,-3.70M,,0.20M,-8.60M,34.30M,34.30M,34.30M,0.00,-815.90M,5.90M,,-1.454M,40.20M,-16.90M,-35.90M,-12.80M,,194.70M,169.30M,40.35M,,2018-03,-27.18M,0.018M,0.018M,,6.919M,1.434M,-18.82M,,2018-03,-0.087M,,-0.087M,,,,3.872M,-1.27M,2.515M,2018-03,384.98M,24.04M,-1.383M,,2018-03,,,-0.087M,,,AOR,Restated
2017-12,82.70M,0.00,1.30M,,-0.30M,1.00M,,42.70M,42.70M,,0.00,6.80M,,-1.235M,-41.70M,4.90M,29.10M,-17.30M,,-56.10M,-81.10M,69.36M,,2017-12,-26.07M,0.024M,0.024M,-0.005M,74.87M,-60.91M,-13.08M,,2017-12,-0.096M,,-0.096M,,0.00,0.00,10.98M,-7.31M,3.576M,2017-12,330.04M,59.86M,-4.917M,,2017-12,,,-0.096M,0.00,,AOR,Restated
2017-09,22.10M,0.00,6.80M,,-0.10M,6.70M,,35.30M,35.30M,,0.00,6.00M,,-3.025M,-20.60M,-14.70M,-6.30M,-3.60M,,6.60M,-38.60M,28.48M,,2017-09,-20.18M,0.041M,0.041M,0.13M,-1.301M,6.629M,-14.81M,,2017-09,-0.071M,,-0.071M,-3.778M,-2.037M,-5.815M,3.622M,-0.576M,-2.84M,2017-09,322.59M,10.82M,-3.367M,,2017-09,-3.778M,,-0.071M,-2.037M,,AOR,Restated
2017-06,5.00M,,0.10M,,0.40M,0.50M,,37.00M,37.00M,,,5.20M,,0.70M,-8.60M,-11.00M,25.50M,4.30M,,3.90M,14.10M,62.50M,,2017-06,-29.54M,0.006M,0.006M,-3.92M,-0.032M,-7.718M,-37.28M,,2017-06,-0.073M,,-0.073M,-0.112M,-0.883M,-0.995M,,0.00,-1.068M,2017-06,292.59M,24.15M,5.852M,,2017-06,-0.112M,,-0.073M,-0.883M,,AOR,Restated
2017-03,12.40M,0.00,-0.10M,,-0.10M,-0.20M,,33.70M,33.70M,,0.00,5.40M,,-9.403M,6.80M,-26.90M,-62.90M,-19.10M,,4.00M,-98.10M,-56.20M,,2017-03,-39.33M,0.015M,0.015M,0.00,-73.54M,2.466M,-110.39M,,2017-03,-0.112M,,-0.112M,3.89M,,3.89M,,-3.105M,0.673M,2017-03,457.17M,-165.92M,1.338M,,2017-03,3.89M,,-0.112M,,,AOR,Restated
