,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,,SharesData(Quarterly),AverageBasicSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2020-09,647.26M,647.26M,279.95M,367.31M,198.16M,59.55M,,,5.728M,,-5.728M,,257.71M,109.60M,,5.728M,-5.728M,1.581B,-5.728M,1.684B,369.64M,1.315B,,,1.315B,33.60M,1.690B,,2020-09,44.24,44.24,,2020-09,43.64,,,2020-09,29.72M,2020-09,AOR,
2020-06,536.88M,536.88M,243.89M,292.99M,189.26M,51.98M,4.60M,7.10M,5.74M,10.00M,4.26M,,241.25M,51.74M,10.00M,5.74M,4.26M,1.190B,4.26M,1.246B,279.52M,966.43M,,,966.43M,34.70M,1.252B,,2020-06,32.59,32.59,,2020-06,32.15,,,2020-06,29.65M,2020-06,AOR,
2020-03,571.64M,571.64M,254.28M,317.37M,193.69M,49.30M,,,5.69M,2.80M,-2.89M,,243.00M,74.37M,2.80M,5.69M,-2.89M,827.24M,-2.89M,898.70M,212.79M,685.91M,,,685.91M,33.60M,904.39M,,2020-03,22.97,22.97,,2020-03,22.72,,,2020-03,29.86M,2020-03,AOR,
2019-12,624.43M,624.43M,293.99M,330.44M,214.16M,57.07M,,,6.064M,,24.44M,,271.23M,59.20M,,6.064M,24.44M,615.80M,24.44M,699.43M,145.94M,553.49M,,,553.49M,34.40M,705.49M,,2019-12,18.50,18.50,,2019-12,18.31,,,2019-12,29.93M,2019-12,AOR,
2019-09,560.63M,560.63M,253.61M,307.03M,201.62M,47.94M,,,5.525M,,-5.525M,,249.57M,57.46M,,5.525M,-5.525M,-387.15M,-5.525M,-335.22M,-76.40M,-258.82M,,,-258.82M,33.70M,-329.69M,,2019-09,-8.68,-8.68,,2019-09,-8.68,,,2019-09,29.83M,2019-09,AOR,Restated
2019-06,572.62M,572.62M,264.85M,307.77M,201.26M,50.12M,0.00,0.00,5.841M,3.80M,-2.041M,,251.38M,56.39M,3.80M,5.841M,-2.041M,715.26M,-2.041M,769.60M,170.79M,598.81M,,,598.81M,33.20M,775.44M,,2019-06,20.08,20.08,,2019-06,19.86,,,2019-06,29.81M,2019-06,AOR,Restated
2019-03,553.98M,553.98M,242.22M,311.76M,207.58M,47.58M,1.60M,-1.60M,5.986M,19.50M,13.51M,,255.16M,56.61M,19.50M,5.986M,13.51M,1.057B,13.51M,1.127B,262.07M,865.20M,,,865.20M,32.90M,1.133B,,2019-03,29.03,29.03,,2019-03,28.74,,,2019-03,29.80M,2019-03,AOR,Restated
2018-12,616.85M,616.85M,284.28M,332.56M,214.03M,53.07M,0.80M,-293.31M,6.139M,5.70M,-0.439M,,267.11M,65.46M,5.70M,6.139M,-0.439M,-1.106B,-0.439M,-1.041B,-212.72M,-828.53M,,,-828.53M,34.50M,-1.035B,,2018-12,-27.88,-27.88,,2018-12,-27.88,,,2018-12,29.88M,2018-12,AOR,Restated
2018-09,545.14M,545.14M,258.42M,286.72M,201.20M,49.24M,0.00,0.00,6.064M,2.60M,-3.464M,,250.44M,36.28M,2.60M,6.064M,-3.464M,317.34M,-3.464M,350.13M,80.80M,269.33M,,,269.33M,34.90M,356.20M,,2018-09,9.02,9.02,,2018-09,8.89,,,2018-09,29.86M,2018-09,AOR,Restated
2018-06,575.91M,575.91M,274.24M,301.67M,210.42M,47.45M,0.00,0.00,5.977M,16.20M,10.22M,,257.88M,43.79M,16.20M,5.977M,10.22M,286.11M,10.22M,340.09M,72.04M,268.04M,,,268.04M,34.40M,346.06M,,2018-06,8.99,8.99,,2018-06,8.87,,,2018-06,29.81M,2018-06,AOR,Restated
2018-03,551.52M,551.52M,249.32M,302.20M,209.13M,49.43M,0.00,9.20M,5.782M,2.10M,-3.682M,,258.56M,43.65M,2.10M,5.782M,-3.682M,823.68M,-3.682M,863.69M,206.92M,656.77M,,,656.77M,34.30M,869.47M,,2018-03,22.05,22.05,,2018-03,21.77,,,2018-03,29.79M,2018-03,AOR,Restated
2017-12,621.30M,621.30M,276.04M,345.26M,201.73M,76.04M,,-18.51M,5.781M,19.09M,13.30M,,277.77M,67.49M,19.09M,5.781M,13.30M,-21.36M,13.30M,45.95M,-36.78M,82.73M,,,82.73M,42.70M,51.73M,,2017-12,2.35,2.35,,2017-12,2.32,,,2017-12,29.77M,2017-12,AOR,Restated
2017-09,534.14M,534.14M,235.13M,299.01M,198.17M,62.08M,,0.00,5.872M,1.40M,-4.472M,,260.25M,38.76M,1.40M,5.872M,-4.472M,-3.663M,-4.472M,30.59M,8.521M,22.07M,,,22.07M,35.30M,36.46M,,2017-09,0.74,0.74,,2017-09,0.73,,,2017-09,29.66M,2017-09,AOR,Restated
2017-06,504.67M,504.67M,231.29M,273.38M,212.49M,62.59M,,,6.045M,12.00M,5.955M,,275.08M,-1.701M,12.00M,6.045M,5.955M,-3.116M,5.955M,1.12M,-3.915M,5.035M,,,5.035M,37.00M,7.165M,,2017-06,0.17,0.17,,2017-06,0.17,,,2017-06,29.61M,2017-06,AOR,Restated
2017-03,500.05M,500.05M,229.99M,270.06M,194.40M,49.45M,,0.00,5.316M,1.10M,-4.216M,,243.85M,26.21M,1.10M,5.316M,-4.216M,-1.889M,-4.216M,20.15M,7.734M,12.41M,,,12.41M,33.70M,25.46M,,2017-03,0.42,0.42,,2017-03,0.41,,,2017-03,29.58M,2017-03,AOR,Restated
2016-12,571.45M,571.45M,256.76M,314.70M,217.99M,57.39M,,-60.54M,6.534M,1.50M,-5.034M,,275.38M,39.32M,1.50M,6.534M,-5.034M,-62.41M,-5.034M,-28.19M,-5.492M,-22.70M,,,-22.70M,32.74M,-21.65M,,2016-12,-0.70,-0.70,,2016-12,-0.70,,,2016-12,29.55M,2016-12,AOR,Restated
2016-09,508.74M,508.74M,229.28M,279.47M,201.45M,49.92M,,0.00,5.634M,1.30M,-4.334M,,251.38M,28.09M,1.30M,5.634M,-4.334M,-1.11M,-4.334M,22.69M,4.283M,18.40M,,,18.40M,38.49M,28.32M,,2016-09,0.63,0.63,,2016-09,0.62,,,2016-09,29.44M,2016-09,AOR,Restated
2016-06,516.78M,516.78M,236.54M,280.23M,205.54M,49.81M,,-2.36M,5.632M,10.60M,4.968M,,255.35M,24.88M,10.60M,5.632M,4.968M,-2.997M,4.968M,26.86M,8.85M,18.01M,,,18.01M,37.58M,32.50M,,2016-06,0.61,0.61,,2016-06,0.61,,,2016-06,29.40M,2016-06,AOR,Restated
2016-03,471.20M,471.20M,207.17M,264.03M,189.72M,48.59M,,,5.58M,1.20M,-4.38M,,238.30M,25.73M,1.20M,5.58M,-4.38M,-1.129M,-4.38M,20.20M,7.919M,12.28M,,,12.28M,34.09M,25.78M,,2016-03,0.42,0.42,,2016-03,0.42,,,2016-03,29.36M,2016-03,AOR,Restated
2015-12,570.56M,570.56M,262.04M,308.52M,193.14M,55.89M,,,6.034M,1.40M,-4.634M,,249.03M,59.48M,1.40M,6.034M,-4.634M,-0.639M,-4.634M,54.20M,8.57M,45.63M,,,45.63M,33.83M,60.23M,,2015-12,1.69,1.69,,2015-12,1.68,,,2015-12,29.32M,2015-12,AOR,Restated
2015-09,469.96M,469.96M,206.51M,263.45M,187.44M,43.34M,,,5.822M,0.70M,-5.122M,,230.78M,32.67M,0.70M,5.822M,-5.122M,-2.166M,-5.122M,25.42M,8.045M,17.37M,,,17.37M,33.56M,31.24M,,2015-09,0.59,0.59,,2015-09,0.59,,,2015-09,29.20M,2015-09,AOR,Restated
2015-06,506.10M,506.10M,226.50M,279.60M,192.84M,46.55M,,,4.834M,7.10M,2.266M,,239.39M,40.20M,7.10M,4.834M,2.266M,-2.938M,2.266M,39.54M,11.12M,28.42M,,,28.42M,32.13M,44.37M,,2015-06,0.98,0.98,,2015-06,0.97,,,2015-06,29.14M,2015-06,AOR,Restated
2015-03,472.82M,472.82M,202.72M,270.11M,188.56M,47.20M,,,5.002M,0.90M,-4.102M,,235.76M,34.35M,0.90M,5.002M,-4.102M,-3.506M,-4.102M,26.69M,8.876M,17.82M,,,17.82M,32.28M,31.70M,,2015-03,0.61,0.61,,2015-03,0.61,,,2015-03,29.09M,2015-03,AOR,Restated
2014-12,598.22M,598.22M,280.81M,317.41M,207.54M,59.29M,,,5.00M,3.50M,-1.50M,,266.82M,50.59M,3.50M,5.00M,-1.50M,-3.387M,-1.50M,45.75M,6.709M,39.04M,,,39.04M,39.77M,50.75M,,2014-12,1.35,1.35,,2014-12,1.34,,,2014-12,29.00M,2014-12,AOR,Restated
2014-09,530.64M,530.64M,242.07M,288.58M,202.55M,52.79M,,,7.71M,0.80M,-6.91M,,255.34M,33.24M,0.80M,7.71M,-6.91M,-3.867M,-6.91M,22.48M,10.97M,11.51M,,,11.51M,37.12M,30.19M,,2014-09,0.40,0.40,,2014-09,0.39,,,2014-09,28.88M,2014-09,AOR,Restated
2014-06,536.83M,536.83M,239.59M,297.24M,195.84M,55.72M,,,5.564M,8.50M,2.936M,,251.56M,45.69M,8.50M,5.564M,2.936M,0.186M,2.936M,48.80M,17.17M,31.63M,,,31.63M,36.34M,54.36M,,2014-06,1.10,1.10,,2014-06,1.09,,,2014-06,28.83M,2014-06,AOR,Restated
2014-03,509.34M,509.34M,234.06M,275.29M,202.28M,52.54M,,,3.857M,0.70M,-3.157M,,254.82M,20.47M,0.70M,3.857M,-3.157M,-2.737M,-3.157M,14.54M,7.87M,6.668M,,,6.668M,36.67M,18.40M,,2014-03,0.23,0.23,,2014-03,0.23,,,2014-03,28.79M,2014-03,AOR,Restated
2013-12,602.64M,602.64M,279.89M,322.75M,214.58M,55.85M,,,7.019M,3.20M,-3.819M,,270.43M,52.32M,3.20M,7.019M,-3.819M,-3.943M,-3.819M,44.51M,14.37M,30.14M,,0.00,30.14M,42.02M,51.53M,,2013-12,1.05,1.05,,2013-12,1.04,,,2013-12,28.71M,2013-12,AOR,Restated
2013-09,505.07M,505.07M,220.85M,284.22M,202.24M,52.92M,,,31.61M,1.10M,-30.51M,,255.16M,29.06M,1.10M,31.61M,-30.51M,-3.73M,-30.51M,-5.216M,1.883M,-7.099M,,0.00,-7.099M,36.97M,26.40M,,2013-09,-0.25,-0.25,,2013-09,-0.25,,,2013-09,28.60M,2013-09,AOR,Restated
2013-06,525.32M,525.32M,225.22M,300.10M,195.33M,51.84M,,,11.66M,7.80M,-3.864M,,247.17M,52.93M,7.80M,11.66M,-3.864M,-0.065M,-3.864M,49.04M,14.44M,34.60M,,0.00,34.60M,34.92M,60.71M,,2013-06,1.21,1.21,,2013-06,1.20,,,2013-06,28.54M,2013-06,AOR,Restated
2013-03,499.67M,499.67M,228.26M,271.41M,185.92M,50.34M,,,10.98M,1.30M,-9.677M,,236.26M,35.15M,1.30M,10.98M,-9.677M,-1.428M,-9.677M,24.05M,3.875M,20.17M,,-0.021M,20.15M,33.29M,35.02M,,2013-03,0.71,0.71,,2013-03,0.70,,,2013-03,28.49M,2013-03,AOR,Restated
2012-12,573.84M,573.84M,259.29M,314.55M,188.86M,58.57M,,,13.61M,3.50M,-10.11M,,247.43M,67.11M,3.50M,13.61M,-10.11M,2.168M,-10.11M,59.16M,15.99M,43.17M,,0.079M,43.25M,35.52M,72.77M,,2012-12,1.67,1.67,,2012-12,1.65,,,2012-12,28.40M,2012-12,AOR,Restated
2012-09,498.70M,498.70M,224.93M,273.77M,160.13M,47.80M,,,11.90M,1.00M,-10.90M,,207.93M,65.84M,1.00M,11.90M,-10.90M,0.052M,-10.90M,55.00M,12.38M,42.62M,,0.013M,42.63M,32.14M,66.90M,,2012-09,1.51,1.51,,2012-09,1.49,,,2012-09,28.31M,2012-09,AOR,Restated
2012-06,510.42M,510.42M,222.52M,287.90M,162.26M,52.34M,,,12.40M,5.90M,-6.501M,,214.59M,73.31M,5.90M,12.40M,-6.501M,-0.819M,-6.501M,66.02M,17.45M,48.56M,,-0.222M,48.34M,31.65M,78.42M,,2012-06,1.71,1.71,,2012-06,1.69,,,2012-06,28.25M,2012-06,AOR,Restated
2012-03,486.28M,486.28M,207.70M,278.58M,171.29M,52.92M,,,13.20M,1.00M,-12.20M,,224.22M,54.37M,1.00M,13.20M,-12.20M,4.059M,-12.20M,46.18M,15.24M,30.94M,,0.061M,31.00M,31.10M,59.38M,,2012-03,1.10,1.10,,2012-03,1.09,,,2012-03,28.20M,2012-03,AOR,Restated
2011-12,550.24M,550.24M,238.33M,311.91M,174.61M,41.28M,,-8.207M,11.99M,,-3.787M,,215.89M,96.02M,,11.99M,-3.787M,-8.217M,-3.787M,83.99M,24.00M,59.99M,,0.038M,60.03M,32.87M,95.98M,,2011-12,2.14,2.14,,2011-12,2.11,,,2011-12,28.13M,2011-12,AOR,Restated
2011-09,516.51M,516.51M,220.34M,296.18M,176.87M,45.39M,,0.538M,12.34M,,-12.34M,,222.25M,73.92M,,12.34M,-12.34M,-5.808M,-12.34M,55.77M,9.911M,45.86M,,0.035M,45.90M,30.38M,68.11M,,2011-09,1.63,1.63,,2011-09,1.61,0.00,,2011-09,28.07M,2011-09,AOR,Restated
2011-06,521.66M,521.66M,228.52M,293.14M,176.74M,48.21M,,4.418M,12.04M,,-12.04M,,224.95M,68.19M,,12.04M,-12.04M,1.674M,-12.04M,57.82M,17.80M,40.02M,,0.026M,40.05M,29.63M,69.86M,,2011-06,1.43,1.43,,2011-06,1.41,0.00,,2011-06,28.01M,2011-06,AOR,Restated
2011-03,485.12M,485.12M,207.51M,277.61M,167.76M,42.73M,,0.951M,16.77M,,-16.77M,,210.49M,67.12M,,16.77M,-16.77M,-2.091M,-16.77M,48.26M,15.32M,32.94M,,0.101M,33.04M,28.12M,65.03M,,2011-03,1.18,1.18,,2011-03,1.16,0.00,,2011-03,27.90M,2011-03,AOR,Restated
2010-12,533.72M,533.72M,234.00M,299.72M,176.67M,45.27M,,-4.272M,20.55M,,-15.35M,,221.94M,77.78M,,20.55M,-15.35M,-5.21M,-15.35M,57.20M,-10.74M,67.94M,,-0.029M,67.91M,28.94M,77.75M,,2010-12,2.44,2.44,,2010-12,2.41,,,2010-12,27.81M,2010-12,AOR,Restated
2010-09,471.50M,471.50M,205.17M,266.33M,148.65M,42.87M,,0.256M,14.40M,,-14.40M,,191.53M,74.80M,,14.40M,-14.40M,-2.493M,-14.40M,57.91M,12.82M,45.08M,,-0.321M,44.76M,26.33M,72.31M,,2010-09,1.62,1.62,,2010-09,1.59,0.00,,2010-09,27.70M,2010-09,AOR,Restated
2010-06,467.66M,467.66M,199.35M,268.31M,156.27M,43.86M,,2.517M,14.32M,,-14.32M,,200.13M,68.18M,,14.32M,-14.32M,1.503M,-14.32M,55.35M,16.83M,38.52M,,-0.564M,37.96M,26.08M,69.68M,,2010-06,1.37,1.37,,2010-06,1.35,0.00,,2010-06,27.61M,2010-06,AOR,Restated
2010-03,454.23M,454.23M,197.11M,257.13M,153.62M,40.26M,,1.016M,14.44M,,-14.44M,,193.88M,63.25M,,14.44M,-14.44M,1.016M,-14.44M,49.82M,14.43M,35.39M,,-0.531M,34.86M,27.55M,64.26M,,2010-03,1.27,1.27,,2010-03,1.24,0.00,,2010-03,27.54M,2010-03,AOR,Restated
2009-12,495.07M,495.07M,226.60M,268.47M,163.86M,44.51M,,1.362M,14.36M,,-14.36M,,208.37M,60.10M,,14.36M,-14.36M,-3.641M,-14.36M,42.09M,3.571M,38.52M,,-0.66M,37.86M,27.70M,56.46M,,2009-12,1.38,1.38,,2009-12,1.35,0.00,,2009-12,27.49M,2009-12,AOR,Restated
2009-09,461.06M,461.06M,200.54M,260.51M,153.62M,39.52M,,-1.664M,14.49M,,-14.49M,,193.14M,67.37M,,14.49M,-14.49M,-1.664M,-14.49M,51.22M,11.92M,39.30M,,-0.776M,38.52M,26.24M,65.71M,,2009-09,1.40,1.40,,2009-09,1.38,0.00,,2009-09,27.43M,2009-09,AOR,Restated
