,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,840.32M,314.10M,1.154B,402.24M,,402.24M,149.12M,158.58M,332.53M,,640.23M,111.30M,5.56M,,10.11M,2.324B,,,,,1.601B,1.601B,-923.67M,677.60M,291.92M,205.30M,497.22M,8.440B,,82.35M,,2020-09,132.99M,41.65M,,174.64M,190.09M,364.73M,,426.64M,426.64M,34.39M,461.02M,,,,160.90M,986.66M,12.24M,172.14M,184.38M,1.843B,,182.08M,2.209B,3.196B,,8.429B,412.31M,100.07M,,,83.97M,8.825B,,2020-09,AOR,
2020-06,607.58M,424.23M,1.032B,360.85M,8.913M,369.77M,130.28M,149.54M,348.58M,,628.40M,91.80M,5.56M,,5.249M,2.133B,,,,,1.583B,1.583B,-904.00M,679.02M,291.50M,211.37M,502.87M,6.703B,,79.80M,,2020-06,130.90M,32.02M,,162.92M,156.39M,319.31M,,426.50M,426.50M,33.94M,460.44M,,,,147.14M,926.90M,12.23M,173.10M,185.34M,1.457B,,175.02M,1.817B,2.744B,,7.123B,429.48M,138.04M,,,-61.14M,7.353B,,2020-06,AOR,
2020-03,603.55M,433.15M,1.037B,380.48M,,380.48M,104.02M,144.33M,308.68M,,557.03M,94.79M,5.56M,,8.034M,2.083B,,,,,1.562B,1.562B,-875.55M,686.66M,264.10M,138.30M,402.40M,5.435B,,77.90M,,2020-03,118.22M,32.30M,,150.52M,130.20M,280.72M,,426.31M,426.31M,34.44M,460.75M,,,,127.78M,869.25M,12.20M,175.45M,187.66M,1.161B,,173.26M,1.522B,2.391B,,6.157B,423.74M,138.40M,,,-148.96M,6.293B,,2020-03,AOR,
2019-12,660.67M,453.97M,1.115B,392.67M,,392.67M,109.57M,146.13M,298.31M,,554.01M,102.33M,5.56M,,10.94M,2.180B,0.00,25.22M,341.60M,1.015B,201.87M,1.584B,-882.83M,701.21M,224.10M,145.30M,369.40M,4.638B,,79.64M,,2019-12,107.01M,36.28M,,143.30M,180.08M,323.38M,,426.17M,426.17M,35.36M,461.54M,33.74M,33.74M,,86.84M,905.50M,13.58M,176.02M,189.60M,997.79M,,160.92M,1.348B,2.254B,,5.471B,410.02M,38.40M,,,-87.35M,5.755B,,2019-12,AOR,
2019-09,561.07M,418.18M,979.25M,356.02M,,356.02M,112.43M,141.27M,334.29M,,587.99M,109.58M,5.56M,,9.228M,2.048B,,,,,1.565B,1.565B,-851.49M,713.39M,264.08M,147.00M,411.08M,3.932B,,73.33M,,2019-09,249.84M,35.25M,,285.09M,,285.09M,,1.769M,1.769M,33.69M,35.46M,,,,113.49M,434.04M,437.81M,192.60M,630.41M,838.00M,,143.48M,1.612B,2.046B,,4.917B,396.43M,30.44M,,,-152.11M,5.131B,,2019-09,AOR,Restated
2019-06,580.68M,401.17M,981.86M,377.90M,,377.90M,105.51M,152.78M,331.60M,,589.90M,122.42M,5.56M,,10.30M,2.088B,,,,,1.565B,1.565B,-850.26M,714.69M,235.40M,127.50M,362.90M,4.417B,,64.20M,,2019-06,246.81M,37.52M,,284.32M,,284.32M,,1.767M,1.767M,33.93M,35.70M,,,,125.95M,445.98M,437.68M,187.69M,625.37M,943.44M,,145.35M,1.714B,2.160B,,5.185B,410.60M,58.73M,,,-49.57M,5.487B,,2019-06,AOR,Restated
2019-03,455.89M,403.10M,858.99M,391.70M,,391.70M,105.68M,149.60M,335.15M,,590.44M,163.96M,5.56M,,21.00M,2.032B,,,,,1.552B,1.552B,-827.58M,724.55M,230.50M,139.40M,369.90M,3.672B,,64.89M,,2019-03,239.02M,41.97M,,280.98M,,280.98M,,1.757M,1.757M,34.41M,36.17M,,,,127.15M,444.31M,437.61M,192.56M,630.16M,780.90M,,143.68M,1.555B,1.999B,,4.586B,402.85M,43.73M,,,-80.96M,4.864B,,2019-03,AOR,Restated
2018-12,431.53M,413.27M,844.80M,392.44M,,392.44M,108.01M,145.05M,330.76M,,583.82M,187.25M,5.56M,,9.615M,2.023B,0.00,25.18M,331.56M,970.08M,,1.327B,-818.14M,508.69M,219.80M,133.10M,352.90M,2.656B,,70.30M,,2018-12,122.45M,56.19M,,178.64M,143.51M,322.15M,,0.493M,0.493M,0.00,0.493M,26.94M,26.94M,,101.22M,450.80M,438.94M,0.00,438.94M,553.24M,,147.77M,1.140B,1.591B,,3.722B,394.34M,49.13M,,,-46.96M,4.020B,,2018-12,AOR,Restated
2018-09,434.52M,426.05M,860.57M,381.53M,,381.53M,117.54M,149.25M,334.26M,,601.05M,,5.56M,,185.49M,2.034B,,,,,,1.296B,-811.56M,484.32M,501.90M,150.70M,652.60M,3.474B,,73.26M,,2018-09,257.03M,44.78M,,301.81M,,301.81M,,,1.772M,,1.772M,,,,149.58M,453.16M,438.80M,,438.80M,753.95M,,172.27M,1.365B,1.818B,,4.551B,382.39M,0.217M,,,-32.30M,4.900B,,2018-09,AOR,Restated
2018-06,403.01M,415.24M,818.25M,404.09M,,404.09M,119.00M,140.92M,331.52M,,591.43M,,5.56M,,173.00M,1.992B,,,,,,1.289B,-799.12M,490.25M,500.00M,158.00M,658.00M,3.171B,,74.76M,,2018-06,261.72M,29.58M,,291.31M,,291.31M,,,1.721M,,1.721M,,,,149.39M,442.42M,438.78M,,438.78M,686.91M,,179.17M,1.305B,1.747B,,4.281B,376.60M,0.217M,,,-18.71M,4.639B,,2018-06,AOR,Restated
2018-03,407.27M,355.66M,762.93M,430.36M,,430.36M,115.14M,142.94M,354.15M,,612.22M,,5.56M,,166.04M,1.977B,,,,,,1.321B,-821.22M,499.71M,510.36M,168.20M,678.56M,2.982B,,77.75M,,2018-03,259.36M,42.38M,,301.74M,,301.74M,,,0.369M,,0.369M,,,,154.09M,456.20M,434.68M,,434.68M,644.96M,,190.99M,1.271B,1.727B,,4.013B,370.99M,0.217M,,,104.08M,4.488B,,2018-03,AOR,Restated
2017-12,383.82M,371.15M,754.98M,464.85M,,464.85M,113.92M,142.59M,338.29M,,594.80M,146.14M,5.56M,,10.32M,1.977B,0.00,18.03M,315.98M,971.14M,,1.305B,-811.65M,493.50M,506.10M,174.10M,680.20M,1.028B,,94.95M,,2017-12,135.18M,39.94M,,175.12M,171.63M,346.76M,,,0.42M,,0.42M,28.23M,28.23M,,127.29M,502.70M,434.58M,,434.58M,222.21M,,183.28M,840.07M,1.343B,,1.830B,361.23M,0.217M,,,738.79M,2.930B,,2017-12,AOR,Restated
2017-09,328.89M,387.56M,716.46M,419.71M,,419.71M,112.97M,143.07M,345.53M,,601.57M,141.23M,4.56M,,8.927M,1.892B,,,,,,1.297B,-796.56M,500.69M,520.70M,181.10M,701.80M,1.033B,,57.95M,,2017-09,273.96M,30.98M,,304.94M,,304.94M,,,0.452M,,0.452M,,,,161.06M,466.46M,434.48M,,434.48M,288.57M,,147.78M,870.82M,1.337B,,1.881B,350.73M,0.217M,,,617.16M,2.848B,,2017-09,AOR,Restated
2017-06,321.58M,391.27M,712.85M,392.84M,,392.84M,115.04M,133.06M,332.48M,,580.58M,125.66M,4.56M,,10.04M,1.827B,,,,,,1.278B,-774.64M,503.33M,530.30M,184.80M,715.10M,1.041B,,57.54M,,2017-06,277.57M,33.31M,,310.87M,,310.87M,,,0.505M,,0.505M,,,,143.73M,455.11M,434.39M,,434.39M,294.84M,,148.12M,877.35M,1.332B,,1.853B,347.66M,0.984M,,,610.95M,2.811B,,2017-06,AOR,Restated
2017-03,291.66M,382.41M,674.08M,373.44M,,373.44M,120.24M,126.62M,312.96M,,559.82M,,4.56M,,120.67M,1.733B,,,,,,1.262B,-756.40M,505.10M,516.20M,190.60M,706.80M,955.62M,,52.67M,,2017-03,231.48M,33.04M,,264.53M,,264.53M,,,0.466M,,0.466M,,,,142.51M,407.50M,434.29M,,434.29M,,,403.51M,837.80M,1.245B,,1.848B,342.58M,0.101M,,,516.64M,2.707B,,2017-03,AOR,Restated
2016-12,456.26M,383.18M,839.44M,372.35M,,372.35M,116.54M,125.98M,282.44M,,524.96M,91.01M,4.56M,,12.20M,1.845B,0.00,17.90M,300.83M,908.66M,,1.227B,-738.77M,488.61M,477.10M,161.60M,638.70M,830.79M,,47.85M,,2016-12,133.11M,28.12M,,161.23M,163.36M,324.60M,,,0.334M,,0.334M,31.00M,31.00M,,115.39M,471.32M,434.19M,,434.19M,225.30M,,140.54M,800.02M,1.271B,,1.829B,332.91M,0.101M,,,417.77M,2.579B,,2016-12,AOR,Restated
2016-09,417.94M,388.18M,806.12M,367.66M,,367.66M,117.56M,130.96M,307.83M,,556.36M,,4.21M,,115.76M,1.850B,,,,,,1.217B,-742.51M,474.67M,506.60M,220.90M,727.50M,903.66M,,63.82M,,2016-09,280.45M,22.27M,,302.73M,,302.73M,,,0.297M,,0.297M,,,,139.69M,442.72M,434.14M,,434.14M,295.24M,,140.54M,874.32M,1.317B,,1.857B,324.64M,0.101M,,,521.40M,2.703B,,2016-09,AOR,Restated
2016-06,418.65M,372.94M,791.60M,366.28M,,366.28M,113.74M,127.70M,300.07M,,541.51M,,4.21M,,102.09M,1.806B,,,,,,1.179B,-721.42M,457.68M,505.30M,230.70M,736.00M,810.46M,,64.78M,,2016-06,256.11M,21.86M,,277.97M,,277.97M,,,0.294M,,0.294M,,,,132.14M,410.40M,434.06M,,434.06M,,,415.61M,849.67M,1.260B,,1.838B,316.75M,0.101M,,,459.56M,2.615B,,2016-06,AOR,Restated
2016-03,403.62M,345.04M,748.66M,381.10M,,381.10M,115.33M,121.49M,296.49M,,533.31M,,4.21M,,107.98M,1.775B,,,,,,1.159B,-709.83M,449.23M,509.60M,242.30M,751.90M,711.44M,,65.64M,,2016-03,241.25M,27.72M,,268.97M,,268.97M,,,0.296M,,0.296M,,,,131.62M,400.89M,433.98M,,433.98M,,,374.10M,808.08M,1.209B,,1.820B,308.88M,0.101M,,,415.34M,2.544B,,2016-03,AOR,Restated
2015-12,457.55M,328.72M,786.27M,391.48M,,391.48M,109.93M,114.44M,265.86M,,490.22M,94.37M,4.21M,,11.04M,1.778B,0.00,17.82M,276.07M,823.19M,,1.117B,-679.40M,437.69M,495.90M,214.00M,709.90M,719.84M,,64.62M,,2015-12,,29.34M,,29.34M,280.25M,309.59M,,,0.298M,,0.298M,29.68M,29.68M,,101.78M,441.35M,433.88M,,433.88M,233.48M,,110.51M,777.86M,1.219B,,1.808B,300.41M,0.101M,,,382.14M,2.491B,,2015-12,AOR,Restated
