,NetIncome,TotalAssets,TotalLiabilities,AverageBasicSharesOutstanding,CashFromOperations,NetCapitalExpenditures
1989-06-30,1340,#N/A N/A,#N/A N/A,2320.3479,#N/A N/A,#N/A N/A
1989-09-30,877,#N/A N/A,#N/A N/A,2323.1799,#N/A N/A,#N/A N/A
1989-12-31,591,#N/A N/A,#N/A N/A,2303.6001,#N/A N/A,#N/A N/A
1990-03-31,1037,77227,38612,2296.8,1379,#N/A N/A
1990-06-30,1410,78960,39406,2293.2,1629,#N/A N/A
1990-09-30,1112,81808,41283,2287.6001,1181,#N/A N/A
1990-12-31,2461,87568,44736,2284.8879,3283,#N/A N/A
1991-03-31,-1707,83925,44730,2288,1762,#N/A N/A
1991-06-30,126,81572,43607,2290,691,#N/A N/A
1991-09-30,177,87324,49133,2287.6001,834,#N/A N/A
1991-12-31,-1457,92473,55794,2285.252,3438,#N/A N/A
1992-03-31,2542,88162,52588,2283.6001,2117,#N/A N/A
1992-06-30,734,89052,52500,2284,862,#N/A N/A
1992-09-30,-2778,91017,55584,2283.2,310,#N/A N/A
1992-12-31,-5463,86705,59081,2283.6001,2985,#N/A N/A
1993-03-31,-399,85713,58494,2282.3999,1366,#N/A N/A
1993-06-30,-8036,86141,66329,2280.8,29,#N/A N/A
1993-09-30,-48,84217,64114,2290,958,#N/A N/A
1993-12-31,382,81113,61375,2318.8,5974,#N/A N/A
1994-03-31,392,79872,59296,2328.3999,2079,-503
1994-06-30,689,78601,57033,2336,2367,-244
1994-09-30,710,79068,56605,2345.2,3920,-300
1994-12-31,1230,81091,57678,2350,3427,-2031
1995-03-31,1289,80880,56794,2340.8,2465,-567
1995-06-30,1716,81601,56755,2301.6001,2177,-635
1995-09-30,-538,77502,55838,2258.3999,2223,-684
1995-12-31,1711,80292,57869,2209.6001,3843,-2858
1996-03-31,774,77766,55946,2166.196,1161,-600
1996-06-30,1347,77474,55946,2130.1599,1582,-1124
1996-09-30,1285,77996,56628,2081.3,3230,-1172
1996-12-31,2023,81132,59504,2048.7319,4302,-2987
1997-03-31,1195,76527,56576,2016.948,349,-1053
1997-06-30,1446,78819,58710,1973.8,2585,-1491
1997-09-30,1359,78293,58537,1956,2157,-1331
1997-12-31,2093,81499,61683,1929.6,3774,-1788
1998-03-31,1036,77944,59079,1900.4,941,-1078
1998-06-30,1452,77112,58535,1879.2,2399,-1325
1998-09-30,1494,79719,61084,1856.9,3201,-1572
1998-12-31,2346,86100,66667,1910,2732,-1640
1999-03-31,1470,81751,63445,1823.8,1876,-957
1999-06-30,2391,83347,64189,1812.1,1644,-1198
1999-09-30,1762,85375,65307,1805.2,3240,-1218
1999-12-31,2089,87495,66984,1793,3351,-1379
2000-03-31,1519,82764,63246,1777.2,995,-712
2000-06-30,1941,82949,63775,1767.6,1490,-859
2000-09-30,1963,83876,64329,1758.1,2063,-930
2000-12-31,2670,88349,67725,1753,4726,-1496
2001-03-31,1750,84790,63324,1740.9,1935,-1276
2001-06-30,2045,83940,61349,1738.2,3337,-1029
2001-09-30,1595,85094,63117,1731.8,3964,-1057
2001-12-31,2333,90303,66855,1722.4937,4730,-889
2002-03-31,1192,83056,60005,1718.4,2591,-1047
2002-06-30,56,84211,62816,1705,2701,-950
2002-09-30,1313,83956,61864,1690.5,3471,-790
2002-12-31,1018,#N/A N/A,#N/A N/A,1699.1,5025,-1191
2003-03-31,1384,95720,71147,1725.3,2238,-658
2003-06-30,1705,96938,70365,1729.8,3735,-1015
2003-09-30,1785,97190,69864,1722.6,3844,-770
2003-12-31,2709,104457,76593,1708.5,4754,-911
2004-03-31,1363,101825,73640,1691.7,3563,-771
2004-06-30,1988,99582,70752,1679.6,3917,-635
2004-09-30,1800,100676,70974,1669.6,3876,-841
2004-12-31,2827,111003,79315,1659,4019,-810
2005-03-31,1402,104899,74979,1628.7,2080,-749
2005-06-30,1829,103388,73263,1603.9,3133,-874
2005-09-30,1516,101009,70774,1591.3,4288,-832
2005-12-31,3187,105748,72650,1578.5,5374,-280
2006-03-31,1708,102469,69737,1564.5,3106,-782
2006-06-30,2022,103377,69828,1538.1,2564,-926
2006-09-30,2222,104155,69907,1513.2,4006,-1068
2006-12-31,3541,103234,74728,1507.3,5343,-1156
2007-03-31,1844,101621,73812,1499.5,3017,-917
2007-06-30,2260,102548,85793,1437.2,3442,-886
2007-09-30,2361,108609,88062,1371.4,4484,-1067
2007-12-31,3952,120431,91962,1384.1,5151,-1223
2008-03-31,2319,121823,93095,1383,4203,-1018
2008-06-30,2765,120928,92663,1366.3,4249,-981
2008-09-30,2824,115910,88392,1350.7,3739,-952
2008-12-31,4427,109524,96058,1339.1,6621,-870
2009-03-31,2295,101944,88251,1344.3,4386,-599
2009-06-30,3103,103655,88182,1326.1,4741,-705
2009-09-30,3214,103675,85182,1319.9,5198,-817
2009-12-31,4813,109022,86267,1318.4,6448,-996
2010-03-31,2601,105208,83059,1301.2,4435,-758
2010-06-30,3386,103420,82244,1278.6,3766,-828
2010-09-30,3589,107174,84816,1255.2,4551,-862
2010-12-31,5257,113452,90280,1240.1,6795,-967
2011-03-31,2863,112960,90185,1222.2,3792,-915
2011-06-30,3664,113474,90263,1204.8,4279,-810
2011-09-30,3839,110158,87780,1188.6,4679,-855
2011-12-31,5490,116433,96198,1172.2,7097,-920
2012-03-31,3066,115347,94564,1159.1,4291,-842
2012-06-30,3881,113832,93269,1149,4436,-1118
2012-09-30,3824,115779,94112,1137.2,4513,-889
2012-12-31,5833,119213,100229,1124.7,6346,-823
2013-03-31,3032,117258,98044,1113.7,4023,-591
2013-06-30,3226,115153,97270,1100.9,3174,-802
2013-09-30,4041,117845,97837,1090.9,3761,-910
2013-12-31,6185,126223,103294,1072.5,6525,-948
2014-03-31,2384,122646,105906,1035.2,3326,-775
2014-06-30,4137,124314,106801,999.6,3581,-799
2014-09-30,18,118911,104515,991.8,3903,-894
2014-12-31,5484,117271,105257,990.4,6059,-868
2015-03-31,2328,112037,99747,988.1,3610,-810
2015-06-30,3449,112729,98892,982.3,3883,-730
2015-09-30,2950,108649,95198,975.1,4236,-816
2015-12-31,4463,110495,96071,969.4,5279,-853
2016-03-31,2014,118856,103784,961.7,5530,-827
2016-06-30,2504,118057,102167,957.4,3458,-827
2016-09-30,2853,115606,98447,954,4117,-706
2016-12-31,4501,117470,99078,948.6,3979,-783
2017-03-31,1750,117495,99047,942.4,3955,-682
2017-06-30,2331,120495,101951,934.9,3466,-607
2017-09-30,2726,121636,101879,929.4,3570,-647
2017-12-31,-1054,125356,107631,924.5,5733,-833
2018-03-31,1679,125285,106995,920.7,4602,-767
2018-06-30,2404,121622,102974,915.1,6896,-1621
2018-09-30,2694,121990,102071,911.2,4232,-800
2018-12-31,1951,123382,106452,901.3,4119,-726
2019-03-31,1591,130926,114320,889.6,4759,-458
2019-06-30,2498,154652,136876,886.3,2941,-281
2019-09-30,1672,149620,131524,886,3619,-519
2019-12-31,3670,152186,131202,887.1,3451,-491
2020-03-31,1175,153403,133275,888,4476,-584
2020-06-30,1361,154200,133512,889.4,3576,-549
2020-09-30,1698,154128,132794,891.4,4285,-660
2020-12-31,1356,155971,135244,892.6,5860,-637
2021-03-31,955,148629,127116,893.6,4914,-355
