,NetIncome,TotalAssets,TotalLiabilities,AverageBasicSharesOutstanding,CashFromOperations,NetCapitalExpenditures
1990-03-31,140.2,10298.7998,5101.4,502.614,261.4,#N/A N/A
1990-06-30,155.9,10525.7002,5392.2999,492.246,231.8,#N/A N/A
1990-09-30,142.9,10488.0996,5435.7001,480.9,247.6,#N/A N/A
1990-12-31,117.1,10523,5543.4,469.503,253.9,#N/A N/A
1991-03-31,100,10514,5648.5001,459.549,229.5,#N/A N/A
1991-06-30,134,10369.9004,5629.2001,447.756,246.6,#N/A N/A
1991-09-30,150.3,10378.7002,5718.9,436.779,244.6,#N/A N/A
1991-12-31,-354.6,10148.0996,5998.2001,429.1275,41.7,#N/A N/A
1992-03-31,138.7,10294.4004,6110.7999,427.86,284,#N/A N/A
1992-06-30,145,10295.2002,6085.2001,425.079,216.7,#N/A N/A
1992-09-30,145.8,10381.7998,6126.6001,423.108,193.4,#N/A N/A
1992-12-31,128.2,10400.5,6113.5001,421.4715,264.1,#N/A N/A
1993-03-31,362.2,10467.2002,5900.7001,420.45,214.6,#N/A N/A
1993-06-30,155.2,10536.9004,5912.7999,418.977,264.3,#N/A N/A
1993-09-30,95.2,10583.7002,5965.3999,417.507,266.6,#N/A N/A
1993-12-31,159.4,10519.7998,5844.6,416.04,129.1,#N/A N/A
1994-03-31,144.9,10526.5,5803.4,414.477,223.5,#N/A N/A
1994-06-30,178.5,10591.0996,5842.9999,415.2,321.4,#N/A N/A
1994-09-30,168.3,10653.2998,5871.2999,407.976,312.1,#N/A N/A
1994-12-31,176.1,10587.7998,5849.5,401.664,287.3,#N/A N/A
1995-03-31,170.7,10799.9004,6013.6,397.482,338.9,-183.2
1995-06-30,181.2,10829.4004,6007.9999,394.575,284.8,-149.5
1995-09-30,183.9,10872.9004,6012.6,391.734,290.5,-164.9
1995-12-31,176.9,10904.7998,6023.6001,393.033,323.2,-161.3
1996-03-31,168.1,11055.2002,6165.6,384.645,320.5,-163
1996-06-30,199.5,11053.4004,6167.6,380.745,289.9,-174.4
1996-09-30,202.3,11261.5,6357.4,376.815,273.3,-162.8
1996-12-31,200,11234,6207,379.5,314.3,-188
1997-03-31,128,12432.2998,7337.6001,375.999,267,-211
1997-06-30,190,17397.3008,12168.0999,376.5,331,-210
1997-09-30,179,17508.9004,12165.1002,377.001,319,-201
1997-12-31,224,17350,11856,379.661,224.6,-171.2
1998-03-31,229,17647,11965,378,270,-205
1998-06-30,187,17746,11938,378.8,182,-236
1998-09-30,158,18016,12125,379,307,-185
1998-12-31,160,18180,12210,379,131,-247
1999-03-31,112,18480,12464,380,228,-253
1999-06-30,77,18874,12842,380,198,-243
1999-09-30,19,19117,13141,380.5,140,-143
1999-12-31,31,19250,13268,381,-33,-169
2000-03-31,-48,19211,13346,382.9,292,-140
2000-06-30,116,18879,12970,383.2,594,-129
2000-09-30,99,19089,13152,383.5,337,-123
2000-12-31,44,18976,13102,383,119,-202
2001-03-31,74,19240,13312,384.5,118,-284
2001-06-30,107,19239,13217,385,192,-116
2001-09-30,79,19385,13307,385.4,267,-156
2001-12-31,115,19418,13283,#N/A N/A,77,-34
2002-03-31,86,19641,13385,387.2,63,-189
2002-06-30,119,19524,13167,388.3,322,-156
2002-09-30,126,19794,13324,388.6,237,-157
2002-12-31,129,19956,13411,388.876,181,-156
2003-03-31,209,20434,13696,389.3,133,-194
2003-06-30,137,20538,13679,389.6,233,-177
2003-09-30,137,20559,13594,389.9,434,-125
2003-12-31,52,20596,13611,390.357,254,-146
2004-03-31,158,20592,13470,391.2,258,-171
2004-06-30,213,20829,13474,392.4,368,-225
2004-09-30,288,24429,16741,394.4,585,-228
2004-12-31,264,24750,16760,398.72,450,-342
2005-03-31,-1224,25487,17233,401.8,408,-140
2005-06-30,424,24907,16286,403.2,452,-182
