,NetIncome,TotalAssets,TotalLiabilities,AverageBasicSharesOutstanding,CashFromOperations,NetCapitalExpenditures
1990-03-31,60.365,4997.311,4042.5821,354.6052,122.873,#N/A N/A
1990-06-30,60.464,5061.292,4086.629,352.3568,59.039,#N/A N/A
1990-09-30,61.151,5459.7148,4469.656,349.569,184.828,#N/A N/A
1990-12-31,47.197,5535.895,4532.762,346.6665,-65.34,#N/A N/A
1991-03-31,58.988,5795.499,4744.9721,346.6395,146.989,#N/A N/A
1991-06-30,61.35,5931.145,4856.656,346.5524,83.815,#N/A N/A
1991-09-30,62.728,6050.5698,4936.288,344.7428,20.235,#N/A N/A
1991-12-31,63.423,6160.7422,5010.9209,337.6417,87.245,#N/A N/A
1992-03-31,64.022,6385.6411,5309.298,337.5626,161.505,#N/A N/A
1992-06-30,66.449,6529.3081,5458.1249,326.7602,120.737,#N/A N/A
1992-09-30,68.098,6589.6309,5453.537,326.2657,26.476,#N/A N/A
1992-12-31,66.908,6770.1152,5566.4958,330.8625,126.749,#N/A N/A
1993-03-31,73.489,6873.874,5604.307,331.0219,142.451,#N/A N/A
1993-06-30,78.246,7230.5249,5898.0472,331.0219,74.092,#N/A N/A
1993-09-30,64.412,7569.0171,6185.4201,331.6496,157.206,#N/A N/A
1993-12-31,81.832,7646.2422,6228.9869,328.419,25.358,#N/A N/A
1994-03-31,75.572,7586.686,6283.205,328.0095,75.572,#N/A N/A
1994-06-30,64.903,7453.6152,6202.2369,325.6605,63.855,#N/A N/A
1994-09-30,64.698,7649.5762,6391.0221,322.263,72.499,#N/A N/A
1994-12-31,63.773,8165.2441,6922.6409,321.885,37.42,#N/A N/A
1995-03-31,68.621,8707.3828,7321.2282,321.9435,119.772,-1.408
1995-06-30,70.023,9065.3633,7530.6561,322.056,23.672,-1.183
1995-09-30,60.974,9279.2393,7685.1722,322.2225,-48.926,-1.537
1995-12-31,-56.383,9364.1035,7775.152,322.461,225.055,-2.382
1996-03-31,76.274,9359.8008,7813.3548,323.8065,125.866,-1.25
1996-06-30,79.039,9413.3662,7850.4589,323.343,57.953,-1.306
1996-09-30,73.693,9598.084,8021.2271,318.8655,140.839,-10.533
1996-12-31,82.366,9800.7998,8171.4572,315.684,97.738,-2.323
1997-03-31,77.328,9993.175,8162.035,314.1264,129.692,-0.779
1997-06-30,74.59,10381.734,8478.868,312.0488,111.276,-2.562
1997-09-30,92.974,10684.671,8659.72,311.5699,127.952,-2.224
1997-12-31,92.851,11127.6484,9194.9119,312.3877,41.144,-0.136
1998-03-31,92.918,11833.415,9200.54,315.4607,146.342,-1.103
1998-06-30,63.142,11323.146,8544.698,315.5842,47.72,0.257
1998-09-30,14.546,11277.14,8454.059,315.5901,61.697,#N/A N/A
1999-03-31,96.434,11309.9,9175.022,304.2606,123.954,-1.118
1999-06-30,35.246,11300.258,9046.732,300.0903,70.466,2.471
1999-09-30,73.312,11382.555,9178.893,298.0533,294.861,0.4
1999-12-31,68.964,12131.66,9945.003,296.37,216.752,-2.273
2000-03-31,88.882,12841.94,10617.712,294.0683,143.529,-0.615
2000-06-30,83.294,12611.49,10405.024,288.1147,106.535,-4.193
2000-09-30,97.736,12862.44,10560.634,286.3508,133.79,-1.217
2000-12-31,92.123,12962.56,10566.803,285.696,148.92,0.783
2001-03-31,96.398,12801.75,10244.597,283.9162,205.768,-0.905
2001-06-30,73.174,12503.44,9986.833,281.79,38.068,-0.768
2001-09-30,103.815,12187.43,9545.85,283.5517,256.075,-0.809
2001-12-31,83.126,12428.153,9786.469,276.9528,162.502,-0.514
2002-03-31,98.154,12284.369,9661.001,275.4166,199.773,-0.607
2002-06-30,62.712,12091.404,9382.531,271.35,91.141,-0.454
2002-09-30,117.375,#N/A N/A,#N/A N/A,268.1955,218.09,-0.647
2002-12-31,105.192,12360.722,9364.842,265.9348,136.96,-0.71
2003-03-31,100.633,12616.386,9529.605,264.3098,222.81,-0.55
2003-06-30,109.592,13096.891,9769.679,259.6322,164.41,-1.067
2003-09-30,107.882,13217.34,10044.309,255.717,172.175,-0.096
2003-12-31,112.034,13460.886,10220.787,253.8721,181.079,-0.173
2004-03-31,112.351,13839.861,10439.548,252.9687,213.503,-1.043
2004-06-30,116.561,13433.115,10279.608,249.84,181.947,-0.818
2004-09-30,124.132,13891.472,10547.422,245.601,204.16,-0.51
2004-12-31,115.511,14252.2,10832.4,247.6373,167.49,-1.229
2005-03-31,117.8,14166.1,10884,239.4478,261.1,-0.8
2005-06-30,132.365,14651.045,11196.037,235.706,198.258,-0.596
2005-09-30,119.046,14660.719,11301.013,234.2641,220.884,-0.576
2005-12-31,126.136,14768.903,11336.135,233.2013,177.215,-1.048
2006-03-31,120.274,14755.086,11530.672,230.946,210.124,-1.075
2006-06-30,127.375,14782.479,11655.069,224.2466,222.061,-3.39
2006-09-30,128.544,14935.352,11570.801,221.7493,244.683,-1.115
2006-12-31,142.438,14980.355,11521.162,224.5185,188.433,4.226
2007-03-31,135.191,15056.791,11661.298,219.3418,246.908,-1.369
2007-06-30,127.117,15097.868,11850.084,213.6708,186.399,-3.388
2007-09-30,132.882,15154.135,11890.251,208.6016,221.614,-6.51
2007-12-31,132.345,15241.428,11916.801,207.24,195.076,-6.806
2008-03-31,118.173,14972.349,11892.529,204.2737,232.933,-4.232
2008-06-30,133.726,14743.745,11770.161,201.2882,190.425,-1.776
2008-09-30,63.151,13950.366,11509.399,195.7932,190.523,-1.829
2008-12-31,137.209,13529.05,11306.143,191.1187,116.73,-1.177
2009-03-31,76.706,13245.75,11270.149,188.7197,218.382,-2.084
2009-06-30,114.118,14707.725,12084.743,186.1532,141.977,-1.162
2009-09-30,100.8,15849.97,12534.711,186.179,228.392,-1.655
2009-12-31,113.329,16023.759,12624.868,186.2782,387.362,-1.598
2010-03-31,121.676,16601.371,12924.349,186.4043,303.282,-0.324
2010-06-30,126.049,16950.209,13004.993,276.8079,398.703,-1.894
2010-09-30,114.531,17716.467,13448.773,272.618,42.969,-0.619
2010-12-31,154.808,16159.762,12143.521,179.4183,283.639,-6.267
2011-03-31,100.141,16325.247,12366.082,262.839,300.047,-0.724
2011-06-30,142.781,16218.212,12438.113,166.5152,152.686,2.08
2011-09-30,131.4,16971.38,12788.327,157.1691,231.749,-1.471
2011-12-31,122.839,16588.272,12728.641,153.5535,174.982,-2.182
2012-03-31,118.677,16734.412,12900.258,150.1025,284.047,-0.46
2012-06-30,128.988,17185.003,13187.342,145.3445,163.084,-2.164
2012-09-30,130.672,17939.864,13630.971,142.6888,250.537,-1.176
2012-12-31,150.987,18776.91,14415.124,141.5503,245.171,-0.811
2013-03-31,119.632,18878.702,14574.104,140.3712,290.374,-0.655
2013-06-30,133.901,18141.273,14318.987,138.2931,202.107,-1.345
2013-09-30,132.122,18137.714,14360.838,136.9038,278.522,-1.807
2013-12-31,142.817,18191.744,14415.402,134.733,348.277,-6.791
2014-03-31,132.856,19063.977,14875.256,133.1635,274.85,-5.075
2014-06-30,130.923,19651.801,15142.853,131.4912,144.533,-4.912
2014-09-30,132.412,19870.507,15340.715,129.9699,488.794,-4.441
2014-12-31,146.748,20272.259,15574.793,128.324,-43.469,3.813
2015-03-31,121.648,20696.507,15812.879,127.1211,279.729,-6.08
2015-06-30,127.11,20020.91,15714.854,125.8169,174.392,-7.869
2015-09-30,145.386,20119.24,15835.938,124.458,275.771,-16.714
2015-12-31,133,19853.213,15797.661,123.1481,390.158,-6.294
2016-03-31,124.033,20621.021,16229.278,121.4808,340.738,-3.879
2016-06-30,138.429,21574.04,16696.282,120.4799,264.197,-2.861
2016-09-30,151.869,22077.031,16990.648,119.4806,366.991,-2.631
2016-12-31,135.448,21436.087,16869.226,118.5634,426.782,-15.701
2017-03-31,133.541,22086.976,17342.149,117.7705,460.756,-3.96
2017-06-30,140.273,22577.94,17524.524,116.6467,278.3,-4.102
2017-09-30,153.334,22993.607,17825.922,115.9211,346.786,-5.371
2017-12-31,1027,23474.985,17243.564,115.0056,343.216,-6.834
2018-03-31,173.6,23182.343,17362.042,114.2105,382.389,-11.966
2018-06-30,184.425,22878.701,17307.092,113.3502,-24.364,-6.752
2018-09-30,178.724,23469.488,17930.583,112.5876,320.769,-8.581
2018-12-31,164.717,23095.722,17680.545,111.2953,598.853,-15.806
2019-03-31,185.345,24133.438,18090.012,110.3015,423.285,-7.015
2019-06-30,186.566,24855.445,18155.047,109.6497,263.352,-14.624
2019-09-30,201.818,25791.906,18479.375,108.8134,343.538,-8.41
2019-12-31,187.061,25977.46,18683.153,108.1277,333.699,-12.122
2020-03-31,165.54,25351.914,18831.632,107.2852,343.554,-9.303
2020-06-30,173.048,27534.18,19685.811,106.4413,425.748,-10.824
2020-09-30,188.945,28041.893,19816.985,106.1468,309.314,-8.663
2020-12-31,204.24,29046.731,20275.639,105.778,397.818,-12.966
2021-03-31,178.517,28112.896,20280.559,103.4829,371.83,-15.529
