,NetIncome,TotalAssets,TotalLiabilities,AverageBasicSharesOutstanding,CashFromOperations,NetCapitalExpenditures
2018-09-08,2498,73632,63243,1414,3645,-557
2018-12-29,6854,77648,63046,1410,4683,-1689
2019-03-23,1413,75466,61170,1406,-345,-440
2019-06-15,2035,75084,61047,1401,1733,-685
2019-09-07,2100,77444,63220,1397,3675,-771
2019-12-28,1766,78547,63679,1401,4586,-2166
2020-03-21,1338,85062,71503,1390,-1498,-958
2020-06-13,1646,89525,76938,1387,2211,-691
2020-09-05,2291,92041,78446,1384,4661,-878
2020-12-26,1845,92918,79366,1388,4490,-2137
2021-03-20,1714,91224,77171,1380,-719,-466
