,NetIncome,TotalAssets,TotalLiabilities,AverageBasicSharesOutstanding,CashFromOperations,NetCapitalExpenditures
1989-12-31,27.743,2316.397,1204.794,313.136,43.088,#N/A N/A
1990-03-31,45.515,2405.939,1313.4589,310,28.718,#N/A N/A
1990-06-30,46.697,2468.376,1322.321,306.592,73.28,#N/A N/A
1990-09-30,62.302,2593.5129,1359.958,308.664,113.878,#N/A N/A
1990-12-31,29.479,2615.2119,1357.941,308.496,48.403,#N/A N/A
1991-03-31,48.993,2685.699,1418.46,308.536,29.249,#N/A N/A
1991-06-30,49.03,2645.3879,1369.496,308.992,75.633,#N/A N/A
1991-09-30,62.287,2779.9751,1416.189,301.912,100.781,#N/A N/A
1991-12-31,21.777,2859.7061,1451.173,307.544,50.327,#N/A N/A
1992-03-31,51.527,2888.3711,1473.702,307.68,45.916,#N/A N/A
1992-06-30,55.54,3062.21,1562.6001,308.4,73.937,#N/A N/A
1992-09-30,71.909,3177.675,1582.749,303.7,138.066,#N/A N/A
1992-12-31,-117.713,3065.0071,1514.634,310.016,82.991,#N/A N/A
1993-03-31,55.996,3096.1431,1537.051,309.624,80.273,#N/A N/A
1993-06-30,57.06,3033.0061,1468.418,307.08,78.185,#N/A N/A
1993-09-30,76.44,3087.5649,1630.612,304.584,78.391,#N/A N/A
1993-12-31,25.696,2994.552,1597.91,299.22,114.561,#N/A N/A
1994-03-31,57.093,2991.2009,1594.062,293.8,81.592,#N/A N/A
1994-06-30,58.074,3059.0491,1598.857,290.8,139.186,#N/A N/A
1994-09-30,86.311,3159.533,1677.839,291.68,144.21,#N/A N/A
1994-12-31,33.544,3023.8831,1702.27,281.644,105.515,#N/A N/A
1995-03-31,64.929,3050.677,1661.726,276.972,75.118,#N/A N/A
1995-06-30,66.65,3048.5979,1633.338,277.176,159.09,#N/A N/A
1995-09-30,86.573,2999.5049,1601.12,272.868,132.475,#N/A N/A
1995-12-31,44.522,2940.6589,1596.386,269.372,88.843,-30.643
1996-03-31,74.79,2862.8091,1540.857,269.292,90.377,-30.887
1996-06-30,77.167,2909.6731,1602.873,263.652,119.739,-38.021
1996-09-30,86.968,2889.752,1564.569,261.352,161.484,-46.378
1996-12-31,58.108,2822.1179,1486.112,246.372,138.99,-30.775
1997-03-31,82.671,2793.2339,1475.439,245.682,70.322,-31.852
1997-06-30,70.148,3037.9829,1695.704,244.412,106.925,-46.784
1997-09-30,89.147,3080.252,1694.819,244.454,126.51,-60.938
1997-12-31,64.321,3077.1809,1695.7401,243.624,163.979,-43.998
1998-03-31,92.335,3172.606,1685.518,244.952,77.763,-45.947
1998-06-30,-9.985,3715.2339,2235.2889,246.604,119.312,-48.823
1998-09-30,89.897,3846.0381,2232.218,247.614,139.708,-42.648
1998-12-31,76.158,3935.231,2268.509,248.32,86.865,-61.778
1999-03-31,90.114,4131.981,2447.6589,249.276,38.192,-71.077
1999-06-30,33.124,4083.24,2415.064,250.075,181.177,-79.243
1999-09-30,76.323,4436.958,2668.27,250.732,125.558,-99.449
1999-12-31,75.294,4491.6411,2686.426,251.328,121.235,-66.697
2000-03-31,119.171,4530.7002,2656.295,252.055,146.014,-98.924
2000-06-30,114.418,4560.8071,2605.442,252.904,171.88,-105.675
2000-09-30,84.014,4505.0962,2549.0979,253.526,176.364,-105.076
2000-12-31,36.948,4595.268,2565.132,254.465,95.19,-77.213
2001-03-31,114.165,4643.2109,2509.588,257.021,220.789,-102.877
2001-06-30,118.129,4687.577,2467.594,258.086,208.524,-85.798
2001-09-30,132.41,4802.2871,2473.52,258.952,254.142,-104.866
2001-12-31,99.673,4763.257,2408.493,259.192,155.485,-49.505
2002-03-31,129.188,4845.4702,2434.061,258.436,136.648,-65.654
2002-06-30,119.725,4923.382,2408.637,258.067,240.268,-47.882
2002-09-30,131.396,5040.46,2552.486,256.376,303.632,-96.662
2002-12-31,113.638,5061.761,2489.424,255.286,113.623,-43.366
2003-03-31,142.04,5247.0239,2542.103,254.694,179.21,-64.877
2003-06-30,130.018,5558.189,2660.1071,255.038,216.133,-59.938
2003-09-30,161.36,5572.2529,2675.314,252.983,396.734,-92.862
2003-12-31,125.402,5608.9189,2563.904,252.132,213.183,-44.771
2004-03-31,165.16,5714.9722,2554.519,253.294,314.52,-63.479
2004-06-30,109.396,5718.4941,2640.166,252.433,293.934,-61.79
2004-09-30,67.444,5752.5791,2684.716,250.202,275.897,-95.678
2004-12-31,195.351,5973.425,2631.213,251.232,264.292,-49.932
2005-03-31,188.15,6003.464,2586.133,253.427,200.472,-58.246
2005-06-30,189.668,6010.178,2716.139,251.866,331.906,-67.15
2005-09-30,149.094,6132.793,2848.841,249.236,419.125,-142.3
2005-12-31,217.86,6230.756,2825.356,248.046,165.727,-64.059
2006-03-31,154.068,6122.778,2613.903,248.088,200.828,-85.87
2006-06-30,206.373,6211.193,2654.72,246.633,293.566,-107.64
2006-09-30,173.979,6824.525,2988.321,245.0409,416.55,-199.498
2006-12-31,142.879,6810.541,2879.541,245.55,285.559,-110.579
2007-03-31,242.533,6951.822,2822.334,245.418,236.917,-124.658
2007-06-30,244.809,7122.845,2894.95,244.918,366.26,-130.702
2007-09-30,259.812,7329.365,2967.408,242.815,351.7,-190.455
2007-12-31,271.548,7566.534,3042.258,244.292,473.158,-121.176
