,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,6.266B,4.381B,10.65B,4.525B,,4.525B,486.00M,2.437B,970.00M,3.893B,,2.079B,21.14B,0.00,259.00M,3.857B,5.338B,3.497B,915.00M,13.87B,-8.977B,4.889B,14.69B,16.59B,31.28B,,5.639B,41.80B,62.95B,,1.421B,1.018B,828.00M,3.267B,7.197B,10.46B,,,,91.00M,91.00M,,11.65B,32.90B,32.90B,,,2.023B,41.89B,53.54B,,31.80B,-21.41B,,,,-985.00M,9.409B,,AOR,
2020-09,9.087B,3.273B,12.36B,4.094B,,4.094B,496.00M,2.551B,895.00M,3.942B,,2.265B,22.66B,,,,,,,,,4.816B,14.67B,17.25B,31.93B,,5.232B,41.98B,64.64B,,1.161B,,,1.161B,8.701B,9.862B,,,,91.00M,91.00M,,9.953B,34.20B,34.20B,210.00M,210.00M,1.759B,43.72B,53.68B,,31.71B,-19.85B,,,,-903.00M,10.96B,,AOR,
2020-06,9.145B,2.276B,11.42B,5.366B,,5.366B,463.00M,2.376B,1.001B,3.84B,,2.268B,22.90B,,,,,,,,,4.843B,14.68B,17.95B,32.63B,,4.647B,42.12B,65.01B,,1.15B,,,1.15B,9.282B,10.43B,,,,91.00M,91.00M,,10.52B,34.13B,34.13B,259.00M,259.00M,1.881B,43.83B,54.35B,,31.61B,-20.17B,,,,-783.00M,10.66B,,AOR,
2020-03,7.687B,325.00M,8.012B,5.009B,,5.009B,446.00M,2.192B,1.044B,3.682B,,2.11B,18.81B,,,,,,,,,4.879B,14.68B,18.65B,33.34B,,4.641B,42.86B,61.67B,,1.338B,,,1.338B,8.649B,9.987B,,,,1.84B,1.84B,,11.83B,30.01B,30.01B,427.00M,427.00M,1.811B,40.36B,52.18B,,31.52B,-21.38B,,,,-662.00M,9.485B,,AOR,
2019-12,6.037B,2.874B,8.911B,4.057B,,4.057B,358.00M,2.227B,999.00M,3.584B,,1.888B,18.44B,0.00,263.00M,3.757B,5.045B,3.313B,907.00M,13.28B,-8.357B,4.928B,14.70B,19.41B,34.12B,,2.223B,41.27B,59.71B,,1.371B,946.00M,557.00M,2.874B,6.027B,8.901B,,,,2.953B,2.953B,,12.84B,26.95B,26.95B,,,2.212B,37.20B,50.03B,,31.53B,-21.33B,,,,-528.00M,9.673B,,AOR,Restated
2019-09,11.42B,9.438B,20.85B,3.606B,,3.606B,324.00M,1.923B,996.00M,3.243B,,3.349B,31.05B,,,,,,,,,4.901B,14.70B,6.702B,21.41B,,2.176B,28.48B,59.54B,,1.005B,,,1.005B,7.683B,8.688B,,,,2.049B,2.049B,,10.74B,27.74B,27.74B,665.00M,665.00M,1.543B,37.87B,48.61B,,31.45B,-20.14B,,,,-388.00M,10.93B,,AOR,Restated
2019-06,5.525B,16.23B,21.76B,3.801B,,3.801B,294.00M,1.788B,1.094B,3.176B,,2.011B,30.75B,,,,,,,,,4.882B,14.69B,6.813B,21.50B,,2.243B,28.63B,59.37B,,1.001B,,,1.001B,6.805B,7.806B,,,,2.816B,2.816B,,10.62B,27.80B,27.80B,763.00M,763.00M,1.535B,37.96B,48.58B,,31.31B,-20.05B,,,,-465.00M,10.79B,,AOR,Restated
2019-03,7.358B,18.94B,26.30B,3.771B,,3.771B,276.00M,1.77B,970.00M,3.016B,,2.063B,35.15B,,,,,,,,,4.892B,14.69B,7.124B,21.82B,,2.138B,28.85B,64.00B,,1.091B,,,1.091B,7.91B,9.001B,,,,3.705B,3.705B,,12.71B,29.32B,29.32B,811.00M,811.00M,1.46B,40.46B,53.16B,,31.24B,-19.90B,,,,-516.00M,10.83B,,AOR,Restated
2018-12,6.945B,22.36B,29.30B,3.58B,,3.58B,257.00M,1.66B,1.023B,2.94B,,1.794B,37.62B,0.00,265.00M,3.616B,4.716B,3.204B,953.00M,12.75B,-7.796B,4.958B,14.70B,7.443B,22.14B,,1.698B,28.80B,66.42B,,1.207B,914.00M,,2.121B,5.947B,8.068B,,,,4.419B,4.419B,,13.49B,29.51B,29.51B,864.00M,864.00M,1.284B,40.43B,53.92B,,31.25B,-17.98B,,,,-769.00M,12.50B,,AOR,Restated
2018-09,11.96B,17.96B,29.92B,3.441B,,3.441B,288.00M,1.771B,958.00M,3.017B,,1.941B,38.32B,,,,,,,,,4.899B,14.68B,7.782B,22.47B,,1.648B,29.01B,67.33B,,1.042B,,,1.042B,6.313B,7.355B,,,,5.077B,5.077B,,12.43B,29.35B,29.35B,978.00M,978.00M,1.392B,40.55B,52.98B,,31.14B,-15.99B,,,,-809.00M,14.35B,,AOR,Restated
