,NetIncome,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2016-09,2.017B,,,503.00M,503.00M,-165.00M,83.00M,51.00M,-73.00M,31.00M,141.00M,,,74.00M,173.00M,2.662B,,-68.00M,,-167.00M,99.00M,,-2.111B,-210.00M,-2.389B,,2.08B,0.00,2.08B,,-764.00M,-764.00M,-747.00M,-747.00M,,13.00M,582.00M,,2.63B,855.00M,3.485B,,,3.805B,-1.725B,-764.00M,,AOR,Restated
2016-06,1.87B,,,522.00M,522.00M,313.00M,87.00M,-93.00M,-21.00M,-23.00M,-272.00M,,,294.00M,-22.00M,2.677B,,-287.00M,,-188.00M,-99.00M,,-328.00M,-42.00M,-657.00M,,-876.00M,0.00,-876.00M,,-542.00M,-542.00M,-752.00M,-752.00M,,-116.00M,-2.286B,,2.896B,-266.00M,2.63B,,,-1.00M,-875.00M,-542.00M,,AOR,Restated
2016-03,1.90B,,,521.00M,521.00M,-68.00M,52.00M,135.00M,-98.00M,-133.00M,-156.00M,,,-238.00M,-625.00M,1.915B,,-156.00M,,-156.00M,,,-4.239B,5.00M,-4.39B,,2.784B,,2.784B,,-676.00M,-676.00M,-752.00M,-752.00M,,-129.00M,1.227B,,4.144B,-1.248B,2.896B,,,2.909B,-125.00M,-676.00M,,AOR,Restated
2015-12,1.80B,,,542.00M,542.00M,-356.00M,80.00M,-172.00M,-118.00M,197.00M,93.00M,,,7.00M,179.00M,2.073B,,-205.00M,3.00M,-202.00M,,,408.00M,-80.00M,-233.00M,,-124.00M,,-124.00M,,-183.00M,-183.00M,-596.00M,-596.00M,,-19.00M,-922.00M,,3.226B,918.00M,4.144B,,,1.00M,-125.00M,-183.00M,,AOR,Restated
2015-09,1.863B,,,523.00M,523.00M,-125.00M,82.00M,21.00M,-103.00M,88.00M,233.00M,,,310.00M,528.00M,2.892B,,-88.00M,45.00M,-93.00M,50.00M,,-1.82B,-140.00M,-2.003B,,-125.00M,,-125.00M,,-744.00M,-744.00M,-599.00M,-599.00M,,10.00M,-1.458B,,3.795B,-569.00M,3.226B,,,0.00,-125.00M,-744.00M,,AOR,Restated
2015-06,1.653B,,,519.00M,519.00M,-81.00M,90.00M,48.00M,-190.00M,145.00M,303.00M,,,797.00M,1.055B,3.284B,,-183.00M,226.00M,93.00M,-50.00M,,-2.278B,-124.00M,-2.359B,,1.439B,,1.439B,,-476.00M,-476.00M,-602.00M,-602.00M,,-355.00M,6.00M,,2.864B,931.00M,3.795B,,,3.464B,-2.025B,-476.00M,,AOR,Restated
2015-03,1.623B,,,524.00M,524.00M,-45.00M,70.00M,-43.00M,-9.00M,51.00M,-132.00M,,,-557.00M,-647.00M,1.482B,,-118.00M,,-118.00M,,,-731.00M,-103.00M,-952.00M,,-125.00M,,-125.00M,,-464.00M,-464.00M,-599.00M,-599.00M,,-209.00M,-1.397B,,3.731B,-867.00M,2.864B,,,0.00,-125.00M,-464.00M,,AOR,Restated
2014-12,1.294B,,,525.00M,525.00M,-404.00M,106.00M,316.00M,-209.00M,228.00M,345.00M,,,641.00M,1.005B,2.842B,,-338.00M,3.00M,-200.00M,-135.00M,-50.00M,827.00M,-68.00M,374.00M,,-2.125B,,-2.125B,,-138.00M,-138.00M,-464.00M,-464.00M,33.00M,-468.00M,-3.162B,,3.677B,54.00M,3.731B,,,0.00,-2.125B,-138.00M,,AOR,Restated
2014-09,1.244B,,,543.00M,543.00M,188.00M,103.00M,-153.00M,345.00M,59.00M,-214.00M,,,626.00M,816.00M,2.741B,,-320.00M,0.00,-170.00M,-150.00M,0.00,-2.648B,65.00M,-2.903B,,-125.00M,,-125.00M,,0.00,0.00,-464.00M,-464.00M,54.00M,22.00M,-513.00M,,4.352B,-675.00M,3.677B,,,0.00,-125.00M,0.00,,AOR,Restated
2014-06,1.547B,,,506.00M,506.00M,108.00M,112.00M,-99.00M,-180.00M,43.00M,-50.00M,,,240.00M,53.00M,2.227B,,-173.00M,0.00,-173.00M,,-11.00M,-3.045B,771.00M,-2.458B,,1.246B,,1.246B,,0.00,0.00,-463.00M,-463.00M,61.00M,52.00M,896.00M,,3.687B,665.00M,4.352B,,,4.476B,-3.23B,0.00,,AOR,Restated
