,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-11,6.818B,6.826B,5.584B,1.242B,95.46M,95.46M,0.00,,,,78.61M,1.164B,,,23.36M,,1.165B,273.74M,890.91M,,,-8.149M,882.76M,882.76M,1.220B,25.78M,1.194B,,2.82,,,2.82,2.82,,2.82,,,2.82,2.82,,309.15M,309.15M,0.25,,AOR,
2020-08,5.857B,5.870B,4.896B,974.26M,92.66M,92.66M,0.00,,,11.79M,104.45M,869.81M,,,-10.80M,,859.01M,189.69M,669.32M,,,-2.905M,666.42M,666.42M,894.12M,24.31M,869.81M,,2.13,,,2.13,2.13,,2.12,,,2.12,2.12,,308.89M,308.89M,0.125,,AOR,
2020-05,5.269B,5.287B,4.546B,741.29M,83.45M,83.45M,61.42M,,,,83.45M,657.84M,,,18.74M,,676.58M,160.48M,516.10M,,,1.308M,517.41M,470.54M,681.88M,24.05M,657.84M,,1.66,,,1.508,1.66,,1.65,,,1.498,1.65,,308.37M,308.37M,0.125,,AOR,
2020-02,4.503B,4.505B,3.989B,516.26M,86.85M,86.85M,,,,,86.85M,429.42M,,,-5.866M,,423.55M,32.33M,391.22M,,,7.229M,398.45M,398.45M,449.83M,20.41M,429.42M,,1.27,,,1.27,1.27,,1.27,,,1.27,1.27,,311.21M,311.22M,0.125,,AOR,
2019-11,6.964B,6.972B,5.988B,983.49M,93.04M,93.04M,0.00,,,,57.72M,925.78M,,,-19.47M,,888.69M,217.50M,671.18M,,,3.121M,674.30M,674.30M,944.88M,28.38M,916.51M,,2.13,,,2.13,2.13,,2.13,,,2.13,2.13,,313.90M,313.91M,0.04,,AOR,Restated
2019-08,5.847B,5.857B,5.116B,740.97M,92.62M,92.62M,0.00,,,-12.38M,80.24M,660.73M,,,6.351M,,667.08M,154.44M,512.64M,,,0.723M,513.37M,513.37M,683.57M,22.84M,660.73M,,1.60,,,1.60,1.60,,1.59,,,1.59,1.59,,318.10M,318.10M,0.04,,AOR,Restated
2019-05,5.547B,5.563B,4.887B,675.72M,76.11M,76.11M,,,,,76.11M,599.61M,,,-40.21M,,559.40M,140.53M,418.87M,,,2.603M,421.47M,421.47M,622.23M,22.62M,599.61M,,1.31,,,1.31,1.31,,1.30,,,1.30,1.30,,320.33M,320.33M,0.04,,AOR,Restated
2019-02,3.864B,3.868B,3.466B,402.11M,79.34M,79.34M,,,,,79.34M,322.76M,,,-3.641M,,319.12M,79.70M,239.42M,,,0.486M,239.91M,239.91M,341.13M,18.36M,322.76M,,0.74,,,0.74,0.74,,0.74,,,0.74,0.74,,321.34M,321.35M,0.04,,AOR,Restated
2018-11,6.426B,6.459B,5.577B,882.26M,94.86M,94.86M,-12.92M,,,,94.86M,787.39M,,,260.39M,,1.037B,238.30M,798.23M,,,-2.079M,796.15M,806.10M,1.096B,24.47M,1.071B,,2.42,,,2.451,2.42,,2.42,,,2.451,2.42,,325.73M,325.76M,0.04,,AOR,Restated
2018-08,5.645B,5.673B,4.993B,679.08M,96.35M,96.35M,-11.99M,,,,96.35M,582.74M,,,-16.82M,,565.92M,98.30M,467.62M,,,-14.41M,453.21M,463.07M,608.02M,25.28M,582.74M,,1.37,,,1.400,1.37,,1.37,,,1.400,1.37,,327.21M,327.24M,0.04,,AOR,Restated
