,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-11,2.863B,53.50M,2.917B,686.34M,,167.91M,,851.45M,,16.09B,1.086B,17.18B,69.69M,,22.50B,0.00,,145.31M,386.65M,57.08M,589.04M,-177.52M,411.52M,3.632B,,3.632B,2.371B,,86.63M,,931.49M,7.432B,29.94B,,1.037B,1.037B,1.037B,,,,706.69M,1.744B,7.422B,7.422B,,,104.54M,2.670B,10.09B,11.84B,,33.84M,10.56B,8.676B,1.279B,-0.805M,17.99B,,AOR,
2020-08,2.209B,53.77M,2.263B,612.68M,,,,612.68M,,17.28B,731.98M,18.01B,22.95M,,21.99B,,,,,,,,,3.632B,,3.632B,2.286B,,86.72M,,1.317B,7.322B,29.32B,,1.140B,1.140B,1.140B,,,,324.54M,1.465B,8.139B,8.139B,,,108.24M,2.431B,10.57B,12.03B,,33.84M,9.760B,8.655B,1.277B,-0.163M,17.17B,,AOR,
2020-05,1.642B,745.89M,2.388B,894.11M,,,,894.11M,,17.55B,728.31M,18.28B,14.96M,,22.74B,,,,,,,,,3.632B,,3.632B,1.589B,,87.18M,,1.264B,6.573B,29.31B,,1.034B,1.034B,1.034B,,,,344.07M,1.378B,8.937B,8.937B,,,89.92M,2.361B,11.30B,12.68B,,33.75M,9.133B,8.630B,1.254B,-0.338M,16.54B,,AOR,
2020-02,1.052B,61.32M,1.114B,593.76M,,,,593.76M,,18.23B,774.48M,19.00B,22.56M,,21.90B,,,,,,,,,3.658B,,3.658B,2.197B,,80.32M,,1.337B,7.272B,29.17B,,1.181B,1.181B,1.181B,,,,365.28M,1.546B,9.121B,9.121B,,,148.78M,2.314B,11.43B,12.98B,,33.75M,8.654B,8.610B,1.254B,0.452M,16.04B,,AOR,
2019-11,1.446B,51.94M,1.498B,630.06M,,203.23M,,829.97M,,17.46B,628.25M,18.09B,22.70M,,22.09B,0.00,,159.01M,225.26M,63.85M,448.11M,-168.58M,279.53M,3.658B,,3.658B,2.292B,,76.91M,,965.86M,7.272B,29.36B,,1.069B,1.069B,1.069B,,,,260.27M,1.329B,9.574B,9.574B,,,84.31M,2.423B,12.00B,13.33B,,33.66M,8.295B,8.578B,957.86M,0.498M,15.95B,,AOR,Restated
2019-08,1.045B,3.597M,1.049B,550.50M,,,,550.50M,,18.78B,352.08M,19.14B,24.40M,,21.99B,,,,,,,,,3.658B,,3.658B,2.318B,,78.02M,,1.417B,7.471B,29.46B,,1.093B,1.093B,1.093B,,,,298.72M,1.391B,10.28B,10.28B,,,94.01M,2.143B,12.60B,13.99B,,33.65M,7.633B,8.560B,855.20M,0.407M,15.37B,,AOR,Restated
2019-05,993.54M,3.356M,996.90M,383.86M,230.45M,,,614.32M,,18.38B,394.66M,18.77B,27.53M,,21.83B,,,,,,,,,3.658B,,3.658B,2.260B,,,,1.477B,7.750B,29.58B,,1.244B,1.244B,1.244B,,,,346.29M,1.590B,10.66B,10.66B,,,87.23M,2.087B,12.75B,14.34B,,33.45M,7.133B,8.530B,537.11M,0.227M,15.16B,,AOR,Restated
2019-02,1.038B,5.188M,1.043B,297.09M,354.22M,,,651.30M,,17.91B,301.94M,18.21B,24.69M,,20.98B,,,,,,,,,3.658B,,3.658B,2.190B,,,,1.561B,7.765B,28.75B,,1.196B,1.196B,1.196B,,,,267.34M,1.463B,10.38B,10.38B,,,106.88M,2.012B,12.39B,13.86B,,33.44M,6.724B,8.514B,485.02M,-0.158M,14.79B,,AOR,Restated
2018-11,1.558B,4.161M,1.563B,846.81M,,123.80M,,968.01M,,17.16B,208.96M,17.37B,37.52M,,21.15B,0.00,,141.47M,255.20M,61.99M,458.66M,-138.80M,319.86M,3.680B,,3.680B,2.095B,,73.83M,,1.243B,7.412B,28.57B,,1.155B,1.155B,1.155B,,,,175.59M,1.330B,10.12B,10.12B,,,101.42M,2.265B,12.55B,13.88B,,33.44M,6.488B,8.497B,435.87M,-0.366M,14.58B,,AOR,Restated
2018-08,1.048B,47.03M,1.095B,236.92M,386.45M,,,623.37M,,17.24B,328.84M,17.57B,35.13M,,20.41B,,,,,,,,,3.689B,,3.689B,2.124B,,,,1.720B,7.880B,28.29B,,1.109B,1.109B,1.109B,,,,280.55M,1.390B,10.61B,10.61B,,,84.16M,2.170B,12.78B,14.17B,,33.44M,5.705B,8.480B,185.52M,-0.615M,14.03B,,AOR,Restated
2018-05,1.154B,56.39M,1.210B,268.68M,307.99M,,,576.67M,,16.99B,404.78M,17.39B,42.50M,,20.49B,,,,,,,,,3.665B,,3.665B,2.085B,,,,1.787B,7.864B,28.35B,,990.83M,990.83M,990.83M,,,,359.74M,1.351B,11.30B,11.30B,,,107.56M,2.001B,13.30B,14.65B,,33.32M,5.265B,8.458B,164.55M,-0.339M,13.59B,,AOR,Restated
2018-02,1.030B,57.77M,1.087B,266.85M,368.03M,,,634.88M,,17.21B,366.67M,17.58B,54.63M,,20.17B,,,,,,,,,3.644B,,3.644B,2.045B,,,,1.687B,7.772B,27.94B,,923.85M,923.85M,923.85M,,,,347.05M,1.271B,11.59B,11.59B,,,113.15M,1.905B,13.50B,14.77B,,32.93M,4.968B,8.221B,161.38M,0.376M,13.06B,,AOR,Restated
2017-11,2.651B,57.44M,2.708B,129.41M,313.25M,80.60M,,520.60M,,10.47B,393.27M,10.86B,43.21M,,15.31B,0.00,,79.08M,188.07M,52.18M,319.34M,-104.27M,215.07M,196.40M,,196.40M,1.850B,,,,882.44M,3.438B,18.75B,,754.67M,754.67M,754.67M,,,,380.72M,1.135B,7.973B,7.973B,,,113.82M,1.651B,9.624B,10.76B,,24.31M,4.841B,3.142B,136.02M,1.034M,7.872B,,AOR,Restated
2017-08,837.73M,57.78M,895.51M,158.10M,339.68M,,,497.78M,,10.54B,386.58M,10.92B,54.13M,,13.34B,,,,,,,,,200.11M,,200.11M,1.897B,,,,1.203B,3.604B,16.94B,,653.01M,653.01M,653.01M,,,,381.68M,1.035B,6.861B,6.861B,,,105.20M,1.385B,8.245B,9.280B,,23.84M,4.779B,2.886B,136.07M,1.251M,7.554B,,AOR,Restated
2017-05,983.97M,56.00M,1.040B,562.66M,278.88M,,,841.54M,,10.29B,138.62M,10.43B,25.73M,,13.27B,,,,,,,,,196.47M,,196.47M,1.817B,,,,1.142B,3.487B,16.75B,,615.90M,615.90M,615.90M,,,,133.55M,749.45M,7.342B,7.342B,,,114.44M,1.226B,8.568B,9.317B,,23.71M,4.539B,2.868B,109.05M,1.086M,7.323B,,AOR,Restated
2017-02,929.06M,55.84M,984.90M,354.71M,248.42M,,,603.13M,,10.31B,156.16M,10.47B,28.86M,,12.81B,,,,,,,,,203.14M,,203.14M,1.684B,,,,1.160B,3.418B,16.23B,,579.36M,579.36M,579.36M,,,,153.44M,732.81M,6.965B,6.965B,,,149.72M,1.277B,8.242B,8.974B,,23.71M,4.335B,2.856B,109.05M,0.663M,7.106B,,AOR,Restated
2016-11,1.330B,53.57M,1.383B,330.74M,521.14M,39.79M,,891.56M,,9.058B,121.02M,9.179B,32.96M,,12.55B,0.00,,68.58M,151.46M,40.51M,260.55M,-86.94M,173.61M,39.84M,,39.84M,1.519B,,,,692.73M,2.809B,15.36B,,596.52M,596.52M,596.52M,,,,110.01M,706.52M,6.276B,6.276B,,,185.52M,1.168B,7.444B,8.150B,,23.71M,4.306B,2.805B,108.96M,-0.309M,7.026B,,AOR,Restated
2016-08,816.10M,51.54M,867.63M,78.99M,520.58M,,,599.57M,,9.529B,145.52M,9.674B,25.86M,,12.20B,,,,,,,,,39.84M,,39.84M,1.468B,,,,1.035B,2.802B,15.00B,,554.53M,554.53M,554.53M,,,,120.29M,674.82M,6.410B,6.410B,,,217.37M,1.151B,7.561B,8.236B,,23.04M,4.002B,2.628B,108.93M,1.123M,6.546B,,AOR,Restated
2016-05,815.48M,49.08M,864.56M,45.00M,381.50M,,,426.50M,,9.515B,158.52M,9.674B,27.92M,,12.05B,,,,,,,,,39.44M,,39.44M,1.455B,,,,1.031B,2.793B,14.85B,,525.74M,525.74M,525.74M,,,,131.67M,657.41M,6.714B,6.714B,,,244.57M,1.114B,7.827B,8.485B,,22.17M,3.775B,2.429B,108.73M,0.515M,6.118B,,AOR,Restated
2016-02,720.46M,45.18M,765.64M,61.23M,393.44M,,,454.67M,,9.348B,25.80M,9.374B,22.72M,,11.47B,,,,,,,,,39.44M,,39.44M,1.383B,,,,1.010B,2.727B,14.20B,,500.20M,500.20M,500.20M,,,,23.86M,524.07M,6.568B,6.568B,,,273.34M,1.009B,7.578B,8.102B,,21.72M,3.565B,2.342B,107.98M,-0.398M,5.820B,,AOR,Restated
2015-11,1.158B,42.83M,1.201B,230.08M,407.63M,22.36M,,670.60M,,8.682B,64.36M,8.746B,42.53M,,11.82B,0.00,,66.67M,93.17M,34.06M,193.91M,-78.35M,115.56M,38.85M,,38.85M,1.314B,,,,861.28M,2.599B,14.42B,,538.85M,538.85M,538.85M,,,,55.44M,594.29M,6.655B,6.655B,,,301.13M,1.220B,7.875B,8.469B,,21.36M,3.430B,2.306B,107.76M,0.039M,5.649B,,AOR,Restated
2015-08,805.29M,42.70M,848.00M,584.74M,392.18M,,,976.92M,,8.894B,57.53M,8.952B,43.31M,,11.80B,0.719M,,,,,0.719M,,0.719M,38.85M,,38.85M,1.065B,,,,907.32M,2.366B,14.17B,,491.80M,491.80M,491.80M,,,,48.46M,540.25M,6.854B,6.854B,,,314.68M,1.100B,7.954B,8.495B,,21.26M,3.157B,2.290B,107.70M,-0.187M,5.360B,,AOR,Restated
2015-05,920.16M,,920.16M,70.44M,401.68M,,,472.13M,,8.703B,56.76M,8.759B,42.20M,,11.30B,0.771M,,,,,0.771M,,0.771M,38.85M,,38.85M,1.091B,,,,1.050B,2.592B,13.90B,,489.78M,489.78M,489.78M,,,,47.90M,537.68M,6.786B,6.786B,,,336.98M,1.096B,7.882B,8.420B,,20.73M,2.942B,2.262B,85.54M,,5.139B,,AOR,Restated
