,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,4.472B,4.472B,3.658B,813.40M,390.00M,390.00M,,,99.00M,-1.377B,110.30M,,-110.30M,,489.00M,324.40M,,110.30M,-110.30M,-1.329B,-110.30M,-1.114B,40.00M,-1.154B,,,-1.156B,-150.94M,-638.60M,365.60M,2020-09,-4.439,,,-0.5752,2020-09,-4.45,,-4.45,,2020-09,260.10M,260.10M,0.20,,2020-09,AOR,
2020-06,4.236B,4.236B,3.466B,770.00M,388.10M,388.10M,,,99.60M,-9.00M,92.40M,,-92.40M,,487.70M,282.30M,,92.40M,-92.40M,9.30M,-92.40M,199.20M,19.20M,180.00M,,,178.50M,186.64M,657.30M,365.70M,2020-06,0.69,,,0.7214,2020-06,0.69,,0.69,,2020-06,259.40M,260.40M,0.20,,2020-06,AOR,
2020-03,4.447B,4.447B,3.642B,804.80M,419.50M,419.50M,,,100.10M,-11.30M,97.30M,,-97.30M,,519.60M,285.20M,,97.30M,-97.30M,18.80M,-97.30M,206.70M,57.80M,148.90M,,,148.10M,156.24M,678.50M,374.50M,2020-03,0.57,,,0.6014,2020-03,0.57,,0.57,,2020-03,259.00M,260.20M,0.465,,2020-03,AOR,
2019-12,4.424B,4.424B,3.615B,809.00M,,425.70M,,,101.80M,-28.80M,93.50M,,-93.50M,,527.50M,281.50M,,93.50M,-93.50M,-2.00M,-93.50M,186.00M,46.50M,139.50M,,,138.50M,160.10M,660.70M,381.20M,2019-12,0.54,,,0.6237,2019-12,0.53,,0.53,,2019-12,258.20M,259.90M,0.465,,2019-12,AOR,
2019-09,4.652B,4.652B,3.573B,1.079B,423.20M,423.20M,,,102.50M,-51.10M,114.00M,,-114.00M,,525.70M,553.00M,,114.00M,-114.00M,-37.30M,-114.00M,401.70M,89.30M,312.40M,,,310.80M,350.54M,898.80M,383.10M,2019-09,1.205,,,1.359,2019-09,1.20,,1.20,,2019-09,257.80M,259.10M,0.455,,2019-09,AOR,Restated
2019-06,4.69B,4.69B,3.701B,988.90M,440.70M,440.70M,,,102.40M,-16.10M,111.10M,,-111.10M,,543.10M,445.80M,,111.10M,-111.10M,-3.30M,-111.10M,331.40M,77.60M,253.80M,,,252.60M,264.93M,827.80M,385.30M,2019-06,0.98,,,1.028,2019-06,0.98,,0.98,,2019-06,257.30M,258.60M,0.455,,2019-06,AOR,Restated
2019-03,4.62B,4.62B,3.720B,899.60M,444.10M,444.10M,,,102.40M,-47.40M,111.80M,,-111.80M,,546.50M,353.10M,,111.80M,-111.80M,-32.20M,-111.80M,209.10M,47.20M,161.90M,,,160.40M,197.09M,704.60M,383.70M,2019-03,0.63,,,0.7730,2019-03,0.62,,0.62,,2019-03,256.60M,259.40M,0.455,,2019-03,AOR,Restated
2018-12,4.327B,4.327B,3.546B,781.80M,,400.90M,,,92.90M,-12.50M,94.40M,,-94.40M,,493.80M,288.00M,,94.40M,-94.40M,8.90M,-94.40M,202.50M,62.70M,139.80M,,,139.10M,147.72M,656.00M,359.10M,2018-12,0.55,,,0.5838,2018-12,0.54,,0.54,,2018-12,254.80M,259.50M,0.455,,2018-12,AOR,Restated
2018-09,4.237B,4.237B,3.295B,941.70M,377.70M,377.70M,,,73.30M,-43.00M,74.00M,,-74.00M,,451.00M,490.70M,,74.00M,-74.00M,-41.30M,-74.00M,375.40M,95.40M,280.00M,,,279.60M,311.68M,763.70M,314.30M,2018-09,1.103,,,1.229,2018-09,1.08,,1.08,,2018-09,253.50M,259.20M,0.43,,2018-09,AOR,Restated
2018-06,4.138B,4.138B,3.270B,867.10M,384.90M,384.90M,,,75.60M,-20.60M,76.70M,,-76.70M,,460.50M,406.60M,,76.70M,-76.70M,25.90M,-76.70M,355.80M,84.50M,271.30M,,,268.20M,283.92M,747.90M,315.40M,2018-06,1.05,,,1.111,2018-06,1.03,,1.03,,2018-06,256.10M,260.60M,0.43,,2018-06,AOR,Restated
2018-03,4.017B,4.017B,3.228B,789.40M,395.80M,395.80M,,,75.20M,-34.40M,78.30M,,-78.30M,,471.00M,318.40M,,78.30M,-78.30M,3.20M,-78.30M,243.30M,18.80M,224.50M,,,223.20M,254.95M,637.90M,316.30M,2018-03,0.87,,,0.9940,2018-03,0.86,,0.86,,2018-03,256.10M,260.30M,0.43,,2018-03,AOR,Restated
2017-12,3.894B,3.894B,3.120B,773.50M,560.80M,560.80M,,,72.50M,-46.00M,64.80M,,-64.80M,,633.30M,140.20M,,64.80M,-64.80M,-15.10M,-64.80M,60.30M,-1.073B,1.134B,,,1.135B,1.163B,431.30M,306.20M,2017-12,4.45,,,4.558,2017-12,4.38,,4.38,,2017-12,255.00M,259.20M,0.43,,2017-12,AOR,Restated
2017-09,4.061B,4.061B,3.283B,778.00M,370.00M,370.00M,,,72.80M,-39.90M,59.40M,,-59.40M,,442.80M,335.20M,,59.40M,-59.40M,-29.40M,-59.40M,246.40M,51.10M,195.30M,,,196.10M,227.73M,606.90M,301.10M,2017-09,0.7705,,,0.8948,2017-09,0.76,,0.76,,2017-09,254.50M,257.80M,0.40,,2017-09,AOR,Restated
2017-06,3.696B,3.696B,3.000B,695.50M,348.10M,348.10M,,,54.60M,133.20M,56.10M,,-56.10M,,402.70M,292.80M,,56.10M,-56.10M,150.60M,-56.10M,387.30M,60.70M,326.60M,,,328.10M,215.81M,718.60M,275.20M,2017-06,1.30,,,0.8546,2017-06,1.29,,1.29,,2017-06,252.10M,255.30M,0.40,,2017-06,AOR,Restated
2017-03,3.656B,3.656B,2.981B,675.40M,377.80M,377.80M,,,49.60M,-61.10M,52.90M,,-52.90M,,427.40M,248.00M,,52.90M,-52.90M,-53.30M,-52.90M,141.80M,43.60M,98.20M,,,103.10M,145.44M,458.60M,263.90M,2017-03,0.41,,,0.5786,2017-03,0.40,,0.40,,2017-03,251.20M,254.60M,0.40,,2017-03,AOR,Restated
