,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.250B,,1.250B,3.268B,404.10M,3.672B,648.10M,648.10M,190.20M,,,5.760B,,,,,401.50M,,401.50M,,401.50M,2.573B,461.80M,3.035B,,,,27.40M,3.464B,9.224B,1.922B,68.80M,52.30M,2.043B,649.10M,2.692B,608.90M,72.30M,681.20M,681.20M,246.80M,246.80M,,3.837B,3.859B,151.50M,4.010B,63.10M,63.10M,,,,75.40M,4.149B,7.985B,1.40M,-1.794B,3.162B,,-130.70M,1.238B
2020-06,958.40M,,958.40M,3.029B,353.90M,3.383B,694.80M,694.80M,199.70M,,,5.236B,,,,,463.80M,,463.80M,,463.80M,2.532B,492.90M,3.025B,,,,24.90M,3.514B,8.750B,1.809B,145.40M,479.10M,2.434B,651.50M,3.085B,,,37.90M,37.90M,275.40M,275.40M,,3.562B,3.862B,138.00M,4.000B,67.60M,67.60M,,,,65.20M,4.132B,7.694B,1.40M,-1.932B,3.138B,,-151.60M,1.056B
2020-03,214.40M,,214.40M,3.149B,442.50M,3.592B,672.10M,672.10M,187.40M,,,4.666B,,,,,461.40M,,461.40M,,461.40M,2.530B,540.20M,3.070B,,,,25.50M,3.557B,8.222B,1.967B,135.40M,345.50M,2.448B,706.60M,3.155B,,,33.70M,33.70M,257.60M,257.60M,,3.647B,3.438B,129.20M,3.568B,62.80M,62.80M,,,,55.00M,3.686B,7.333B,1.40M,-2.067B,3.115B,,-159.30M,889.70M
2019-12,154.00M,,154.00M,3.002B,395.10M,3.397B,611.20M,611.20M,171.60M,,,4.334B,0.0,27.70M,134.20M,223.00M,343.80M,23.30M,752.00M,-257.10M,494.90M,2.553B,594.10M,3.147B,,,,23.30M,3.665B,7.999B,1.835B,88.60M,429.90M,2.354B,639.30M,2.993B,,,34.10M,34.10M,252.20M,252.20M,,3.491B,3.283B,131.10M,3.414B,62.40M,62.40M,,,,71.00M,3.548B,7.039B,1.40M,-2.019B,3.095B,,-117.80M,960.30M
2019-09,166.90M,,166.90M,2.900B,432.20M,3.332B,603.60M,603.60M,193.10M,,,4.295B,,,,,255.30M,,255.30M,,255.30M,2.516B,616.10M,3.132B,,,,20.50M,3.408B,7.703B,1.90B,51.40M,411.70M,2.363B,449.00M,2.812B,,,25.40M,25.40M,212.10M,212.10M,,3.241B,3.259B,81.70M,3.341B,111.30M,111.30M,,,,75.00M,3.527B,6.768B,1.40M,-1.985B,3.073B,,-154.10M,935.10M
2019-06,194.50M,,194.50M,2.967B,406.00M,3.373B,652.20M,652.20M,205.30M,,,4.425B,,,,,280.70M,,280.70M,,280.70M,2.525B,660.50M,3.185B,,,,30.70M,3.497B,7.922B,2.056B,59.80M,465.70M,2.581B,491.00M,3.072B,,,25.50M,25.50M,200.80M,200.80M,,3.460B,3.253B,86.60M,3.340B,123.10M,123.10M,,,,62.50M,3.526B,6.986B,1.50M,-1.974B,3.048B,,-139.40M,936.10M
2019-03,285.00M,,285.00M,2.725B,353.40M,3.078B,590.70M,590.70M,178.30M,,,4.132B,,,,,287.30M,,287.30M,,287.30M,2.528B,696.00M,3.224B,,,,35.50M,3.547B,7.680B,1.745B,101.30M,500.00M,2.347B,472.10M,2.819B,,,25.70M,25.70M,192.10M,192.10M,,3.215B,3.258B,93.00M,3.351B,132.70M,132.70M,,,,53.80M,3.537B,6.752B,1.50M,-1.972B,3.025B,,-127.50M,927.30M
2018-12,205.80M,,205.80M,2.671B,316.40M,2.988B,454.30M,454.30M,149.10M,,,3.797B,0.0,27.70M,129.10M,190.60M,,24.50M,371.90M,-215.80M,156.10M,2.463B,712.20M,3.175B,,,,39.80M,3.371B,7.168B,1.577B,55.50M,429.30M,2.062B,351.20M,2.413B,,,25.30M,25.30M,178.30M,178.30M,,2.803B,3.183B,0.00,3.183B,141.90M,141.90M,,,,64.20M,3.389B,6.192B,1.50M,-1.893B,2.997B,,-130.60M,975.20M
2018-09,255.10M,,255.10M,2.650B,370.40M,3.021B,481.10M,481.10M,192.40M,,,3.950B,,,,,,,,,147.80M,2.470B,758.20M,3.228B,,,,50.40M,3.426B,7.375B,1.610B,45.80M,407.60M,2.063B,357.30M,2.421B,,,32.00M,32.00M,188.50M,188.50M,,2.804B,3.187B,,3.187B,158.40M,158.40M,,,,65.00M,3.411B,6.215B,1.50M,-1.704B,2.971B,,-108.20M,1.161B
2018-06,100.70M,,100.70M,2.612B,373.80M,2.986B,576.90M,576.90M,181.10M,,,3.845B,,,,,,,,,150.30M,2.472B,802.30M,3.275B,,,,60.30M,3.485B,7.330B,1.694B,60.40M,387.60M,2.142B,331.50M,2.473B,,,38.60M,38.60M,169.90M,169.90M,,2.82B,3.202B,,3.202B,172.90M,172.90M,,,,66.60M,3.441B,6.261B,1.50M,-1.781B,2.953B,,-105.10M,1.069B
