,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,4.726B,4.756B,3.931B,825.50M,,,507.70M,,,40.20M,-40.20M,,507.70M,317.80M,40.20M,-40.20M,-27.50M,-40.20M,250.10M,56.90M,193.20M,193.20M,193.20M,422.70M,132.40M,290.30M,1.36,,1.36,1.36,1.33,,1.33,1.33,142.70M,144.80M,0.38
2020-06,4.336B,4.366B,3.618B,747.20M,,,463.80M,,,39.70M,-39.70M,,463.80M,283.40M,39.70M,-39.70M,1.70M,-39.70M,245.40M,56.30M,189.10M,189.10M,189.10M,410.30M,125.20M,285.10M,1.32,,1.32,1.32,1.31,,1.31,1.31,142.40M,144.30M,0.38
2020-03,4.353B,4.389B,3.633B,756.50M,,,510.70M,,,37.90M,-37.90M,,510.70M,245.80M,37.90M,-37.90M,3.90M,-37.90M,211.80M,43.90M,167.90M,167.90M,167.90M,341.10M,91.40M,249.70M,1.18,,1.18,1.18,1.16,,1.16,1.16,142.70M,144.90M,0.38
2019-12,4.506B,4.537B,3.759B,777.50M,,,493.70M,,,38.30M,-38.30M,,493.70M,283.80M,38.30M,-38.30M,-9.50M,-38.30M,236.00M,50.40M,185.60M,185.60M,185.60M,343.90M,69.60M,274.30M,1.29,,1.29,1.29,1.27,,1.27,1.27,143.30M,146.60M,0.38
2019-09,4.875B,4.908B,4.091B,816.50M,,,495.90M,,,42.30M,-42.30M,,495.90M,320.60M,42.30M,-42.30M,-17.40M,-42.30M,260.90M,59.20M,201.70M,201.70M,201.70M,371.40M,68.20M,303.20M,1.39,,1.39,1.39,1.37,,1.37,1.37,144.50M,147.20M,0.295
2019-06,4.599B,4.630B,3.856B,773.80M,,,473.50M,,,40.50M,-40.50M,,473.50M,300.30M,40.50M,-40.50M,1.40M,-40.50M,261.20M,64.60M,196.60M,196.60M,196.60M,366.70M,65.00M,301.70M,1.35,,1.35,1.35,1.33,,1.33,1.33,145.70M,148.30M,0.295
2019-03,3.928B,3.958B,3.286B,672.10M,,,443.20M,,,38.30M,-38.30M,,443.20M,228.90M,38.30M,-38.30M,1.00M,-38.30M,191.60M,38.70M,152.90M,152.90M,152.90M,294.20M,64.30M,229.90M,1.04,,1.04,1.04,1.02,,1.02,1.02,147.00M,149.20M,0.295
2018-12,4.047B,4.075B,3.381B,693.80M,48.60M,402.30M,450.90M,,,37.10M,-37.10M,,450.90M,242.90M,37.10M,-37.10M,0.80M,-37.10M,206.60M,47.30M,159.30M,159.30M,159.30M,310.60M,66.90M,243.70M,1.07,,1.07,1.07,1.05,,1.05,1.05,148.80M,152.10M,0.295
2018-09,4.345B,4.373B,3.660B,713.60M,48.10M,390.70M,438.80M,,,36.60M,-36.60M,,438.80M,274.80M,36.60M,-36.60M,0.20M,-36.60M,238.40M,54.70M,183.70M,183.70M,183.70M,340.80M,65.80M,275.00M,1.22,,1.22,1.22,1.2,,1.2,1.2,150.90M,153.70M,0.21
2018-06,4.157B,4.186B,3.490B,695.60M,48.70M,381.40M,430.10M,,,37.20M,-37.20M,,430.10M,265.50M,37.20M,-37.20M,1.50M,-37.20M,229.80M,56.80M,173.00M,173.00M,173.00M,333.30M,66.30M,267.00M,1.14,,1.14,1.14,1.12,,1.12,1.12,151.60M,153.90M,0.21
2018-03,3.578B,3.606B,3.002B,603.90M,37.10M,362.70M,399.80M,,,37.70M,-37.70M,,399.80M,204.10M,37.70M,-37.70M,-0.70M,-37.70M,165.70M,38.70M,127.00M,127.00M,127.00M,270.00M,66.60M,203.40M,0.83,,0.83,0.83,0.82,,0.82,0.82,152.20M,154.80M,0.21
2017-12,3.639B,3.752B,3.138B,613.70M,45.60M,347.20M,392.80M,,,37.10M,-37.10M,,392.80M,220.90M,37.10M,-37.10M,0.20M,-37.10M,184.00M,-10.80M,194.80M,194.80M,194.80M,286.80M,65.70M,221.10M,1.28,,1.28,1.28,1.26,,1.26,1.26,152.70M,155.20M,0.21
2017-09,3.933B,3.933B,3.291B,642.20M,46.30M,351.90M,398.20M,,0.00,37.80M,-37.80M,,398.20M,244.00M,37.80M,-37.80M,0.70M,-37.80M,206.90M,77.60M,129.30M,129.30M,129.30M,310.40M,65.70M,244.70M,0.84,,0.84,0.84,0.83,,0.83,0.83,153.80M,156.20M,0.16
2017-06,3.892B,3.892B,3.251B,640.80M,46.50M,363.50M,410.00M,,,35.90M,-35.90M,,410.00M,230.80M,35.90M,-35.90M,0.40M,-35.90M,195.30M,54.40M,140.90M,140.90M,140.90M,296.50M,65.30M,231.20M,0.9,,0.9,0.9,0.89,,0.89,0.89,156.00M,159.00M,0.16
2017-03,3.256B,3.256B,2.702B,553.50M,35.40M,347.40M,382.80M,,-57.40M,39.70M,-39.70M,,382.80M,170.70M,39.70M,-39.70M,-56.50M,-39.70M,74.50M,16.30M,58.20M,58.20M,103.03M,178.40M,64.20M,114.20M,0.36,,0.6412,0.36,0.36,,0.6354,0.36,159.40M,162.80M,0.16
2016-12,3.183B,3.183B,2.604B,579.00M,44.60M,336.40M,381.00M,,0.00,33.90M,-33.90M,,381.00M,198.00M,33.90M,-33.90M,-0.50M,-33.90M,163.60M,59.70M,103.90M,103.90M,103.90M,261.30M,63.80M,197.50M,0.64,,0.64,0.64,0.63,,0.63,0.63,160.00M,163.30M,0.16
2016-09,3.708B,3.708B,3.094B,614.30M,41.90M,334.90M,376.80M,,-2.10M,37.60M,-37.60M,,376.80M,237.50M,37.60M,-37.60M,-1.70M,-37.60M,198.20M,72.30M,125.90M,125.90M,127.23M,298.80M,63.00M,235.80M,0.78,,0.7882,0.78,0.76,,0.7681,0.76,162.10M,164.90M,0.1075
2016-06,3.665B,3.665B,3.054B,610.50M,42.30M,344.70M,387.00M,,0.00,36.90M,-36.90M,,387.00M,223.50M,36.90M,-36.90M,0.90M,-36.90M,187.50M,70.00M,117.50M,117.50M,117.50M,288.10M,63.70M,224.40M,0.71,,0.71,0.71,0.7,,0.7,0.7,164.90M,166.70M,0.1075
2016-03,3.117B,3.117B,2.592B,524.50M,34.20M,329.30M,363.50M,,0.00,38.10M,-38.10M,,363.50M,161.00M,38.10M,-38.10M,1.00M,-38.10M,123.90M,46.10M,77.80M,77.80M,77.80M,226.00M,64.00M,162.00M,0.47,,0.47,0.47,0.46,,0.46,0.46,167.30M,168.90M,0.1075
2015-12,3.418B,3.418B,2.861B,557.60M,39.20M,338.50M,377.70M,,0.00,38.40M,-38.40M,,377.70M,179.90M,38.40M,-38.40M,0.20M,-38.40M,141.70M,52.40M,89.30M,89.30M,89.30M,242.50M,62.40M,180.10M,0.53,,0.53,0.53,0.52,,0.52,0.52,168.50M,170.30M,0.1075
2015-09,3.501B,3.501B,2.934B,567.20M,41.20M,321.40M,362.60M,,,38.50M,-38.50M,,362.60M,204.60M,38.50M,-38.50M,80.10M,-38.50M,246.20M,95.30M,150.90M,150.90M,150.90M,344.60M,59.90M,284.70M,0.89,,0.89,0.89,0.88,,0.88,0.88,169.60M,171.00M,0.0675
2015-06,3.314B,3.314B,2.780B,534.50M,38.00M,290.60M,328.60M,,0.00,37.80M,-37.80M,,328.60M,205.90M,37.80M,-37.80M,4.00M,-37.80M,172.10M,63.90M,108.20M,108.20M,108.20M,262.50M,52.60M,209.90M,0.63,,0.63,0.63,0.63,,0.63,0.63,171.00M,172.50M,0.0675
2015-03,2.755B,2.755B,2.299B,456.50M,29.40M,275.50M,304.90M,,-24.30M,44.80M,-44.80M,,304.90M,151.60M,44.80M,-44.80M,-19.80M,-44.80M,87.00M,32.30M,54.70M,54.70M,69.98M,184.30M,52.50M,131.80M,0.32,,0.4088,0.32,0.32,,0.4081,0.32,172.10M,173.50M,0.0675
2014-12,3.050B,3.050B,2.558B,491.90M,37.50M,290.10M,327.60M,,-36.90M,48.60M,-48.60M,,327.60M,164.30M,48.60M,-48.60M,-35.60M,-48.60M,80.10M,28.30M,51.80M,51.80M,75.66M,180.70M,52.00M,128.70M,0.3,,0.4389,0.3,0.3,,0.4379,0.3,171.80M,173.10M,0.0675
2014-09,3.266B,3.266B,2.759B,507.30M,37.20M,285.40M,322.60M,,-45.80M,50.10M,-50.10M,,322.60M,184.70M,50.10M,-50.10M,-45.10M,-50.10M,89.50M,33.90M,55.60M,55.60M,84.04M,191.50M,51.90M,139.60M,0.33,,0.4964,0.33,0.32,,0.4844,0.32,170.90M,173.00M,0.0425
2014-06,3.106B,3.106B,2.609B,496.90M,34.80M,273.90M,308.70M,,-2.60M,48.50M,-48.50M,,308.70M,188.20M,48.50M,-48.50M,-2.50M,-48.50M,137.20M,50.60M,86.60M,86.60M,88.24M,237.70M,52.00M,185.70M,0.51,,0.5196,0.51,0.5,,0.5095,0.5,170.20M,172.70M,0.0425
2014-03,2.652B,2.652B,2.227B,425.20M,28.50M,260.90M,289.40M,,-5.40M,50.10M,-50.10M,,289.40M,135.80M,50.10M,-50.10M,-4.90M,-50.10M,80.80M,29.90M,50.90M,50.90M,54.30M,182.90M,52.00M,130.90M,0.3,,0.3201,0.3,0.3,,0.3197,0.3,169.60M,172.30M,0.0425
2013-12,2.713B,2.713B,2.265B,448.30M,35.70M,270.60M,306.30M,,-8.50M,51.50M,-51.50M,,306.30M,142.00M,51.50M,-51.50M,-7.90M,-51.50M,82.60M,22.60M,60.00M,60.00M,66.17M,186.00M,51.90M,134.10M,0.35,,0.3866,0.35,0.35,,0.3859,0.35,168.90M,171.90M,0.0425
2013-09,2.864B,2.864B,2.406B,458.40M,33.10M,332.40M,365.50M,,-41.30M,56.20M,-56.20M,,365.50M,92.90M,56.20M,-56.20M,-41.50M,-56.20M,-4.80M,-2.60M,-2.20M,-2.20M,24.64M,103.40M,52.00M,51.40M,-0.01,,0.1509,-0.01,-0.01,,0.1509,-0.01,166.80M,166.80M,
2013-06,2.779B,2.779B,2.328B,451.60M,31.60M,266.40M,298.00M,,-10.30M,70.30M,-70.30M,,298.00M,153.60M,70.30M,-70.30M,-10.10M,-70.30M,73.20M,26.50M,46.70M,46.70M,53.27M,195.80M,52.30M,143.50M,0.32,,0.3652,0.32,0.32,,0.3648,0.32,145.30M,146.70M,
2013-03,2.412B,2.412B,2.010B,402.00M,30.40M,251.50M,281.90M,,-3.90M,72.10M,-72.10M,,281.90M,120.10M,72.10M,-72.10M,-3.50M,-72.10M,44.50M,16.20M,28.30M,28.30M,30.78M,168.60M,52.00M,116.60M,0.19,,0.2071,0.19,0.19,,0.207,0.19,145.20M,146.10M,
2012-12,2.601B,2.601B,2.176B,425.40M,33.10M,261.40M,294.50M,,-7.80M,74.90M,-74.90M,,294.50M,130.90M,74.90M,-74.90M,-7.90M,-74.90M,48.10M,14.80M,33.30M,33.30M,38.70M,174.10M,51.10M,123.00M,0.23,,0.2671,0.23,0.23,,0.267,0.23,145.40M,145.80M,
2012-09,2.623B,2.623B,2.191B,432.70M,36.00M,257.00M,293.00M,,0.00,76.70M,-76.70M,,293.00M,139.70M,76.70M,-76.70M,0.20M,-76.70M,63.20M,25.20M,38.00M,38.00M,38.00M,193.30M,53.40M,139.90M,0.26,,0.26,0.26,0.26,,0.26,0.26,145.10M,145.90M,
2012-06,2.585B,2.585B,2.158B,426.90M,31.00M,259.50M,290.50M,,0.00,76.90M,-76.90M,,290.50M,136.40M,76.90M,-76.90M,0.20M,-76.90M,59.70M,22.90M,36.80M,36.80M,36.80M,189.80M,53.20M,136.60M,0.25,,0.25,0.25,0.25,,0.25,0.25,145.10M,145.80M,
2012-03,2.319B,2.319B,1.935B,384.60M,29.40M,251.60M,281.00M,,-9.40M,78.90M,-78.90M,,281.00M,103.60M,78.90M,-78.90M,-9.60M,-78.90M,15.10M,4.20M,10.90M,10.90M,17.68M,146.50M,52.50M,94.00M,,,0.1217,0.0751,,,0.121,0.0746,145.20M,146.10M,
2011-12,2.479B,2.479B,2.070B,409.40M,35.80M,262.50M,298.30M,,-1.00M,,-80.90M,,298.30M,111.10M,,-80.90M,-0.30M,-80.90M,29.90M,10.90M,19.00M,19.00M,19.64M,-7.10M,,-7.10M,,,0.1352,0.1309,,,0.1344,0.13,145.20M,146.10M,
2011-09,2.581B,2.581B,2.161B,420.80M,28.30M,252.80M,281.10M,,0.50M,,-85.50M,,281.10M,139.70M,,-85.50M,0.50M,-85.50M,54.70M,17.60M,37.10M,37.10M,36.76M,139.70M,,139.70M,,,0.2532,0.2555,,,0.2516,0.2539,145.20M,146.10M,
2011-06,2.412B,2.412B,2.010B,401.80M,29.20M,244.40M,273.60M,,-115.70M,,-65.70M,,273.60M,128.20M,,-65.70M,-115.70M,-65.70M,-53.20M,-18.40M,-34.80M,-34.80M,40.88M,179.00M,50.80M,128.20M,,,0.2816,-0.2397,,,0.2798,-0.2397,145.20M,146.10M,
2011-03,2.130B,2.130B,1.778B,351.50M,29.40M,230.40M,259.80M,,-2.70M,,-92.10M,,259.80M,91.70M,,-92.10M,-2.70M,-92.10M,-3.10M,1.10M,-4.20M,-4.20M,-2.445M,143.30M,51.60M,91.70M,,,-0.0168,-0.0289,,,-0.0167,-0.0289,145.20M,146.10M,
2010-12,2.269B,2.269B,1.913B,356.70M,33.10M,242.40M,275.50M,,-7.50M,,-103.20M,,275.50M,81.20M,,-103.20M,-7.30M,-103.20M,-29.30M,-5.20M,-24.10M,-24.10M,-17.93M,83.40M,,83.40M,,,-0.1235,-0.166,,,-0.1227,-0.166,145.20M,146.10M,
2010-09,2.374B,2.374B,2.006B,368.40M,28.00M,235.80M,263.80M,,0.20M,,-105.10M,,263.80M,104.60M,,-105.10M,0.20M,-105.10M,-0.30M,0.00,-0.30M,-0.30M,-0.50M,104.60M,,104.60M,,,-0.0034,-0.0021,,,-0.0034,-0.0021,145.20M,146.10M,
2010-06,2.223B,2.223B,1.863B,359.90M,24.70M,239.60M,264.30M,,-0.10M,,-106.40M,,264.30M,95.60M,,-106.40M,-0.10M,-106.40M,-10.90M,-3.90M,-7.00M,-7.00M,-6.936M,148.30M,52.70M,95.60M,,,-0.0478,-0.0482,,,-0.0475,-0.0482,145.20M,146.10M,
2010-03,1.934B,1.934B,1.628B,305.90M,20.20M,214.40M,234.60M,,9.30M,,-77.10M,,234.60M,71.30M,,-77.10M,9.30M,-77.10M,3.50M,1.30M,2.20M,2.20M,-3.646M,123.70M,52.40M,71.30M,,,-0.0251,0.0152,,,-0.025,0.0151,145.20M,146.10M,
2009-12,1.964B,1.964B,1.662B,302.60M,22.30M,221.70M,244.00M,,-7.10M,,-114.30M,,244.00M,58.60M,,-114.30M,-7.10M,-114.30M,-62.80M,-25.40M,-37.40M,-37.40M,-33.14M,111.70M,53.10M,58.60M,,,-0.2282,-0.2576,,,-0.2268,-0.2576,145.20M,146.10M,
2009-09,1.963B,1.963B,1.662B,301.30M,27.60M,203.40M,231.00M,,0.40M,,-108.30M,,231.00M,70.30M,,-108.30M,0.40M,-108.30M,-37.60M,-12.60M,-25.00M,-25.00M,-25.27M,70.30M,,70.30M,,,-0.174,-0.1722,,,-0.1729,-0.1722,145.20M,146.10M,
2007-06,2.033B,2.033B,1.705B,327.99M,32.20M,172.12M,204.32M,,0.234M,,,,204.32M,123.67M,,,0.234M,,129.24M,49.15M,80.09M,80.09M,79.95M,134.75M,11.08M,123.67M,1.01,0.0,1.008,1.01,0.99,0.0,0.9882,0.99,79.10M,81.00M,
2007-03,1.859B,1.859B,1.558B,301.32M,29.18M,154.18M,183.36M,,-0.405M,,,,183.36M,117.96M,,,-0.405M,,121.91M,45.13M,76.78M,76.78M,77.04M,128.00M,10.05M,117.96M,0.98,0.0,0.9832,0.98,0.96,0.0,0.9632,0.96,78.61M,80.22M,
2006-12,1.824B,1.824B,1.540B,284.05M,28.46M,147.76M,176.22M,,-0.427M,,,,201.22M,82.82M,,,-0.427M,,86.33M,32.77M,53.56M,53.56M,53.82M,91.88M,9.058M,82.82M,0.68,0.0,0.6834,0.68,0.67,0.0,0.6733,0.67,78.63M,80.58M,
2006-09,1.739B,1.739B,1.472B,267.87M,28.96M,127.42M,156.38M,,-0.361M,,,,156.38M,111.49M,,,-0.361M,,116.30M,38.56M,77.73M,77.73M,77.98M,117.88M,6.39M,111.49M,1.0,0.0,1.003,1.0,0.98,0.0,0.983,0.98,77.89M,79.46M,
2006-06,1.633B,1.633B,1.369B,264.04M,30.01M,126.19M,156.20M,,-0.094M,,,,156.20M,107.84M,,,-0.094M,,113.24M,40.12M,73.11M,73.11M,73.17M,113.95M,6.111M,107.84M,0.93,0.0,0.9308,0.93,0.91,0.0,0.9108,0.91,78.99M,80.56M,
2006-03,1.589B,1.589B,1.335B,253.89M,30.90M,128.75M,159.64M,,-0.962M,,,,159.64M,94.25M,,,-0.962M,,98.49M,36.81M,61.68M,61.68M,62.28M,100.82M,6.579M,94.25M,0.77,0.0,0.7775,0.77,0.75,0.0,0.7573,0.75,80.00M,81.97M,
2005-12,1.607B,1.607B,1.358B,248.78M,28.54M,113.25M,141.79M,,-0.698M,,,,141.79M,106.99M,,,-0.698M,,110.61M,40.10M,70.51M,70.51M,70.95M,112.63M,5.641M,106.99M,0.88,0.0,0.8856,0.88,0.86,0.0,0.8654,0.86,80.05M,82.28M,
2005-09,1.670B,1.670B,1.415B,254.94M,29.84M,112.67M,142.51M,,-0.284M,,,,142.51M,112.43M,,,-0.284M,,115.81M,42.68M,73.12M,73.12M,73.30M,117.87M,5.443M,112.43M,0.91,0.0,0.9122,0.91,0.88,0.0,0.8822,0.88,80.53M,82.96M,
2005-06,1.540B,1.540B,1.302B,237.48M,29.66M,105.32M,134.99M,,-0.479M,,,,134.99M,102.49M,,,-0.479M,,106.00M,38.94M,67.06M,67.06M,67.36M,107.79M,5.301M,102.49M,0.82,0.0,0.8237,0.82,0.8,0.0,0.8036,0.8,81.34M,83.74M,
2005-03,1.475B,1.475B,1.249B,226.43M,26.46M,102.24M,128.70M,,-0.37M,,,,128.70M,97.73M,,,-0.37M,,100.54M,39.14M,61.40M,61.40M,61.62M,102.84M,5.108M,97.73M,0.74,0.0,0.7427,0.74,0.72,0.0,0.7226,0.72,82.62M,85.31M,
2004-12,1.507B,1.507B,1.284B,223.18M,,,98.51M,,-0.408M,,,23.29M,121.81M,101.37M,,,-0.408M,,103.68M,40.98M,62.70M,62.70M,62.95M,106.01M,4.639M,101.37M,0.76,0.0,0.763,0.76,0.73,0.0,0.7329,0.73,83.17M,86.18M,
2004-09,1.511B,1.511B,1.283B,227.96M,,,97.89M,,-0.422M,,,24.00M,121.89M,106.06M,,,-0.422M,,107.98M,42.80M,65.18M,65.18M,65.43M,110.51M,4.445M,106.06M,0.78,0.0,0.7831,0.78,0.76,0.0,0.763,0.76,83.05M,85.96M,
2004-06,1.383B,1.383B,1.168B,214.53M,,,94.10M,,-0.626M,,,25.29M,119.38M,95.15M,,,-0.626M,,96.60M,38.32M,58.28M,58.28M,58.65M,99.20M,4.057M,95.15M,0.7,0.0,0.7045,0.7,0.67,0.0,0.6744,0.67,83.54M,86.78M,
2004-03,1.337B,1.337B,1.132B,204.46M,,,96.07M,,-0.411M,,,18.22M,114.28M,90.18M,,,-0.411M,,91.61M,36.31M,55.29M,55.29M,55.54M,94.04M,3.857M,90.18M,0.66,0.0,0.663,0.66,0.63,0.0,0.6328,0.63,83.82M,87.28M,
2003-12,1.349B,1.349B,1.155B,193.72M,,,103.48M,,-0.869M,,,17.29M,120.76M,72.96M,,,-0.869M,,73.64M,29.09M,44.55M,44.55M,45.08M,76.81M,3.849M,72.96M,0.53,0.0,0.5363,0.53,0.51,0.0,0.5161,0.51,83.22M,86.63M,
2003-09,1.223B,1.223B,1.047B,176.22M,,,84.66M,,-0.41M,,,19.00M,103.66M,72.56M,,,-0.41M,,73.73M,29.12M,44.60M,44.60M,44.85M,76.32M,3.759M,72.56M,0.54,0.0,0.543,0.54,0.52,0.0,0.5229,0.52,82.79M,85.79M,
2003-06,1.075B,1.075B,918.84M,156.46M,,,68.76M,,-0.435M,,,17.21M,85.97M,70.48M,,,-0.435M,,72.10M,28.48M,43.62M,43.62M,43.89M,74.12M,3.635M,70.48M,0.52,0.0,0.5232,0.52,0.51,0.0,0.5131,0.51,83.35M,85.70M,
