,NetIncome,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,130.50M,,13.00M,13.00M,41.50M,41.50M,3.20M,3.90M,,-7.10M,209.40M,-9.30M,-47.40M,,-11.60M,35.80M,176.90M,-21.00M,340.90M,-12.00M,,,,-11.60M,-2.50M,-26.10M,0.10M,-305.10M,-305.00M,9.60M,0.00,9.60M,-57.20M,-57.20M,-8.70M,-361.30M,342.70M,-46.50M,0.90M,297.10M,9.60M,0.10M,0.00,0.00
2020-06,195.80M,,3.50M,3.50M,40.10M,40.10M,-15.00M,3.90M,,-2.90M,152.30M,-69.10M,122.80M,,44.30M,-215.20M,35.10M,-25.90M,234.60M,-7.70M,,,,-12.00M,-11.50M,-30.10M,-482.20M,238.80M,-243.40M,4.20M,-0.10M,4.10M,-57.10M,-57.10M,-3.50M,-299.90M,436.20M,-95.40M,1.90M,342.70M,4.20M,-482.90M,0.70M,-0.10M
2020-03,213.70M,,3.20M,3.20M,39.10M,39.10M,14.40M,7.40M,,-11.00M,-283.80M,-63.30M,44.60M,,-11.40M,-261.80M,-575.70M,-19.40M,-328.30M,-15.50M,,,,-18.60M,-9.10M,-43.20M,499.30M,30.70M,530.00M,9.20M,-7.40M,1.80M,-57.00M,-57.00M,,474.80M,339.10M,103.30M,-6.20M,436.20M,9.20M,500.00M,-0.70M,-7.40M
2019-12,30.70M,,4.40M,4.40M,39.00M,39.00M,49.70M,6.40M,,124.80M,-242.20M,158.20M,-10.60M,,2.70M,326.70M,234.80M,-30.90M,458.90M,-37.10M,,,,-6.00M,-33.30M,-76.40M,-300.30M,-29.30M,-329.60M,22.00M,-100.00M,-78.00M,-52.00M,-52.00M,-2.20M,-461.80M,419.70M,-79.30M,-1.30M,339.10M,22.00M,0.00,-300.30M,-100.00M
2019-09,110.80M,,-1.10M,-1.10M,36.60M,36.60M,-1.00M,6.30M,,-16.70M,347.80M,-24.80M,-108.20M,,1.50M,-68.60M,147.70M,-27.50M,255.10M,-21.30M,,,,-15.30M,-19.80M,-56.40M,899.40M,-531.30M,368.10M,14.10M,-100.10M,-86.00M,-52.30M,-52.30M,-94.10M,135.70M,83.40M,334.40M,1.90M,419.70M,14.10M,1.50B,-600.60M,-100.10M
2019-06,194.40M,,4.70M,4.70M,37.20M,37.20M,3.50M,6.80M,,-14.90M,160.30M,-17.30M,-103.10M,,-6.90M,-198.60M,-165.60M,-14.40M,51.70M,-16.40M,,,,-14.10M,0.80M,-29.70M,-0.50M,103.10M,102.60M,2.90M,-100.10M,-97.20M,-52.80M,-52.80M,-1.10M,-48.50M,109.50M,-26.50M,0.40M,83.40M,2.90M,0.00,-0.50M,-100.10M
2019-03,207.60M,,4.60M,4.60M,37.30M,37.30M,-6.10M,6.10M,,-17.90M,-389.40M,-109.70M,214.10M,,11.30M,-240.80M,-514.50M,5.70M,-277.20M,-19.10M,,,,-12.60M,-1.70M,-24.20M,-0.50M,445.60M,445.10M,11.70M,-116.00M,-104.30M,-53.20M,-53.20M,,250.40M,161.70M,-51.00M,-1.20M,109.50M,11.70M,0.00,-0.50M,-116.00M
2018-12,156.70M,0.00,2.10M,2.10M,38.80M,38.80M,-5.20M,5.20M,,5.50M,-396.20M,-88.50M,-255.80M,,30.00M,489.80M,-220.70M,-28.00M,-45.60M,-37.00M,,,0.00,-18.40M,-5.60M,-93.40M,-150.60M,98.30M,-52.30M,364.90M,-201.40M,163.50M,-22.30M,-22.30M,-0.70M,122.20M,161.80M,-16.80M,2.00M,134.40M,364.90M,0.00,-150.60M,-201.40M
2018-09,50.90M,0.00,-0.10M,-0.10M,37.80M,37.80M,8.00M,5.30M,,-10.60M,309.90M,-53.20M,-102.30M,,-8.20M,-57.70M,88.50M,40.80M,220.60M,-15.70M,,,9.40M,-11.70M,-3.80M,-41.40M,-286.10M,-20.60M,-306.70M,1.30M,-0.20M,1.10M,-22.30M,-22.30M,-2.40M,-330.30M,324.90M,-151.10M,1.20M,161.80M,1.30M,0.00,-286.10M,-0.20M
2018-06,99.80M,0.00,1.80M,1.80M,38.80M,38.80M,-24.60M,5.70M,,58.30M,136.20M,0.80M,96.80M,,-22.10M,-123.60M,88.10M,3.90M,271.80M,-15.50M,,,0.00,-9.00M,-1.80M,-41.20M,-114.70M,-136.20M,-250.90M,4.20M,-0.10M,4.10M,-22.30M,-22.30M,,-269.10M,358.30M,-38.50M,5.20M,324.90M,4.20M,,-114.70M,-0.10M
2018-03,230.20M,-0.10M,2.30M,2.20M,34.80M,34.80M,-22.10M,6.30M,,-118.30M,-331.40M,-59.80M,437.40M,,15.70M,-262.40M,-200.50M,-11.00M,-78.40M,-14.80M,,,98.20M,-9.40M,-2.40M,45.10M,-0.60M,138.00M,137.40M,3.90M,-5.10M,-1.20M,-22.30M,-22.30M,,113.90M,283.00M,80.60M,-3.90M,358.30M,3.90M,,-0.60M,-5.10M
2017-12,-297.70M,0.10M,-2.10M,-2.00M,26.60M,26.60M,108.40M,4.80M,,4.10M,-477.90M,5.30M,206.60M,,-6.20M,387.50M,115.30M,56.50M,16.00M,-1.00M,-1.60M,-1.60M,-1.226B,,9.70M,-1.284B,1.495B,-17.20M,1.478B,2.40M,-0.80M,1.60M,-22.20M,-22.20M,0.00,1.457B,93.80M,189.40M,-0.20M,281.80M,2.40M,1.496B,-0.40M,-0.80M
2017-09,70.90M,0.00,-1.70M,-1.70M,25.10M,25.10M,-2.80M,5.10M,,-20.60M,7.50M,-59.50M,24.40M,,-15.50M,34.60M,-8.50M,-8.10M,59.40M,-16.40M,0.80M,0.80M,0.00,,-3.20M,14.20M,-95.80M,18.10M,-77.70M,5.80M,-0.30M,5.50M,-22.30M,-22.30M,0.00,-94.50M,113.20M,-20.90M,1.50M,93.80M,5.80M,5.40M,-101.20M,-0.30M
