,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2011-03,795.00M,795.00M,506.90M,288.10M,105.90M,22.70M,-4.50M,,-9.90M,,128.60M,159.50M,,-9.90M,-3.60M,-9.90M,146.00M,40.60M,105.40M,-8.00M,,-3.40M,94.00M,105.25M,189.90M,30.40M,159.50M,0.71,-0.055,,,0.7335,0.655,0.705,-0.055,,,0.7283,0.65,138.34M,139.47M,0.075
2010-12,810.50M,810.50M,546.10M,264.40M,124.80M,30.70M,-91.50M,,-10.30M,,169.70M,94.70M,,-10.30M,-101.20M,-10.30M,-16.80M,25.20M,-42.00M,-8.30M,,-3.20M,-53.50M,14.28M,-5.50M,34.60M,-40.10M,-0.31,-0.055,,,0.1046,-0.365,-0.31,-0.055,,,0.1006,-0.365,143.44M,144.85M,0.0625
2010-09,772.50M,772.50M,517.80M,254.70M,99.90M,24.00M,-3.70M,,-9.60M,,123.90M,130.80M,,-9.60M,-2.70M,-9.60M,118.50M,32.30M,86.20M,-0.30M,,-3.00M,82.90M,85.89M,163.30M,32.50M,130.80M,0.57,0.0,,,0.5886,0.57,0.57,-0.005,,,0.5884,0.565,144.68M,146.11M,0.0625
2010-06,776.80M,776.80M,512.20M,264.60M,95.60M,22.30M,-15.30M,,-9.40M,,117.90M,146.70M,,-9.40M,-15.30M,-9.40M,122.00M,33.80M,88.20M,-19.30M,,-3.20M,65.70M,96.06M,179.30M,32.60M,146.70M,0.585,-0.135,,,0.6613,0.45,0.58,-0.135,,,0.6554,0.45,144.97M,146.80M,0.0625
2010-03,756.50M,756.50M,489.50M,267.00M,90.90M,23.50M,-16.70M,,-10.00M,,114.40M,152.60M,,-10.00M,-15.80M,-10.00M,126.80M,40.70M,86.10M,-5.70M,,-3.00M,77.40M,94.44M,186.50M,33.90M,152.60M,0.57,-0.04,,,0.6484,0.53,0.57,-0.04,,,0.6473,0.53,144.62M,146.66M,0.0625
2009-12,722.10M,722.10M,502.40M,219.70M,87.70M,28.60M,-47.90M,,-7.30M,,116.30M,103.40M,,-7.30M,-48.00M,-7.30M,48.10M,-21.20M,69.30M,-2.50M,,-4.70M,62.10M,95.74M,6.80M,33.70M,-26.90M,0.44,-0.015,,,0.6559,0.425,0.44,-0.015,,,0.6525,0.425,144.24M,146.51M,0.0625
2009-09,713.30M,713.30M,510.00M,203.30M,79.80M,23.20M,-32.30M,,-6.20M,,103.00M,100.30M,,-6.20M,-31.40M,-6.20M,62.70M,27.20M,35.50M,-6.10M,,-1.40M,28.00M,55.10M,132.60M,32.30M,100.30M,0.235,-0.04,,,0.3807,0.195,0.23,-0.04,,,0.3735,0.19,144.13M,146.29M,0.0625
2009-06,700.30M,700.30M,477.30M,223.00M,74.70M,21.00M,-30.10M,,-6.50M,,95.70M,127.30M,,-6.50M,-30.30M,-6.50M,90.50M,13.60M,76.90M,-5.20M,,-2.40M,69.30M,100.08M,158.20M,30.90M,127.30M,0.51,-0.035,,,0.687,0.475,0.505,-0.035,,,0.6793,0.47,144.49M,146.74M,0.0625
2009-03,690.50M,690.50M,453.90M,236.60M,80.10M,20.00M,-22.50M,,-7.00M,,100.10M,136.50M,,-7.00M,-20.80M,-7.00M,108.70M,33.40M,75.30M,-4.40M,,-1.80M,69.10M,89.09M,166.80M,30.30M,136.50M,0.505,-0.03,,,0.6129,0.475,0.5,-0.03,,,0.6062,0.47,144.50M,146.79M,0.0625
2008-12,737.70M,737.70M,518.00M,219.70M,81.20M,25.60M,-31.60M,,-7.40M,,106.80M,112.90M,,-7.40M,-31.40M,-7.40M,57.10M,17.40M,39.70M,-4.80M,,-5.60M,46.30M,73.07M,80.30M,29.90M,50.40M,0.375,-0.035,,,0.5282,0.34,0.35,-0.035,,,0.498,0.315,143.44M,148.47M,0.0625
