,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,,3.73B,,3.73B,2.077B,,2.077B,460.00M,196.00M,1.26B,1.916B,346.00M,,342.00M,8.411B,0.00,166.00M,1.849B,6.884B,2.274B,701.00M,11.87B,-6.549B,5.325B,3.217B,1.671B,4.888B,135.00M,222.00M,748.00M,290.00M,11.61B,20.02B,,1.043B,125.00M,283.00M,,1.451B,810.00M,2.261B,92.00M,,,406.00M,406.00M,111.00M,517.00M,,,,,3.333B,50.00M,5.786B,501.00M,6.287B,143.00M,0.00,143.00M,1.214B,37.00M,182.00M,7.96B,11.29B,,683.00M,16.33B,6.043B,11.05B,,-3.314B,8.689B,,AOR,
2020-09,,4.359B,,4.359B,2.001B,,2.001B,462.00M,205.00M,1.321B,1.988B,685.00M,,,9.033B,,,,,11.57B,,11.57B,-6.53B,5.038B,3.094B,1.678B,4.772B,,,,1.255B,11.06B,20.10B,,2.695B,,,,2.695B,,2.695B,,,,,727.00M,,727.00M,,,,,3.422B,,5.76B,490.00M,6.25B,,,,,35.00M,1.824B,8.074B,11.50B,,683.00M,16.28B,6.009B,10.57B,,-3.839B,8.567B,,AOR,
2020-06,,4.085B,,4.085B,1.884B,,1.884B,450.00M,189.00M,1.266B,1.905B,692.00M,,,8.566B,,,,,11.26B,,11.26B,-6.301B,4.963B,3.052B,1.716B,4.768B,,,,1.168B,10.90B,19.46B,,2.561B,,,,2.561B,,2.561B,,,,,319.00M,,319.00M,,,,,2.88B,,6.055B,488.00M,6.543B,,,,,32.00M,1.882B,8.425B,11.30B,,683.00M,16.06B,5.975B,10.60B,,-3.988B,8.128B,,AOR,
2020-03,,4.11B,,4.11B,1.892B,,1.892B,402.00M,188.00M,1.104B,1.694B,637.00M,,,8.333B,,,,,11.02B,,11.02B,-6.103B,4.917B,2.961B,1.759B,4.72B,,,,1.105B,10.74B,19.08B,,2.50B,,,,2.50B,,2.50B,,,,,536.00M,,536.00M,,,,,3.036B,,5.996B,486.00M,6.482B,,,,,31.00M,1.827B,8.309B,11.34B,,683.00M,15.94B,5.935B,10.68B,,-4.177B,7.699B,,AOR,
2019-12,,3.335B,,3.335B,1.896B,,1.896B,377.00M,185.00M,1.091B,1.653B,304.00M,,315.00M,7.503B,0.00,148.00M,1.761B,6.671B,2.097B,591.00M,11.27B,-6.148B,5.12B,3.03B,1.471B,4.501B,76.00M,231.00M,621.00M,141.00M,10.69B,18.19B,,892.00M,111.00M,198.00M,,1.201B,803.00M,2.004B,83.00M,,,541.00M,541.00M,101.00M,642.00M,,,,,3.23B,39.00M,4.809B,510.00M,5.319B,192.00M,52.00M,244.00M,1.26B,30.00M,108.00M,7.051B,10.28B,,683.00M,15.72B,5.955B,10.76B,,-3.71B,7.882B,,AOR,Restated
2019-09,,3.009B,,3.009B,1.814B,,1.814B,380.00M,194.00M,1.141B,1.715B,672.00M,,,7.21B,,,,,10.97B,,10.97B,-5.973B,4.995B,2.847B,1.365B,4.212B,,,,882.00M,10.09B,17.30B,,2.609B,,,,2.609B,,2.609B,,,,,2.00M,,2.00M,,,,,2.611B,,5.063B,494.00M,5.557B,,,,,29.00M,1.514B,7.071B,9.682B,,683.00M,15.85B,5.926B,10.58B,,-4.288B,7.588B,,AOR,Restated
2019-06,,2.925B,,2.925B,1.885B,,1.885B,397.00M,197.00M,1.163B,1.757B,651.00M,,,7.218B,,,,,11.18B,,11.18B,-6.052B,5.129B,2.938B,1.364B,4.302B,,,,895.00M,10.33B,17.54B,,2.593B,,,,2.593B,,2.593B,,,,,4.00M,,4.00M,,,,,2.597B,,5.157B,490.00M,5.647B,,,,,24.00M,1.464B,7.111B,9.708B,,683.00M,16.18B,5.906B,10.32B,,-4.639B,7.812B,,AOR,Restated
2019-03,,1.908B,,1.908B,1.802B,,1.802B,378.00M,213.00M,1.16B,1.751B,626.00M,,,6.087B,,,,,10.99B,,10.99B,-5.931B,5.056B,2.93B,1.441B,4.371B,,,,836.00M,10.26B,16.35B,,2.529B,,,,2.529B,,2.529B,,,,,798.00M,,798.00M,,,,,3.327B,,3.451B,420.00M,3.871B,,,,,23.00M,1.483B,5.354B,8.681B,,683.00M,15.97B,5.839B,10.28B,,-4.562B,7.646B,,AOR,Restated
2018-12,,1.838B,,1.838B,1.84B,,1.84B,367.00M,207.00M,1.093B,1.667B,210.00M,,404.00M,5.959B,0.00,142.00M,1.703B,6.423B,1.364B,701.00M,10.33B,-5.803B,4.53B,3.002B,1.41B,4.412B,44.00M,176.00M,483.00M,116.00M,9.761B,15.72B,,998.00M,101.00M,235.00M,,1.334B,900.00M,2.234B,90.00M,,,4.00M,4.00M,0.00,4.00M,,,,,2.814B,42.00M,3.481B,0.00,3.481B,215.00M,3.00M,218.00M,1.087B,22.00M,135.00M,5.04B,7.854B,,683.00M,15.08B,5.898B,9.989B,,-3.823B,7.844B,,AOR,Restated
2018-09,,2.86B,,2.86B,1.826B,,1.826B,373.00M,224.00M,1.121B,1.718B,624.00M,,,7.028B,,,,,,,10.32B,-5.803B,4.52B,2.98B,1.402B,4.382B,,,,917.00M,9.819B,16.85B,,2.592B,,109.00M,,2.701B,,2.701B,,,,,3.00M,,3.00M,,,,,2.704B,,3.485B,,3.485B,,,,,-17.00M,1.545B,5.03B,7.734B,,683.00M,15.39B,5.931B,8.639B,,-4.239B,9.13B,,AOR,Restated
