,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,3.181B,3.181B,1.99B,1.191B,,696.00M,696.00M,135.00M,,-110.00M,41.00M,3.00M,-38.00M,,831.00M,360.00M,3.00M,41.00M,-38.00M,-112.00M,-38.00M,210.00M,39.00M,171.00M,,,-3.00M,,168.00M,251.06M,464.00M,213.00M,251.00M,,0.33,,,,0.4932,0.33,,0.33,,,,0.4907,0.33,,509.00M,517.00M,0.245,,AOR,
2020-09,2.972B,2.972B,1.777B,1.195B,,601.00M,601.00M,123.00M,,-1.00M,42.00M,3.00M,-39.00M,,724.00M,471.00M,3.00M,42.00M,-39.00M,-17.00M,-39.00M,415.00M,56.00M,359.00M,,,-3.00M,,356.00M,376.76M,666.00M,209.00M,457.00M,,0.70,,,,0.7406,0.70,,0.69,,,,0.7301,0.69,,511.00M,518.00M,0.245,,AOR,
2020-06,2.718B,2.718B,1.68B,1.038B,,590.00M,590.00M,117.00M,,0.00,40.00M,4.00M,-36.00M,,707.00M,331.00M,4.00M,40.00M,-36.00M,-6.00M,-36.00M,289.00M,42.00M,247.00M,,,-1.00M,,246.00M,254.55M,531.00M,202.00M,329.00M,,0.48,,,,0.4968,0.48,,0.48,,,,0.4965,0.48,,509.00M,517.00M,0.245,,AOR,
2020-03,2.802B,2.802B,1.639B,1.163B,,628.00M,628.00M,146.00M,,,30.00M,9.00M,-21.00M,-20.00M,754.00M,409.00M,9.00M,30.00M,-21.00M,-10.00M,-21.00M,378.00M,45.00M,333.00M,,,-1.00M,,331.00M,340.69M,607.00M,199.00M,408.00M,,0.65,,,,0.6691,0.65,,0.64,,,,0.6588,0.64,,507.00M,516.00M,0.22,,AOR,
2019-12,3.039B,3.039B,1.741B,1.298B,,1.421B,1.421B,156.00M,,60.00M,30.00M,10.00M,-20.00M,,1.577B,-279.00M,10.00M,30.00M,-20.00M,76.00M,-20.00M,-223.00M,-204.00M,-19.00M,,,-4.00M,,-23.00M,-72.64M,16.00M,209.00M,-193.00M,,-0.04,,,,-0.1381,-0.04,,-0.04,,,,-0.1362,-0.04,,506.00M,516.00M,0.22,,AOR,Restated
2019-09,2.851B,2.851B,1.621B,1.23B,,627.00M,627.00M,144.00M,,44.00M,28.00M,15.00M,-13.00M,,771.00M,459.00M,15.00M,28.00M,-13.00M,35.00M,-13.00M,481.00M,106.00M,375.00M,,,-6.00M,,369.00M,358.08M,704.00M,195.00M,509.00M,,0.72,,,,0.6986,0.72,,0.71,,,,0.689,0.71,,511.00M,520.00M,0.22,,AOR,Restated
2019-06,2.834B,2.834B,1.681B,1.153B,,641.00M,641.00M,166.00M,,4.00M,28.00M,8.00M,-20.00M,,807.00M,346.00M,8.00M,28.00M,-20.00M,-15.00M,-20.00M,326.00M,13.00M,313.00M,,,0.00,,313.00M,323.56M,547.00M,193.00M,354.00M,,0.61,,,,0.6307,0.61,,0.60,,,,0.6203,0.60,,510.00M,519.00M,0.22,,AOR,Restated
2019-03,2.638B,2.638B,1.558B,1.08B,,601.00M,601.00M,129.00M,,,25.00M,7.00M,-18.00M,-33.00M,697.00M,383.00M,7.00M,25.00M,-18.00M,21.00M,-18.00M,386.00M,44.00M,342.00M,,,0.00,,342.00M,341.11M,603.00M,192.00M,411.00M,,0.67,,,,0.6683,0.67,,0.66,,,,0.6583,0.66,,512.00M,522.00M,0.19,,AOR,Restated
2018-12,2.833B,2.833B,1.65B,1.183B,,628.00M,628.00M,175.00M,,,23.00M,12.00M,-11.00M,-10.00M,793.00M,390.00M,12.00M,23.00M,-11.00M,34.00M,-11.00M,413.00M,102.00M,311.00M,,,0.00,,305.00M,312.51M,621.00M,185.00M,436.00M,,0.67,-0.01,,,0.6729,0.66,,0.66,-0.01,,,0.6628,0.65,,528.00M,540.00M,0.19,,AOR,Restated
2018-09,2.761B,2.761B,1.529B,1.232B,,684.00M,684.00M,166.00M,,0.00,24.00M,13.00M,-11.00M,,850.00M,382.00M,13.00M,24.00M,-11.00M,1.00M,-11.00M,372.00M,-146.00M,518.00M,,,0.00,,518.00M,524.08M,595.00M,199.00M,396.00M,,0.97,,,,0.9814,0.97,,0.95,,,,0.9611,0.95,,534.00M,546.00M,0.19,,AOR,Restated
