,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2017-09,358.27M,,,13.45M,0.00,-17.22M,-3.772M,,,113.32M,113.32M,,,12.34M,43.66M,,,,,,537.19M,,-155.91M,,-75.94M,,,,-155.91M,,991.70M,,991.70M,2.852M,-0.645M,2.207M,290.12M,-922.50M,-632.38M,,,-409.61M,-1.309M,-49.39M,,387.12M,331.89M,-0.061M,718.96M,,292.97M,992.13M,-0.426M,-923.14M,,AOR,Restated
2017-06,355.21M,,,25.44M,-0.975M,-20.07M,4.397M,,,110.18M,110.18M,,,4.265M,18.92M,,,,,,506.24M,,-132.92M,,-93.58M,,,,-127.33M,,-0.421M,,-0.421M,13.87M,-0.159M,13.71M,271.06M,,271.06M,,,-409.65M,-16.13M,-141.44M,,149.76M,237.48M,-0.121M,387.12M,,284.92M,,-0.421M,-0.159M,,AOR,Restated
2017-03,344.02M,,,5.566M,,-19.95M,-14.38M,,,110.93M,110.93M,,,8.897M,-3.633M,,,,,,459.08M,,-118.12M,,-70.96M,,,,-118.12M,,-0.42M,,-0.42M,18.03M,-11.60M,6.429M,,,,,,-408.33M,-1.463M,-403.79M,,212.57M,-62.83M,0.017M,149.76M,,18.03M,,-0.42M,-11.60M,,AOR,Restated
2016-12,415.68M,,,-23.56M,0.00,-15.13M,-38.68M,,,111.74M,111.74M,,,10.64M,-46.02M,,,,,,465.30M,,-257.44M,,-79.50M,,,13.88M,-243.55M,,-16.46M,,-16.46M,11.35M,-1.753M,9.597M,338.08M,0.00,338.08M,,,-407.00M,-1.685M,-77.47M,,57.21M,144.27M,-0.182M,212.57M,,349.42M,0.00,-16.46M,-1.753M,,AOR,Restated
2016-09,369.05M,,,3.665M,0.00,-17.24M,-13.57M,,,109.43M,109.43M,,,11.38M,27.17M,,,,,,515.33M,,-152.20M,,-55.41M,,,-15.17M,-167.76M,,-9.403M,,-9.403M,3.466M,-0.30M,3.166M,314.45M,-487.50M,-173.05M,,,-369.72M,-1.538M,-550.54M,,260.12M,-202.98M,0.07M,57.21M,,317.92M,0.00,-9.403M,-487.80M,,AOR,Restated
2016-06,358.36M,,,-8.632M,0.00,-10.23M,-18.86M,,,107.01M,107.01M,,,8.404M,19.98M,,,,,,523.73M,,-193.24M,,-67.02M,,,0.00,-125.12M,,108.98M,,108.98M,1.058M,-0.267M,0.791M,193.56M,-375.00M,-181.44M,,,-371.71M,-1.167M,-444.54M,,305.70M,-45.93M,0.347M,260.12M,,194.62M,113.62M,-4.64M,-375.27M,,AOR,Restated
2016-03,317.35M,,,10.95M,-0.689M,-14.16M,-3.899M,,,105.13M,105.13M,,,7.065M,3.586M,,,,,,440.98M,,-164.65M,,-67.98M,,,1.283M,-162.68M,,-5.952M,,-5.952M,9.667M,-13.04M,-3.37M,290.12M,,290.12M,,,-357.34M,0.274M,-76.27M,,104.28M,202.04M,-0.616M,305.70M,,299.78M,,-5.952M,-13.04M,,AOR,Restated
2015-12,365.26M,,,-0.306M,0.00,-14.67M,-14.98M,,,106.31M,106.31M,,,,-62.34M,,,,,,436.46M,,-153.77M,,-68.95M,,,-16.28M,-170.05M,,263.76M,,263.76M,3.749M,-1.933M,1.816M,0.00,-125.00M,-125.00M,,,-353.70M,-1.309M,-214.44M,,35.67M,51.98M,0.61M,115.56M,,3.749M,264.26M,-0.496M,-126.93M,,AOR,Restated
2015-09,341.14M,,,0.00,-0.343M,-12.60M,-12.95M,,,106.08M,106.08M,,,,28.23M,,,,,,472.19M,,-99.45M,,-59.13M,,,0.252M,-98.11M,,-11.46M,,-11.46M,15.43M,-0.154M,15.27M,0.00,0.00,0.00,,,-355.69M,-6.755M,-358.64M,,20.26M,15.44M,-0.03M,35.67M,,15.43M,-11.00M,-0.459M,-0.154M,,AOR,Restated
2015-06,328.04M,,,0.00,-16.69M,-23.66M,-40.35M,,,106.47M,106.47M,,,,38.59M,,,,,,457.13M,,-114.55M,,-39.16M,,,16.03M,-93.83M,,0.255M,,0.255M,6.779M,-0.29M,6.489M,0.00,-145.00M,-145.00M,,,-355.77M,-1.369M,-495.40M,,152.80M,-132.09M,-0.452M,20.26M,,6.779M,11.00M,-10.74M,-145.29M,,AOR,Restated
2015-03,283.25M,,,0.00,-1.472M,,-1.472M,,,107.15M,107.15M,,,,1.583M,,,,,,382.49M,,-103.38M,,-61.23M,,,,-94.15M,,-5.537M,,-5.537M,3.709M,-13.30M,-9.592M,0.00,,0.00,,,-305.86M,-1.822M,-322.81M,,187.71M,-34.47M,-0.446M,152.80M,,3.709M,,-5.537M,-13.30M,,AOR,Restated
2014-12,348.43M,,,0.012M,0.00,,-88.26M,,,110.57M,110.57M,,,,-41.20M,,,,,,450.39M,,-219.78M,,-65.43M,,,-3.00M,-208.11M,,-22.41M,,-22.41M,1.962M,,-9.487M,183.85M,0.00,183.85M,,,-303.88M,-1.97M,-153.90M,,98.25M,88.38M,1.076M,187.71M,,185.81M,,-22.41M,-11.45M,,AOR,Restated
2014-09,294.98M,,,3.012M,-1.26M,,1.752M,,,111.08M,111.08M,,,,24.20M,,,,,,427.10M,,-299.53M,,-27.63M,,,206.30M,-91.94M,,-325.23M,,-325.23M,5.419M,,5.419M,0.00,0.00,0.00,,,-302.75M,-1.82M,-624.37M,,387.98M,-289.21M,-0.521M,98.25M,,5.419M,,-325.23M,0.00,,AOR,Restated
