,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2009-06,205.39M,,,-33.20M,,-6.501M,-32.90M,,,84.28M,84.28M,,8.205M,,17.40M,,,,,,282.38M,,-27.68M,,,,0.00,0.002M,-27.68M,,0.00,-1.856M,-1.856M,0.769M,,0.769M,-0.555M,0.00,-0.555M,,,-162.17M,0.34M,-163.47M,,493.40M,91.23M,0.226M,584.86M,,0.214M,,-1.856M,0.00,,AOR,Restated
2009-03,153.43M,,,34.73M,,,16.90M,,,85.20M,85.20M,,0.00,,4.331M,,,,,,259.86M,,-10.83M,,,,10.26M,-0.825M,-1.391M,,-109.62M,-1.89M,-111.51M,,,,0.555M,-17.54M,-16.98M,,,-164.24M,-153.34M,-446.07M,,680.70M,-187.60M,0.294M,493.40M,,0.555M,,-111.51M,-17.54M,,AOR,Restated
2008-12,162.03M,,,13.16M,,23.06M,42.48M,,,104.29M,104.29M,,0.525M,-0.314M,-41.30M,,,,,,267.71M,,27.93M,1.094M,32.70M,-54.70M,54.70M,-58.15M,-29.13M,,,-5.429M,-5.429M,1.022M,-7.707M,-6.685M,0.00,-66.88M,-66.88M,,,504.50M,-773.00M,-347.49M,,789.29M,-108.91M,0.32M,680.70M,,1.022M,12.75M,-18.18M,-74.59M,,AOR,Restated
2008-09,147.94M,,,53.17M,,,40.36M,,,92.03M,92.03M,,0.00,-0.057M,17.42M,,,,,,298.07M,,-11.59M,1.133M,-9.483M,0.00,-22.28M,-48.67M,-81.42M,,0.00,-38.50M,-38.50M,9.868M,0.00,9.868M,-5.09M,0.00,-5.09M,,,-187.52M,19.40M,-201.84M,,775.00M,14.81M,-0.518M,789.29M,,4.778M,0.00,-38.50M,0.00,,AOR,Restated
2008-06,143.96M,341.86M,,0.002M,,-3.764M,8.118M,,,95.39M,95.39M,,0.00,24.06M,24.06M,,,,,0.00,271.52M,,-61.66M,,-20.99M,7.574M,0.493M,-2.63M,-56.22M,,0.00,-1.832M,-1.832M,,0.00,0.00,2.587M,0.00,2.587M,,,-148.58M,-19.40M,-167.23M,,726.93M,48.07M,-0.002M,775.00M,,2.587M,0.00,-1.832M,0.00,,AOR,Restated
2008-03,519.94M,-341.86M,0.00,-40.97M,,3.764M,-379.07M,,,122.49M,122.49M,,,-23.69M,-23.69M,,,,,,239.67M,,-30.98M,,,566.90M,-32.91M,3.787M,506.79M,,0.00,10.29M,10.29M,,-111.90M,-111.90M,2.503M,0.00,2.503M,,,-168.40M,,-267.51M,,245.44M,478.94M,2.544M,726.93M,,2.503M,14.65M,-4.368M,-111.90M,,AOR,Restated
2007-12,-289.65M,-6.883M,,-58.44M,,19.68M,-34.78M,-492.03M,3.592M,134.46M,134.46M,,,,472.75M,,,,,,274.92M,,-60.84M,6.70M,-115.62M,0.00,-6.019M,6.651M,-53.50M,,0.00,-295.20M,-295.20M,8.457M,0.00,8.457M,-8.052M,-302.15M,-310.20M,-150.67M,-5.403M,-156.07M,607.55M,-145.47M,,168.59M,75.94M,0.917M,245.44M,,0.405M,54.08M,-349.28M,-302.15M,,AOR,Restated
2007-09,152.77M,0.00,2.238M,10.59M,1.009M,-6.374M,-0.313M,147.95M,-1.263M,146.68M,146.68M,,,,-15.21M,,,,,,283.92M,,-98.39M,-0.234M,-44.18M,0.00,0.253M,-17.56M,-115.94M,,-32.04M,272.48M,240.44M,,0.00,0.00,168.05M,302.15M,470.20M,-150.69M,-5.403M,-156.10M,-607.55M,-53.00M,,46.74M,114.98M,6.863M,168.59M,,168.05M,-32.04M,272.48M,302.15M,,AOR,Restated
2007-06,77.10M,0.00,-2.238M,-10.59M,-1.009M,-3.809M,-9.87M,344.08M,-2.329M,165.39M,165.39M,1.084M,,,39.62M,,,,,,273.32M,,-55.00M,1.92M,23.06M,4.909M,0.989M,-0.16M,-47.34M,,681.49M,-777.13M,-95.64M,-5.353M,0.00,-5.353M,491.89M,-302.15M,-295.02M,-147.70M,-5.403M,-153.10M,302.15M,-246.97M,,70.59M,-20.99M,-2.856M,46.74M,,486.54M,18.89M,-114.53M,-302.15M,,AOR,Restated
2007-03,59.78M,,,,,,,,,176.37M,176.37M,-1.084M,,,-39.62M,,,,,,195.44M,,-49.98M,0.322M,-49.66M,,4.777M,-0.211M,-45.09M,,-649.45M,,-649.45M,5.353M,0.00,5.353M,,,484.77M,-149.12M,-5.403M,-154.53M,-302.15M,-616.01M,,535.68M,-465.66M,0.564M,70.59M,,5.353M,13.15M,-662.60M,0.00,,AOR,Restated
2006-12,-10.23M,,,,,,,,,225.51M,225.51M,,,,-22.03M,,,,,,193.25M,,-83.70M,3.264M,-80.44M,,4.995M,-3.164M,-78.61M,,-17.59M,,-17.59M,-676.03M,682.50M,6.47M,-1.049B,,-1.049B,-145.26M,13.65M,-131.60M,1.501B,309.52M,,109.26M,424.16M,2.274M,535.68M,,-1.725B,-8.544M,-9.049M,682.50M,,AOR,Restated
2006-09,81.18M,,,,,,,,,113.45M,113.45M,,,,20.28M,,,,,,214.91M,,-53.88M,5.845M,-48.04M,-3.024M,0.336M,-219.06M,-269.79M,,-665.95M,,-665.95M,585.56M,-510.00M,75.56M,345.85M,,345.85M,-150.31M,-5.403M,-155.71M,-404.39M,-804.64M,,968.77M,-859.51M,0.00,109.26M,,931.41M,8.544M,-674.50M,-510.00M,,AOR,Restated
2006-06,128.86M,,,,,,,,,48.58M,48.58M,,,,26.97M,,,,,,204.41M,,-84.28M,3.466M,-80.82M,0.159M,5.384M,-3.358M,-78.63M,,-0.909M,,-0.909M,1.798M,0.00,1.798M,601.60M,172.50M,774.10M,-122.03M,-4.658M,-126.69M,-176.14M,472.17M,,382.33M,597.94M,0.00,968.77M,,603.40M,0.00,-0.909M,172.50M,,AOR,Restated
2006-03,114.22M,,,,,,,,,50.03M,50.03M,,,,-1.411M,,,,,,162.83M,,-76.06M,1.97M,-74.09M,2.865M,2.359M,,-68.86M,,-12.10M,,-12.10M,174.04M,-172.50M,1.541M,101.49M,-172.50M,-71.01M,-116.27M,-3.591M,-119.86M,-3.712M,-205.14M,,493.50M,-111.17M,0.00,382.33M,,275.53M,0.00,-12.10M,-345.00M,,AOR,Restated
2005-12,123.37M,,,,,,,,,51.87M,51.87M,,,,-9.708M,,,,,,165.53M,,-182.61M,14.76M,-167.85M,-254.55M,8.322M,227.83M,-186.25M,,-0.858M,,-0.858M,0.887M,0.00,0.887M,145.94M,112.39M,258.33M,-116.46M,12.56M,-103.91M,-181.50M,-27.05M,,531.77M,-47.76M,,482.00M,,146.82M,18.18M,-19.04M,112.39M,,AOR,Restated
2005-09,128.34M,,,,,,,,,48.11M,48.11M,,,,-3.972M,,,,,,172.48M,,-66.03M,-2.214M,-68.25M,92.45M,7.09M,-136.94M,-105.64M,,-0.742M,,-0.742M,1.181M,0.00,1.181M,193.50M,0.00,193.50M,-113.24M,-3.591M,-116.83M,-2.607M,74.50M,,390.43M,141.34M,,531.77M,,194.68M,-19.43M,18.69M,0.00,,AOR,Restated
2005-06,108.27M,,,,,,,,,48.24M,48.24M,,,,30.38M,,,,,,186.88M,,-78.24M,2.214M,-76.02M,-64.34M,-5.792M,31.42M,-114.73M,,-0.919M,,-0.919M,1.549M,-2.019M,-0.47M,136.60M,-57.50M,79.10M,-105.10M,-3.59M,-108.69M,-5.182M,-36.16M,,354.43M,36.00M,,390.43M,,138.15M,19.43M,-20.35M,-59.52M,,AOR,Restated
2005-03,96.41M,,,,,,,,,47.94M,47.94M,,,,4.626M,,,,,,148.98M,,-39.81M,0.00,-39.81M,-28.12M,-2.168M,23.57M,-46.53M,,-12.02M,,-12.02M,3.894M,-2.971M,0.923M,130.55M,-54.89M,75.66M,-103.86M,-5.375M,-109.24M,-69.59M,-114.27M,,366.26M,-11.82M,,354.43M,,134.44M,,-12.02M,-57.86M,,AOR,Restated
2004-12,-258.94M,,,,,,,,,-135.45M,-135.45M,,,,-83.21M,,,,,,117.72M,,84.37M,-7.437M,76.93M,,7.048M,-237.56M,-153.57M,,40.77M,,40.77M,-43.78M,18.23M,-25.55M,-476.23M,316.31M,-159.92M,305.89M,16.91M,322.80M,-251.27M,-73.17M,,475.28M,-270.45M,,,,-520.02M,,40.77M,334.54M,,AOR,Restated
2004-09,97.52M,,,,,,,-107.63M,,27.82M,27.82M,,,,24.34M,,,,,,149.68M,,-42.95M,7.437M,-35.52M,1.665M,12.02M,2.252M,-19.58M,,-0.037M,,-0.037M,14.60M,0.00,14.60M,111.18M,-86.29M,24.89M,-103.56M,-5.176M,-108.74M,-6.973M,-76.26M,,421.45M,53.83M,,475.28M,,125.78M,,-0.037M,-86.29M,,AOR,Restated
2004-06,92.36M,,,,,,,107.63M,,61.19M,61.19M,,,,27.74M,,,,,,181.29M,,-38.71M,0.00,-38.71M,-1.665M,-10.10M,-3.536M,-54.02M,,-14.02M,,-14.02M,8.836M,-14.27M,-5.431M,105.12M,0.00,105.12M,-101.56M,-5.177M,-106.74M,-4.401M,-25.46M,,319.64M,101.81M,,421.45M,,113.96M,,-14.02M,-14.27M,,AOR,Restated
2004-03,69.07M,,,,,,,,,46.43M,46.43M,,,,31.13M,,,,,,146.63M,,-2.705M,,-2.705M,,-8.962M,81.20M,69.53M,,-26.72M,,-26.72M,20.34M,-3.967M,16.38M,259.93M,-230.02M,29.91M,-100.76M,-6.554M,-107.32M,-13.61M,-101.36M,,204.83M,114.80M,,319.64M,,280.28M,,-26.72M,-233.99M,,AOR,Restated
2003-12,-250.68M,,,,,,,,,-135.77M,-135.77M,,,,-82.14M,,,,,,79.33M,,20.47M,,20.47M,,7.821M,-121.47M,-93.18M,,33.84M,,33.84M,-42.86M,6.001M,-36.86M,,87.54M,87.54M,292.82M,20.18M,313.00M,-224.13M,173.38M,,45.30M,57.82M,,,,-42.86M,,33.84M,93.54M,,AOR,Restated
2003-09,89.75M,,,,,,,,,44.72M,44.72M,,,,40.24M,,,,,,174.71M,,-10.66M,,-10.66M,,15.83M,-62.31M,-57.14M,,-24.91M,,-24.91M,21.62M,0.00,21.62M,0.00,0.00,0.00,-97.21M,-6.726M,-103.94M,-6.41M,-113.63M,,41.36M,3.94M,,45.30M,,21.62M,-24.00M,-0.908M,0.00,,AOR,Restated
2003-06,84.30M,,,,,,,,,45.68M,45.68M,,,,16.99M,,,,,,146.96M,,-7.481M,,-7.481M,,-13.35M,-4.918M,-25.75M,,-7.171M,,-7.171M,17.76M,-6.001M,11.76M,0.00,-30.02M,-30.02M,-97.22M,-6.727M,-103.94M,-5.50M,-134.87M,,55.02M,-13.65M,,41.36M,,17.76M,-1.00M,-6.171M,-36.02M,,AOR,Restated
2003-03,76.64M,,,,,,,,,45.37M,45.37M,,,,24.91M,,,,,,146.92M,,-2.333M,,-2.333M,,-10.30M,-16.43M,-29.06M,,-1.756M,,-1.756M,3.472M,0.00,3.472M,0.00,-57.52M,-57.52M,-98.39M,-6.726M,-105.12M,-5.04M,-165.96M,,103.12M,-48.11M,,55.02M,,3.472M,25.00M,-26.76M,-57.52M,,AOR,Restated
2002-12,-251.52M,,,,,,,,,-133.19M,-133.19M,,,,74.62M,,-150.02M,,,-150.02M,131.18M,,45.94M,,45.94M,139.68M,37.00M,-262.39M,-39.77M,,46.97M,,46.97M,-21.51M,0.381M,-21.13M,-457.02M,45.64M,-411.37M,293.52M,20.18M,313.70M,-192.70M,-264.54M,,276.26M,-226.91M,,,,-478.52M,,46.97M,46.02M,,AOR,Restated
2002-09,83.35M,,,,,,,,,43.14M,43.14M,,,,-111.77M,,150.02M,,,150.02M,164.74M,,-25.48M,,-25.48M,12.65M,-35.95M,-26.83M,-75.61M,,-25.82M,,-25.82M,6.091M,0.00,6.091M,166.87M,-45.64M,121.22M,-98.87M,-20.18M,-119.05M,32.51M,14.96M,,172.16M,104.09M,,276.26M,,172.96M,,-25.82M,-45.64M,,AOR,Restated
2002-06,80.72M,,,,,,,,,46.05M,46.05M,,,,16.45M,,,,,,143.22M,,-11.44M,,-11.44M,0.00,-28.82M,-13.33M,-53.59M,,-5.677M,,-5.677M,8.324M,0.00,8.324M,0.00,,0.00,-98.39M,,-98.39M,-14.00M,-109.74M,,192.28M,-20.12M,,172.16M,,8.324M,,-5.677M,0.00,,AOR,
2002-03,87.46M,,,,,,,,,44.00M,44.00M,,,,20.70M,,,,,,152.15M,,-9.02M,,-9.02M,-152.33M,27.76M,-23.23M,-156.82M,,-15.48M,,-15.48M,7.094M,-0.381M,6.713M,290.15M,,290.15M,-96.26M,,-96.26M,-37.52M,147.60M,,49.35M,142.93M,,192.28M,,297.24M,,-15.48M,-0.381M,,AOR,
2001-12,-240.01M,,,,,,,,,-140.91M,-140.91M,,,,-39.10M,,,,,,118.51M,,163.19M,,163.19M,,,-271.63M,-108.44M,,6.945M,,6.945M,-6.068M,478.80M,472.73M,-732.18M,,-732.18M,,,290.04M,-286.65M,-249.12M,,288.39M,-198.93M,,,,-738.25M,,6.945M,478.80M,,AOR,Restated
2001-09,83.60M,,,,,,,,,59.97M,59.97M,,,,6.086M,,,,,,149.66M,,-151.06M,,-151.06M,,,80.15M,-70.91M,,-0.738M,,-0.738M,3.815M,-203.31M,-199.50M,565.22M,,565.22M,119.95M,,-170.09M,-36.01M,158.88M,,50.76M,237.63M,,288.39M,,569.03M,,-0.738M,-203.31M,,AOR,
2001-06,81.77M,,,,,,,,,41.32M,41.32M,,,,17.61M,,,,,,140.71M,,-7.318M,,-7.318M,,11.49M,-61.74M,-57.56M,,-30.47M,,-30.47M,2.253M,-70.43M,-68.17M,0.00,,0.00,-60.50M,,-60.50M,86.28M,-72.86M,,40.48M,10.28M,,50.76M,,2.253M,-25.00M,-5.467M,-70.43M,,AOR,
2001-03,74.64M,,,,,,,,,39.62M,39.62M,,,,15.40M,,,,,,129.66M,,-4.814M,,-4.814M,,-11.49M,-52.84M,-69.15M,,24.26M,,24.26M,0.00,-205.06M,-205.06M,166.97M,,166.97M,-59.44M,,-59.44M,-36.23M,-109.50M,,89.47M,-48.99M,,40.48M,,166.97M,25.00M,-0.74M,-205.06M,,AOR,
2000-12,74.57M,,,,,,,,,-109.51M,-109.51M,,,,186.60M,,,,,,151.66M,,-341.29M,,-341.29M,,11.40M,216.30M,-113.60M,,-4.72M,,-4.72M,429.77M,-12.80M,416.98M,,,,,,-103.05M,-362.40M,-53.20M,,104.60M,-15.13M,,89.47M,,429.77M,,-4.72M,-12.80M,,AOR,Restated
2000-09,75.65M,,,,,,,,,27.60M,27.60M,,,,27.23M,,,,,,130.49M,,47.82M,,47.82M,,-11.40M,-213.16M,-176.74M,,-0.663M,,-0.663M,-39.11M,-1.417M,-40.53M,-311.80M,,-311.80M,,,-108.20M,372.09M,-89.10M,,239.95M,-135.35M,,104.60M,,-350.91M,,-0.663M,-1.417M,,AOR,
2000-06,74.30M,,,,,,,,,40.84M,40.84M,,,,10.46M,,,,,,125.61M,,-53.74M,,-53.74M,,,-6.383M,-60.12M,,-5.355M,,-5.355M,1.738M,-32.85M,-31.11M,0.00,,0.00,,,-83.18M,19.43M,-100.22M,,274.68M,-34.73M,,239.95M,,1.738M,,-5.355M,-32.85M,,AOR,
2000-03,72.56M,,,,,,,,,41.07M,41.07M,,,,4.389M,,,,,,118.02M,,-48.44M,,-48.44M,,,-66.56M,-115.00M,,-0.597M,,-0.597M,41.78M,-30.74M,11.04M,311.80M,,311.80M,,,-94.46M,-11.24M,216.54M,,55.12M,219.56M,,274.68M,,353.58M,,-0.597M,-30.74M,,AOR,
1999-12,75.70M,,,,,,,,,41.40M,41.40M,,,,5.792M,,,,,,122.89M,,-8.00M,,-8.00M,,,-86.21M,-94.21M,,-4.60M,,-4.60M,1.80M,-62.10M,-60.30M,0.00,,0.00,,,-78.50M,84.12M,-59.28M,,85.80M,-30.60M,,55.10M,,1.80M,,-4.60M,-62.10M,,AOR,Restated
1999-09,76.70M,,,,,,,,,43.90M,43.90M,,,,4.60M,,,,,,125.20M,,-104.40M,,-104.40M,,,38.30M,-66.10M,,-0.60M,,-0.60M,0.10M,-28.90M,-28.80M,54.30M,,54.30M,,,-52.80M,-13.40M,-41.30M,,67.90M,17.80M,,85.80M,,54.40M,,-0.60M,-28.90M,,,
1999-06,73.66M,,,,,,,,,37.82M,37.82M,,,,4.247M,,,,,,115.72M,,-198.26M,,-198.26M,108.90M,,-6.193M,-95.55M,,-8.319M,,-8.319M,7.787M,-0.022M,7.765M,0.045M,,0.045M,,,-52.79M,-1.522M,-54.82M,,102.58M,-34.65M,,67.90M,,7.832M,,-8.319M,-0.022M,,,
1999-03,61.84M,,,,,,,,,34.28M,34.28M,,,,3.353M,,,,,,99.48M,,-34.24M,,-34.24M,-108.90M,,-53.21M,-196.35M,,-0.581M,,-0.581M,0.313M,-17.58M,-17.26M,222.56M,,222.56M,,,-49.31M,-7.178M,148.22M,,51.22M,51.35M,,102.58M,,222.87M,,-0.581M,-17.58M,,,
1998-12,59.20M,,,,,,,,,36.20M,36.20M,,,,19.51M,,,,,,114.91M,,-110.80M,,-110.80M,,,46.19M,-64.61M,,-4.20M,,-4.20M,0.50M,-0.90M,-0.40M,,,,,,-76.80M,27.37M,-54.03M,,,,,51.20M,,0.50M,,-4.20M,-0.90M,,AOR,Restated
1998-09,62.20M,,,,,,,,,29.40M,29.40M,,,,5.70M,,,,,,97.30M,,-40.00M,,-40.00M,,,-75.00M,-115.00M,,-0.60M,,-0.60M,0.00,-58.40M,-58.40M,,,,,,-44.50M,-6.50M,-110.00M,,,,,,,0.00,,-0.60M,-58.40M,,,
1998-06,57.20M,,,,,,,,,30.00M,30.00M,,,,4.20M,,,,,,91.40M,,-15.20M,,-15.20M,,,-104.90M,-120.10M,,-7.20M,,-7.20M,46.10M,-13.00M,33.10M,,,,,,-45.40M,-12.40M,-31.90M,,,,,,,46.10M,,-7.20M,-13.00M,,,
1998-03,48.40M,,,,,,,,,30.10M,30.10M,,,,6.30M,,,,,,84.80M,,-76.80M,,-76.80M,,,11.00M,-65.80M,,-10.10M,,-10.10M,191.30M,,191.30M,,,,,,-44.70M,46.30M,182.80M,,41.50M,,,,,191.30M,,-10.10M,,,,
1997-12,45.50M,,,,,,,,,30.70M,30.70M,,,,4.10M,,,,,,80.30M,,-168.00M,,-168.00M,,,87.00M,-81.00M,,3.20M,,3.20M,54.90M,,54.90M,0.00,,0.00,,,-51.20M,-55.40M,-48.50M,,,,,41.50M,,54.90M,,-3.80M,,,AOR,
1997-09,46.50M,,,,,,,,,26.30M,26.30M,,,,2.70M,,,,,,75.50M,,-111.00M,,-111.00M,,,-83.30M,-194.30M,,-3.80M,,-3.80M,0.30M,,0.30M,144.90M,,144.90M,,,-54.10M,43.40M,130.70M,,,,,,,145.20M,,-3.80M,,,,
1997-06,44.30M,,,,,,,,,23.80M,23.80M,,,,2.50M,,,,,,70.60M,,-7.20M,,-7.20M,,,-85.80M,-93.00M,,-3.80M,,-3.80M,0.20M,,0.20M,,,,,,-33.40M,12.70M,-24.30M,,,,,,,0.20M,,-3.80M,,,,
1997-03,42.30M,,,,,,,,,23.40M,23.40M,,,,2.50M,,,,,,68.20M,,-24.80M,,-24.80M,,,-15.20M,-40.00M,,-0.50M,,-0.50M,127.10M,,127.10M,,,,,,-56.80M,0.70M,70.50M,,26.90M,,,,,127.10M,,-0.50M,,,,
1996-12,43.10M,,,,,,,,,21.70M,21.70M,,,,2.00M,,,,,,66.80M,,-118.80M,,-118.80M,,,-25.90M,-144.70M,,-4.20M,,-4.20M,1.00M,,1.00M,96.70M,,96.70M,,,-21.10M,-27.90M,44.50M,,,,,,,97.70M,,-4.20M,,,AOR,
1996-09,40.30M,,,,,,,,,21.20M,21.20M,,,,2.50M,,,,,,64.00M,,-54.60M,,-54.60M,,,-21.40M,-76.00M,,-8.40M,,-8.40M,98.40M,,98.40M,0.00,,0.00,,,-50.00M,12.50M,52.50M,,,,,,,98.40M,-5.00M,-3.40M,,,,
1996-06,37.80M,,,,,,,,,20.40M,20.40M,,,,2.50M,,,,,,60.70M,,35.20M,,35.20M,,,-140.20M,-105.00M,,0.20M,,0.20M,30.50M,,30.50M,0.00,,0.00,,,-29.10M,-6.00M,-4.40M,,,,,,,30.50M,5.00M,-4.80M,,,,
1996-03,32.30M,,,,,,,,,19.10M,19.10M,,,,2.30M,,,,,,53.70M,,-126.70M,,-126.70M,,,-27.20M,-153.90M,,-38.90M,,-38.90M,0.60M,,0.60M,163.10M,,163.10M,,,-36.10M,-0.50M,88.20M,,80.40M,,,,,163.70M,,-38.90M,,,,
1995-12,21.20M,,,,,,,,,12.85M,12.85M,,,,6.819M,,,,,,40.87M,,-18.69M,,-18.69M,,,691.62M,-60.17M,,-12.41M,,-12.41M,0.026M,,0.026M,166.76M,,166.76M,,,-23.07M,-46.21M,85.09M,,,,,80.44M,,166.78M,,-12.41M,,,AOR,
1995-09,19.40M,,,,,,,,,10.90M,10.90M,,,,2.80M,,,,,,33.10M,,-35.70M,,-35.70M,,,-51.20M,-86.90M,,4.00M,,4.00M,-108.20M,,-108.20M,108.40M,,108.40M,,,-17.80M,-7.70M,-21.30M,,,,,,,0.20M,,4.00M,,,,
1995-06,16.60M,,,,,,,,,8.80M,8.80M,,,,1.00M,,,,,,26.40M,,-28.50M,,-28.50M,,,-6.60M,-35.10M,,-40.00M,,-40.00M,135.40M,,135.40M,,,,,,-11.20M,-6.30M,77.90M,,,,,,,135.40M,-9.60M,-30.40M,,,,
1995-03,13.20M,,,,,,,,,8.10M,8.10M,,,,1.80M,,,,,,23.10M,,-36.80M,,-36.80M,,,-29.70M,-66.50M,,9.20M,,9.20M,53.30M,,53.30M,,,,,,-17.00M,-1.70M,43.80M,,20.20M,,,,,53.30M,9.60M,-0.40M,,,,
1994-12,12.20M,,,,,,,,,7.681M,7.681M,,,,1.004M,,0.695M,,,0.695M,21.58M,,-20.84M,,-20.84M,,,-41.05M,-61.89M,,35.37M,,35.37M,31.58M,,31.58M,-0.001M,,-0.001M,,,-11.60M,-11.82M,43.53M,,,,,20.15M,,31.58M,,35.37M,,,AOR,
1994-09,11.00M,,,,,,,,,6.90M,6.90M,,,,2.90M,,,,,,20.80M,,-18.40M,,-18.40M,,,-12.70M,-31.10M,,-3.20M,,-3.20M,0.00,,0.00,29.00M,,29.00M,,,-9.30M,-1.30M,15.20M,,,,,,,29.00M,,-3.20M,,,,
1994-06,10.20M,,,,,,,,,6.40M,6.40M,,,,1.00M,,1.80M,,1.80M,3.60M,21.20M,,-34.00M,,-34.00M,,,-10.70M,-44.70M,,-0.50M,,-0.50M,0.20M,,0.20M,-49.60M,,-49.60M,,,-8.60M,73.80M,15.30M,,,,,,,-49.40M,,-0.50M,,,,
1994-03,8.70M,,,,,,,,,6.60M,6.60M,,,,3.90M,,-1.80M,,-1.80M,-3.60M,15.60M,,-28.10M,,-28.10M,,,-3.80M,-31.90M,,-39.90M,,-39.90M,78.50M,,78.50M,78.50M,,78.50M,,,-8.60M,-82.50M,26.00M,,10.50M,,,,,157.00M,,-39.90M,,,,
1993-12,8.20M,,,,,,,,,6.40M,6.40M,,,,2.00M,,,,,,16.60M,,-37.30M,,-37.30M,,,1.50M,-37.40M,,31.90M,,31.90M,2.50M,,2.50M,0.00,,0.00,,,-7.40M,-3.50M,23.50M,,,,,,,2.50M,32.50M,-0.60M,,,,
1993-09,7.90M,,,,,,,,,9.40M,9.40M,,,,3.30M,,,,,,20.60M,,-15.70M,,-15.70M,,,-14.20M,-29.90M,,-39.20M,,-39.20M,-55.00M,,-55.00M,55.20M,,55.20M,,,-7.10M,54.60M,8.50M,,,,,,,0.20M,-15.90M,-23.30M,,,,
1993-06,6.90M,,,,,,,,,4.50M,4.50M,,,,1.20M,,,,,,12.60M,,-17.40M,,-17.40M,,,-28.80M,-46.20M,,18.70M,,18.70M,-0.30M,,-0.30M,-0.30M,,-0.30M,,,-6.30M,-5.60M,6.20M,,,,,,,-0.60M,17.10M,1.60M,,,,
1993-03,5.00M,,,,,,,,,3.90M,3.90M,,,,0.80M,,,,,,9.70M,,-2.90M,,-2.90M,,,-22.60M,-25.50M,,-3.30M,,-3.30M,55.40M,,55.40M,55.40M,,55.40M,,,-4.80M,-59.20M,43.50M,,1.40M,,,,,110.80M,,-3.30M,,,,
1992-12,4.30M,,,,,,,,,5.10M,5.10M,,,,1.50M,,,,,,10.90M,,-3.70M,,-3.70M,,,-7.80M,-11.50M,,-35.30M,,-35.30M,,,,,,,,,-4.40M,-46.90M,1.00M,,,,,,,,-6.00M,-29.30M,,,,
1992-09,4.30M,,,,,,,,,3.30M,3.30M,,,,0.70M,,,,,,8.30M,,-5.20M,,-5.20M,,,0.20M,-5.00M,,2.60M,,2.60M,,,,,,,,,-3.50M,-2.90M,-3.80M,,,,,,,,3.70M,-1.10M,,,,
1992-06,3.50M,,,,,,,,,3.60M,3.60M,,,,0.40M,,,,,,7.50M,,-0.70M,,-0.70M,,,0.70M,0.00,,-0.80M,,-0.80M,,,,,,,,,-3.20M,-3.50M,-7.50M,,,,,,,,0.00,-0.80M,,,,
1992-03,3.00M,,,,,,,,,2.30M,2.30M,,,,0.50M,,,,,,5.80M,,-2.10M,,-2.10M,,,-1.40M,-3.50M,,1.90M,,1.90M,,,,,,,,,-3.10M,-1.10M,-2.30M,,1.00M,,,,,,2.30M,-0.40M,,,,
1991-12,3.10M,,,,,,,,,4.70M,4.70M,,,,1.20M,,-1.30M,,-1.30M,-2.60M,6.40M,,-0.80M,,-0.80M,,,-0.70M,-1.50M,,0.90M,,0.90M,,,,,,,,,-3.10M,-3.30M,-5.50M,,,,,,,,0.90M,0.00,,,,
1991-09,3.20M,,,,,,,,,1.50M,1.50M,,,,0.60M,0.20M,0.10M,0.20M,0.10M,0.60M,5.90M,,-0.30M,,-0.30M,,,-0.30M,-0.60M,,-1.20M,,-1.20M,,,,,,,,,-3.20M,-0.40M,-4.80M,,,,,,,,-0.50M,-0.70M,,,,
1991-06,2.90M,,,,,,,,,1.30M,1.30M,,,,0.70M,0.00,0.50M,0.00,0.50M,1.00M,5.90M,,-0.20M,,-0.20M,,,-0.40M,-0.60M,,-1.80M,,-1.80M,,,,,,,,,-3.00M,-0.70M,-5.50M,,,,,,,,-0.30M,-1.50M,,,,
1991-03,2.80M,,,,,,,,,1.40M,1.40M,,,,-0.40M,-0.20M,0.70M,-0.20M,0.70M,1.00M,4.80M,,,,,,,-3.30M,-3.30M,,2.50M,,2.50M,,,,,,,,,-2.80M,-1.10M,-1.40M,,0.80M,,,,,,3.00M,-0.50M,,,,
