,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,730.66M,730.66M,217.46M,513.20M,17.96M,17.96M,1.62M,,1.711M,14.28M,7.214M,-7.068M,,159.62M,353.58M,7.214M,14.28M,-7.068M,-20.66M,-7.068M,325.85M,325.85M,,,-0.98M,77.20M,324.87M,355.45M,478.46M,138.33M,340.13M,,1.41,,,,1.585,1.41,,1.41,,,,1.585,1.41,,174.50M,174.63M,2.00,,AOR,
2020-06,709.28M,709.28M,225.61M,483.68M,14.72M,14.72M,4.255M,,1.316M,14.14M,5.831M,-8.314M,,157.91M,325.77M,5.831M,14.14M,-8.314M,-1.64M,-8.314M,315.81M,315.81M,,,-0.889M,68.02M,314.92M,329.01M,467.58M,137.62M,329.96M,,1.41,,,,1.491,1.41,,1.41,,,,1.491,1.41,,174.49M,174.58M,2.00,,AOR,
2020-03,716.08M,716.08M,218.87M,497.21M,16.91M,16.91M,2.444M,,1.713M,13.62M,6.479M,-7.142M,,156.96M,340.25M,6.479M,13.62M,-7.142M,34.03M,-7.142M,367.14M,367.14M,,,-0.98M,52.00M,366.16M,358.81M,516.66M,135.90M,380.76M,,1.80,,,,1.758,1.80,,1.79,,,,1.748,1.79,,174.45M,174.62M,2.00,,AOR,
2019-12,717.50M,717.50M,172.58M,544.92M,17.47M,17.47M,1.748M,,1.093M,12.65M,6.424M,-6.223M,,155.19M,389.72M,6.424M,12.65M,-6.223M,3.598M,-6.223M,387.10M,387.10M,,,-1.082M,57.77M,386.02M,393.55M,534.63M,134.88M,399.74M,,1.88,,,,1.923,1.88,,1.87,,,,1.913,1.87,,174.38M,174.59M,2.00,,AOR,
2019-09,729.34M,729.34M,212.26M,517.07M,14.33M,14.33M,1.312M,,1.27M,12.60M,6.465M,-6.132M,,146.14M,370.93M,6.465M,12.60M,-6.132M,34.62M,-6.132M,399.42M,399.42M,,,-1.478M,59.17M,397.94M,386.57M,541.25M,129.23M,412.02M,,1.94,,,,1.875,1.94,,1.93,,,,1.865,1.93,,174.33M,174.61M,2.00,,AOR,Restated
2019-06,710.95M,710.95M,207.74M,503.21M,12.26M,12.26M,1.723M,,1.285M,12.25M,8.582M,-3.672M,,142.12M,361.09M,8.582M,12.25M,-3.672M,14.04M,-3.672M,371.46M,371.46M,,,-1.40M,62.39M,370.06M,373.62M,510.57M,126.86M,383.71M,,1.76,,,,1.780,1.76,,1.76,,,,1.780,1.76,,174.25M,174.54M,2.00,,AOR,Restated
2019-03,689.04M,689.04M,204.20M,484.84M,16.00M,16.00M,2.067M,,1.433M,8.143M,6.965M,-1.178M,,141.44M,343.39M,6.965M,8.143M,-1.178M,25.46M,-1.178M,367.68M,367.68M,,,-1.157M,63.54M,366.52M,360.83M,497.76M,121.94M,375.82M,,1.73,,,,1.697,1.73,,1.73,,,,1.697,1.73,,174.18M,174.38M,2.00,,AOR,Restated
2018-12,692.46M,692.46M,160.37M,532.09M,25.54M,25.54M,0.761M,,2.14M,7.942M,7.55M,-0.392M,,149.82M,382.27M,7.55M,7.942M,-0.392M,206.04M,-0.392M,587.92M,587.91M,,,-1.701M,54.08M,586.20M,555.94M,717.23M,121.37M,595.86M,,3.05,,,,2.876,3.05,,3.04,,,,2.867,3.04,,174.08M,174.47M,2.00,,AOR,Restated
2018-09,706.37M,706.37M,195.54M,510.82M,25.46M,25.46M,1.139M,,0.832M,8.10M,7.02M,-1.08M,,151.94M,358.88M,7.02M,8.10M,-1.08M,21.78M,-1.08M,379.58M,379.59M,,,-1.562M,54.08M,378.03M,375.10M,512.20M,124.52M,387.68M,,1.85,,,,1.833,1.85,,1.85,,,,1.833,1.85,,173.98M,174.35M,2.00,,AOR,Restated
2018-06,685.53M,685.53M,190.98M,494.55M,29.00M,29.00M,1.208M,,1.118M,8.388M,6.328M,-2.06M,,151.11M,343.44M,6.328M,8.388M,-2.06M,63.91M,-2.06M,405.29M,405.29M,,,-1.49M,54.08M,403.80M,387.78M,533.46M,119.78M,413.68M,,2.00,,,,1.908,2.00,,2.00,,,,1.908,2.00,,173.93M,174.22M,2.00,,AOR,Restated
