,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-11,150.90M,,0.30M,1.20M,-5.30M,149.30M,149.30M,-123.80M,,55.90M,,-1.20M,-30.40M,89.80M,39.30M,,-20.00M,78.70M,338.30M,,-63.00M,,,,0.00,14.70M,-2.30M,-50.60M,,-51.30M,-51.30M,-200.00M,-200.00M,-67.40M,-67.40M,11.70M,-10.60M,-317.60M,,156.80M,-29.90M,-1.30M,125.60M,,322.60M,-373.90M,-200.00M,,AOR,
2020-08,163.70M,,0.10M,0.00,0.50M,147.60M,147.60M,-0.10M,,56.00M,,-2.10M,25.00M,75.60M,-10.00M,,-53.40M,37.20M,402.80M,,-64.20M,,,,-1.50M,11.30M,22.70M,-31.70M,,-431.20M,-431.20M,0.00,0.00,-67.70M,-67.70M,40.10M,-5.90M,-464.70M,,207.80M,-93.60M,42.60M,156.80M,,-2.30M,-428.90M,0.00,,AOR,
2020-05,70.80M,,0.30M,8.90M,10.60M,149.40M,149.40M,-25.90M,,71.20M,,-22.90M,96.80M,-9.00M,-10.20M,,-52.60M,25.00M,278.20M,,-69.60M,,,,-3.20M,-6.10M,-20.80M,-99.70M,,172.80M,172.80M,-250.00M,-250.00M,-67.60M,-67.60M,46.30M,-1.70M,-100.20M,,143.90M,78.30M,-14.40M,207.80M,,247.60M,-74.80M,-250.00M,,AOR,
2020-02,484.00M,,0.20M,21.50M,-350.60M,145.30M,145.30M,15.10M,,82.60M,,-84.10M,-89.80M,-203.50M,-41.00M,,161.50M,-172.80M,119.50M,,-78.00M,,,,,-1.10M,466.10M,387.00M,,84.70M,84.70M,-500.00M,-500.00M,-67.70M,-67.70M,130.90M,-110.00M,-462.10M,,111.50M,44.40M,-12.00M,143.90M,,293.80M,-209.10M,-500.00M,,AOR,
2019-11,202.30M,,0.20M,2.10M,0.00,142.10M,142.10M,-159.50M,,56.50M,,-0.90M,-50.40M,2.00M,25.70M,,7.90M,-14.80M,225.70M,,-78.20M,,,,-8.10M,4.80M,16.50M,-65.00M,,70.90M,70.90M,-300.00M,-300.00M,0.00,0.00,43.60M,-10.60M,-196.10M,,124.10M,-35.40M,22.80M,111.50M,,646.80M,-575.90M,-300.00M,,AOR,Restated
2019-08,39.20M,,0.00,0.20M,-112.80M,144.70M,144.70M,153.30M,,54.00M,,-0.20M,10.10M,139.70M,1.30M,,-16.40M,134.70M,412.90M,,-70.00M,,,,-95.80M,-1.30M,132.70M,-34.40M,,-204.40M,-204.40M,-200.00M,-200.00M,0.00,0.00,76.50M,-6.60M,-334.50M,,109.50M,44.00M,-29.40M,124.10M,,645.70M,-850.10M,-200.00M,,AOR,Restated
2019-05,148.90M,,0.20M,0.20M,0.40M,144.00M,144.00M,-20.00M,,53.60M,,-0.40M,128.10M,33.90M,-2.50M,,-61.30M,98.20M,424.70M,,-66.70M,,,,-32.60M,-1.90M,-2.10M,-103.30M,,-337.80M,-337.80M,0.00,0.00,0.00,0.00,31.90M,-9.60M,-315.50M,,133.20M,5.90M,-29.60M,109.50M,,1.032B,-1.37B,0.00,,AOR,Restated
2019-02,109.00M,,0.00,0.30M,0.30M,142.30M,142.30M,-23.40M,,59.70M,,-0.50M,-155.70M,-71.30M,-51.50M,,179.10M,-99.40M,188.00M,,-63.20M,,,,,-3.70M,-1.90M,-68.80M,,-85.90M,-85.90M,0.00,0.00,0.00,0.00,25.70M,-51.70M,-111.90M,,120.00M,7.30M,5.90M,133.20M,,307.00M,-392.90M,0.00,,AOR,Restated
2018-11,80.80M,,-0.80M,1.00M,0.20M,145.50M,145.50M,-8.50M,,69.60M,,-0.40M,-39.70M,109.30M,23.80M,,-23.10M,70.30M,357.50M,,-54.20M,,,,5.20M,-0.10M,1.20M,-47.90M,,-383.90M,-383.90M,0.00,0.00,,,67.60M,-11.70M,-328.00M,,154.40M,-18.40M,-16.00M,120.00M,,17.10M,-401.00M,0.00,,AOR,Restated
2018-08,103.50M,,0.00,-7.10M,-7.10M,134.10M,134.10M,-19.00M,,52.50M,,-0.90M,75.60M,41.50M,2.60M,,-36.40M,83.30M,346.40M,,-53.80M,,,,-1.873B,-4.90M,0.50M,-1.931B,,1.611B,1.611B,0.00,0.00,,,50.50M,-65.80M,1.595B,,159.00M,10.90M,-15.50M,154.40M,,3.172B,-1.562B,0.00,,AOR,Restated
