,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-11,1.107B,1.107B,400.30M,706.90M,295.00M,295.00M,-92.30M,57.70M,0.20M,-57.50M,-4.00M,440.30M,266.60M,0.20M,57.70M,-57.50M,-93.50M,-57.50M,115.60M,-35.60M,150.90M,,0.20M,151.10M,218.48M,322.60M,149.30M,173.30M,,0.38,,0.5498,0.38,,0.38,,0.5482,0.38,,396.80M,400.60M,0.17,,AOR,
2020-08,1.073B,1.073B,385.60M,687.60M,258.70M,258.70M,-20.80M,57.70M,0.20M,-57.50M,-0.70M,405.60M,282.00M,0.20M,57.70M,-57.50M,-20.80M,-57.50M,203.70M,39.90M,163.70M,,-0.80M,162.90M,179.54M,409.00M,147.60M,261.40M,,0.41,,0.4518,0.41,,0.41,,0.4515,0.41,,397.80M,401.10M,0.17,,AOR,
2020-05,1.027B,1.027B,388.30M,638.30M,,258.10M,-87.90M,60.00M,0.20M,-59.80M,-1.20M,406.30M,232.00M,0.20M,60.00M,-59.80M,-96.80M,-59.80M,75.40M,4.70M,70.80M,,0.90M,71.70M,154.33M,284.80M,149.40M,135.40M,,0.18,,0.3881,0.18,,0.18,,0.3865,0.18,,397.00M,400.10M,0.17,,AOR,
2020-02,1.081B,1.081B,415.80M,665.00M,316.20M,316.20M,-5.40M,61.20M,0.40M,-60.80M,-372.80M,88.70M,576.30M,0.40M,61.20M,-60.80M,-26.90M,-60.80M,488.60M,4.30M,484.00M,,1.00M,485.00M,490.35M,695.10M,145.30M,549.80M,,1.23,,1.244,1.23,,1.20,,1.213,1.20,,395.70M,404.10M,0.17,,AOR,
2019-11,1.120B,1.120B,409.50M,710.90M,308.90M,308.90M,-9.00M,63.80M,0.30M,-63.50M,3.90M,454.90M,256.00M,0.30M,63.80M,-63.50M,-11.10M,-63.50M,181.40M,-21.30M,202.30M,,0.80M,203.10M,209.67M,387.30M,142.10M,245.20M,,0.51,,0.5265,0.51,,0.50,,0.5161,0.50,,398.30M,408.60M,,,AOR,Restated
2019-08,1.112B,1.112B,419.70M,692.60M,295.40M,295.40M,-24.50M,63.20M,0.60M,-62.60M,-114.80M,325.30M,367.30M,0.60M,63.20M,-62.60M,-24.70M,-62.60M,280.00M,240.60M,39.20M,,0.90M,40.10M,57.98M,487.90M,144.70M,343.20M,,0.10,,0.1446,0.10,,0.10,,0.1435,0.10,,401.20M,410.90M,,,AOR,Restated
2019-05,1.136B,1.136B,428.00M,707.50M,,293.30M,-23.10M,65.80M,0.60M,-65.20M,8.40M,445.70M,261.80M,0.60M,65.80M,-65.20M,-23.30M,-65.20M,173.30M,24.20M,148.90M,,0.90M,149.80M,169.67M,383.10M,144.00M,239.10M,,0.37,,0.4196,0.37,,0.37,,0.4185,0.37,,400.50M,409.30M,,,AOR,Restated
2019-02,1.046B,1.046B,399.80M,646.60M,300.30M,300.30M,-31.00M,66.90M,0.40M,-66.50M,-2.00M,440.60M,206.00M,0.40M,66.90M,-66.50M,-31.30M,-66.50M,108.20M,-0.90M,109.00M,,0.70M,109.70M,132.33M,317.40M,142.30M,175.10M,,0.2744,,0.3310,0.2744,,0.2744,,0.3310,0.2744,,399.75M,399.75M,,,AOR,Restated
2018-11,1.068B,1.068B,409.10M,658.70M,,315.60M,-41.60M,67.40M,0.60M,-66.80M,-4.20M,456.90M,201.80M,0.60M,67.40M,-66.80M,-42.60M,-66.80M,92.40M,11.30M,80.80M,,1.00M,81.80M,118.31M,305.30M,145.50M,159.80M,,0.21,,0.3024,0.21,,0.20,,0.2897,0.20,,395.00M,407.20M,,,AOR,Restated
2018-08,1.001B,1.001B,375.30M,625.70M,,287.70M,-42.10M,56.70M,0.90M,-55.80M,1.50M,423.30M,202.40M,0.90M,56.70M,-55.80M,-35.00M,-55.80M,111.60M,7.90M,103.50M,,1.00M,104.50M,143.65M,302.40M,134.10M,168.30M,,0.26,,0.3596,0.26,,0.26,,0.3566,0.26,,393.00M,405.10M,,,AOR,Restated
2018-05,1.008B,1.008B,368.40M,639.90M,299.20M,299.20M,-25.80M,55.30M,0.90M,-54.40M,3.00M,433.20M,206.70M,0.90M,55.30M,-54.40M,-26.10M,-54.40M,126.20M,12.00M,114.20M,,0.50M,114.70M,137.92M,312.50M,131.00M,181.50M,,0.29,,0.3493,0.29,,0.28,,0.3375,0.28,,391.80M,403.60M,,,AOR,Restated
2018-02,932.10M,932.10M,342.90M,589.20M,290.10M,290.10M,-27.00M,46.30M,0.70M,-45.60M,1.40M,422.10M,167.10M,0.70M,46.30M,-45.60M,-27.00M,-45.60M,94.10M,-146.60M,240.70M,,0.60M,241.30M,261.01M,271.00M,130.60M,140.40M,,0.61,,0.6595,0.61,,0.59,,0.6378,0.59,,398.00M,412.10M,,,AOR,Restated
2017-11,944.70M,944.70M,342.10M,602.60M,281.10M,281.10M,-36.90M,43.30M,0.60M,-42.70M,10.40M,419.60M,183.00M,0.60M,43.30M,-42.70M,-43.80M,-42.70M,96.50M,-8.60M,105.10M,,0.60M,105.70M,127.84M,267.90M,128.10M,139.80M,,0.27,0.00,0.3257,0.27,,0.26,0.00,0.3136,0.26,,397.60M,412.90M,,,AOR,Restated
2017-08,904.70M,904.70M,341.60M,563.10M,271.90M,271.90M,-14.80M,41.50M,0.50M,-41.00M,3.10M,395.80M,167.30M,0.50M,41.50M,-41.00M,-14.80M,-41.00M,111.50M,-36.70M,147.10M,,-1.20M,145.90M,154.78M,273.80M,120.80M,153.00M,,0.37,,0.3923,0.37,,0.35,,0.3714,0.35,,397.60M,414.20M,,,AOR,Restated
