,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-11,125.60M,,125.60M,891.70M,,891.70M,,131.70M,1.233B,171.10M,,,1.642B,296.80M,2.110B,-1.088B,1.022B,9.909B,3.846B,13.75B,,27.10M,98.40M,14.90B,16.14B,,48.20M,29.10M,77.30M,477.60M,554.90M,268.10M,268.10M,63.50M,331.60M,886.20M,886.20M,,1.979B,4.642B,297.70M,4.939B,543.40M,543.40M,,,13.80M,130.40M,5.627B,7.606B,,4.80M,3.842B,7.830B,3.040B,,,-107.90M,8.529B,,AOR,
2020-08,156.80M,,156.80M,859.70M,,859.70M,,127.80M,1.226B,,,,,1.037B,1.037B,,1.037B,9.908B,3.941B,13.85B,,17.80M,102.60M,15.01B,16.23B,,22.80M,25.40M,48.20M,437.30M,485.50M,251.10M,251.10M,67.10M,318.20M,887.20M,887.20M,,1.838B,4.708B,310.50M,5.018B,660.40M,660.40M,,,14.00M,109.90M,5.802B,7.641B,,4.80M,3.760B,7.788B,2.852B,,,-107.40M,8.593B,,AOR,
2020-05,207.80M,,207.80M,876.10M,,876.10M,,126.60M,1.302B,,,,,1.035B,1.035B,,1.035B,9.747B,3.926B,13.67B,,17.80M,101.00M,14.83B,16.13B,,20.50M,0.00,20.50M,413.00M,433.50M,251.00M,251.00M,65.40M,316.40M,945.90M,945.90M,,1.791B,5.136B,324.30M,5.461B,651.80M,651.80M,,,13.20M,103.50M,6.229B,8.020B,,4.80M,3.678B,7.760B,2.922B,,,-412.20M,8.108B,,AOR,
2020-02,143.90M,,143.90M,979.70M,,979.70M,,125.80M,1.338B,,,,,1.046B,1.046B,,1.046B,9.819B,4.064B,13.88B,,17.80M,95.90M,15.04B,16.38B,,32.60M,24.40M,57.00M,440.90M,497.90M,251.10M,251.10M,59.30M,310.40M,1.030B,1.030B,,1.922B,4.961B,335.90M,5.297B,682.60M,682.60M,,,14.10M,94.70M,6.089B,8.011B,,4.80M,3.689B,7.724B,2.758B,,,-292.20M,8.369B,,AOR,
2019-11,111.50M,,111.50M,890.70M,,890.70M,,118.20M,1.308B,181.10M,,,1.398B,,1.579B,-920.80M,658.20M,9.836B,4.169B,14.01B,,17.80M,98.10M,14.78B,16.09B,,59.70M,58.50M,118.20M,479.10M,597.30M,251.10M,251.10M,0.00,251.10M,879.70M,879.70M,25.90M,1.969B,4.874B,0.00,4.874B,667.20M,667.20M,,,15.10M,145.50M,5.702B,7.671B,,4.80M,3.295B,7.769B,2.392B,,,-261.60M,8.416B,,AOR,Restated
2019-08,124.10M,,124.10M,862.70M,,880.50M,,112.10M,1.189B,,,,,623.90M,623.90M,,623.90M,9.805B,4.182B,13.99B,,14.60M,89.30M,14.71B,15.90B,,27.20M,133.50M,160.70M,437.90M,598.60M,,1.20M,,1.20M,896.50M,896.50M,,1.663B,5.051B,,5.051B,770.50M,770.50M,17.00M,,15.90M,150.70M,6.005B,7.669B,,4.80M,3.095B,7.746B,2.152B,,,-458.60M,8.235B,,AOR,Restated
2019-05,109.50M,,109.50M,854.00M,,868.30M,,134.90M,1.261B,,,,,615.10M,615.10M,,615.10M,9.781B,4.268B,14.05B,,14.60M,93.90M,14.77B,16.03B,,33.60M,23.20M,56.80M,415.00M,471.80M,,364.30M,,364.30M,938.70M,938.70M,25.20M,1.920B,4.894B,,4.894B,677.30M,677.30M,17.10M,,16.80M,122.50M,5.727B,7.647B,,4.80M,3.055B,7.745B,2.076B,,,-342.30M,8.386B,,AOR,Restated
2019-02,133.20M,,133.20M,980.40M,,995.60M,,109.30M,1.326B,,,,,596.40M,596.40M,,596.40M,9.916B,4.443B,14.36B,,14.60M,86.70M,15.06B,16.38B,,56.40M,6.00M,62.40M,417.00M,479.40M,,484.90M,,484.90M,1.026B,1.026B,,2.087B,5.111B,,5.111B,701.00M,701.00M,17.20M,,17.70M,116.60M,5.964B,8.051B,,4.80M,2.906B,7.713B,2.127B,,,-164.70M,8.332B,,AOR,Restated
2018-11,120.00M,,120.00M,792.90M,,792.90M,,109.20M,1.099B,208.00M,,,1.156B,,1.364B,-784.60M,579.60M,9.836B,4.485B,14.32B,,14.60M,47.90M,14.96B,16.06B,,42.20M,8.00M,50.20M,379.30M,429.50M,,789.90M,,789.90M,886.80M,886.80M,,2.320B,4.889B,,4.889B,699.90M,699.90M,,,5.90M,126.50M,5.722B,8.042B,,4.70M,2.743B,7.680B,2.109B,,,-298.90M,8.020B,,AOR,Restated
2018-08,154.40M,,154.40M,760.60M,,778.80M,,109.70M,1.114B,,,,,591.90M,591.90M,,591.90M,10.00B,4.435B,14.44B,,11.10M,51.00M,15.09B,16.21B,,39.60M,10.50M,50.10M,294.70M,344.80M,,1.166B,,1.166B,897.00M,897.00M,,2.563B,4.894B,,4.894B,666.00M,666.00M,22.20M,,6.90M,162.40M,5.751B,8.315B,,4.70M,2.684B,7.634B,2.211B,,,-220.60M,7.892B,,AOR,Restated
