,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.545B,2.545B,1.789B,756.00M,41.00M,41.00M,849.00M,-1.009B,290.00M,64.00M,-226.00M,,41.00M,715.00M,64.00M,290.00M,-226.00M,-1.005B,-226.00M,-516.00M,-147.00M,-481.00M,0.00,,148.00M,-333.00M,392.04M,38.00M,264.00M,-226.00M,-0.5,0.0,,,0.5886,-0.5,-0.5008,0.0,,,0.5879,-0.5,666.00M,666.00M,0.1433
2020-06,2.217B,2.217B,1.693B,524.00M,40.00M,40.00M,0.00,-68.00M,218.00M,64.00M,-154.00M,,40.00M,484.00M,64.00M,218.00M,-154.00M,-225.00M,-154.00M,105.00M,113.00M,0.00,3.00M,,-86.00M,-83.00M,-31.98M,594.00M,271.00M,323.00M,-0.13,0.01,,,-0.0519,-0.12,-0.13,0.01,,,-0.0519,-0.12,691.67M,691.67M,0.1433
2020-03,2.338B,2.338B,1.831B,507.00M,38.00M,38.00M,6.00M,35.00M,233.00M,70.00M,-163.00M,,38.00M,469.00M,70.00M,233.00M,-163.00M,14.00M,-163.00M,320.00M,89.00M,229.00M,,,-85.00M,144.00M,101.52M,821.00M,268.00M,553.00M,0.22,,,,0.1564,0.22,0.22,,,,0.1564,0.22,668.00M,668.00M,0.1433
2019-12,2.431B,2.431B,1.871B,560.00M,60.00M,60.00M,69.00M,-82.00M,262.00M,76.00M,-186.00M,,60.00M,500.00M,76.00M,262.00M,-186.00M,-209.00M,-186.00M,105.00M,50.00M,-120.00M,0.00,,42.00M,-78.00M,-19.60M,638.00M,271.00M,367.00M,-0.12,0.0,,,-0.0303,-0.12,-0.12,0.0,,,-0.0324,-0.12,650.74M,667.00M,0.1365
2019-09,2.625B,2.625B,1.924B,701.00M,41.00M,41.00M,0.00,19.00M,250.00M,81.00M,-169.00M,,41.00M,660.00M,81.00M,250.00M,-169.00M,-67.00M,-169.00M,424.00M,130.00M,298.00M,0.00,,-88.00M,210.00M,256.92M,936.00M,262.00M,674.00M,0.32,0.0,,,0.3915,0.32,0.3148,0.0,,,0.3852,0.32,656.25M,667.00M,0.1365
2019-06,2.483B,2.483B,1.981B,502.00M,49.00M,49.00M,116.00M,-167.00M,273.00M,82.00M,-191.00M,,49.00M,453.00M,82.00M,273.00M,-191.00M,-144.00M,-191.00M,118.00M,57.00M,66.00M,1.00M,,-50.00M,17.00M,121.85M,657.00M,266.00M,391.00M,0.02,0.0,,,0.1445,0.02,0.02,0.0,,,0.1445,0.02,850.00M,850.00M,0.1365
2019-03,2.65B,2.65B,2.064B,586.00M,46.00M,46.00M,0.00,4.00M,265.00M,79.00M,-186.00M,,46.00M,540.00M,79.00M,265.00M,-186.00M,-13.00M,-186.00M,354.00M,115.00M,233.00M,,,-79.00M,154.00M,154.00M,865.00M,246.00M,619.00M,0.23,,,,0.23,0.23,0.23,,,,0.23,0.23,667.00M,667.00M,0.1365
2018-12,2.622B,2.622B,1.976B,646.00M,58.00M,58.00M,42.00M,112.00M,257.00M,79.00M,-178.00M,,65.00M,581.00M,79.00M,257.00M,-178.00M,-57.00M,-178.00M,346.00M,199.00M,155.00M,26.00M,,-53.00M,128.00M,40.68M,836.00M,233.00M,603.00M,0.15,0.04,,,0.0578,0.19,0.15,0.04,,,0.0582,0.19,665.00M,668.00M,0.13
2018-09,2.837B,2.837B,2.166B,671.00M,43.00M,43.00M,74.00M,-125.00M,255.00M,79.00M,-176.00M,,43.00M,628.00M,79.00M,255.00M,-176.00M,-120.00M,-176.00M,332.00M,146.00M,192.00M,-1.00M,,-90.00M,101.00M,189.60M,845.00M,258.00M,587.00M,0.15,0.0,,,0.2823,0.15,0.15,0.0,,,0.2817,0.15,662.00M,665.00M,0.13
2018-06,2.537B,2.537B,1.937B,600.00M,35.00M,35.00M,92.00M,-10.00M,263.00M,76.00M,-187.00M,,35.00M,565.00M,76.00M,263.00M,-187.00M,-36.00M,-187.00M,342.00M,132.00M,224.00M,192.00M,,-126.00M,290.00M,122.40M,863.00M,258.00M,605.00M,0.15,0.29,,,0.1869,0.44,0.15,0.29,,,0.1867,0.44,661.00M,664.00M,0.13
2018-03,2.74B,2.74B,2.084B,656.00M,56.00M,56.00M,,621.00M,281.00M,76.00M,-205.00M,,56.00M,600.00M,76.00M,281.00M,-205.00M,603.00M,-205.00M,998.00M,231.00M,778.00M,-1.00M,,-93.00M,684.00M,221.46M,1.533B,254.00M,1.279B,1.033,-0.0015,,,0.334,1.04,1.033,-0.0015,,,0.334,1.03,663.00M,663.00M,0.13
2017-12,2.643B,2.643B,1.998B,645.00M,60.00M,60.00M,277.00M,-301.00M,310.00M,59.00M,-251.00M,,45.00M,600.00M,59.00M,310.00M,-251.00M,-265.00M,-251.00M,84.00M,744.00M,-622.00M,-664.00M,,-56.00M,-1.342B,-514.20M,679.00M,285.00M,394.00M,-1.04,-1.0,,,-0.7918,-2.04,-1.04,-1.0,,,-0.7918,-2.04,660.00M,660.00M,0.12
2017-09,2.693B,2.693B,2.053B,640.00M,52.00M,52.00M,2.00M,-65.00M,297.00M,63.00M,-234.00M,15.00M,67.00M,573.00M,63.00M,297.00M,-234.00M,-35.00M,-234.00M,304.00M,93.00M,235.00M,26.00M,,-109.00M,152.00M,155.67M,904.00M,303.00M,601.00M,0.22,0.01,,,0.265,0.23,0.22,0.01,,,0.2648,0.23,660.00M,663.00M,0.12
2017-06,2.613B,2.613B,1.99B,623.00M,49.00M,49.00M,90.00M,-147.00M,276.00M,59.00M,-217.00M,,49.00M,574.00M,59.00M,276.00M,-217.00M,-131.00M,-217.00M,226.00M,86.00M,142.00M,8.00M,,-97.00M,53.00M,128.70M,792.00M,290.00M,502.00M,0.08,0.0,,,0.2068,0.08,0.08,0.0,,,0.2064,0.08,660.00M,662.00M,0.12
2017-03,2.581B,2.581B,2.024B,557.00M,54.00M,54.00M,168.00M,-105.00M,287.00M,63.00M,-224.00M,,54.00M,503.00M,63.00M,287.00M,-224.00M,-122.00M,-224.00M,157.00M,67.00M,97.00M,1.00M,,-122.00M,-24.00M,50.00M,735.00M,291.00M,444.00M,-0.0379,0.0015,,,0.0759,-0.04,-0.0379,0.0015,,,0.0759,-0.04,659.00M,659.00M,0.12
2016-12,239.00M,239.00M,-373.00M,612.00M,59.00M,59.00M,623.00M,-597.00M,48.00M,-120.00M,-168.00M,,111.00M,501.00M,-120.00M,48.00M,-168.00M,-591.00M,-168.00M,-258.00M,-133.00M,-114.00M,-579.00M,,-256.00M,-949.00M,-12.40M,89.00M,299.00M,-210.00M,-0.3,-1.14,,,0.2418,-1.44,-0.3,-1.14,,,0.2418,-1.44,660.00M,660.00M,0.11
2016-09,3.542B,3.542B,2.854B,688.00M,40.00M,40.00M,79.00M,-100.00M,354.00M,110.00M,-244.00M,,40.00M,648.00M,110.00M,354.00M,-244.00M,-110.00M,-244.00M,294.00M,75.00M,230.00M,-1.00M,,-54.00M,175.00M,264.80M,939.00M,291.00M,648.00M,0.26,0.0,,,0.3948,0.26,0.26,0.0,,,0.3941,0.26,659.00M,662.00M,0.11
2016-06,3.229B,3.229B,2.655B,574.00M,47.00M,47.00M,235.00M,-263.00M,390.00M,138.00M,-252.00M,,47.00M,527.00M,138.00M,390.00M,-252.00M,-297.00M,-252.00M,-22.00M,-7.00M,-8.00M,-379.00M,,-95.00M,-482.00M,100.32M,664.00M,296.00M,368.00M,-0.16,-0.57,,,0.1485,-0.73,-0.16,-0.57,,,0.1485,-0.73,659.00M,659.00M,0.11
2016-03,3.271B,3.271B,2.762B,509.00M,48.00M,48.00M,159.00M,-104.00M,342.00M,117.00M,-225.00M,,48.00M,461.00M,117.00M,342.00M,-225.00M,-63.00M,-225.00M,173.00M,96.00M,83.00M,-9.00M,,52.00M,126.00M,173.40M,805.00M,290.00M,515.00M,0.2,-0.01,,,0.2581,0.19,0.2,-0.01,,,0.2579,0.19,661.00M,663.00M,0.11
2015-12,324.00M,324.00M,-198.00M,522.00M,46.00M,46.00M,9.00M,-280.00M,150.00M,-65.00M,-215.00M,,46.00M,476.00M,-65.00M,150.00M,-215.00M,-175.00M,-215.00M,86.00M,146.00M,-51.00M,92.00M,,-126.00M,-85.00M,-70.20M,500.00M,264.00M,236.00M,-0.13,0.0,,,0.0289,-0.13,-0.13,0.0,,,0.0285,-0.13,672.00M,674.00M,0.1
2015-09,3.522B,3.522B,2.857B,665.00M,45.00M,45.00M,231.00M,-235.00M,365.00M,126.00M,-239.00M,,45.00M,620.00M,126.00M,365.00M,-239.00M,-221.00M,-239.00M,160.00M,43.00M,198.00M,5.00M,,-23.00M,180.00M,337.79M,808.00M,283.00M,525.00M,0.26,0.01,,,0.4998,0.27,0.26,0.0,,,0.4987,0.26,679.00M,682.00M,0.1
2015-06,3.656B,3.656B,2.901B,755.00M,50.00M,50.00M,37.00M,-157.00M,287.00M,116.00M,-171.00M,,50.00M,705.00M,116.00M,287.00M,-171.00M,-138.00M,-171.00M,396.00M,123.00M,274.00M,-10.00M,,-195.00M,69.00M,178.36M,982.00M,299.00M,683.00M,0.11,-0.01,,,0.2534,0.1,0.11,-0.01,,,0.253,0.1,693.00M,695.00M,0.1
2015-03,3.984B,3.984B,3.263B,721.00M,55.00M,55.00M,8.00M,-39.00M,363.00M,90.00M,-273.00M,,55.00M,666.00M,90.00M,363.00M,-273.00M,-58.00M,-273.00M,335.00M,96.00M,254.00M,,,-112.00M,142.00M,186.02M,996.00M,298.00M,698.00M,0.2,,,,0.2625,0.2,0.2,,,,0.2624,0.2,704.00M,706.00M,0.1
2014-12,3.11B,3.11B,2.51B,600.00M,39.00M,39.00M,1.00M,312.00M,365.00M,115.00M,-250.00M,,39.00M,561.00M,115.00M,365.00M,-250.00M,-10.00M,-250.00M,301.00M,68.00M,213.00M,85.00M,,-92.00M,206.00M,81.52M,974.00M,308.00M,666.00M,0.29,0.0,,,0.2342,0.29,0.29,0.0,,,0.2348,0.29,708.00M,715.00M,0.05
2014-09,4.441B,4.441B,3.674B,767.00M,45.00M,45.00M,15.00M,-67.00M,390.00M,69.00M,-321.00M,,45.00M,722.00M,69.00M,390.00M,-321.00M,205.00M,-321.00M,606.00M,92.00M,508.00M,0.00,,-20.00M,488.00M,304.40M,1.308B,312.00M,996.00M,0.68,0.0,,,0.4254,0.68,0.67,0.0,,,0.4219,0.67,721.00M,740.00M,0.05
2014-06,4.311B,4.311B,3.492B,819.00M,52.00M,52.00M,63.00M,-63.00M,323.00M,73.00M,-250.00M,,52.00M,767.00M,73.00M,323.00M,-250.00M,-99.00M,-250.00M,418.00M,157.00M,281.00M,-6.00M,,-142.00M,133.00M,173.72M,1.06B,319.00M,741.00M,0.2,-0.02,,,0.2479,0.18,0.2,-0.02,,,0.2477,0.18,725.00M,728.00M,0.05
2014-03,4.262B,4.262B,3.468B,794.00M,51.00M,51.00M,12.00M,-300.00M,373.00M,63.00M,-310.00M,,51.00M,743.00M,63.00M,373.00M,-310.00M,-315.00M,-310.00M,118.00M,54.00M,89.00M,-23.00M,,-124.00M,-58.00M,172.35M,797.00M,306.00M,491.00M,-0.07,-0.01,,,0.2164,-0.08,-0.07,-0.01,,,0.2164,-0.08,724.00M,724.00M,0.05
2013-12,3.80B,3.80B,3.13B,670.00M,60.00M,60.00M,160.00M,-471.00M,417.00M,62.00M,-355.00M,,60.00M,610.00M,62.00M,417.00M,-355.00M,-374.00M,-355.00M,-119.00M,58.00M,-173.00M,-31.00M,,-2.00M,-206.00M,151.95M,610.00M,312.00M,298.00M,-0.23,-0.05,,,0.2136,-0.28,-0.23,-0.05,,,0.2089,-0.28,737.00M,745.00M,0.04
2013-09,3.996B,3.996B,3.069B,927.00M,53.00M,53.00M,16.00M,-74.00M,358.00M,85.00M,-273.00M,,53.00M,874.00M,85.00M,358.00M,-273.00M,-151.00M,-273.00M,450.00M,126.00M,339.00M,-116.00M,,-152.00M,71.00M,215.08M,1.129B,321.00M,808.00M,0.23,-0.14,,,0.2678,0.09,0.23,-0.14,,,0.2676,0.09,742.00M,747.00M,0.04
2013-06,3.945B,3.945B,3.044B,901.00M,53.00M,53.00M,0.00,-171.00M,337.00M,63.00M,-274.00M,,53.00M,848.00M,63.00M,337.00M,-274.00M,-167.00M,-274.00M,407.00M,76.00M,333.00M,0.00,,-166.00M,167.00M,303.89M,1.076B,332.00M,744.00M,0.22,0.0,,,0.4033,0.22,0.22,0.0,,,0.4023,0.22,747.00M,751.00M,0.04
2013-03,4.15B,4.15B,3.401B,749.00M,54.00M,54.00M,48.00M,-56.00M,370.00M,65.00M,-305.00M,,54.00M,695.00M,65.00M,370.00M,-305.00M,-80.00M,-305.00M,310.00M,83.00M,231.00M,-32.00M,,-117.00M,82.00M,174.59M,1.009B,329.00M,680.00M,0.15,-0.04,,,0.2313,0.11,0.15,-0.04,,,0.2309,0.11,745.00M,749.00M,0.04
2012-12,4.357B,4.357B,3.494B,863.00M,49.00M,49.00M,2.00M,42.00M,362.00M,87.00M,-275.00M,,49.00M,814.00M,87.00M,362.00M,-275.00M,-1.00M,-275.00M,538.00M,171.00M,353.00M,-30.00M,,-148.00M,175.00M,215.23M,1.256B,356.00M,900.00M,0.27,-0.05,,,0.2838,0.22,0.27,-0.05,,,0.2838,0.22,743.00M,743.00M,0.04
2012-09,4.355B,4.355B,3.388B,967.00M,64.00M,64.00M,43.00M,-1.904B,396.00M,88.00M,-308.00M,,64.00M,903.00M,88.00M,396.00M,-308.00M,-1.878B,-308.00M,-1.283B,172.00M,-1.43B,28.00M,,-166.00M,-1.568B,40.47M,-555.00M,332.00M,-887.00M,-2.12,0.02,,,0.0707,-2.1,-2.12,0.02,,,0.0707,-2.1,747.00M,747.00M,0.0
2012-06,4.089B,4.089B,3.396B,693.00M,74.00M,74.00M,18.00M,-28.00M,384.00M,82.00M,-302.00M,,74.00M,619.00M,82.00M,384.00M,-302.00M,-116.00M,-302.00M,201.00M,75.00M,137.00M,70.00M,,-67.00M,140.00M,148.12M,931.00M,346.00M,585.00M,0.09,0.09,,,0.1923,0.18,0.09,0.09,,,0.1917,0.18,764.00M,768.00M,0.0
2012-03,4.586B,4.586B,3.514B,1.072B,87.00M,87.00M,11.00M,-81.00M,416.00M,91.00M,-325.00M,,87.00M,985.00M,91.00M,416.00M,-325.00M,109.00M,-325.00M,769.00M,268.00M,514.00M,1.00M,,-174.00M,341.00M,276.95M,1.545B,360.00M,1.185B,0.45,0.0,,,0.3677,0.45,0.44,0.0,,,0.3597,0.44,766.00M,785.00M,0.0
2011-12,3.20B,3.20B,2.155B,1.045B,,64.00M,,-17.00M,393.00M,105.00M,-288.00M,,64.00M,981.00M,105.00M,393.00M,-288.00M,-8.00M,-288.00M,685.00M,199.00M,473.00M,-28.00M,,-654.00M,-209.00M,-161.13M,1.393B,315.00M,1.078B,0.19,-0.46,,,0.216,-0.27,0.19,-0.46,,,0.2158,-0.27,763.00M,771.00M,0.0
2011-09,4.307B,4.307B,3.297B,1.01B,,90.00M,,-248.00M,418.00M,102.00M,-316.00M,,90.00M,920.00M,102.00M,418.00M,-316.00M,-338.00M,-316.00M,266.00M,68.00M,203.00M,-28.00M,,-306.00M,-131.00M,148.59M,1.009B,325.00M,684.00M,-0.09,-0.08,,,0.2334,-0.17,-0.09,-0.08,,,0.2334,-0.17,778.00M,778.00M,0.0
2011-06,4.435B,4.435B,3.443B,992.00M,,97.00M,,-34.00M,381.00M,96.00M,-285.00M,,97.00M,895.00M,96.00M,381.00M,-285.00M,4.00M,-285.00M,614.00M,174.00M,436.00M,-9.00M,,-253.00M,174.00M,180.13M,1.312B,317.00M,995.00M,0.24,-0.02,,,0.2363,0.22,0.24,-0.02,,,0.2364,0.22,782.00M,787.00M,0.0
2011-03,4.156B,4.156B,3.163B,993.00M,,95.00M,,1.00M,338.00M,95.00M,-243.00M,,95.00M,898.00M,95.00M,338.00M,-243.00M,40.00M,-243.00M,695.00M,215.00M,490.00M,-7.00M,,-259.00M,224.00M,203.37M,1.338B,305.00M,1.033B,0.3,-0.02,,,0.2649,0.28,0.3,-0.02,,,0.2651,0.28,787.00M,792.00M,0.0
2010-12,3.666B,3.666B,2.747B,919.00M,,112.00M,,-161.00M,298.00M,103.00M,-195.00M,,112.00M,807.00M,103.00M,298.00M,-195.00M,-167.00M,-195.00M,445.00M,53.00M,402.00M,-571.00M,,-267.00M,-436.00M,289.16M,1.045B,302.00M,743.00M,0.18,-0.75,,,0.3751,-0.57,0.18,-0.75,,,0.3739,-0.57,790.00M,795.00M,0.0
2010-09,3.99B,3.99B,3.023B,967.00M,,98.00M,,-322.00M,381.00M,96.00M,-285.00M,,98.00M,869.00M,96.00M,381.00M,-285.00M,-219.00M,-285.00M,365.00M,102.00M,289.00M,108.00M,,-283.00M,114.00M,163.80M,1.038B,292.00M,746.00M,0.05,0.09,,,0.2487,0.14,0.05,0.09,,,0.2475,0.14,794.00M,799.00M,0.0
2010-06,3.923B,3.923B,2.921B,1.002B,,101.00M,,14.00M,389.00M,101.00M,-288.00M,,101.00M,901.00M,101.00M,389.00M,-288.00M,-57.00M,-288.00M,556.00M,261.00M,429.00M,0.00,,-285.00M,144.00M,181.05M,1.236B,291.00M,945.00M,0.19,-0.01,,,0.2366,0.18,0.19,-0.01,,,0.2363,0.18,795.00M,800.00M,0.0
2010-03,3.92B,3.92B,2.959B,961.00M,,80.00M,,-3.00M,381.00M,108.00M,-273.00M,,80.00M,881.00M,108.00M,381.00M,-273.00M,-54.00M,-273.00M,554.00M,186.00M,381.00M,21.00M,,-215.00M,187.00M,201.87M,1.228B,293.00M,935.00M,0.24,0.03,,,0.2916,0.27,0.24,0.03,,,0.2912,0.27,695.00M,701.00M,0.0
2009-12,3.776B,3.776B,2.962B,814.00M,,88.00M,,166.00M,339.00M,76.00M,-263.00M,,88.00M,726.00M,76.00M,339.00M,-263.00M,46.00M,-263.00M,509.00M,117.00M,409.00M,-126.00M,,-331.00M,-48.00M,-49.84M,1.13B,282.00M,848.00M,0.06,-0.13,,,-0.1308,-0.07,0.06,-0.14,,,-0.13,-0.08,670.00M,673.00M,0.0
2009-09,3.652B,3.652B,2.685B,967.00M,,81.00M,,13.00M,406.00M,90.00M,-316.00M,,81.00M,886.00M,90.00M,406.00M,-316.00M,29.00M,-316.00M,599.00M,203.00M,414.00M,26.00M,,-255.00M,185.00M,139.83M,1.274B,269.00M,1.005B,0.26,0.02,,,0.2313,0.28,0.26,0.02,,,0.2314,0.28,667.00M,671.00M,0.0
2009-06,3.291B,3.291B,2.488B,803.00M,,87.00M,,-9.00M,368.00M,89.00M,-279.00M,,87.00M,716.00M,89.00M,368.00M,-279.00M,121.00M,-279.00M,558.00M,105.00M,503.00M,28.00M,,-228.00M,303.00M,176.77M,1.179B,253.00M,926.00M,0.43,0.02,,,0.2827,0.45,0.43,0.02,,,0.2864,0.45,667.00M,684.00M,0.0
2009-03,3.269B,3.269B,2.413B,856.00M,,84.00M,,174.00M,380.00M,93.00M,-287.00M,10.00M,94.00M,762.00M,93.00M,380.00M,-287.00M,174.00M,-287.00M,649.00M,174.00M,482.00M,19.00M,,-283.00M,218.00M,71.65M,1.274B,245.00M,1.029B,0.31,0.02,,,0.1185,0.33,0.31,0.02,,,0.1188,0.33,665.00M,666.00M,0.0
2008-12,2.832B,2.832B,2.233B,599.00M,,84.00M,,-197.00M,441.00M,114.00M,-327.00M,,84.00M,515.00M,114.00M,441.00M,-327.00M,-228.00M,-327.00M,83.00M,46.00M,32.00M,73.00M,,-152.00M,-47.00M,8.05M,765.00M,241.00M,524.00M,-0.13,0.06,,,0.0631,-0.07,-0.13,0.06,,,0.0591,-0.07,663.00M,677.00M,0.0
