,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.227B,2.227B,,,,,13.00M,-13.00M,5.00M,5.00M,13.00M,-13.00M,3.00M,-13.00M,614.00M,130.00M,484.00M,,484.00M,484.00M,20.00M,627.00M,3.01,,,3.01,3.01,2.99,,,2.99,2.99,160.90M,162.00M,0.6
2020-06,2.714B,2.714B,,,,,14.00M,-14.00M,5.00M,5.00M,14.00M,-14.00M,3.00M,-14.00M,1.145B,236.00M,909.00M,,909.00M,909.00M,20.00M,1.159B,5.65,,,5.65,5.65,5.63,,,5.63,5.63,160.80M,161.50M,0.6
2020-03,-99.00M,-99.00M,,,,,13.00M,-13.00M,5.00M,5.00M,13.00M,-13.00M,2.00M,-13.00M,-1.576B,-350.00M,-1.226B,,-1.226B,-1.226B,22.00M,-1.563B,-7.56,,,-7.56,-7.56,-7.56,,,-7.56,-7.56,162.20M,162.20M,0.6
2019-12,2.152B,2.152B,,,,,13.00M,-13.00M,6.00M,6.00M,13.00M,-13.00M,2.00M,-13.00M,781.00M,155.00M,626.00M,,626.00M,626.00M,18.00M,794.00M,3.84,,,3.84,3.84,3.79,,,3.79,3.79,163.20M,165.10M,0.56
2019-09,1.70B,1.70B,,,,,14.00M,-14.00M,5.00M,5.00M,14.00M,-14.00M,3.00M,-14.00M,294.00M,46.00M,248.00M,,248.00M,248.00M,18.00M,308.00M,1.51,,,1.51,1.51,1.49,,,1.49,1.49,163.30M,165.60M,0.56
2019-06,1.913B,1.913B,,,,,13.00M,-13.00M,4.00M,4.00M,13.00M,-13.00M,2.00M,-13.00M,530.00M,102.00M,428.00M,,428.00M,428.00M,17.00M,543.00M,2.62,,,2.62,2.62,2.59,,,2.59,2.59,163.30M,165.20M,0.56
2019-03,2.159B,2.159B,,,,,13.00M,-13.00M,8.00M,8.00M,13.00M,-13.00M,2.00M,-13.00M,867.00M,172.00M,695.00M,,695.00M,695.00M,19.00M,880.00M,4.27,,,4.27,4.27,4.22,,,4.22,4.22,163.00M,164.60M,0.56
2018-12,710.00M,710.00M,,,,,13.00M,-13.00M,6.00M,6.00M,13.00M,-13.00M,1.00M,-13.00M,-581.00M,-129.00M,-452.00M,,-452.00M,-452.00M,15.00M,-568.00M,-2.78,,,-2.78,-2.78,-2.78,,,-2.78,-2.78,162.90M,163.90M,0.53
2018-09,1.915B,1.915B,,,,,14.00M,-14.00M,3.00M,3.00M,14.00M,-14.00M,2.00M,-14.00M,618.00M,65.00M,553.00M,,553.00M,553.00M,16.00M,632.00M,3.4,,,3.4,3.4,3.38,,,3.38,3.38,162.70M,164.00M,0.53
2018-06,1.558B,1.558B,,,,,13.00M,-13.00M,3.00M,3.00M,13.00M,-13.00M,1.00M,-13.00M,264.00M,47.00M,217.00M,,217.00M,217.00M,14.00M,277.00M,1.33,,,1.33,1.33,1.32,,,1.32,1.32,163.20M,164.50M,0.53
2018-03,1.224B,1.224B,,,,,13.00M,-13.00M,4.00M,4.00M,13.00M,-13.00M,1.00M,-13.00M,-50.00M,-19.00M,-31.00M,,-31.00M,-31.00M,18.00M,-37.00M,-0.19,,,-0.19,-0.19,-0.19,,,-0.19,-0.19,164.00M,164.00M,0.53
2017-12,1.411B,1.411B,,,,,14.00M,-14.00M,2.00M,2.00M,14.00M,-14.00M,1.00M,-14.00M,197.00M,-445.00M,642.00M,,642.00M,642.00M,15.00M,211.00M,3.92,,,3.92,3.92,3.88,,,3.88,3.88,163.90M,165.70M,0.5
2017-09,1.412B,1.412B,,,,,13.00M,-13.00M,3.00M,3.00M,13.00M,-13.00M,2.00M,-13.00M,129.00M,27.00M,102.00M,,102.00M,102.00M,13.00M,142.00M,0.62,,,0.62,0.62,0.61,,,0.61,0.61,164.00M,165.90M,0.5
2017-06,1.386B,1.386B,,,,,13.00M,-13.00M,4.00M,4.00M,13.00M,-13.00M,1.00M,-13.00M,128.00M,28.00M,100.00M,,100.00M,100.00M,13.00M,141.00M,0.61,,,0.61,0.61,0.6,,,0.6,0.6,164.30M,166.00M,0.5
2017-03,1.523B,1.523B,,,,,13.00M,-13.00M,4.00M,4.00M,13.00M,-13.00M,1.00M,-13.00M,276.00M,75.00M,201.00M,,201.00M,201.00M,14.00M,289.00M,1.22,,,1.22,1.22,1.21,,,1.21,1.21,164.60M,166.50M,0.5
2016-12,1.312B,1.312B,,,,,14.00M,-14.00M,2.00M,2.00M,14.00M,-14.00M,0.00,-14.00M,128.00M,28.00M,100.00M,,100.00M,100.00M,14.00M,142.00M,0.61,,,0.61,0.61,0.6,,,0.6,0.6,164.50M,166.50M,0.48
2016-09,1.402B,1.402B,,,,,13.00M,-13.00M,3.00M,3.00M,13.00M,-13.00M,2.00M,-13.00M,253.00M,73.00M,180.00M,,180.00M,180.00M,10.00M,266.00M,1.09,,,1.09,1.09,1.08,,,1.08,1.08,164.60M,166.80M,0.48
2016-06,1.371B,1.371B,,,,,13.00M,-13.00M,5.00M,5.00M,13.00M,-13.00M,2.00M,-13.00M,166.00M,43.00M,123.00M,,123.00M,123.00M,12.00M,179.00M,0.75,,,0.75,0.75,0.74,,,0.74,0.74,164.50M,166.50M,0.48
2016-03,1.364B,1.364B,,,,,13.00M,-13.00M,2.00M,2.00M,13.00M,-13.00M,1.00M,-13.00M,265.00M,77.00M,188.00M,,188.00M,188.00M,12.00M,278.00M,1.14,,,1.14,1.14,1.13,,,1.13,1.13,164.20M,166.00M,0.48
2015-12,1.263B,1.263B,,,,,13.00M,-13.00M,3.00M,3.00M,13.00M,-13.00M,2.00M,-13.00M,216.00M,60.00M,156.00M,,156.00M,156.00M,13.00M,229.00M,0.95,,,0.95,0.95,0.94,,,0.94,0.94,163.70M,165.90M,0.46
2015-09,1.278B,1.278B,,,,,14.00M,-14.00M,3.00M,3.00M,14.00M,-14.00M,1.00M,-14.00M,243.00M,69.00M,174.00M,,174.00M,174.00M,12.00M,257.00M,1.06,,,1.06,1.06,1.05,,,1.05,1.05,164.00M,165.50M,0.46
2015-06,1.316B,1.316B,,,,,13.00M,-13.00M,3.00M,3.00M,13.00M,-13.00M,2.00M,-13.00M,248.00M,72.00M,176.00M,,176.00M,176.00M,13.00M,261.00M,1.07,,,1.07,1.07,1.06,,,1.06,1.06,164.10M,165.50M,0.46
2015-03,1.285B,1.285B,,,,,13.00M,-13.00M,4.00M,4.00M,13.00M,-13.00M,2.00M,-13.00M,174.00M,46.00M,128.00M,,128.00M,128.00M,14.00M,187.00M,0.78,,,0.78,0.78,0.77,,,0.77,0.77,164.00M,165.60M,0.46
