,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,484.00M,-532.00M,,-532.00M,20.00M,20.00M,75.00M,,8.00M,8.00M,139.00M,,,0.00,17.00M,41.00M,440.00M,505.00M,-6.00M,-6.00M,-165.00M,1.00M,-170.00M,-83.00M,84.00M,1.00M,,0.00,0.00,-95.00M,-95.00M,1.00M,-34.00M,-127.00M,706.00M,208.00M,914.00M,,,,0.00,11.00M,0.00
2020-06,909.00M,-1.06B,,-1.06B,20.00M,20.00M,213.00M,,7.00M,7.00M,-153.00M,,,-14.00M,72.00M,-11.00M,346.00M,447.00M,-6.00M,-6.00M,-91.00M,-9.00M,-106.00M,8.00M,,8.00M,,0.00,0.00,-95.00M,-95.00M,0.00,-34.00M,-121.00M,486.00M,220.00M,706.00M,,,,0.00,31.00M,27.00M
2020-03,-1.226B,1.729B,,1.729B,22.00M,22.00M,-353.00M,,9.00M,9.00M,-77.00M,,,-11.00M,-123.00M,-3.00M,-25.00M,167.00M,-4.00M,-4.00M,-133.00M,1.00M,-136.00M,75.00M,,75.00M,,-256.00M,-256.00M,-90.00M,-90.00M,4.00M,-45.00M,-312.00M,767.00M,-281.00M,486.00M,,,,-256.00M,0.00,
2019-12,626.00M,-537.00M,,-537.00M,18.00M,18.00M,107.00M,,7.00M,7.00M,-26.00M,,,14.00M,35.00M,15.00M,94.00M,328.00M,-2.00M,-2.00M,-151.00M,0.00,-153.00M,7.00M,-6.00M,1.00M,,-62.00M,-62.00M,-90.00M,-90.00M,2.00M,-46.00M,-195.00M,787.00M,-20.00M,767.00M,,,,-62.00M,31.00M,26.00M
2019-09,248.00M,-81.00M,,-81.00M,18.00M,18.00M,18.00M,,7.00M,7.00M,80.00M,,,11.00M,47.00M,10.00M,184.00M,404.00M,-9.00M,-9.00M,-300.00M,-1.00M,-310.00M,-5.00M,6.00M,1.00M,,-5.00M,-5.00M,-90.00M,-90.00M,2.00M,-18.00M,-110.00M,803.00M,-16.00M,787.00M,,,,-5.00M,-10.00M,0.00
2019-06,428.00M,-362.00M,,-362.00M,17.00M,17.00M,74.00M,,7.00M,7.00M,-138.00M,,,-22.00M,85.00M,-53.00M,102.00M,276.00M,-8.00M,-8.00M,-149.00M,-3.00M,-160.00M,5.00M,,5.00M,,0.00,0.00,-90.00M,-90.00M,4.00M,-34.00M,-115.00M,802.00M,1.00M,803.00M,,,,0.00,-81.00M,27.00M
2019-03,695.00M,-660.00M,,-660.00M,19.00M,19.00M,144.00M,,9.00M,9.00M,-91.00M,,,-25.00M,-93.00M,120.00M,-18.00M,200.00M,-5.00M,-5.00M,-50.00M,-1.00M,-56.00M,,,0.00,,0.00,0.00,-85.00M,-85.00M,3.00M,-44.00M,-126.00M,784.00M,18.00M,802.00M,,,,0.00,94.00M,
2018-12,-452.00M,775.00M,,775.00M,15.00M,15.00M,-177.00M,,6.00M,6.00M,2.00M,,,21.00M,37.00M,31.00M,178.00M,355.00M,-6.00M,-6.00M,-64.00M,-1.00M,-71.00M,2.00M,,2.00M,,0.00,0.00,-85.00M,-85.00M,2.00M,-35.00M,-116.00M,616.00M,168.00M,784.00M,,,,0.00,16.00M,26.00M
2018-09,553.00M,-457.00M,,-457.00M,16.00M,16.00M,163.00M,,6.00M,6.00M,16.00M,,,-8.00M,48.00M,-121.00M,67.00M,362.00M,-5.00M,-5.00M,-107.00M,-3.00M,-115.00M,-31.00M,,-31.00M,,0.00,0.00,-85.00M,-85.00M,2.00M,-38.00M,-152.00M,521.00M,95.00M,616.00M,,,,0.00,82.00M,1.00M
2018-06,217.00M,-101.00M,,-101.00M,14.00M,14.00M,14.00M,,7.00M,7.00M,-109.00M,,,-6.00M,52.00M,-27.00M,147.00M,310.00M,-6.00M,-6.00M,-201.00M,-4.00M,-211.00M,37.00M,,37.00M,,-110.00M,-110.00M,-86.00M,-86.00M,1.00M,-24.00M,-182.00M,604.00M,-83.00M,521.00M,,,,-110.00M,,26.00M
2018-03,-31.00M,191.00M,,191.00M,18.00M,18.00M,-47.00M,,9.00M,9.00M,-16.00M,,,-8.00M,-137.00M,26.00M,3.00M,154.00M,-3.00M,-3.00M,-51.00M,,-54.00M,,,,,-15.00M,-15.00M,-80.00M,-80.00M,4.00M,-62.00M,-153.00M,657.00M,-53.00M,604.00M,,,,-15.00M,,
2017-12,642.00M,8.00M,,8.00M,15.00M,15.00M,-476.00M,,7.00M,7.00M,137.00M,,,-9.00M,70.00M,15.00M,98.00M,306.00M,-2.00M,-2.00M,-92.00M,-5.00M,-99.00M,7.00M,,7.00M,,-22.00M,-22.00M,-161.00M,-161.00M,3.00M,-51.00M,-224.00M,674.00M,-17.00M,657.00M,,,,-22.00M,16.00M,26.00M
2017-09,102.00M,-7.00M,,-7.00M,13.00M,13.00M,0.00,,5.00M,5.00M,27.00M,,,3.00M,36.00M,5.00M,176.00M,301.00M,-5.00M,-5.00M,-120.00M,-1.00M,-126.00M,0.00,,0.00,,0.00,0.00,-81.00M,-81.00M,2.00M,-28.00M,-107.00M,606.00M,68.00M,674.00M,,,,0.00,21.00M,0.00
2017-06,100.00M,11.00M,,11.00M,13.00M,13.00M,-3.00M,,6.00M,6.00M,-54.00M,,,-32.00M,57.00M,7.00M,171.00M,309.00M,-7.00M,-7.00M,-76.00M,-4.00M,-87.00M,0.00,,0.00,,-55.00M,-55.00M,-81.00M,-81.00M,2.00M,-25.00M,-159.00M,543.00M,63.00M,606.00M,,,3.00M,-55.00M,23.00M,26.00M
2017-03,201.00M,-160.00M,,-160.00M,14.00M,14.00M,35.00M,,8.00M,8.00M,-33.00M,,,-5.00M,-139.00M,40.00M,25.00M,136.00M,-2.00M,-2.00M,-245.00M,1.00M,-246.00M,-3.00M,,-3.00M,,-15.00M,-15.00M,-77.00M,-77.00M,6.00M,-35.00M,-124.00M,777.00M,-234.00M,543.00M,,,-3.00M,-15.00M,0.00,0.00
2016-12,100.00M,37.00M,,37.00M,14.00M,14.00M,18.00M,,5.00M,5.00M,-15.00M,,,66.00M,50.00M,-52.00M,94.00M,280.00M,-4.00M,-4.00M,-68.00M,2.00M,-70.00M,0.00,,0.00,,-37.00M,-37.00M,-77.00M,-77.00M,4.00M,-23.00M,-133.00M,700.00M,77.00M,777.00M,,,15.00M,-37.00M,61.00M,26.00M
2016-09,180.00M,-56.00M,,-56.00M,10.00M,10.00M,13.00M,,5.00M,5.00M,26.00M,,,7.00M,44.00M,16.00M,173.00M,336.00M,-2.00M,-2.00M,-83.00M,6.00M,-79.00M,-8.00M,,-8.00M,,0.00,0.00,-78.00M,-78.00M,4.00M,-22.00M,-104.00M,547.00M,153.00M,700.00M,,,-8.00M,0.00,42.00M,0.00
2016-06,123.00M,-44.00M,,-44.00M,12.00M,12.00M,-5.00M,,6.00M,6.00M,-114.00M,,,-27.00M,57.00M,-64.00M,130.00M,234.00M,-4.00M,-4.00M,-198.00M,3.00M,-199.00M,-7.00M,,-7.00M,,-2.00M,-2.00M,-77.00M,-77.00M,4.00M,-19.00M,-101.00M,613.00M,-66.00M,547.00M,,,-7.00M,-2.00M,110.00M,26.00M
2016-03,188.00M,-61.00M,,-61.00M,12.00M,12.00M,12.00M,,7.00M,7.00M,-15.00M,,,-12.00M,-90.00M,65.00M,94.00M,265.00M,-3.00M,-3.00M,-107.00M,2.00M,-108.00M,0.00,,0.00,,0.00,0.00,-74.00M,-74.00M,9.00M,-23.00M,-88.00M,544.00M,69.00M,613.00M,,,0.00,0.00,,
2015-12,156.00M,40.00M,,40.00M,13.00M,13.00M,9.00M,,4.00M,4.00M,38.00M,,,-39.00M,66.00M,-16.00M,86.00M,320.00M,-3.00M,-3.00M,-5.00M,4.00M,-4.00M,0.00,,0.00,,-12.00M,-12.00M,-148.00M,-148.00M,10.00M,-41.00M,-191.00M,419.00M,125.00M,544.00M,,,0.00,-12.00M,66.00M,26.00M
2015-09,174.00M,-3.00M,,-3.00M,12.00M,12.00M,5.00M,,5.00M,5.00M,0.00,,,6.00M,57.00M,-32.00M,82.00M,285.00M,-2.00M,-2.00M,-232.00M,3.00M,-231.00M,-14.00M,,-14.00M,,-21.00M,-21.00M,-73.00M,-73.00M,3.00M,-17.00M,-122.00M,487.00M,-68.00M,419.00M,,,-14.00M,-21.00M,96.00M,0.00
2015-06,176.00M,-60.00M,,-60.00M,13.00M,13.00M,2.00M,,4.00M,4.00M,-70.00M,,,-10.00M,32.00M,-2.00M,110.00M,255.00M,-4.00M,-4.00M,-301.00M,4.00M,-301.00M,0.00,,0.00,,-20.00M,-20.00M,-74.00M,-74.00M,4.00M,-17.00M,-107.00M,640.00M,-153.00M,487.00M,,,0.00,-20.00M,72.00M,26.00M
2015-03,128.00M,-47.00M,,-47.00M,14.00M,14.00M,,,7.00M,7.00M,-22.00M,,,4.00M,-100.00M,32.00M,101.00M,215.00M,-1.00M,-1.00M,-92.00M,5.00M,-88.00M,,,,,,,-71.00M,-71.00M,7.00M,-14.00M,-78.00M,591.00M,49.00M,640.00M,,,,,11.00M,
2014-12,167.00M,-32.00M,,-32.00M,13.00M,13.00M,16.00M,,4.00M,4.00M,41.00M,,,19.00M,19.00M,-50.00M,60.00M,240.00M,-3.00M,-3.00M,20.00M,3.00M,20.00M,0.00,,0.00,,0.00,0.00,-70.00M,-70.00M,8.00M,-19.00M,-81.00M,412.00M,179.00M,591.00M,,,0.00,0.00,102.00M,26.00M
2014-09,183.00M,-65.00M,,-65.00M,13.00M,13.00M,8.00M,,5.00M,5.00M,-13.00M,,,5.00M,42.00M,68.00M,126.00M,282.00M,-1.00M,-1.00M,-237.00M,4.00M,-234.00M,0.00,,0.00,,-14.00M,-14.00M,-70.00M,-70.00M,3.00M,-17.00M,-98.00M,462.00M,-50.00M,412.00M,,,0.00,-14.00M,0.00,1.00M
2014-06,84.00M,-14.00M,,-14.00M,12.00M,12.00M,5.00M,,4.00M,4.00M,-45.00M,,,0.00,30.00M,-24.00M,118.00M,222.00M,-2.00M,-2.00M,-137.00M,3.00M,-136.00M,-55.00M,,-55.00M,,0.00,0.00,-71.00M,-71.00M,3.00M,-22.00M,-145.00M,521.00M,-59.00M,462.00M,,,-55.00M,0.00,41.00M,26.00M
2014-03,91.00M,-22.00M,,-22.00M,13.00M,13.00M,8.00M,,6.00M,6.00M,-45.00M,,,-5.00M,-102.00M,8.00M,23.00M,129.00M,-3.00M,-3.00M,39.00M,3.00M,39.00M,,,,,-7.00M,-7.00M,-67.00M,-67.00M,8.00M,-14.00M,-80.00M,433.00M,88.00M,521.00M,,,,-7.00M,11.00M,
2013-12,122.00M,-6.00M,,-6.00M,20.00M,20.00M,4.00M,,4.00M,4.00M,78.00M,,,-27.00M,62.00M,-13.00M,101.00M,258.00M,-2.00M,-2.00M,-182.00M,-5.00M,-189.00M,,,,,-52.00M,-52.00M,-68.00M,-68.00M,8.00M,-35.00M,-147.00M,511.00M,-78.00M,433.00M,,,,-52.00M,53.00M,26.00M
2013-09,131.00M,-22.00M,,-22.00M,10.00M,10.00M,5.00M,,4.00M,4.00M,26.00M,,,5.00M,54.00M,-36.00M,150.00M,287.00M,-2.00M,-2.00M,-88.00M,0.00,-90.00M,0.00,,0.00,,0.00,0.00,-65.00M,-65.00M,5.00M,-8.00M,-68.00M,382.00M,129.00M,511.00M,,0.00,,0.00,11.00M,0.00
2013-06,110.00M,-14.00M,,-14.00M,11.00M,11.00M,1.00M,,5.00M,5.00M,-90.00M,,,-8.00M,49.00M,3.00M,70.00M,194.00M,-2.00M,-2.00M,-123.00M,-3.00M,-128.00M,0.00,,0.00,,0.00,0.00,-65.00M,-65.00M,6.00M,-5.00M,-64.00M,380.00M,2.00M,382.00M,,0.00,,0.00,104.00M,27.00M
2013-03,154.00M,-41.00M,,-41.00M,9.00M,9.00M,9.00M,,5.00M,5.00M,-84.00M,,,-2.00M,-88.00M,-3.00M,-90.00M,57.00M,-1.00M,-1.00M,-100.00M,-1.00M,-102.00M,,,,,0.00,0.00,-65.00M,-65.00M,6.00M,-3.00M,-62.00M,487.00M,-107.00M,380.00M,,,,0.00,54.00M,0.00
2012-12,192.00M,-13.00M,,-13.00M,12.00M,12.00M,22.00M,,4.00M,4.00M,-43.00M,,,0.00,45.00M,79.00M,-31.00M,205.00M,-1.00M,-1.00M,-47.00M,1.00M,-47.00M,0.00,,0.00,,0.00,0.00,-65.00M,-65.00M,4.00M,-26.00M,-87.00M,416.00M,71.00M,487.00M,,,,0.00,30.00M,26.00M
2012-09,111.00M,-10.00M,,-10.00M,10.00M,10.00M,7.00M,,4.00M,4.00M,-7.00M,,,7.00M,26.00M,,39.00M,168.00M,-1.00M,-1.00M,46.00M,2.00M,47.00M,,,,,,,-63.00M,-63.00M,3.00M,-2.00M,-62.00M,263.00M,153.00M,416.00M,,,,,-11.00M,1.00M
2012-06,32.00M,-6.00M,,-6.00M,11.00M,11.00M,-9.00M,,4.00M,4.00M,-52.00M,,,-6.00M,17.00M,-20.00M,76.00M,117.00M,-2.00M,-2.00M,-200.00M,-2.00M,-204.00M,,,,,,,-64.00M,-64.00M,2.00M,-12.00M,-74.00M,424.00M,-161.00M,263.00M,,,,,19.00M,27.00M
2012-03,86.00M,-13.00M,,-13.00M,11.00M,11.00M,6.00M,,4.00M,4.00M,-16.00M,,,-5.00M,-10.00M,20.00M,45.00M,148.00M,-2.00M,-2.00M,-98.00M,,-100.00M,0.00,,0.00,,0.00,0.00,-64.00M,-64.00M,1.00M,1.00M,-62.00M,438.00M,-14.00M,424.00M,,0.00,,0.00,0.00,0.00
2011-12,134.00M,7.00M,,7.00M,4.00M,4.00M,16.00M,,3.00M,3.00M,103.00M,,,3.00M,0.00,37.00M,-78.00M,99.00M,5.00M,5.00M,65.00M,-30.00M,63.00M,0.00,,0.00,,-2.00M,-2.00M,,-64.00M,1.00M,33.00M,-32.00M,308.00M,130.00M,438.00M,,0.00,,-2.00M,-2.00M,26.00M
