,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,103.00M,6.00M,,,6.00M,,,954.00M,954.00M,-182.00M,,136.00M,101.00M,,7.00M,-126.00M,-136.00M,298.00M,,,257.00M,293.00M,,1.418B,,-291.00M,,-77.00M,-214.00M,0.00,592.00M,301.00M,,-851.00M,-851.00M,,-10.00M,-10.00M,-218.00M,-218.00M,30.00M,-509.00M,-1.558B,,3.835B,161.00M,34.00M,4.03B,,,,10.57B,-11.42B,-10.00M,-163.00M,-305.00M,,AOR,
2020-09,21.00M,0.00,,,0.00,,,930.00M,930.00M,94.00M,,0.00,57.00M,,8.00M,-40.00M,25.00M,68.00M,,,248.00M,301.00M,,1.411B,,-271.00M,,-76.00M,-195.00M,0.00,2.00M,-269.00M,,-350.00M,-350.00M,,-53.00M,-53.00M,-217.00M,-217.00M,28.00M,-204.00M,-796.00M,,3.458B,346.00M,31.00M,3.835B,,,,10.10B,-10.45B,-53.00M,66.00M,35.00M,,AOR,
2020-06,22.00M,1.00M,,,1.00M,,,916.00M,916.00M,-10.00M,,,69.00M,,8.00M,2.00M,-214.00M,62.00M,,,374.00M,224.00M,,1.23B,,-261.00M,,-55.00M,-206.00M,-67.00M,-2.00M,-330.00M,,-738.00M,-738.00M,,-3.00M,-3.00M,-217.00M,-217.00M,98.00M,-14.00M,-874.00M,,3.44B,26.00M,-8.00M,3.458B,,,,16.07B,-16.80B,-3.00M,32.00M,237.00M,,AOR,
2020-03,18.00M,2.00M,,,2.00M,,,914.00M,914.00M,-108.00M,,,56.00M,,8.00M,75.00M,61.00M,-211.00M,,,-432.00M,-507.00M,,383.00M,,-306.00M,,-55.00M,-251.00M,-402.00M,92.00M,-616.00M,,567.00M,567.00M,,-46.00M,-46.00M,-216.00M,-216.00M,176.00M,-4.00M,477.00M,,3.211B,244.00M,-15.00M,3.44B,,,,10.96B,-10.39B,-46.00M,65.00M,33.00M,,AOR,
2019-12,-156.00M,0.00,,,217.00M,,,956.00M,956.00M,-34.00M,,0.00,264.00M,,-6.00M,-142.00M,-127.00M,57.00M,,,-360.00M,-572.00M,,669.00M,,-284.00M,,-65.00M,-219.00M,-3.00M,-47.00M,-334.00M,,-748.00M,-748.00M,,-31.00M,-31.00M,-215.00M,-215.00M,25.00M,-41.00M,-1.01B,,3.83B,-675.00M,56.00M,3.211B,,,,7.927B,-8.675B,-31.00M,48.00M,124.00M,,AOR,
2019-09,155.00M,1.00M,,,1.00M,,,752.00M,752.00M,-7.00M,,87.00M,95.00M,,-209.00M,-96.00M,138.00M,-13.00M,,,18.00M,47.00M,,921.00M,,-259.00M,,-78.00M,-181.00M,-6.623B,-1.00M,-6.883B,,255.00M,255.00M,,1.00M,1.00M,-215.00M,-215.00M,50.00M,-15.00M,76.00M,,9.756B,-5.886B,-40.00M,3.83B,,,,6.224B,-5.969B,1.00M,124.00M,49.00M,,AOR,Restated
2019-06,155.00M,11.00M,,,11.00M,,,368.00M,368.00M,-58.00M,,,24.00M,,110.00M,82.00M,-23.00M,-33.00M,,,-110.00M,-84.00M,,526.00M,,-140.00M,,-20.00M,-120.00M,0.00,-1.00M,-141.00M,,8.975B,8.975B,,0.00,0.00,-113.00M,-113.00M,24.00M,-96.00M,8.79B,,576.00M,9.175B,5.00M,9.756B,,,,13.25B,-4.274B,0.00,105.00M,110.00M,,AOR,Restated
2019-03,149.00M,6.00M,,,6.00M,,,368.00M,368.00M,-10.00M,,,19.00M,,4.00M,12.00M,-117.00M,-85.00M,,,-52.00M,-242.00M,,294.00M,,-145.00M,,-37.00M,-108.00M,43.00M,-41.00M,-143.00M,,198.00M,198.00M,,-423.00M,-423.00M,-113.00M,-113.00M,62.00M,1.00M,-275.00M,,703.00M,-124.00M,-3.00M,576.00M,,,,5.952B,-5.754B,-423.00M,44.00M,49.00M,,AOR,Restated
2018-12,310.00M,2.00M,,,2.00M,,,360.00M,360.00M,-51.00M,,0.00,18.00M,,4.00M,-83.00M,-27.00M,203.00M,,,-31.00M,62.00M,,705.00M,,-158.00M,,-12.00M,-146.00M,-74.00M,-4.00M,-236.00M,,-120.00M,-120.00M,,-217.00M,-217.00M,-105.00M,-105.00M,15.00M,-15.00M,-442.00M,,632.00M,66.00M,5.00M,703.00M,,39.00M,,18.30B,-18.42B,-217.00M,61.00M,99.00M,,AOR,Restated
2018-09,163.00M,54.00M,,,54.00M,,,354.00M,354.00M,-41.00M,,95.00M,21.00M,,4.00M,-45.00M,42.00M,18.00M,,,-200.00M,-185.00M,,465.00M,,-148.00M,,-32.00M,-116.00M,9.00M,-20.00M,-159.00M,,161.00M,161.00M,,-401.00M,-401.00M,-105.00M,-105.00M,70.00M,-30.00M,-305.00M,,683.00M,-38.00M,-13.00M,632.00M,,-39.00M,,2.365B,-2.204B,-401.00M,89.00M,53.00M,,AOR,Restated
2018-06,218.00M,1.00M,,,2.00M,,,354.00M,354.00M,-10.00M,,,25.00M,,4.00M,140.00M,32.00M,-182.00M,,,-114.00M,-124.00M,,469.00M,,-144.00M,,-29.00M,-115.00M,0.00,-2.00M,-146.00M,,-78.00M,-78.00M,,-213.00M,-213.00M,-105.00M,-105.00M,105.00M,-25.00M,-316.00M,,725.00M,7.00M,-49.00M,683.00M,,,,3.732B,-3.81B,-213.00M,215.00M,100.00M,,AOR,Restated
2018-03,190.00M,-7.00M,,,-7.00M,,,352.00M,352.00M,-14.00M,,,20.00M,,5.00M,46.00M,-43.00M,-201.00M,,,6.00M,-192.00M,,354.00M,,-172.00M,,-54.00M,-118.00M,49.00M,-4.00M,-127.00M,,260.00M,260.00M,,-424.00M,-424.00M,-106.00M,-106.00M,98.00M,-1.00M,-173.00M,,665.00M,54.00M,6.00M,725.00M,,,,1.971B,-1.711B,-424.00M,138.00M,46.00M,,AOR,Restated
2017-12,943.00M,-7.00M,,,-3.00M,,,351.00M,351.00M,-789.00M,,0.00,21.00M,,4.00M,-60.00M,18.00M,125.00M,,,52.00M,135.00M,,662.00M,,-165.00M,,-47.00M,-118.00M,0.00,-1.00M,-166.00M,,-380.00M,-380.00M,,-107.00M,-107.00M,-96.00M,-96.00M,40.00M,-4.00M,-547.00M,,720.00M,-51.00M,-4.00M,665.00M,,,,1.715B,-2.095B,-107.00M,60.00M,88.00M,,AOR,Restated
2017-09,68.00M,33.00M,,,225.00M,,,342.00M,342.00M,-66.00M,,0.00,25.00M,,-2.00M,-156.00M,32.00M,207.00M,,,-124.00M,-41.00M,,551.00M,,-151.00M,,-29.00M,-122.00M,461.00M,0.00,310.00M,,-835.00M,-835.00M,,-3.00M,-3.00M,-97.00M,-97.00M,59.00M,-67.00M,-943.00M,,786.00M,-82.00M,16.00M,720.00M,,0.00,,4.202B,-5.037B,-3.00M,33.00M,71.00M,,AOR,Restated
2017-06,148.00M,-3.00M,,,-3.00M,,,341.00M,341.00M,22.00M,,,35.00M,,5.00M,-22.00M,-2.00M,-361.00M,,,-89.00M,-474.00M,,74.00M,,-142.00M,,-25.00M,-117.00M,19.00M,-2.00M,-125.00M,,203.00M,203.00M,,-26.00M,-26.00M,-97.00M,-97.00M,45.00M,-1.00M,124.00M,,705.00M,73.00M,8.00M,786.00M,,,,2.317B,-2.114B,-26.00M,397.00M,136.00M,,AOR,Restated
