,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,3.316B,3.316B,2.11B,1.206B,903.00M,,-136.00M,82.00M,,-82.00M,,903.00M,303.00M,,82.00M,-82.00M,-119.00M,-82.00M,102.00M,2.00M,102.00M,,1.00M,103.00M,236.33M,1.138B,954.00M,184.00M,,0.17,,0.3847,0.17,,0.16,,0.3723,0.16,,621.00M,628.00M,0.35,,AOR,
2020-09,3.197B,3.197B,2.104B,1.093B,862.00M,,0.00,84.00M,,-84.00M,,862.00M,231.00M,,84.00M,-84.00M,-4.00M,-84.00M,143.00M,121.00M,22.00M,,-2.00M,20.00M,20.00M,1.157B,930.00M,227.00M,,0.03,,0.03,0.03,,0.03,,0.03,0.03,,620.00M,627.00M,0.35,,AOR,
2020-06,2.962B,2.962B,2.046B,916.00M,870.00M,,,88.00M,,-88.00M,,870.00M,46.00M,,88.00M,-88.00M,74.00M,-88.00M,32.00M,4.00M,21.00M,,-2.00M,19.00M,19.00M,1.036B,916.00M,120.00M,,0.03,,0.03,0.03,,0.03,,0.03,0.03,,618.00M,625.00M,0.35,,AOR,
2020-03,3.078B,3.078B,2.089B,989.00M,881.00M,,,80.00M,,-80.00M,,881.00M,108.00M,,80.00M,-80.00M,-39.00M,-80.00M,-11.00M,-30.00M,18.00M,,-3.00M,15.00M,15.00M,983.00M,914.00M,69.00M,,0.02,,0.02,0.02,,0.02,,0.02,0.02,,616.00M,625.00M,0.35,,AOR,
2019-12,3.342B,3.342B,1.987B,1.355B,1.232B,,0.00,147.00M,,-95.00M,,1.232B,123.00M,,147.00M,-95.00M,-211.00M,-95.00M,-183.00M,-19.00M,-156.00M,,-2.00M,-158.00M,-158.00M,920.00M,956.00M,-36.00M,,-0.26,,-0.26,-0.26,,-0.26,,-0.26,-0.26,,616.00M,616.00M,0.35,,AOR,
2019-09,2.822B,2.822B,1.838B,984.00M,757.00M,,-87.00M,95.00M,,-95.00M,,757.00M,227.00M,,95.00M,-95.00M,77.00M,-95.00M,209.00M,48.00M,156.00M,,-2.00M,154.00M,220.99M,1.056B,752.00M,304.00M,,0.30,,0.4298,0.30,,0.29,,0.4178,0.29,,516.00M,524.00M,0.35,,AOR,Restated
2019-06,2.112B,2.112B,1.404B,708.00M,317.00M,,,72.00M,,-72.00M,,317.00M,391.00M,,72.00M,-72.00M,-120.00M,-72.00M,199.00M,40.00M,155.00M,,-1.00M,154.00M,154.00M,639.00M,368.00M,271.00M,,0.48,,0.48,0.48,,0.47,,0.47,0.47,,324.00M,327.00M,0.35,,AOR,Restated
2019-03,2.057B,2.057B,1.381B,676.00M,361.00M,,,75.00M,,-75.00M,,361.00M,315.00M,,75.00M,-75.00M,-52.00M,-75.00M,188.00M,32.00M,149.00M,,-1.00M,148.00M,148.00M,631.00M,368.00M,263.00M,,0.46,,0.46,0.46,,0.45,,0.45,0.45,,323.00M,326.00M,0.35,,AOR,Restated
2018-12,2.167B,2.167B,1.377B,790.00M,321.00M,,0.00,89.00M,,-72.00M,,321.00M,469.00M,,89.00M,-72.00M,3.00M,-72.00M,400.00M,86.00M,310.00M,,-12.00M,298.00M,298.00M,849.00M,360.00M,489.00M,,0.92,,0.92,0.92,,0.91,,0.91,0.91,,325.00M,329.00M,0.32,,AOR,Restated
2018-09,2.084B,2.084B,1.364B,720.00M,283.00M,,-95.00M,80.00M,,-80.00M,,283.00M,437.00M,,80.00M,-80.00M,-153.00M,-80.00M,204.00M,37.00M,163.00M,,-9.00M,154.00M,231.80M,638.00M,354.00M,284.00M,,0.47,,0.7072,0.47,,0.47,,0.7051,0.47,,328.00M,331.00M,0.32,,AOR,Restated
2018-06,2.106B,2.106B,1.414B,692.00M,339.00M,,,73.00M,,-73.00M,,339.00M,353.00M,,73.00M,-73.00M,-4.00M,-73.00M,276.00M,51.00M,218.00M,,-6.00M,212.00M,212.00M,703.00M,354.00M,349.00M,,0.64,,0.64,0.64,,0.64,,0.64,0.64,,329.00M,333.00M,0.32,,AOR,Restated
2018-03,2.066B,2.066B,1.414B,652.00M,358.00M,,,72.00M,,-72.00M,,358.00M,294.00M,,72.00M,-72.00M,3.00M,-72.00M,225.00M,34.00M,190.00M,,-8.00M,182.00M,182.00M,649.00M,352.00M,297.00M,,0.55,,0.55,0.55,,0.54,,0.54,0.54,,330.00M,334.00M,0.32,,AOR,Restated
2017-12,2.166B,2.166B,1.397B,769.00M,338.00M,,0.00,92.00M,,-70.00M,,338.00M,431.00M,,92.00M,-70.00M,4.00M,-70.00M,365.00M,-581.00M,943.00M,,-9.00M,934.00M,934.00M,808.00M,351.00M,457.00M,,2.98,0.00,2.98,2.98,,2.93,0.00,2.93,2.93,,330.00M,339.00M,0.29,,AOR,Restated
2017-09,2.096B,2.096B,1.386B,710.00M,325.00M,,0.00,84.00M,,-84.00M,,325.00M,385.00M,,84.00M,-84.00M,-182.00M,-84.00M,119.00M,50.00M,69.00M,,-10.00M,59.00M,59.00M,545.00M,342.00M,203.00M,,0.18,,0.18,0.18,,0.18,,0.18,0.18,,331.00M,336.00M,0.29,,AOR,Restated
2017-06,2.258B,2.258B,1.52B,738.00M,368.00M,,,91.00M,,-91.00M,,368.00M,370.00M,,91.00M,-91.00M,4.00M,-91.00M,283.00M,136.00M,147.00M,,-8.00M,139.00M,139.00M,715.00M,341.00M,374.00M,,0.42,,0.42,0.42,,0.42,,0.42,0.42,,330.00M,334.00M,0.29,,AOR,Restated
2017-03,2.148B,2.148B,1.491B,657.00M,411.00M,,,93.00M,,-93.00M,,411.00M,246.00M,,93.00M,-93.00M,56.00M,-93.00M,209.00M,74.00M,135.00M,,-6.00M,129.00M,129.00M,634.00M,332.00M,302.00M,,0.39,,0.39,0.39,,0.39,,0.39,0.39,,328.00M,333.00M,0.29,,AOR,Restated
2016-12,2.036B,2.036B,1.215B,821.00M,457.00M,,,119.00M,,-99.00M,,457.00M,364.00M,,119.00M,-99.00M,-1.00M,-99.00M,264.00M,91.00M,173.00M,0.00,-9.00M,164.00M,164.00M,660.00M,277.00M,383.00M,,0.63,0.00,0.63,0.63,,0.63,0.00,0.63,0.63,,329.00M,333.00M,0.26,,AOR,Restated
2016-09,2.309B,2.309B,1.527B,782.00M,384.00M,,,98.00M,,-98.00M,,384.00M,398.00M,,98.00M,-98.00M,-6.00M,-98.00M,294.00M,103.00M,191.00M,0.00,-6.00M,185.00M,185.00M,684.00M,292.00M,392.00M,,0.57,0.00,0.57,0.57,,0.56,0.00,0.56,0.56,,326.00M,330.00M,0.26,,AOR,Restated
2016-06,2.305B,2.305B,1.60B,705.00M,422.00M,,,93.00M,,-93.00M,,422.00M,283.00M,,93.00M,-93.00M,-1.00M,-93.00M,189.00M,66.00M,123.00M,1.00M,-3.00M,121.00M,120.00M,573.00M,291.00M,282.00M,,0.37,0.00,0.37,0.37,,0.36,0.00,0.36,0.37,,325.00M,329.00M,0.26,,AOR,Restated
2016-03,2.181B,2.181B,1.553B,628.00M,444.00M,,,93.00M,,-93.00M,,444.00M,184.00M,,93.00M,-93.00M,-1.00M,-93.00M,90.00M,31.00M,59.00M,0.00,-4.00M,55.00M,55.00M,476.00M,293.00M,183.00M,,0.17,0.00,0.17,0.17,,0.17,0.00,0.17,0.17,,324.00M,327.00M,0.26,,AOR,Restated
2015-12,1.875B,1.875B,1.233B,642.00M,383.00M,,,90.00M,,-74.00M,,383.00M,259.00M,,90.00M,-74.00M,-9.00M,-74.00M,176.00M,65.00M,111.00M,0.00,-5.00M,106.00M,106.00M,471.00M,205.00M,266.00M,,0.36,0.00,0.36,0.36,,0.35,0.00,0.35,0.35,,294.00M,301.00M,0.26,,AOR,Restated
2015-09,1.579B,1.579B,1.022B,557.00M,219.00M,,,36.00M,,-36.00M,,219.00M,338.00M,,36.00M,-36.00M,-20.00M,-36.00M,282.00M,100.00M,182.00M,-2.00M,-5.00M,175.00M,177.00M,474.00M,156.00M,318.00M,,0.63,-0.01,0.63,0.62,,0.62,-0.01,0.62,0.62,,280.00M,284.00M,0.26,,AOR,Restated
2015-06,1.587B,1.587B,1.07B,517.00M,230.00M,,,36.00M,,-36.00M,,230.00M,287.00M,,36.00M,-36.00M,152.00M,-36.00M,403.00M,156.00M,247.00M,-2.00M,-5.00M,240.00M,242.00M,594.00M,155.00M,439.00M,,0.86,-0.01,0.86,0.85,,0.85,-0.01,0.85,0.84,,281.00M,284.00M,0.26,,AOR,Restated
2015-03,1.555B,1.555B,1.07B,485.00M,270.00M,,,37.00M,,-37.00M,,270.00M,215.00M,,37.00M,-37.00M,-2.00M,-37.00M,176.00M,58.00M,118.00M,-3.00M,-4.00M,111.00M,114.00M,366.00M,153.00M,213.00M,,0.40,-0.01,0.40,0.39,,0.40,-0.01,0.40,0.39,,283.00M,287.00M,0.26,,AOR,Restated
2014-12,1.688B,1.688B,1.116B,572.70M,221.20M,,,52.30M,,-37.30M,,221.20M,351.50M,,52.30M,-37.30M,-3.50M,-37.30M,310.70M,101.30M,209.40M,-6.70M,-7.50M,195.20M,201.90M,522.90M,159.90M,363.00M,,0.72,-0.03,0.72,0.69,,0.71,-0.03,0.71,0.68,,283.50M,288.10M,0.24,,AOR,Restated
2014-09,1.605B,1.605B,1.074B,530.80M,207.10M,,,37.70M,,-37.70M,,207.10M,323.70M,,37.70M,-37.70M,-54.80M,-37.70M,231.20M,72.10M,159.10M,-1.20M,-7.40M,150.50M,151.70M,425.90M,157.00M,268.90M,,0.54,-0.01,0.54,0.53,,0.53,-0.01,0.53,0.52,,283.10M,287.00M,0.24,,AOR,Restated
2014-06,1.599B,1.599B,1.092B,506.60M,196.90M,,,41.90M,,-41.90M,,196.90M,309.70M,,41.90M,-41.90M,-1.20M,-41.90M,266.60M,80.40M,186.20M,-0.90M,-6.50M,178.80M,179.70M,465.00M,156.50M,308.50M,,0.63,0.00,0.63,0.63,,0.62,0.00,0.62,0.62,,285.50M,289.20M,0.24,,AOR,Restated
2014-03,1.520B,1.520B,1.044B,475.90M,189.80M,,,41.10M,,-41.10M,,189.80M,286.10M,,41.10M,-41.10M,-0.50M,-41.10M,244.50M,81.20M,163.30M,-2.20M,-6.60M,154.50M,156.70M,438.20M,152.60M,285.60M,,0.54,-0.01,0.54,0.54,,0.54,-0.01,0.54,0.53,,288.00M,291.90M,0.24,,AOR,Restated
2013-12,1.573B,1.573B,1.057B,516.60M,295.90M,,,53.80M,,-43.40M,,295.90M,220.70M,,53.80M,-43.40M,-0.30M,-43.40M,177.00M,94.50M,82.50M,-2.30M,-8.30M,71.90M,74.20M,388.00M,157.20M,230.80M,,0.26,-0.02,0.26,0.25,,0.26,-0.02,0.26,0.25,,288.80M,293.90M,0.22,,AOR,Restated
2013-09,1.50B,1.50B,995.10M,504.90M,187.20M,,,43.70M,,-43.70M,,187.20M,317.70M,,43.70M,-43.70M,5.90M,-43.70M,279.90M,97.80M,182.10M,-3.00M,-6.80M,172.30M,175.30M,475.50M,151.90M,323.60M,,0.61,-0.01,0.61,0.60,,0.60,-0.01,0.60,0.59,,289.20M,293.20M,0.22,,AOR,Restated
2013-06,1.513B,1.513B,1.032B,481.30M,232.60M,,,49.40M,,-49.40M,,232.60M,248.70M,,49.40M,-49.40M,-61.90M,-49.40M,137.40M,41.20M,96.20M,12.80M,-4.20M,104.80M,92.00M,339.10M,152.30M,186.80M,,0.32,0.04,0.32,0.36,,0.31,0.04,0.31,0.36,,289.90M,294.30M,0.22,,AOR,Restated
2013-03,1.478B,1.478B,1.008B,470.00M,194.90M,,,51.70M,,-51.70M,,194.90M,275.10M,,51.70M,-51.70M,5.10M,-51.70M,228.50M,75.20M,153.30M,-3.90M,-5.30M,144.10M,148.00M,433.40M,153.20M,280.20M,,0.51,-0.01,0.51,0.50,,0.50,-0.01,0.50,0.49,,291.00M,295.50M,0.22,,AOR,Restated
2012-12,1.488B,1.488B,1.017B,471.50M,188.30M,,,61.30M,,-52.70M,,188.30M,283.20M,,61.30M,-52.70M,-1.10M,-52.70M,229.40M,78.10M,151.30M,-6.50M,-8.10M,136.70M,143.20M,450.30M,159.60M,290.70M,,0.50,-0.03,0.50,0.47,,0.49,-0.03,0.49,0.46,,292.40M,298.40M,0.20,,AOR,Restated
