,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,683.00M,,683.00M,1.408B,587.00M,1.995B,,816.00M,,,3.494B,,,,,,,1.675B,-1.118B,557.00M,13.67B,5.247B,18.91B,,412.00M,492.00M,20.37B,23.87B,,934.00M,,796.00M,1.73B,,1.73B,,,,38.00M,,38.00M,766.00M,766.00M,,,2.534B,8.854B,,8.854B,1.455B,103.00M,1.558B,105.00M,378.00M,10.79B,13.32B,,4.00M,4.291B,10.66B,4.112B,,,-403.00M,10.44B,,AOR,Restated
2018-03,725.00M,,725.00M,1.562B,549.00M,2.111B,,899.00M,,,3.735B,,,,,,,1.672B,-1.091B,581.00M,13.75B,5.446B,19.19B,,392.00M,504.00M,20.67B,24.40B,,1.018B,,920.00M,1.938B,,1.938B,,,,1.036B,,1.036B,842.00M,842.00M,,,3.816B,8.04B,,8.04B,1.443B,105.00M,1.548B,116.00M,390.00M,9.978B,13.79B,,4.00M,4.186B,10.58B,3.962B,,,-318.00M,10.50B,,AOR,Restated
2017-12,665.00M,,665.00M,1.624B,469.00M,2.093B,,930.00M,,,3.688B,0.00,31.00M,228.00M,1.24B,,158.00M,1.657B,-1.047B,610.00M,13.73B,5.613B,19.34B,,354.00M,531.00M,20.84B,24.53B,,776.00M,59.00M,1.214B,2.049B,70.00M,2.119B,,,,1.045B,,1.045B,776.00M,776.00M,,,4.011B,7.718B,,7.718B,1.468B,106.00M,1.574B,109.00M,403.00M,9.695B,13.71B,,4.00M,4.109B,10.53B,3.604B,,,-332.00M,10.71B,,AOR,Restated
2017-09,720.00M,,720.00M,1.598B,271.00M,1.869B,,735.00M,0.00,,3.324B,,,,,,,1.62B,-1.044B,576.00M,13.70B,5.795B,19.49B,,350.00M,550.00M,20.97B,24.29B,,1.064B,,671.00M,1.735B,,1.735B,,,,296.00M,,296.00M,627.00M,627.00M,,,2.658B,8.813B,,8.813B,2.305B,22.00M,2.327B,104.00M,407.00M,11.55B,14.20B,,4.00M,3.341B,10.50B,3.515B,,,-340.00M,9.985B,,AOR,Restated
2017-06,786.00M,,786.00M,1.456B,363.00M,1.819B,,704.00M,0.00,,4.062B,,,,,,,1.521B,-937.00M,584.00M,13.64B,5.956B,19.60B,,329.00M,394.00M,20.91B,24.97B,,969.00M,,632.00M,1.601B,,1.601B,,,,297.00M,,297.00M,707.00M,707.00M,,124.00M,2.729B,9.415B,,9.415B,2.372B,22.00M,2.394B,114.00M,427.00M,12.24B,14.96B,,4.00M,3.377B,10.45B,3.552B,,,-385.00M,9.891B,,AOR,Restated
2017-03,705.00M,,705.00M,1.596B,325.00M,1.921B,,783.00M,0.00,,3.409B,,,,,,,1.52B,-910.00M,610.00M,14.18B,6.18B,20.36B,,325.00M,378.00M,21.68B,25.09B,,1.269B,,758.00M,2.027B,,2.027B,,,,351.00M,,351.00M,760.00M,760.00M,,,3.138B,9.154B,,9.154B,2.389B,21.00M,2.41B,112.00M,394.00M,11.96B,15.10B,,4.00M,3.341B,10.42B,3.588B,,,-298.00M,9.878B,,AOR,Restated
2016-12,683.00M,,683.00M,1.411B,468.00M,1.879B,,756.00M,101.00M,,4.282B,0.00,31.00M,204.00M,1.116B,,137.00M,1.488B,-862.00M,626.00M,14.18B,6.272B,20.45B,,310.00M,363.00M,21.75B,26.03B,,512.00M,62.00M,1.093B,1.667B,95.00M,1.762B,,,,332.00M,,332.00M,680.00M,680.00M,,279.00M,3.151B,10.15B,,10.15B,2.484B,19.00M,2.503B,104.00M,386.00M,13.04B,16.19B,,4.00M,3.299B,10.38B,3.611B,,,-331.00M,9.741B,,AOR,Restated
2016-09,701.00M,,701.00M,1.649B,334.00M,1.983B,,757.00M,82.00M,,3.523B,,,,,,,1.49B,-886.00M,604.00M,14.57B,6.785B,21.35B,,293.00M,360.00M,22.61B,26.13B,,1.169B,,699.00M,1.868B,,1.868B,,,,317.00M,,317.00M,752.00M,752.00M,,,2.937B,10.47B,,10.47B,2.629B,17.00M,2.646B,95.00M,325.00M,13.44B,16.38B,,4.00M,3.177B,10.33B,3.614B,,,-240.00M,9.661B,,AOR,Restated
2016-06,765.00M,,765.00M,1.646B,380.00M,2.026B,,735.00M,152.00M,,3.678B,,,,,,,1.443B,-848.00M,595.00M,14.56B,6.898B,21.46B,,285.00M,363.00M,22.71B,26.38B,,1.157B,,669.00M,1.826B,,1.826B,,,,913.00M,,913.00M,757.00M,757.00M,,,3.496B,10.21B,,10.21B,2.729B,21.00M,2.75B,110.00M,323.00M,13.28B,16.78B,,4.00M,3.078B,10.29B,3.63B,,,-246.00M,9.497B,,AOR,Restated
2016-03,702.00M,,702.00M,1.727B,469.00M,2.196B,,589.00M,142.00M,,3.629B,,,,,,,1.426B,-815.00M,611.00M,14.58B,6.995B,21.57B,,264.00M,355.00M,22.80B,26.43B,,1.194B,,574.00M,1.768B,,1.768B,,,,764.00M,,764.00M,790.00M,790.00M,,,3.322B,10.53B,,10.53B,2.743B,19.00M,2.762B,96.00M,324.00M,13.62B,16.94B,,4.00M,3.043B,10.24B,3.661B,,,-232.00M,9.393B,,AOR,Restated
