,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2010-12,338.00M,35.90M,373.90M,856.10M,229.50M,1.086B,,138.00M,58.10M,17.40M,1.673B,0.00,28.00M,159.70M,521.40M,,78.50M,787.60M,-397.60M,390.00M,8.55B,3.112B,11.66B,,254.20M,182.70M,12.49B,14.16B,,,,,717.90M,,717.90M,,,,256.90M,,256.90M,268.60M,268.60M,,42.50M,1.286B,4.935B,,4.935B,859.30M,86.30M,945.60M,158.40M,433.50M,6.314B,7.600B,,3.80M,1.471B,7.200B,2.359B,,,87.90M,6.403B,,AOR,Restated
2010-06,502.00M,43.50M,545.50M,737.00M,119.00M,856.00M,,144.80M,71.90M,,1.618B,,,,,,,728.70M,-360.40M,368.30M,8.207B,3.201B,11.41B,,239.70M,131.80M,12.15B,13.77B,,,,,669.30M,,669.30M,,,,263.70M,,263.70M,279.20M,279.20M,,,1.212B,2.697B,,2.697B,856.40M,89.20M,945.60M,202.40M,232.80M,3.876B,5.088B,,3.80M,1.280B,7.242B,66.40M,,,16.10M,8.476B,,AOR,Restated
2010-03,463.90M,44.00M,507.90M,717.50M,160.40M,877.90M,,149.10M,58.30M,,1.593B,,,,,,,708.00M,-339.10M,368.90M,8.221B,3.284B,11.50B,,249.30M,117.90M,12.24B,13.83B,,,,,722.40M,,722.40M,,,,236.90M,,236.90M,299.40M,299.40M,,,1.259B,2.816B,,2.816B,875.90M,91.40M,967.30M,204.80M,234.90M,4.018B,5.276B,,3.80M,1.210B,7.324B,239.20M,,,54.20M,8.353B,,AOR,Restated
2009-12,430.90M,50.80M,481.70M,765.40M,125.40M,890.80M,,141.20M,80.90M,71.50M,1.666B,0.00,28.20M,154.30M,443.10M,,72.00M,697.60M,-321.70M,375.90M,8.233B,3.330B,11.56B,,261.40M,131.80M,12.33B,14.00B,,,,,718.50M,,718.50M,,,,236.70M,,236.70M,279.50M,279.50M,,,1.235B,3.017B,,3.017B,915.90M,104.80M,1.021B,209.70M,207.00M,4.244B,5.479B,,3.80M,1.135B,7.345B,256.80M,,,82.20M,8.309B,,AOR,Restated
2009-09,205.60M,44.80M,250.40M,518.10M,121.20M,639.30M,,89.20M,78.40M,,1.057B,,,,,,,562.10M,-298.80M,263.30M,4.206B,1.567B,5.773B,0.00,256.40M,80.80M,6.373B,7.430B,,,,,522.30M,,522.30M,,,,195.80M,,195.80M,167.80M,167.80M,,,885.90M,1.948B,,1.948B,354.00M,92.30M,446.30M,177.80M,118.50M,2.513B,3.399B,,2.00M,1.207B,2.909B,308.70M,,,44.60M,3.854B,,AOR,Restated
2009-06,227.90M,38.00M,265.90M,521.80M,127.80M,649.60M,,98.90M,80.50M,,1.095B,,,,,,,551.80M,-280.40M,271.40M,4.200B,1.546B,5.746B,5.10M,249.00M,73.30M,6.345B,7.440B,,,,,539.70M,,539.70M,,,,158.10M,,158.10M,184.10M,184.10M,,,881.90M,2.134B,,2.134B,331.20M,89.10M,420.30M,171.40M,115.30M,2.670B,3.552B,,2.00M,1.149B,2.965B,383.20M,,,-15.70M,3.717B,,AOR,Restated
2009-03,272.00M,39.20M,311.20M,498.80M,164.60M,663.40M,,99.10M,62.30M,,1.136B,,,,,,,526.10M,-256.50M,269.60M,4.190B,1.506B,5.696B,5.30M,237.20M,72.10M,6.280B,7.416B,,,,,477.50M,,477.50M,,,,132.80M,,132.80M,192.50M,192.50M,,,802.80M,2.328B,,2.328B,326.60M,87.90M,414.50M,163.60M,147.50M,2.890B,3.692B,,2.00M,1.100B,2.962B,391.40M,,,-111.50M,3.560B,,AOR,Restated
2008-12,220.90M,31.40M,252.30M,513.00M,208.40M,721.40M,,115.10M,77.40M,,1.166B,0.00,23.90M,87.10M,347.00M,,59.00M,517.00M,-244.40M,272.60M,4.194B,1.541B,5.735B,5.50M,241.20M,79.60M,6.334B,7.500B,,,,,528.10M,,528.10M,,,,105.50M,,105.50M,182.90M,182.90M,,,816.50M,2.409B,,2.409B,332.70M,86.70M,419.40M,164.20M,158.50M,2.987B,3.803B,,2.00M,1.076B,2.960B,402.80M,,,-102.30M,3.533B,,,Restated
2008-09,238.46M,,238.46M,518.64M,215.26M,733.90M,,119.60M,83.32M,30.22M,1.205B,0.00,23.93M,147.67M,353.33M,,,524.94M,-244.44M,280.50M,4.231B,1.493B,5.725B,,,339.27M,6.344B,7.550B,,73.55M,,,73.55M,317.51M,391.06M,,,,93.96M,,93.96M,159.84M,159.84M,,75.93M,720.79M,2.555B,,2.555B,341.70M,,341.70M,66.29M,264.10M,3.161B,3.881B,,1.994M,1.057B,2.958B,402.76M,,,-11.68M,3.602B,,,Restated
2008-06,207.04M,,207.04M,914.20M,307.03M,1.221B,,155.19M,120.48M,33.66M,1.738B,,,,,,,760.30M,-365.80M,394.50M,5.338B,1.834B,7.171B,,,475.21M,8.041B,9.778B,,540.84M,,,540.84M,,540.84M,,,,297.13M,,297.13M,243.72M,243.72M,,140.41M,1.222B,3.975B,,3.975B,402.75M,,402.75M,75.29M,347.70M,4.726B,5.948B,,1.994M,1.023B,3.069B,424.04M,,,86.10M,3.756B,,,Restated
2008-03,327.96M,,327.96M,857.88M,316.61M,1.174B,,174.91M,119.98M,42.74M,1.840B,,,,,,,748.85M,-346.00M,402.85M,5.339B,1.796B,7.134B,,,454.98M,7.992B,9.832B,,606.25M,,,606.25M,,606.25M,,,,270.62M,,270.62M,241.31M,241.31M,,161.63M,1.280B,3.909B,,3.909B,382.24M,,382.24M,11.25M,410.40M,4.701B,5.981B,,1.99M,960.30M,3.059B,209.52M,,,28.48M,3.840B,,,Restated
2007-12,355.28M,,355.28M,825.92M,338.59M,1.165B,,168.45M,120.10M,21.16M,1.829B,0.00,28.31M,214.15M,481.57M,,,724.04M,-331.53M,392.51M,5.327B,1.806B,7.133B,,,440.02M,7.965B,9.795B,,119.52M,,,119.52M,367.07M,486.59M,,,,272.01M,,272.01M,246.22M,246.22M,,249.39M,1.254B,4.003B,,4.003B,394.97M,,394.97M,14.19M,346.64M,4.745B,5.999B,,1.99M,899.51M,3.038B,211.92M,,,53.39M,3.781B,,,
2007-09,279.08M,,279.08M,759.31M,266.06M,1.025B,,163.39M,76.85M,35.24M,1.580B,,,,,,,657.23M,-257.60M,399.63M,5.112B,2.093B,7.205B,,,409.07M,8.014B,9.594B,,555.82M,,,555.82M,,555.82M,,,,272.72M,,272.72M,246.30M,246.30M,,80.88M,1.156B,4.048B,,4.048B,428.50M,,428.50M,13.59M,277.44M,4.754B,5.910B,,1.99M,800.84M,3.030B,235.84M,,,73.00M,3.670B,,,
2007-06,220.89M,,220.89M,736.94M,211.54M,948.48M,,163.38M,92.24M,33.84M,1.459B,,,,,,,628.87M,-275.90M,352.97M,3.781B,1.618B,5.400B,,,583.78M,6.336B,7.795B,,548.84M,,,548.84M,,548.84M,,,,113.62M,,113.62M,262.02M,262.02M,,55.43M,979.91M,2.739B,,2.739B,381.56M,,381.56M,12.46M,242.47M,3.363B,4.343B,,1.975M,565.20M,2.957B,160.45M,,,76.45M,3.440B,,,
2007-03,222.00M,,222.00M,688.46M,209.42M,897.87M,,142.93M,81.24M,29.13M,1.373B,,,,,,,612.75M,-264.60M,348.15M,3.746B,1.632B,5.379B,,,588.51M,6.315B,7.688B,,464.98M,,,464.98M,,464.98M,,,,97.56M,,97.56M,257.19M,257.19M,,50.83M,870.57M,2.932B,,2.932B,379.33M,,379.33M,11.72M,247.09M,3.558B,4.429B,,1.974M,426.84M,2.932B,160.46M,,,48.02M,3.248B,,,
2006-12,211.75M,,211.75M,623.06M,183.23M,806.30M,,148.60M,108.40M,25.49M,1.301B,0.00,20.74M,163.93M,422.82M,,,607.49M,-261.69M,345.80M,3.738B,1.651B,5.388B,,,595.89M,6.330B,7.631B,,96.55M,,,96.55M,317.99M,414.54M,,,,61.66M,,61.66M,254.91M,254.91M,,149.40M,880.52M,2.948B,,2.948B,396.26M,,396.26M,12.97M,250.23M,3.594B,4.475B,,1.974M,376.96M,2.879B,160.47M,,,45.01M,3.143B,,,
2006-09,174.69M,,174.69M,567.88M,165.39M,733.28M,,125.96M,90.42M,42.61M,1.167B,0.00,20.73M,158.47M,367.44M,,,546.65M,-247.38M,299.27M,3.782B,1.681B,5.463B,,,502.98M,6.265B,7.432B,,88.61M,,,88.61M,405.55M,494.17M,,,,24.14M,,24.14M,263.39M,263.39M,,65.17M,846.86M,2.845B,,2.845B,389.26M,,389.26M,12.71M,292.27M,3.526B,4.373B,,1.974M,311.46M,2.823B,103.88M,,,13.42M,3.046B,,,
2006-06,143.69M,,143.69M,555.98M,180.65M,736.63M,,118.04M,93.69M,47.83M,1.140B,0.00,20.73M,153.39M,361.54M,,,535.66M,-235.40M,300.26M,3.698B,1.727B,5.424B,,,478.22M,6.203B,7.343B,,78.18M,,,78.18M,250.15M,328.32M,,,,15.63M,,15.63M,273.42M,273.42M,,159.57M,776.95M,2.864B,,2.864B,399.79M,,399.79M,17.71M,288.49M,3.552B,4.329B,,1.974M,242.36M,2.808B,65.09M,,,8.673M,2.996B,,,
2006-03,211.36M,49.13M,260.48M,526.22M,172.88M,699.10M,,102.31M,107.26M,,1.169B,0.00,20.81M,151.50M,339.00M,,,511.32M,-211.86M,299.46M,3.711B,1.749B,5.459B,,,478.89M,6.238B,7.407B,,74.80M,,,74.80M,311.86M,386.67M,,,,33.59M,,33.59M,277.47M,277.47M,,149.76M,847.48M,2.895B,,2.895B,413.59M,,413.59M,14.18M,268.64M,3.577B,4.424B,,1.974M,185.87M,2.778B,0.05M,,,2.565M,2.968B,,,
2005-12,133.15M,,133.15M,427.48M,66.51M,493.99M,,58.23M,105.84M,,791.22M,0.00,9.235M,123.81M,274.22M,,,407.27M,-186.84M,220.42M,1.788B,960.77M,2.748B,,,428.89M,3.398B,4.189B,,43.65M,,,43.65M,169.45M,213.10M,,,,33.67M,,33.67M,254.53M,254.53M,,96.49M,597.80M,2.530B,,2.530B,153.19M,,153.19M,13.06M,199.94M,2.884B,3.481B,,1.279M,156.13M,545.64M,,,,-8.475M,694.57M,,,
2005-09,105.26M,38.06M,143.32M,105.58M,89.56M,195.13M,,,,49.72M,388.17M,0.00,1.50M,40.76M,148.51M,,,190.77M,-124.57M,66.20M,,271.83M,271.83M,,,207.90M,545.92M,934.09M,,65.09M,,,65.09M,,65.09M,,,,,,,,,,166.64M,231.73M,225.86M,,225.86M,34.90M,,34.90M,,19.65M,280.42M,512.15M,,0.693M,380.14M,297.90M,212.15M,,,-44.64M,421.95M,,,
2005-06,101.67M,40.80M,142.47M,99.87M,130.08M,229.95M,1.693M,13.40M,3.63M,6.087M,397.22M,0.00,1.50M,39.54M,144.79M,,,185.83M,-119.47M,66.36M,,265.74M,265.74M,,3.809M,196.64M,532.55M,929.77M,,65.09M,,,65.09M,2.798M,67.89M,,,,,,,8.664M,8.664M,,188.83M,265.38M,226.03M,,226.03M,31.42M,,31.42M,,19.23M,276.68M,542.06M,,0.693M,360.01M,294.63M,215.69M,,,-51.94M,387.71M,,,
2005-03,50.62M,43.47M,94.10M,106.53M,92.34M,198.88M,,,,91.00M,383.98M,0.00,1.50M,39.15M,138.71M,,,179.36M,-114.92M,64.44M,,254.99M,254.99M,,,193.95M,513.38M,897.36M,,58.79M,,,58.79M,,58.79M,,,,,,,,,,213.35M,272.14M,250.21M,,250.21M,29.76M,,29.76M,,17.89M,297.86M,570.00M,,0.693M,315.60M,294.10M,220.07M,,,-62.96M,327.36M,,,
2004-12,41.80M,44.86M,86.66M,120.77M,137.23M,258.00M,2.417M,13.40M,3.768M,44.48M,408.72M,0.00,1.50M,38.85M,132.30M,,,172.65M,-111.16M,61.49M,,258.45M,258.45M,,4.873M,188.68M,513.49M,922.21M,,56.76M,,,56.76M,2.81M,59.57M,,,,,,,8.414M,8.414M,,222.35M,290.34M,273.97M,,273.97M,33.07M,,33.07M,,17.54M,324.58M,614.92M,,0.693M,295.53M,290.86M,220.61M,,,-59.19M,307.29M,,,
2004-09,43.46M,,43.46M,99.90M,84.58M,184.48M,,,,131.01M,358.94M,0.00,1.50M,38.42M,126.07M,,,165.99M,-104.90M,61.09M,,251.32M,251.32M,,,192.27M,504.68M,863.62M,,55.66M,,,55.66M,,55.66M,,,,,,,,,,210.27M,265.93M,287.16M,,287.16M,44.06M,,44.06M,,16.76M,347.98M,613.91M,,0.695M,291.68M,250.90M,205.75M,,,-87.82M,249.71M,,,
2004-06,57.33M,,57.33M,96.93M,96.73M,193.66M,,,,94.46M,345.45M,0.00,1.50M,38.21M,121.91M,,,161.62M,-100.43M,61.19M,,263.97M,263.97M,,,189.22M,514.38M,859.83M,,59.50M,,,59.50M,,59.50M,,,,,,,,,,211.74M,271.24M,259.81M,,259.81M,51.19M,,51.19M,,16.53M,327.52M,598.76M,,0.695M,265.71M,251.06M,159.18M,,,-97.22M,261.07M,,,
2004-03,46.53M,,46.53M,94.95M,99.98M,194.92M,1.864M,12.54M,3.542M,77.19M,336.59M,0.00,1.50M,38.25M,119.38M,,,159.13M,-97.33M,61.80M,,271.58M,271.58M,,6.691M,182.79M,522.86M,859.46M,,49.31M,,,49.31M,0.615M,49.93M,,,,,,,7.806M,7.806M,,200.27M,258.00M,274.60M,,274.60M,51.00M,,51.00M,,15.45M,341.05M,599.05M,,0.695M,243.96M,251.03M,147.73M,,,-87.55M,260.40M,,,
2003-12,22.28M,,22.28M,108.16M,92.08M,200.24M,1.889M,11.66M,1.933M,83.63M,321.63M,0.00,1.50M,37.79M,114.32M,,,153.61M,-94.71M,58.90M,,223.78M,223.78M,,6.691M,174.05M,463.42M,785.05M,,22.28M,,,22.28M,43.03M,65.31M,,,,,,,8.833M,8.833M,,169.95M,244.09M,222.40M,,222.40M,43.94M,,43.94M,,13.48M,279.82M,523.91M,,0.695M,226.50M,249.35M,129.36M,,,-86.04M,261.14M,,,
2003-09,44.67M,,44.67M,88.76M,99.61M,188.37M,,,,96.02M,329.06M,,,,,,,115.78M,-76.67M,39.12M,,216.89M,216.89M,,,170.76M,426.77M,755.83M,,21.31M,,,21.31M,11.28M,32.59M,,,,,,,,,,245.19M,277.78M,199.50M,,199.50M,32.28M,,32.28M,,7.727M,239.51M,517.29M,,0.695M,198.80M,248.30M,111.09M,,,-98.16M,238.54M,,,
2003-06,39.82M,,39.82M,90.68M,120.06M,210.74M,,,,97.26M,347.81M,,,,,,,114.60M,-76.67M,37.93M,,215.30M,215.30M,,,168.03M,421.26M,769.07M,,23.63M,,,23.63M,9.918M,33.55M,,,,,,,,,,256.15M,289.70M,185.00M,,185.00M,33.33M,,33.33M,,7.377M,225.70M,515.40M,,0.695M,175.71M,248.36M,72.53M,,,-98.57M,253.66M,,,
2003-03,34.60M,,34.60M,87.82M,114.76M,202.58M,,,,88.83M,326.00M,,,,,,,114.15M,-76.67M,37.48M,,202.87M,202.87M,,,151.69M,392.04M,718.05M,,21.47M,,,21.47M,6.547M,28.02M,,,,,,,,,,238.90M,266.91M,207.00M,,207.00M,33.32M,,33.32M,,5.59M,245.91M,512.82M,,0.695M,152.74M,248.30M,78.24M,,,-118.27M,205.22M,,,
2002-12,14.17M,,14.17M,104.60M,78.64M,183.23M,,,,114.60M,312.00M,0.00,13.30M,,102.00M,,,115.30M,-76.67M,38.64M,,200.30M,200.30M,,,151.21M,390.14M,702.14M,,22.92M,,,22.92M,10.64M,33.56M,,,,,,,,,,217.38M,250.93M,214.20M,,214.20M,32.80M,,32.80M,,5.767M,252.77M,503.70M,,0.695M,140.55M,249.12M,68.00M,,,-123.92M,198.44M,,,
2002-09,17.84M,,17.84M,86.76M,120.47M,207.22M,,,1.387M,80.84M,307.30M,,,,,,,103.87M,-67.65M,36.22M,,189.41M,189.41M,,3.046M,142.21M,370.89M,678.19M,,20.79M,,,20.79M,9.33M,30.12M,,,,,,,,5.221M,5.221M,229.17M,264.51M,166.70M,,166.70M,30.95M,,30.95M,,4.99M,202.64M,467.15M,,0.695M,111.54M,245.73M,15.06M,,,-131.87M,211.04M,,,
2002-06,21.39M,,21.39M,86.82M,76.45M,163.28M,,,1.776M,76.29M,262.73M,,,,,,,105.69M,-67.65M,38.05M,,216.07M,216.07M,,3.459M,137.59M,395.17M,657.90M,,24.24M,,,24.24M,,24.24M,,,,,,,,,,193.35M,217.59M,182.00M,,182.00M,29.40M,,29.40M,,5.145M,216.54M,434.14M,,0.695M,89.56M,250.11M,12.72M,,,-103.88M,223.77M,,,
2002-03,23.94M,,23.94M,88.20M,77.13M,165.33M,,,2.165M,39.14M,230.58M,,,,,,,103.77M,-67.65M,36.12M,,239.09M,239.09M,,3.916M,137.65M,416.77M,647.35M,,20.04M,,,20.04M,8.429M,28.47M,,0.254M,,0.254M,,0.254M,,,,144.71M,173.43M,205.00M,,205.00M,27.72M,,27.72M,,5.361M,238.08M,411.51M,,0.695M,66.62M,249.21M,,,,-80.68M,235.84M,,,
2001-12,27.67M,,27.67M,102.51M,110.74M,213.26M,,,2.554M,78.05M,321.54M,0.00,10.91M,,91.07M,,,101.99M,-67.65M,34.34M,,240.63M,240.63M,,3.946M,135.75M,414.67M,736.20M,,22.00M,,,22.00M,13.16M,35.17M,,,,,,,,11.70M,11.70M,213.69M,260.57M,230.00M,,230.00M,24.63M,,24.63M,,9.143M,263.77M,524.34M,,0.688M,50.57M,232.10M,,,,-71.49M,211.86M,,,
2001-09,43.18M,,43.18M,85.14M,66.93M,152.07M,,,5.456M,34.15M,234.84M,,,,,,,,,32.85M,,223.38M,223.38M,,,128.00M,384.23M,619.07M,,16.15M,,,16.15M,11.09M,27.24M,,0.406M,,0.406M,,0.406M,,,,149.08M,176.73M,260.00M,,260.00M,15.36M,,15.36M,,7.339M,282.70M,459.43M,,0.688M,24.06M,232.89M,2.353M,,,-95.64M,159.64M,,,
2001-06,47.44M,,47.44M,85.37M,86.24M,171.61M,,,4.961M,9.691M,233.70M,,,,,,,31.79M,,31.79M,,218.14M,218.14M,,,103.17M,353.10M,586.80M,,13.18M,,,13.18M,11.25M,24.43M,,0.221M,,0.221M,,0.221M,,,,134.90M,159.56M,,,,10.35M,,10.35M,,4.618M,14.97M,174.53M,,,,,,-76.18M,488.46M,412.28M,412.28M,,,
