,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2013-09,2.129B,,2.129B,1.366B,,421.00M,1.787B,,861.00M,564.00M,595.00M,0.00,,7.325B,,,,26.86B,-6.264B,20.60B,1.953B,1.141B,3.094B,1.15B,,506.00M,1.499B,689.00M,27.54B,34.86B,1.14B,,1.14B,1.033B,2.173B,911.00M,911.00M,,911.00M,112.00M,112.00M,1.186B,4.382B,290.00M,15.80B,,15.80B,50.00M,50.00M,,,372.00M,833.00M,,2.837B,19.35B,23.73B,253.00M,4.272B,7.843B,1.942B,249.00M,-129.00M,10.30B
2013-06,1.368B,,1.368B,1.29B,,415.00M,1.705B,,874.00M,549.00M,654.00M,10.00M,,7.013B,,,,26.41B,-5.959B,20.45B,1.954B,1.12B,3.074B,1.142B,,587.00M,1.644B,578.00M,27.48B,34.49B,1.196B,,1.196B,832.00M,2.028B,737.00M,737.00M,,737.00M,,,1.646B,4.411B,287.00M,15.89B,,15.89B,47.00M,47.00M,,,420.00M,567.00M,,2.886B,19.53B,23.94B,253.00M,4.179B,7.615B,1.944B,249.00M,-118.00M,9.985B
2013-03,1.707B,,1.707B,982.00M,,86.00M,1.068B,,904.00M,829.00M,676.00M,128.00M,,8.117B,,,,26.08B,-5.68B,20.40B,1.954B,1.176B,3.13B,1.178B,,562.00M,1.435B,545.00M,27.25B,35.37B,1.054B,,1.054B,954.00M,2.008B,556.00M,556.00M,,556.00M,,,2.598B,5.162B,359.00M,15.91B,,15.91B,53.00M,53.00M,,,477.00M,546.00M,,2.961B,19.76B,24.93B,253.00M,4.124B,7.602B,1.944B,249.00M,-136.00M,9.899B
2012-12,2.087B,,2.087B,1.061B,,137.00M,1.198B,4.00M,903.00M,717.00M,446.00M,56.00M,,8.051B,21.13B,4.428B,,25.56B,-5.408B,20.15B,1.956B,1.21B,3.166B,1.149B,,662.00M,1.203B,599.00M,26.93B,34.98B,1.172B,,1.172B,730.00M,1.902B,147.00M,147.00M,,147.00M,,,2.621B,4.67B,354.00M,15.74B,,15.74B,55.00M,55.00M,,803.00M,500.00M,518.00M,,2.347B,19.80B,24.46B,253.00M,4.23B,7.587B,1.92B,249.00M,-150.00M,10.00B
2012-09,1.61B,76.00M,1.686B,1.075B,,,1.075B,,393.00M,217.00M,237.00M,,98.00M,6.383B,,,,21.06B,-5.194B,15.87B,1.886B,1.188B,3.074B,1.118B,78.00M,309.00M,,392.00M,20.84B,27.22B,1.246B,,1.246B,604.00M,1.85B,374.00M,374.00M,,374.00M,15.00M,15.00M,2.538B,4.777B,349.00M,10.97B,,10.97B,1.092B,1.092B,,,561.00M,485.00M,249.00M,1.334B,14.55B,19.33B,3.00M,4.002B,5.388B,1.92B,,-68.00M,7.405B
2012-06,1.149B,135.00M,1.284B,1.00B,,,1.00B,,416.00M,606.00M,208.00M,,71.00M,7.255B,,,,20.29B,-4.976B,15.32B,1.886B,1.256B,3.142B,1.106B,81.00M,562.00M,,392.00M,20.60B,27.86B,1.35B,,1.35B,793.00M,2.143B,71.00M,71.00M,,71.00M,115.00M,115.00M,3.369B,5.698B,345.00M,10.48B,,10.48B,1.147B,1.147B,,,720.00M,430.00M,249.00M,1.309B,14.26B,19.95B,3.00M,4.026B,5.383B,1.922B,,-17.00M,7.473B
2012-03,1.014B,199.00M,1.213B,716.00M,,,716.00M,,392.00M,272.00M,217.00M,,498.00M,8.458B,,,,19.14B,-4.768B,14.38B,1.886B,1.34B,3.226B,1.099B,370.00M,649.00M,,352.00M,20.07B,28.53B,1.08B,,1.08B,619.00M,1.699B,71.00M,71.00M,,71.00M,92.00M,92.00M,5.023B,6.885B,340.00M,10.15B,,10.15B,1.30B,1.30B,,,708.00M,330.00M,249.00M,1.265B,14.01B,20.90B,3.00M,3.777B,5.374B,1.922B,,71.00M,7.303B
2011-12,1.105B,,1.105B,834.00M,,342.00M,1.176B,,308.00M,472.00M,603.00M,0.00,,8.091B,15.70B,2.487B,,18.19B,-4.57B,13.62B,1.886B,1.419B,3.305B,1.064B,,483.00M,0.00,336.00M,18.81B,26.90B,808.00M,,808.00M,446.00M,1.254B,87.00M,87.00M,,87.00M,127.00M,127.00M,4.393B,5.861B,335.00M,9.745B,,9.745B,1.389B,1.389B,,400.00M,459.00M,183.00M,,793.00M,13.12B,18.98B,252.00M,3.987B,5.346B,1.924B,249.00M,74.00M,7.735B
2011-09,1.127B,259.00M,1.386B,1.042B,,,1.042B,,320.00M,245.00M,441.00M,,316.00M,6.338B,,,,17.21B,-4.371B,12.84B,1.859B,1.561B,3.42B,975.00M,327.00M,533.00M,,324.00M,18.42B,24.76B,974.00M,,974.00M,527.00M,1.501B,81.00M,81.00M,,81.00M,65.00M,65.00M,2.348B,3.995B,331.00M,9.208B,,9.208B,1.588B,1.588B,,,408.00M,162.00M,248.00M,1.05B,12.83B,16.83B,3.00M,4.099B,5.348B,1.881B,,201.00M,7.77B
2011-06,1.939B,260.00M,2.199B,1.008B,,,1.008B,,386.00M,298.00M,145.00M,,254.00M,6.039B,,,,16.45B,-4.17B,12.28B,1.863B,1.589B,3.452B,982.00M,419.00M,586.00M,,1.575B,19.30B,25.34B,842.00M,,842.00M,493.00M,1.335B,90.00M,90.00M,,90.00M,101.00M,101.00M,1.579B,3.105B,326.00M,8.91B,,8.91B,1.709B,1.709B,,,333.00M,158.00M,248.00M,2.377B,13.90B,17.01B,3.00M,4.156B,5.339B,1.633B,,305.00M,8.17B
