,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2005-12,493.00M,,493.00M,249.00M,,,249.00M,,240.00M,,,,1.214B,2.196B,2.904B,37.00M,,2.941B,-332.00M,2.609B,,,257.00M,,,,,2.404B,5.27B,7.466B,241.00M,,241.00M,1.021B,1.262B,,95.00M,,95.00M,,,,1.357B,,2.41B,,2.41B,128.00M,128.00M,,,,1.00M,,,2.538B,5.234B,407.00M,261.00M,2.431B,663.00M,406.00M,-205.00M,2.231B
2005-09,595.84M,,595.84M,365.01M,,,365.01M,,203.55M,,,,1.257B,2.422B,,,,3.574B,-346.89M,3.227B,,,268.90M,,,,,1.878B,5.374B,7.795B,152.97M,,152.97M,1.538B,1.691B,,176.02M,,176.02M,,,,1.867B,,2.866B,,2.866B,103.20M,103.20M,,,,247.06M,,,2.970B,5.529B,407.16M,203.97M,2.427B,663.53M,406.16M,-355.75M,2.019B
2005-06,823.16M,,823.16M,313.66M,,,313.66M,,229.00M,,,,506.07M,1.872B,,,,3.610B,-301.37M,3.309B,,,275.85M,,,,,1.825B,5.410B,7.282B,150.69M,,150.69M,544.95M,695.64M,,90.74M,,90.74M,,,,786.38M,,3.120B,,3.120B,109.44M,109.44M,,,,7.084M,,,3.230B,4.674B,407.16M,235.05M,2.424B,405.31M,406.16M,-59.88M,2.601B
2005-03,763.02M,,763.02M,229.90M,,,229.90M,,208.76M,,,,475.16M,1.677B,,,,3.587B,-254.89M,3.332B,,,284.91M,,,,,1.999B,5.616B,7.293B,129.74M,,129.74M,532.23M,661.97M,,85.09M,,85.09M,,,,747.06M,,3.143B,,3.143B,123.06M,123.06M,,,,6.576M,,,3.266B,4.677B,407.31M,215.39M,2.421B,405.31M,406.31M,-28.27M,2.610B
2004-12,1.104B,,1.104B,270.00M,,,270.00M,,247.00M,,,,498.00M,2.119B,3.347B,17.00M,,3.364B,-206.00M,3.158B,,,294.00M,,,,,2.293B,5.745B,7.864B,214.00M,,214.00M,362.00M,576.00M,,511.00M,,511.00M,,,,1.087B,,2.973B,,2.973B,169.00M,169.00M,,,,1.00M,,,3.142B,5.171B,407.00M,197.00M,2.417B,405.00M,406.00M,76.00M,2.692B
2004-09,1.105B,,1.105B,242.24M,,,242.24M,,214.98M,,,,550.92M,2.113B,3.439B,68.14M,,3.508B,-156.64M,3.351B,,,326.03M,,,,,2.396B,6.073B,8.186B,120.57M,,120.57M,511.26M,631.83M,,100.10M,,100.10M,,,,731.93M,,3.511B,,3.511B,143.13M,143.13M,,,,5.592M,,,3.654B,5.583B,1.00M,178.50M,2.414B,,,3.684M,2.597B
2004-06,820.88M,,820.88M,313.65M,,,313.65M,,203.67M,,,,591.02M,1.929B,3.936B,104.79M,,4.041B,-119.49M,3.921B,,,356.07M,,,,,2.347B,6.624B,8.553B,143.40M,,143.40M,473.40M,616.81M,,114.21M,,114.21M,,,,731.02M,,3.922B,,3.922B,144.52M,144.52M,,,,5.673M,,,4.067B,6.012B,1.00M,124.28M,2.411B,,,0.043M,2.536B
2004-03,832.53M,,832.53M,720.55M,,,720.55M,,182.72M,,,,428.37M,2.164B,4.284B,105.81M,,4.390B,-71.22M,4.319B,,,413.08M,,,,,2.245B,6.977B,9.141B,185.62M,,185.62M,858.35M,1.044B,,616.73M,,616.73M,,,,1.661B,,3.852B,,3.852B,152.00M,152.00M,,,,5.53M,,,4.004B,6.690B,1.00M,41.26M,2.407B,,,-3.176M,2.446B
2003-12,,,,,,,,,,,,,,2.186B,,,,3.315B,,3.315B,,,,,,,,3.819B,7.134B,9.32B,,,,,,,,,,,,,2.098B,,,,,,,,,,,,,4.785B,6.883B,,,,,,,2.437B
2003-09,292.64M,,292.64M,383.63M,1.639M,19.09M,404.36M,,255.80M,166.95M,,,524.03M,1.644B,,,,6.825B,-771.61M,6.054B,,,72.42M,954.60M,981.19M,,,468.98M,8.531B,10.17B,336.59M,,336.59M,94.10M,430.69M,,1.463B,,1.463B,,,195.18M,2.089B,,7.742B,,7.742B,178.20M,178.20M,45.85M,,69.73M,32.15M,,1.549B,9.585B,11.67B,0.00,-3.735B,2.228B,,,-24.15M,-1.531B
2003-06,332.70M,,332.70M,320.77M,1.66M,20.91M,343.34M,,261.43M,211.58M,,,346.60M,1.496B,,,,6.963B,-709.65M,6.253B,,,73.44M,900.42M,978.98M,,,309.36M,8.515B,10.01B,315.92M,,315.92M,58.14M,374.06M,,1.619B,,1.619B,,,193.30M,2.186B,,1.294B,,1.294B,177.37M,177.37M,46.02M,,102.98M,31.14M,,7.451B,9.072B,11.26B,0.00,-3.450B,2.228B,,,-56.07M,-1.278B
2003-03,333.09M,,333.09M,347.74M,3.197M,13.52M,364.46M,,235.26M,204.46M,,,311.25M,1.449B,,,,7.246B,-695.76M,6.550B,,,75.56M,917.03M,951.61M,,,289.94M,8.784B,10.23B,602.68M,,602.68M,400.40M,1.003B,,8.026B,,8.026B,,,280.30M,9.309B,,1.333B,,1.333B,126.02M,126.02M,62.94M,,106.75M,29.82M,,18.38M,1.647B,10.96B,0.00,-2.842B,2.228B,,,-139.00M,-752.88M
2002-12,,,,,,,,,,,,,,1.584B,,,,5.196B,,5.196B,,,,,,,,4.184B,9.38B,10.96B,,,,,,,,,,,,,9.865B,,,,,,,,,,,,,1.795B,11.66B,,,,,,,-696.00M
2002-09,347.65M,,347.65M,358.46M,3.00M,2.758M,364.21M,,262.22M,119.87M,,,472.05M,1.566B,,,,7.757B,-584.99M,7.172B,,,83.32M,1.024B,807.80M,,,1.021B,10.11B,11.67B,576.46M,,576.46M,199.64M,776.10M,,8.004B,,8.004B,,,454.54M,9.235B,,1.659B,,1.659B,249.50M,249.50M,71.52M,,,30.82M,,563.20M,2.544B,11.78B,0.00,-2.358B,2.228B,,,-4.879M,-134.97M
2002-06,368.56M,,368.56M,411.48M,2.26M,90.86M,504.60M,,320.13M,,,,390.13M,1.583B,,,,10.89B,-660.82M,10.23B,,,100.86M,1.150B,774.51M,,,704.24M,12.96B,14.54B,368.78M,,368.78M,135.32M,504.10M,,1.480B,,1.480B,,,4.534B,6.518B,,4.319B,,4.319B,450.40M,450.40M,74.82M,,,74.34M,,319.67M,5.164B,11.68B,0.00,567.53M,2.228B,,,-9.306M,2.786B
2002-03,270.53M,,270.53M,377.83M,2.494M,44.95M,425.28M,,334.51M,,,,350.58M,1.381B,,,,10.35B,-577.24M,9.774B,,,110.88M,1.101B,787.84M,,,335.96M,12.11B,13.49B,353.86M,,353.86M,164.49M,518.36M,,1.833B,,1.833B,,,134.19M,2.485B,,7.935B,,7.935B,429.39M,429.39M,76.24M,,,69.95M,,261.75M,8.702B,11.19B,1.988M,608.89M,1.717B,,,-95.23M,2.233B
2001-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.92B,,,,,,,,,,,,,,,,,,,,,,,,,,,10.68B,,,,,,,2.237B
2001-09,188.98M,,188.98M,356.86M,105.16M,,462.02M,,281.22M,,,,257.28M,1.190B,,,,9.207B,-400.02M,8.807B,,,60.79M,1.131B,760.24M,,,401.16M,11.16B,12.35B,481.46M,100.30M,581.76M,166.66M,748.42M,,1.364B,,1.364B,,,84.81M,2.197B,,7.145B,,7.145B,351.07M,351.07M,69.69M,,,80.78M,,334.19M,7.900B,10.10B,1.985M,596.02M,1.714B,,,-138.95M,2.173B
2001-06,226.55M,,226.55M,526.73M,25.53M,,552.26M,,293.70M,,,,263.66M,1.336B,,,,7.854B,-343.36M,7.511B,,,63.34M,1.012B,726.14M,,,428.71M,9.741B,11.08B,456.43M,53.21M,509.64M,124.26M,633.89M,,1.331B,,1.331B,,,81.27M,2.046B,,6.164B,,6.164B,368.48M,368.48M,74.96M,,,44.91M,,329.10M,6.937B,8.983B,1.985M,454.44M,1.714B,,,-120.93M,2.049B
2001-03,126.59M,,126.59M,412.73M,1.69M,,414.42M,,213.38M,,,,185.54M,939.93M,,,,5.628B,-305.09M,5.323B,,,59.41M,913.17M,86.52M,,,333.68M,6.716B,7.655B,239.56M,31.26M,270.82M,88.32M,359.14M,,882.80M,,882.80M,,,50.69M,1.293B,,4.009B,,4.009B,141.18M,141.18M,78.99M,,,36.46M,,167.02M,4.396B,5.689B,1.985M,405.32M,1.713B,,,-189.86M,1.930B
2000-12,95.24M,,95.24M,360.08M,0.267M,,360.34M,,174.86M,30.07M,,,12.14M,672.66M,,,,4.314B,-271.98M,4.042B,,,61.35M,977.12M,76.74M,,,149.44M,5.306B,5.979B,263.11M,43.87M,306.98M,87.32M,394.30M,,154.47M,,154.47M,,,14.22M,562.99M,,3.651B,,3.651B,55.64M,55.64M,83.10M,,,14.68M,,149.64M,3.939B,4.502B,1.80M,370.14M,1.234B,,,-143.69M,1.462B
2000-09,165.40M,,165.40M,271.39M,0.207M,,271.60M,,212.94M,,,,70.40M,720.34M,,,,4.240B,-237.46M,4.003B,,,56.00M,1.014B,76.03M,,,112.86M,5.262B,5.982B,203.10M,41.46M,244.56M,88.65M,333.22M,,173.97M,,173.97M,,,18.88M,526.08M,,3.713B,,3.713B,54.71M,54.71M,70.00M,,,14.96M,,199.50M,4.037B,4.563B,1.80M,328.14M,1.234B,,,-159.58M,1.404B
2000-06,70.84M,,70.84M,264.83M,1.207M,,266.04M,,198.46M,,,,52.10M,587.44M,,,,3.897B,-205.81M,3.691B,,,57.24M,949.13M,72.27M,,,133.02M,4.903B,5.490B,159.53M,22.63M,182.16M,64.65M,246.82M,,306.34M,,306.34M,,,15.68M,568.84M,,3.319B,,3.319B,110.24M,110.24M,48.09M,,,12.20M,,70.30M,3.548B,4.117B,1.80M,239.54M,1.234B,,,-114.26M,1.361B
2000-03,137.92M,,137.92M,146.03M,0.287M,7.819M,154.14M,,165.50M,31.85M,,,14.98M,504.40M,,,,3.847B,-176.88M,3.670B,,,56.07M,893.30M,70.99M,,,99.39M,4.789B,5.294B,119.04M,0.00,119.04M,46.48M,165.52M,,628.79M,,628.79M,,,13.00M,807.31M,,3.470B,,3.470B,28.93M,28.93M,38.37M,,,12.68M,,63.90M,3.602B,4.409B,1.476M,195.96M,780.44M,,,-105.75M,872.12M
1999-12,31.48M,,31.48M,,,,126.66M,,119.18M,,,,46.64M,323.97M,,,,2.132B,-156.85M,1.975B,,55.59M,55.59M,,,,,,3.108B,3.432B,67.62M,,67.62M,,67.62M,,406.41M,,406.41M,,,50.33M,524.36M,,1.941B,,1.941B,16.94M,16.94M,,,,14.37M,,,1.958B,2.524B,1.476M,187.21M,780.44M,,,,893.65M
