,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.809B,2.809B,2.034B,775.00M,253.00M,1.00M,0.00,-29.00M,99.00M,-99.00M,,353.00M,422.00M,99.00M,-99.00M,18.00M,-99.00M,341.00M,92.00M,249.00M,0.00,0.00,,249.00M,270.17M,581.00M,141.00M,440.00M,1.02,0.0,1.107,1.02,1.02,0.0,1.1059999999999999,1.02,244.00M,245.00M,0.3
2020-06,2.238B,2.238B,1.434B,804.00M,208.00M,2.00M,,,96.00M,-96.00M,,320.00M,484.00M,96.00M,-96.00M,26.00M,-96.00M,414.00M,101.00M,313.00M,,,,313.00M,313.00M,658.00M,148.00M,510.00M,1.28,0.0,1.28,1.28,1.27,0.0,1.27,1.27,245.00M,246.00M,0.3
2020-03,2.019B,2.019B,1.457B,562.00M,209.00M,3.00M,18.00M,-15.00M,98.00M,-98.00M,,321.00M,241.00M,98.00M,-98.00M,1.00M,-98.00M,144.00M,23.00M,121.00M,0.00,,,121.00M,133.60M,371.00M,129.00M,242.00M,0.49,0.0,0.5408,0.49,0.49,0.0,0.5406,0.49,248.00M,249.00M,0.3
2019-12,2.195B,2.195B,1.654B,541.00M,212.00M,2.00M,1.00M,-11.00M,95.00M,-95.00M,,326.00M,215.00M,95.00M,-95.00M,0.00,-95.00M,120.00M,-3.343B,3.463B,-78.00M,-2.00M,,3.383B,3.469B,349.00M,134.00M,215.00M,13.24,-0.27,13.27,12.97,13.14,-0.27,13.17,12.87,250.00M,252.00M,0.03
2019-09,2.996B,2.996B,2.153B,843.00M,210.00M,1.00M,107.00M,-108.00M,99.00M,-99.00M,,302.00M,541.00M,99.00M,-99.00M,-62.00M,-99.00M,380.00M,6.00M,374.00M,-2.00M,0.00,,372.00M,480.27M,597.00M,118.00M,479.00M,1.47,-0.01,1.8880000000000001,1.46,1.46,-0.01,1.875,1.45,254.00M,256.00M,0.03
2019-06,2.465B,2.465B,1.845B,620.00M,211.00M,2.00M,,-49.00M,105.00M,-105.00M,,298.00M,322.00M,105.00M,-105.00M,-28.00M,-105.00M,188.00M,-1.00M,189.00M,13.00M,-1.00M,,201.00M,223.77M,400.00M,107.00M,293.00M,0.71,0.05,0.845,0.76,0.7,0.05,0.834,0.75,265.00M,267.00M,0.03
2019-03,2.165B,2.165B,1.651B,514.00M,194.00M,2.00M,0.00,-12.00M,114.00M,-114.00M,,281.00M,233.00M,114.00M,-114.00M,-21.00M,-114.00M,98.00M,4.00M,94.00M,388.00M,,,482.00M,105.51M,316.00M,104.00M,212.00M,0.34,1.39,0.3814,1.73,0.34,1.38,0.3811,1.72,278.00M,280.00M,0.03
2018-12,1.992B,1.992B,1.596B,396.00M,212.00M,2.00M,-1.00M,-64.00M,122.00M,-122.00M,,304.00M,92.00M,122.00M,-122.00M,-75.00M,-122.00M,-105.00M,-12.00M,-93.00M,80.00M,1.00M,,-12.00M,-35.31M,108.00M,91.00M,17.00M,-0.28,0.25,-0.0839,-0.03,-0.28,0.25,-0.0865,-0.03,289.00M,293.00M,0.03
2018-09,2.96B,2.96B,2.238B,722.00M,211.00M,1.00M,1.00M,-33.00M,122.00M,-122.00M,,311.00M,411.00M,122.00M,-122.00M,6.00M,-122.00M,295.00M,8.00M,287.00M,-336.00M,-23.00M,,-72.00M,296.11M,544.00M,127.00M,417.00M,0.88,-1.12,0.9874,-0.24,0.88,-1.12,0.9874,-0.24,299.00M,299.00M,0.03
2018-06,2.461B,2.461B,1.889B,572.00M,200.00M,3.00M,,-84.00M,123.00M,-123.00M,,315.00M,257.00M,123.00M,-123.00M,-102.00M,-123.00M,32.00M,5.00M,27.00M,69.00M,-24.00M,,72.00M,73.90M,298.00M,143.00M,155.00M,0.01,0.22,0.2387,0.23,0.01,0.22,0.2358,0.23,310.00M,314.00M,0.03
2018-03,2.065B,2.065B,1.385B,680.00M,176.00M,5.00M,,-20.00M,116.00M,-116.00M,,301.00M,379.00M,116.00M,-116.00M,-19.00M,-116.00M,244.00M,6.00M,238.00M,-5.00M,46.00M,,279.00M,303.50M,513.00M,153.00M,360.00M,0.9,-0.02,0.9613,0.88,0.89,-0.02,0.9506,0.87,318.00M,322.00M,0.03
2017-12,1.828B,1.828B,1.297B,531.00M,202.00M,4.00M,,-1.616B,125.00M,-125.00M,,312.00M,219.00M,125.00M,-125.00M,-1.602B,-125.00M,-1.508B,-47.00M,-1.461B,-194.00M,121.00M,,-1.534B,225.63M,-1.277B,95.00M,-1.383B,-4.22,-0.62,0.7189,-4.84,-4.22,-0.62,0.7189,-4.84,317.00M,317.00M,0.03
2017-09,2.74B,2.74B,2.072B,668.00M,190.00M,6.00M,,-12.00M,139.00M,-139.00M,,359.00M,309.00M,139.00M,-139.00M,16.00M,-139.00M,186.00M,1.00M,185.00M,-22.00M,8.00M,,171.00M,204.94M,488.00M,14.00M,325.00M,0.61,-0.07,0.6477,0.54,0.6,-0.07,0.6371,0.53,317.00M,322.00M,0.03
2017-06,2.701B,2.701B,1.841B,860.00M,221.00M,18.00M,,-61.00M,247.00M,-247.00M,,499.00M,361.00M,247.00M,-247.00M,-11.00M,-247.00M,103.00M,4.00M,99.00M,-741.00M,16.00M,,-626.00M,173.62M,643.00M,293.00M,350.00M,0.36,-2.34,0.5455,-1.98,0.36,-2.34,0.5455,-1.98,316.00M,316.00M,0.03
2017-03,2.382B,2.382B,1.862B,520.00M,260.00M,17.00M,,0.00,225.00M,-225.00M,,534.00M,-14.00M,225.00M,-225.00M,66.00M,-225.00M,-173.00M,-4.00M,-169.00M,-34.00M,40.00M,,-163.00M,-129.00M,351.00M,299.00M,52.00M,-0.41,-0.11,-0.41,-0.52,-0.41,-0.11,-0.41,-0.52,316.00M,316.00M,0.03
2016-12,587.00M,587.00M,965.00M,-378.00M,231.00M,-17.00M,121.00M,-563.00M,-135.00M,135.00M,,144.00M,-522.00M,-135.00M,135.00M,-527.00M,135.00M,-914.00M,-50.00M,-864.00M,-191.00M,68.00M,0.00,-987.00M,-263.80M,-1.119B,-107.00M,-1.049B,-2.52,-0.61,-0.8517,-3.13,-2.52,-0.61,-0.8517,-3.13,319.00M,319.00M,0.03
2016-09,3.421B,3.421B,2.44B,981.00M,277.00M,21.00M,8.00M,-63.00M,237.00M,-237.00M,,596.00M,385.00M,237.00M,-237.00M,8.00M,-237.00M,156.00M,28.00M,128.00M,265.00M,9.00M,,402.00M,188.72M,753.00M,360.00M,393.00M,0.43,0.84,0.5937,1.27,0.43,0.84,0.5932,1.27,316.00M,317.00M,0.03
