,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2016-03,501.00M,,53.00M,-2.00M,,51.00M,639.00M,639.00M,-4.00M,,58.00M,-59.00M,235.00M,0.00,-65.00M,-129.00M,-7.00M,-35.00M,-307.00M,-308.00M,,,2016-03,-1.872B,,-1.872B,-114.00M,-5.00M,-206.00M,-2.197B,2016-03,1.109B,-181.00M,928.00M,270.00M,,270.00M,,,,-497.00M,,-32.00M,669.00M,,2016-03,-650.00M,754.00M,,2016-03,270.00M,2.291B,-1.363B,,224.00M,,2016-03,AOR,Restated
2015-12,297.00M,,183.00M,-13.00M,-86.00M,84.00M,608.00M,608.00M,264.00M,,22.00M,17.00M,392.00M,-178.00M,,-143.00M,-112.00M,-483.00M,418.00M,-106.00M,,,2015-12,-2.184B,,-2.184B,-591.00M,-1.00M,376.00M,-2.40B,2015-12,1.995B,-114.00M,1.881B,120.00M,0.00,120.00M,,0.00,0.00,-494.00M,,2.00M,1.509B,,2015-12,295.00M,1.404B,,2015-12,120.00M,2.923B,-1.042B,,-590.00M,,2015-12,AOR,Restated
2015-09,969.00M,,150.00M,-1.00M,79.00M,228.00M,616.00M,616.00M,357.00M,,11.00M,-126.00M,40.00M,103.00M,,513.00M,59.00M,71.00M,140.00M,926.00M,,,2015-09,-1.251B,,-1.251B,-720.00M,0.00,-143.00M,-2.114B,2015-09,-706.00M,433.00M,-273.00M,20.00M,0.00,20.00M,,0.00,0.00,-493.00M,,175.00M,-571.00M,,2015-09,296.00M,1.109B,,2015-09,20.00M,1.355B,-1.628B,,216.00M,,2015-09,AOR,Restated
2015-06,644.00M,,23.00M,-3.00M,,20.00M,593.00M,593.00M,670.00M,,10.00M,-46.00M,-782.00M,56.00M,,-142.00M,-10.00M,118.00M,63.00M,-697.00M,,,2015-06,-1.142B,,-1.142B,-408.00M,1.00M,-110.00M,-1.659B,2015-06,1.919B,-623.00M,1.296B,4.00M,0.00,4.00M,,-412.00M,-412.00M,-494.00M,,-228.00M,166.00M,,2015-06,-299.00M,813.00M,,2015-06,4.00M,2.152B,-856.00M,,167.00M,,2015-06,AOR,Restated
2015-03,525.00M,,9.00M,,,9.00M,578.00M,578.00M,113.00M,,56.00M,-59.00M,180.00M,80.00M,,-229.00M,-89.00M,81.00M,-332.00M,-309.00M,,,2015-03,-1.097B,,-1.097B,,-6.00M,-4.00M,-1.107B,2015-03,217.00M,877.00M,1.094B,112.00M,-115.00M,-3.00M,,,,-478.00M,,-17.00M,596.00M,,2015-03,402.00M,1.112B,,2015-03,112.00M,1.427B,-333.00M,,207.00M,,2015-03,AOR,Restated
2014-12,300.00M,,70.00M,,,-445.00M,495.00M,495.00M,449.00M,,12.00M,49.00M,288.00M,-136.00M,,-149.00M,-28.00M,157.00M,136.00M,268.00M,,,2014-12,-1.342B,,-1.342B,,0.00,-178.00M,-2.251B,2014-12,75.00M,441.00M,516.00M,322.00M,0.00,322.00M,,0.00,0.00,-475.00M,51.00M,5.00M,419.00M,,2014-12,-704.00M,710.00M,,2014-12,322.00M,454.00M,62.00M,-263.00M,-560.00M,,2014-12,AOR,Restated
2014-09,735.00M,,418.00M,,,418.00M,616.00M,616.00M,214.00M,,11.00M,-202.00M,-61.00M,78.00M,,470.00M,59.00M,143.00M,136.00M,825.00M,,,2014-09,-1.212B,,-1.212B,,0.00,-176.00M,-1.388B,2014-09,1.395B,-1.456B,-61.00M,166.00M,0.00,166.00M,,0.00,0.00,-471.00M,-17.00M,-15.00M,-398.00M,,2014-09,831.00M,1.414B,,2014-09,166.00M,1.062B,-1.123B,51.00M,195.00M,,2014-09,AOR,Restated
2014-06,628.00M,,0.00,,,0.00,595.00M,595.00M,83.00M,,12.00M,3.00M,-451.00M,-37.00M,,-6.00M,26.00M,10.00M,104.00M,-354.00M,,,2014-06,-1.512B,,-1.512B,,0.00,-42.00M,-1.554B,2014-06,-359.00M,1.223B,864.00M,190.00M,-1.00M,189.00M,,0.00,0.00,-469.00M,-17.00M,13.00M,580.00M,,2014-06,-7.00M,583.00M,,2014-06,190.00M,402.00M,462.00M,205.00M,179.00M,,2014-06,AOR,Restated
2014-03,368.00M,,380.00M,,,380.00M,587.00M,587.00M,-37.00M,,28.00M,-99.00M,-128.00M,436.00M,,-153.00M,-114.00M,-21.00M,-144.00M,-124.00M,,,2014-03,-1.18B,,-1.18B,,-2.00M,-33.00M,-1.215B,2014-03,1.242B,-884.00M,358.00M,128.00M,-4.00M,124.00M,,,,-451.00M,-17.00M,29.00M,43.00M,,2014-03,-69.00M,590.00M,,2014-03,128.00M,1.251B,-893.00M,7.00M,186.00M,,2014-03,AOR,Restated
2013-12,431.00M,,40.00M,,,171.00M,573.00M,573.00M,535.00M,,11.00M,-168.00M,254.00M,13.00M,,-141.00M,-10.00M,23.00M,-6.00M,133.00M,,,2013-12,-1.485B,,-1.485B,,0.00,-155.00M,-1.64B,2013-12,-546.00M,732.00M,186.00M,216.00M,-1.00M,215.00M,-50.00M,,-50.00M,-448.00M,-17.00M,45.00M,-69.00M,,2013-12,-23.00M,659.00M,,2013-12,166.00M,1.179B,-993.00M,-149.00M,-564.00M,,2013-12,AOR,Restated
2013-09,869.00M,,150.00M,,,150.00M,585.00M,585.00M,404.00M,,11.00M,-25.00M,-82.00M,267.00M,,174.00M,54.00M,-2.00M,59.00M,470.00M,,,2013-09,-1.381B,,-1.381B,,0.00,-92.00M,-1.473B,2013-09,249.00M,-837.00M,-588.00M,318.00M,-1.00M,317.00M,0.00,,0.00,-444.00M,-17.00M,-1.00M,-733.00M,,2013-09,258.00M,682.00M,,2013-09,318.00M,457.00M,-1.045B,7.00M,180.00M,,2013-09,AOR,Restated
2013-06,313.00M,,450.00M,,,450.00M,572.00M,572.00M,-49.00M,,11.00M,22.00M,-354.00M,149.00M,,99.00M,17.00M,-45.00M,25.00M,-109.00M,,,2013-06,-1.40B,,-1.40B,,-1.00M,51.00M,-1.35B,2013-06,26.00M,299.00M,325.00M,119.00M,0.00,119.00M,50.00M,,50.00M,-444.00M,-16.00M,15.00M,49.00M,,2013-06,-91.00M,424.00M,,2013-06,169.00M,461.00M,-136.00M,138.00M,197.00M,,2013-06,AOR,Restated
2013-03,97.00M,,540.00M,,,540.00M,568.00M,568.00M,-92.00M,,26.00M,-60.00M,29.00M,88.00M,,-145.00M,-72.00M,40.00M,-282.00M,-342.00M,,,2013-03,-1.197B,,-1.197B,,-1.00M,-81.00M,-1.279B,2013-03,379.00M,468.00M,847.00M,42.00M,-18.00M,24.00M,,,,-426.00M,-16.00M,,429.00M,,2013-03,-113.00M,515.00M,,2013-03,42.00M,1.503B,-656.00M,4.00M,187.00M,,2013-03,AOR,Restated
2012-12,399.00M,,0.00,16.00M,-476.00M,-460.00M,543.00M,543.00M,579.00M,,10.00M,-24.00M,391.00M,-289.00M,,-231.00M,-59.00M,111.00M,-116.00M,-193.00M,,,2012-12,-1.251B,,-1.251B,,-1.00M,-158.00M,-1.41B,2012-12,219.00M,491.00M,710.00M,16.00M,-345.00M,-329.00M,0.00,,0.00,-426.00M,-16.00M,-11.00M,-72.00M,,2012-12,-628.00M,628.00M,,2012-12,16.00M,1.29B,-580.00M,-6.00M,-589.00M,,2012-12,AOR,Restated
2012-09,993.00M,,0.00,-5.00M,65.00M,60.00M,538.00M,538.00M,302.00M,,10.00M,17.00M,-102.00M,62.00M,,193.00M,58.00M,-3.00M,159.00M,367.00M,,,2012-09,-1.202B,,-1.202B,,0.00,235.00M,-967.00M,2012-09,-152.00M,-115.00M,-267.00M,65.00M,-85.00M,-20.00M,0.00,,0.00,-430.00M,-17.00M,11.00M,-723.00M,,2012-09,597.00M,1.256B,,2012-09,65.00M,627.00M,-894.00M,40.00M,198.00M,,2012-09,AOR,Restated
2012-06,639.00M,,0.00,-5.00M,-3.00M,-8.00M,535.00M,535.00M,239.00M,,10.00M,-62.00M,-427.00M,-108.00M,,181.00M,28.00M,-72.00M,234.00M,-164.00M,,,2012-06,-1.125B,,-1.125B,,0.00,-239.00M,-1.364B,2012-06,595.00M,-580.00M,15.00M,200.00M,0.00,200.00M,0.00,,0.00,-427.00M,-16.00M,18.00M,-210.00M,,2012-06,-385.00M,659.00M,,2012-06,200.00M,913.00M,-898.00M,-34.00M,213.00M,,2012-06,AOR,Restated
2012-03,384.00M,,0.00,-6.00M,16.00M,10.00M,529.00M,529.00M,104.00M,,25.00M,-23.00M,372.00M,-214.00M,,-303.00M,-64.00M,53.00M,-305.00M,-461.00M,,,2012-03,-1.231B,,-1.231B,,-2.00M,-194.00M,-1.427B,2012-03,573.00M,174.00M,747.00M,116.00M,0.00,116.00M,,,,-410.00M,-16.00M,151.00M,588.00M,,2012-03,-271.00M,1.044B,,2012-03,116.00M,1.574B,-827.00M,,178.00M,,2012-03,AOR,Restated
2011-12,277.00M,,,,-44.00M,-44.00M,518.00M,518.00M,326.00M,,7.00M,-121.00M,480.00M,-351.00M,,136.00M,28.00M,28.00M,21.00M,342.00M,,,2011-12,-1.41B,-21.00M,-1.431B,,-1.00M,147.00M,-1.285B,2011-12,552.00M,-438.00M,114.00M,103.00M,0.00,103.00M,,,,-408.00M,-16.00M,-14.00M,-221.00M,,2011-12,-201.00M,1.315B,,2011-12,103.00M,575.00M,-461.00M,,,,2011-12,AOR,Restated
2011-09,933.00M,,,,37.00M,37.00M,519.00M,519.00M,487.00M,,8.00M,-25.00M,38.00M,148.00M,,24.00M,61.00M,-13.00M,-8.00M,250.00M,,,2011-09,-989.00M,4.00M,-985.00M,,0.00,151.00M,-834.00M,2011-09,-9.00M,0.00,-9.00M,138.00M,0.00,138.00M,,,,-406.00M,-17.00M,-2.00M,-296.00M,,2011-09,1.079B,1.516B,,2011-09,138.00M,1.194B,-1.203B,-355.00M,-419.00M,,2011-09,AOR,Restated
2011-06,620.00M,,,,-27.00M,-27.00M,510.00M,510.00M,253.00M,,6.00M,-26.00M,-432.00M,123.00M,,419.00M,-29.00M,-20.00M,-6.00M,55.00M,,,2011-06,-1.04B,3.00M,-1.037B,,0.00,-143.00M,-1.18B,2011-06,-107.00M,54.00M,-53.00M,289.00M,,289.00M,,,,-402.00M,-16.00M,-2.00M,-184.00M,,2011-06,27.00M,437.00M,,2011-06,289.00M,1.013B,-1.066B,355.00M,419.00M,,2011-06,AOR,Restated
2011-03,438.00M,,,,-11.00M,-11.00M,501.00M,501.00M,174.00M,,21.00M,-51.00M,276.00M,-42.00M,,-254.00M,-77.00M,23.00M,,-74.00M,,,2011-03,-1.086B,14.00M,-1.072B,,-4.00M,192.00M,-884.00M,2011-03,113.00M,-54.00M,59.00M,193.00M,,193.00M,,,,-385.00M,-16.00M,-2.00M,-151.00M,,2011-03,-37.00M,410.00M,,2011-03,193.00M,937.00M,-878.00M,,,,2011-03,AOR,Restated
2010-12,169.00M,,,,-666.00M,-666.00M,454.00M,454.00M,465.00M,,5.00M,-9.00M,399.00M,-115.00M,,-253.00M,42.00M,-27.00M,,46.00M,,,2010-12,-1.192B,11.00M,-1.181B,,19.00M,-88.00M,-1.25B,2010-12,-451.00M,,-451.00M,162.00M,,162.00M,,,,-382.00M,-16.00M,661.00M,-26.00M,,2010-12,-812.00M,447.00M,,2010-12,162.00M,355.00M,-806.00M,-278.00M,,,2010-12,AOR,Restated
2010-09,834.00M,,,,53.00M,53.00M,509.00M,509.00M,358.00M,,4.00M,-13.00M,-64.00M,148.00M,,295.00M,36.00M,-48.00M,,367.00M,,,2010-09,-958.00M,7.00M,-951.00M,,3.00M,-22.00M,-970.00M,2010-09,244.00M,-244.00M,0.00,269.00M,,269.00M,,,,-379.00M,-17.00M,-22.00M,-149.00M,,2010-09,993.00M,1.259B,,2010-09,269.00M,1.65B,-1.406B,-7.00M,-387.00M,,2010-09,AOR,
2010-06,526.00M,,,,-6.00M,-38.00M,446.00M,446.00M,108.00M,,5.00M,-99.00M,-298.00M,-61.00M,,119.00M,-1.00M,-30.00M,,-271.00M,,,2010-06,-882.00M,0.00,-882.00M,,22.00M,-88.00M,-948.00M,2010-06,298.00M,112.00M,410.00M,194.00M,,194.00M,,,,-376.00M,-16.00M,-14.00M,198.00M,,2010-06,-73.00M,266.00M,,2010-06,194.00M,796.00M,-498.00M,279.00M,205.00M,,2010-06,AOR,
2010-03,511.00M,,,,5.00M,-14.00M,422.00M,422.00M,107.00M,,19.00M,-106.00M,43.00M,133.00M,,-285.00M,-94.00M,2.00M,,-201.00M,,,2010-03,-1.054B,0.00,-1.054B,,-49.00M,15.00M,-1.088B,2010-03,94.00M,132.00M,226.00M,147.00M,,147.00M,,,,-359.00M,-16.00M,1.00M,-1.00M,,2010-03,-351.00M,339.00M,,2010-03,147.00M,350.00M,-256.00M,6.00M,182.00M,,2010-03,AOR,Restated
2009-12,265.11M,,,,-45.78M,-18.66M,477.15M,477.15M,39.56M,,2.15M,-38.55M,265.71M,-68.67M,,-201.18M,3.977M,176.62M,,176.46M,,,2009-12,-1.491B,0.089M,-1.491B,,154.82M,-126.56M,-1.463B,2009-12,821.47M,-306.00M,515.47M,617.47M,,617.47M,,,,-350.07M,-16.32M,-124.39M,642.16M,,2009-12,82.72M,690.00M,,2009-12,617.47M,825.99M,-4.516M,644.54M,589.92M,,2009-12,AOR,Restated
2009-09,806.17M,,,,53.71M,39.23M,415.50M,415.50M,-0.758M,,1.894M,-75.52M,244.52M,-6.364M,,179.45M,45.42M,90.64M,,553.65M,,,2009-09,-986.05M,0.008M,-986.04M,,-12.61M,-52.64M,-1.051B,2009-09,-599.02M,-148.09M,-747.11M,129.44M,,129.44M,,,,-348.70M,-16.21M,118.72M,-863.86M,,2009-09,-174.98M,606.86M,,2009-09,129.44M,282.45M,-1.030B,-1.113B,-976.65M,,2009-09,AOR,Restated
2009-06,494.81M,,,,-18.91M,-93.55M,438.52M,438.52M,16.58M,,2.001M,-188.53M,-217.39M,-222.33M,,-0.332M,-28.68M,17.38M,,-451.35M,,,2009-06,-1.057B,339.90M,-716.84M,,-416.14M,449.95M,-683.03M,2009-06,523.04M,26.82M,549.85M,387.71M,,387.71M,,,,-343.45M,-16.20M,-3.709M,574.21M,,2009-06,109.66M,781.84M,,2009-06,387.71M,677.64M,-6.512M,468.28M,386.73M,,2009-06,AOR,
2009-03,141.92M,,,,7.974M,7.974M,456.83M,456.83M,-30.39M,,16.96M,131.60M,292.16M,-173.64M,,-423.94M,-67.72M,49.37M,,-323.76M,,,2009-03,-1.136B,,-1.136B,,331.93M,-317.75M,-1.122B,2009-03,1.063B,121.27M,1.184B,151.38M,,151.38M,,,,-326.78M,-16.26M,-15.62M,976.50M,,2009-03,255.60M,672.18M,,2009-03,151.38M,1.256B,-193.42M,,,,2009-03,AOR,Restated
2008-12,202.39M,,,,-54.96M,30.04M,438.30M,438.30M,,,2.27M,-162.89M,346.00M,-188.32M,,-23.17M,-2.104M,-29.65M,,102.76M,,,2008-12,-1.101B,28.28M,-1.073B,,-603.84M,530.21M,-1.146B,2008-12,571.75M,-376.30M,195.45M,92.80M,,92.80M,,0.00,0.00,-325.56M,-16.50M,-17.30M,-71.11M,,2008-12,-389.47M,417.00M,,2008-12,92.80M,1.271B,-699.21M,,,,2008-12,AOR,Restated
2008-09,796.63M,,,,51.37M,51.37M,433.91M,433.91M,,,1.996M,63.38M,-204.60M,12.76M,,120.86M,20.64M,-71.69M,,-122.03M,,,2008-09,-876.94M,0.223M,-876.72M,,169.88M,-248.99M,-955.83M,2008-09,322.57M,62.30M,384.88M,145.75M,,145.75M,,0.00,0.00,-323.84M,-16.22M,152.08M,342.63M,,2008-09,612.05M,806.02M,,2008-09,145.75M,731.10M,-408.53M,,,,2008-09,AOR,Restated
