,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,671.00M,77.00M,77.00M,593.00M,593.00M,-6.00M,245.00M,297.00M,6.00M,127.00M,-8.00M,-283.00M,15.00M,154.00M,1.734B,-493.00M,168.00M,-111.00M,-44.00M,-55.00M,208.00M,-216.00M,1.099B,-1.661B,-562.00M,110.00M,10.00M,120.00M,-558.00M,-558.00M,0.00,-1.00B,8.791B,518.00M,10.00M,9.319B,110.00M,3.259B,-2.16B,10.00M
2020-06,459.00M,-132.00M,-132.00M,608.00M,608.00M,-52.00M,394.00M,676.00M,396.00M,-827.00M,43.00M,-56.00M,-118.00M,114.00M,1.391B,-450.00M,166.00M,-117.00M,-1.00M,-106.00M,-139.00M,-530.00M,1.855B,-437.00M,1.418B,,-74.00M,-74.00M,-558.00M,-558.00M,0.00,786.00M,7.13B,1.647B,14.00M,8.791B,,4.018B,-2.163B,-74.00M
2020-03,1.093B,,,614.00M,614.00M,20.00M,280.00M,500.00M,-541.00M,-729.00M,-50.00M,-173.00M,116.00M,-877.00M,1.13B,-548.00M,216.00M,-27.00M,-35.00M,-112.00M,266.00M,-213.00M,-325.00M,-40.00M,-365.00M,,-1.066B,-1.066B,-567.00M,-567.00M,-1.00M,-1.999B,8.292B,-1.082B,-80.00M,7.13B,,2.141B,-2.466B,-1.066B
2019-12,1.097B,468.00M,468.00M,644.00M,644.00M,41.00M,48.00M,-256.00M,950.00M,-197.00M,-112.00M,-70.00M,-179.00M,136.00M,2.434B,-813.00M,341.00M,-139.00M,-3.00M,121.00M,-220.00M,-574.00M,-1.221B,868.00M,-353.00M,179.00M,-764.00M,-585.00M,-568.00M,-568.00M,-1.00M,-1.507B,7.936B,353.00M,3.00M,8.292B,179.00M,1.014B,-2.235B,-764.00M
2019-09,1.494B,0.00,0.00,645.00M,645.00M,21.00M,187.00M,593.00M,-189.00M,-719.00M,139.00M,-1.557B,155.00M,-1.578B,769.00M,-631.00M,390.00M,3.00M,0.00,-71.00M,37.00M,-275.00M,2.326B,-570.00M,1.756B,20.00M,-1.178B,-1.158B,-578.00M,-578.00M,0.00,20.00M,7.459B,514.00M,-37.00M,7.936B,20.00M,3.487B,-1.161B,-1.178B
2019-06,1.619B,0.00,0.00,647.00M,647.00M,-23.00M,352.00M,-16.00M,326.00M,1.00M,-113.00M,-114.00M,-91.00M,-7.00M,2.588B,-678.00M,213.00M,-264.00M,-1.00M,-23.00M,-409.00M,-898.00M,341.00M,86.00M,427.00M,39.00M,-1.349B,-1.31B,-492.00M,-492.00M,-1.00M,-1.376B,7.158B,314.00M,-13.00M,7.459B,39.00M,2.675B,-2.334B,-1.349B
2019-03,1.884B,,,641.00M,641.00M,-11.00M,88.00M,-150.00M,-813.00M,-695.00M,-7.00M,79.00M,105.00M,-1.481B,1.121B,-547.00M,209.00M,-60.00M,-2.00M,-50.00M,209.00M,-181.00M,98.00M,-522.00M,-424.00M,,-756.00M,-756.00M,-494.00M,-494.00M,-1.00M,-1.675B,7.89B,-735.00M,3.00M,7.158B,,2.665B,-2.567B,-756.00M
2018-12,1.049B,,,701.00M,701.00M,,376.00M,-894.00M,243.00M,602.00M,-353.00M,-114.00M,-242.00M,-758.00M,2.083B,-787.00M,204.00M,-228.00M,-33.00M,-10.00M,-172.00M,-798.00M,-353.00M,1.227B,874.00M,21.00M,-1.798B,-1.777B,-507.00M,-507.00M,-22.00M,-1.432B,8.046B,-147.00M,-9.00M,7.89B,21.00M,1.834B,-2.187B,-1.798B
2018-09,1.727B,,,698.00M,698.00M,,184.00M,-22.00M,-614.00M,300.00M,220.00M,-1.214B,113.00M,-1.217B,1.392B,-601.00M,193.00M,-132.00M,-7.00M,96.00M,-27.00M,-346.00M,1.56B,-1.952B,-392.00M,36.00M,-750.00M,-714.00M,-511.00M,-511.00M,-28.00M,-1.645B,8.694B,-599.00M,-49.00M,8.046B,36.00M,2.766B,-1.206B,-750.00M
2018-06,1.705B,,,686.00M,686.00M,,298.00M,-377.00M,-405.00M,304.00M,9.00M,-64.00M,-8.00M,-541.00M,2.148B,-771.00M,281.00M,-257.00M,-8.00M,-42.00M,-728.00M,-1.268B,739.00M,336.00M,1.075B,107.00M,-750.00M,-643.00M,-466.00M,-466.00M,-1.00M,-35.00M,7.927B,845.00M,-78.00M,8.694B,107.00M,2.766B,-2.027B,-750.00M
2018-03,1.667B,,,681.00M,681.00M,,148.00M,-326.00M,-803.00M,-558.00M,165.00M,7.00M,-46.00M,-1.561B,935.00M,-757.00M,258.00M,-87.00M,-328.00M,-108.00M,135.00M,-800.00M,-868.00M,1.151B,283.00M,149.00M,-500.00M,-351.00M,-467.00M,-467.00M,-3.00M,-538.00M,8.32B,-403.00M,10.00M,7.927B,149.00M,1.541B,-2.409B,-500.00M
