,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,409.70M,209.00M,618.70M,600.50M,1.101B,1.851B,1.267B,370.80M,54.10M,61.40M,4.338B,6.086B,4.662B,83.78B,-20.12B,63.67B,52.50M,52.50M,3.760B,242.90M,3.110B,,74.35B,78.69B,,2020-09,1.660B,942.70M,2.602B,331.00M,650.00M,703.00M,2.914B,4.309B,236.50M,4.545B,339.70M,339.70M,1.229B,9.047B,2.448B,28.16B,690.50M,28.85B,8.011B,,8.806B,353.10M,232.40M,268.70M,72.50M,,,2020-09,3.358B,10.62B,6.522B,-135.40M,20.37B,,2020-09,AOR,
2020-06,348.80M,192.30M,541.10M,630.30M,1.011B,1.792B,1.280B,296.80M,155.90M,58.00M,4.273B,6.028B,4.387B,82.62B,-19.78B,62.84B,52.50M,52.50M,3.668B,247.10M,3.292B,,73.53B,77.80B,,2020-06,1.628B,1.212B,2.840B,261.30M,1.404B,634.00M,3.140B,5.214B,236.40M,5.451B,356.50M,356.50M,1.213B,10.12B,2.471B,26.64B,688.50M,27.33B,7.811B,,8.527B,459.90M,245.20M,270.80M,132.80M,,,2020-06,3.355B,10.22B,6.603B,-172.90M,20.01B,,2020-06,AOR,
2020-03,1.555B,185.20M,1.740B,617.90M,926.30M,1.742B,1.196B,287.40M,116.20M,80.80M,5.292B,5.840B,4.512B,81.34B,-19.37B,61.98B,52.50M,52.50M,3.468B,323.70M,3.414B,,72.43B,77.72B,,2020-03,1.593B,1.255B,2.849B,307.90M,2.710B,724.00M,3.110B,6.574B,234.30M,6.808B,361.00M,361.00M,1.329B,11.65B,2.254B,25.78B,736.30M,26.52B,7.668B,,8.378B,451.00M,291.90M,279.30M,118.00M,,,2020-03,3.350B,10.04B,6.556B,-216.50M,19.73B,,2020-03,AOR,
2019-12,246.80M,202.70M,449.50M,625.30M,901.10M,1.705B,1.169B,302.50M,185.80M,92.90M,4.078B,5.769B,4.320B,80.10B,-19.01B,61.10B,52.50M,52.50M,3.834B,266.60M,3.407B,,71.81B,75.89B,,2019-12,2.086B,1.358B,3.444B,243.60M,,710.00M,3.727B,4.437B,234.10M,4.671B,366.10M,366.10M,1.575B,10.30B,2.217B,25.13B,734.60M,25.86B,7.588B,,8.308B,466.00M,261.80M,281.00M,108.60M,,,2019-12,3.343B,9.901B,6.536B,-147.70M,19.63B,,2019-12,AOR,
2019-09,348.80M,198.40M,547.20M,609.00M,992.20M,1.825B,1.051B,316.60M,141.00M,98.50M,4.166B,5.500B,5.244B,78.44B,-18.76B,59.68B,52.50M,52.50M,3.774B,299.00M,2.795B,,69.73B,73.90B,,2019-09,1.767B,883.40M,2.650B,304.80M,1.76B,750.00M,1.328B,3.838B,228.80M,4.066B,381.40M,381.40M,1.208B,8.611B,2.354B,24.55B,801.10M,25.35B,7.428B,,8.218B,376.60M,298.60M,281.30M,137.90M,,,2019-09,3.342B,10.10B,6.467B,-187.90M,19.72B,,2019-09,AOR,Restated
2019-06,210.50M,175.70M,386.20M,688.90M,972.60M,1.781B,1.034B,320.90M,179.10M,109.90M,4.061B,5.469B,4.944B,76.66B,-18.44B,58.22B,52.50M,52.50M,3.562B,313.50M,2.992B,,68.49B,72.55B,,2019-06,1.689B,1.046B,2.735B,241.20M,1.585B,692.00M,1.257B,3.534B,229.20M,3.764B,382.10M,382.10M,1.235B,8.357B,2.331B,24.17B,797.20M,24.97B,7.294B,,8.057B,378.80M,348.50M,163.60M,125.80M,,,2019-06,3.341B,9.694B,6.455B,-230.70M,19.26B,,2019-06,AOR,Restated
2019-03,227.70M,168.90M,396.60M,696.60M,1.019B,1.882B,946.60M,336.70M,135.40M,123.30M,3.915B,5.248B,4.911B,75.20B,-18.18B,57.01B,52.50M,52.50M,3.537B,250.40M,2.655B,,66.81B,70.72B,,2019-03,1.497B,1.156B,2.654B,306.00M,1.108B,750.00M,1.528B,3.386B,228.20M,3.615B,400.40M,400.40M,1.016B,7.991B,2.317B,22.90B,860.20M,23.76B,7.193B,,7.991B,383.90M,267.90M,32.20M,114.70M,,,2019-03,3.339B,9.566B,6.443B,-150.70M,19.20B,,2019-03,AOR,Restated
2018-12,234.10M,159.10M,393.20M,699.00M,1.055B,1.926B,921.10M,350.20M,210.00M,150.10M,4.114B,4.265B,4.394B,73.09B,-17.99B,55.10B,52.50M,52.50M,3.396B,254.00M,2.577B,,64.69B,68.80B,,2018-12,1.874B,1.218B,3.092B,231.70M,,750.00M,2.858B,3.608B,0.00,3.608B,412.20M,412.20M,1.304B,8.649B,2.288B,21.65B,0.00,21.65B,7.086B,,7.869B,377.10M,263.40M,31.00M,108.80M,,,2018-12,3.337B,9.325B,6.486B,-120.40M,19.03B,,2018-12,AOR,Restated
2018-09,788.30M,164.10M,952.40M,757.90M,1.159B,2.118B,847.90M,295.40M,149.20M,137.50M,4.692B,3.997B,4.996B,71.20B,-17.84B,53.36B,52.50M,52.50M,3.667B,264.90M,2.395B,,62.92B,67.62B,,2018-09,1.580B,774.10M,2.354B,299.80M,,750.00M,3.397B,4.147B,,4.147B,372.50M,372.50M,1.253B,8.426B,1.975B,20.87B,,20.87B,7.110B,,7.918B,350.70M,287.20M,30.00M,100.50M,,,2018-09,3.336B,9.294B,6.473B,-86.00M,19.02B,,2018-09,AOR,Restated
2018-06,211.20M,163.10M,374.30M,827.20M,1.277B,2.271B,915.60M,358.40M,176.10M,280.40M,4.570B,3.881B,4.630B,70.01B,-17.57B,52.44B,52.50M,52.50M,3.637B,264.50M,2.529B,,62.30B,66.87B,,2018-06,1.635B,943.90M,2.579B,235.20M,,750.00M,4.121B,4.871B,,4.871B,369.00M,369.00M,1.004B,9.058B,1.966B,19.75B,,19.75B,7.085B,,7.957B,329.40M,279.60M,29.10M,94.00M,,,2018-06,3.335B,9.023B,6.459B,-94.80M,18.72B,,2018-06,AOR,Restated
2018-03,183.40M,167.90M,351.30M,635.60M,1.042B,1.852B,922.80M,434.40M,133.10M,352.30M,4.135B,3.812B,4.759B,68.80B,-17.43B,51.37B,52.50M,52.50M,3.657B,271.20M,2.612B,,61.47B,65.61B,,2018-03,1.450B,1.081B,2.531B,273.10M,,750.00M,4.525B,5.275B,,5.275B,365.50M,365.50M,1.027B,9.471B,1.934B,18.84B,,18.84B,6.944B,,7.752B,330.90M,282.70M,28.30M,87.70M,,,2018-03,3.333B,8.802B,6.444B,-95.40M,18.48B,,2018-03,AOR,Restated
2017-12,214.60M,161.70M,376.30M,643.90M,1.055B,1.891B,953.20M,415.90M,198.00M,292.50M,4.253B,3.706B,4.121B,67.43B,-17.17B,50.26B,52.50M,52.50M,3.739B,282.10M,2.554B,,60.48B,64.73B,,2017-12,2.065B,1.116B,3.181B,234.50M,,718.00M,2.674B,3.392B,,3.392B,357.00M,357.00M,1.107B,8.271B,1.926B,19.42B,,19.42B,6.814B,,7.645B,398.10M,322.00M,26.60M,11.90M,,,2017-12,3.329B,8.627B,6.399B,-67.80M,18.29B,,2017-12,AOR,Restated
2017-09,343.90M,310.70M,654.60M,522.70M,1.068B,1.741B,916.50M,456.20M,,153.50M,4.068B,3.614B,3.71B,65.44B,-17.12B,48.32B,52.50M,52.50M,3.721B,310.40M,1.857B,,59.90B,63.96B,,2017-09,1.537B,716.50M,2.254B,260.30M,,750.00M,2.669B,3.419B,,3.419B,346.60M,346.60M,1.043B,7.322B,1.919B,18.36B,,18.36B,12.63B,,13.47B,468.90M,352.70M,36.40M,9.30M,,,2017-09,3.328B,8.532B,6.384B,-175.40M,18.07B,,2017-09,AOR,Restated
2017-06,172.40M,317.60M,490.00M,538.70M,1.040B,1.662B,982.20M,315.50M,,189.00M,3.809B,3.596B,3.337B,64.13B,-16.91B,47.23B,52.50M,52.50M,3.746B,285.60M,2.026B,,58.93B,62.74B,,2017-06,1.268B,891.50M,2.160B,217.00M,,519.00M,4.088B,4.607B,,4.607B,344.00M,344.00M,1.065B,8.392B,1.911B,16.80B,,16.80B,12.29B,,13.10B,462.80M,310.60M,25.40M,5.50M,,,2017-06,3.328B,8.276B,6.381B,-161.60M,17.82B,,2017-06,AOR,Restated
