,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2005-03,317.52M,,,-139.66M,169.08M,1.569M,170.65M,170.65M,11.08M,,,,,,,,,,117.58M,117.58M,,477.18M,,-317.17M,-317.17M,,,27.14M,11.00M,-279.02M,,,-16.84M,1.792M,-41.88M,-40.09M,,,,-56.93M,,704.56M,141.22M,,845.78M,,1.792M,,,-41.88M,,,,,
2004-12,70.08M,,,-19.30M,144.39M,5.669M,150.06M,150.06M,-1.537M,,,,-5.604M,,,,,,-193.70M,53.16M,,246.86M,,-341.75M,-341.75M,,238.61M,196.49M,-135.97M,-42.61M,,,-0.73M,8.154M,0.00,8.154M,,,,-451.38M,,951.70M,-247.14M,,704.56M,,8.154M,,,0.00,,,,,
2004-09,102.26M,,,-4.202M,133.97M,1.834M,135.81M,135.81M,3.077M,,,,-1.561M,,,,,,47.94M,47.94M,,283.32M,,-316.82M,-316.82M,,-2.00M,378.93M,2.131M,62.24M,,,21.66M,2.254M,-106.63M,-104.38M,,,,-82.72M,,688.86M,262.84M,,951.70M,,2.254M,,,-106.63M,,,,,
2004-06,85.32M,,,34.30M,123.93M,1.927M,125.86M,125.86M,-3.713M,,,,7.165M,,,,,,-74.59M,-74.59M,,174.34M,,-205.78M,-205.78M,,-236.61M,543.07M,64.90M,165.58M,,,-9.058M,4.44M,-683.67M,-679.23M,,,,-688.29M,,1.037B,-348.36M,,688.86M,,4.44M,,,-683.67M,,,,,
2004-03,-42.89M,,,-1.516M,100.60M,12.83M,113.44M,113.44M,7.535M,,,,,,,,,,220.35M,220.35M,,296.92M,,-116.24M,-116.24M,,,1.034B,-24.50M,893.08M,,,-1.426B,1.744M,-19.31M,-17.56M,,,,-1.444B,,1.291B,-253.64M,,1.037B,,1.744M,,,-19.31M,,,,,
2003-12,2.68M,,,-37.21M,99.34M,13.07M,112.42M,112.42M,2.412M,,,,-10.72M,,,,42.47M,34.90M,-135.92M,-145.88M,,-76.31M,,-80.13M,-80.13M,,,-500.24M,-57.76M,-638.13M,,,1.298B,1.376M,,-189.02M,,,,1.097B,,908.40M,382.46M,,1.291B,,1.376M,,,,,,,,
2003-09,35.12M,,,-1.141M,100.40M,5.575M,105.97M,105.97M,0.588M,,,,5.861M,,,,2.00M,24.38M,45.85M,72.23M,,218.63M,,-84.40M,-84.40M,,,-645.21M,9.357M,-720.25M,,,238.99M,19.06M,,19.06M,,,,258.06M,,1.152B,-243.57M,,908.40M,,19.06M,,,,,,,,
2003-06,128.79M,,,5.79M,100.30M,2.773M,103.07M,103.07M,-2.453M,,,,4.863M,,,,-51.33M,-2.872M,62.39M,8.188M,,248.25M,,-97.64M,-97.64M,,,-78.26M,8.845M,-167.06M,,,14.32M,-1.749M,,-1.749M,,,,12.57M,,1.058B,93.77M,,1.152B,,-1.749M,,,,,,,,
2003-03,57.92M,,,-4.091M,98.17M,5.263M,103.43M,103.43M,0.082M,,,,,,,,,,27.67M,27.67M,,185.01M,,-59.64M,-59.64M,,,-184.86M,8.075M,-236.43M,,,-375.20M,1.749M,,1.749M,,,,-373.45M,,1.483B,-424.88M,,1.058B,,1.749M,,,,,,,,
2002-12,-685.94M,,,13.27M,105.62M,3.059M,108.68M,108.68M,59.88M,,,,,,,,,,-96.34M,107.57M,,-396.54M,,-79.73M,-79.73M,,,-390.11M,-11.44M,-481.28M,,,-2.894M,1.791M,,-1.064B,,,-0.792M,-1.068B,,3.428B,-1.945B,,1.483B,,1.791M,,,,,,,,
2002-09,-173.33M,,,181.03M,97.82M,2.964M,100.79M,100.79M,1.374M,,,,,,,,,,-13.44M,-13.44M,,96.43M,,-111.50M,-111.50M,,10.64M,441.03M,-20.22M,319.95M,,,-1.208M,0.928M,,0.928M,,,-0.824M,-1.104M,,3.013B,415.28M,,3.428B,,0.928M,,,,,,,,
2002-06,45.84M,,,16.23M,87.98M,2.946M,90.93M,90.93M,5.454M,,,,,,,,,,16.57M,16.57M,,175.02M,,-141.68M,-141.68M,,-10.64M,653.92M,12.98M,514.58M,,,-0.205M,4.522M,,4.522M,,,-0.144M,4.173M,,2.319B,693.77M,,3.013B,,4.522M,,,,,,,,
2002-03,-38.61M,,,52.76M,81.54M,2.937M,84.47M,84.47M,,,,,,,,,,,93.21M,93.21M,,191.84M,,-102.91M,-102.91M,,,-873.40M,-59.32M,-1.036B,,,-0.242M,1.486B,,1.486B,,,-0.077M,1.485B,,1.678B,641.55M,,2.319B,,1.486B,,,,,,,,
2001-12,-42.87M,,,92.83M,84.09M,2.597M,86.69M,86.69M,,,,,,,,,,,-148.84M,20.30M,,156.95M,,-144.04M,-144.04M,,,-152.20M,-19.26M,-315.50M,,,715.53M,1.986M,,1.986M,,,-84.70M,632.81M,,1.204B,474.26M,,1.678B,,1.986M,,,,,,,,
2001-09,-7.835M,,,12.70M,72.87M,2.836M,75.71M,75.71M,,,,,,,,,,,97.69M,97.69M,,178.27M,,-191.14M,-191.14M,,,-173.02M,-103.19M,-467.35M,,,-2.948M,3.10M,,3.10M,,,-0.003M,0.149M,,1.493B,-288.93M,,1.204B,,3.10M,,,,,,,,
2001-06,2.249M,,,22.88M,62.84M,1.878M,64.72M,64.72M,,,,,34.94M,,,,,,49.80M,49.80M,,174.59M,,-153.68M,-153.68M,,,-314.12M,4.277M,-463.52M,,,977.22M,3.346M,,3.346M,,,-0.159M,980.41M,,801.08M,691.48M,,1.493B,,3.346M,,,,,,,,
2001-03,-167.04M,,,119.58M,58.85M,1.878M,60.73M,60.73M,,,,,-34.94M,,,,,,1.348M,1.348M,,-20.32M,,-148.60M,-148.60M,,,113.43M,2.423M,-32.75M,,,-3.984M,1.497M,,1.497M,,,-0.178M,-2.665M,,856.82M,-55.74M,,801.08M,,1.497M,,,,,,,,
2000-12,-172.33M,,,57.77M,58.68M,1.882M,60.56M,60.56M,,,,,-1.883M,,,21.66M,,,-34.79M,160.74M,,104.85M,,-144.74M,-144.74M,,,-286.14M,-57.07M,-487.95M,,,4.74M,1.164M,,1.164M,,,-8.197M,-2.293M,,1.242B,-385.39M,,856.82M,,1.164M,,,,,,,,
2000-09,-130.89M,,,9.089M,44.51M,1.556M,46.07M,46.07M,,,,,1.883M,,,5.586M,,,-17.97M,-12.38M,,-86.23M,,-71.95M,-71.95M,,,20.08M,-89.89M,-141.76M,,,985.57M,1.319M,,1.319M,,,-2.836M,984.06M,,486.15M,756.06M,,1.242B,,1.319M,,,,,,,,
2000-06,-132.86M,,,13.96M,82.17M,3.068M,43.24M,43.24M,,,,,-0.99M,,,,,,43.93M,43.93M,,-32.72M,,-77.81M,-77.81M,,,24.74M,-110.80M,-163.87M,,,-3.746M,6.933M,,6.933M,,,-0.239M,2.948M,,679.79M,-193.64M,,486.15M,,6.933M,,,,,,,,
2000-03,-185.13M,,,28.74M,,,41.99M,41.99M,,,,,0.99M,,,,,,8.831M,8.831M,,-104.58M,,-36.90M,-36.90M,,,-80.78M,-0.694M,-118.38M,,,-4.236M,2.17M,,2.17M,,,-0.493M,-2.559M,,905.30M,-225.51M,,679.79M,,2.17M,,,,,,,,
1999-12,-219.90M,,,45.10M,,,35.40M,35.40M,,,,,-28.50M,,,,,174.90M,,176.00M,,8.10M,,-25.90M,-25.90M,,,-247.40M,73.10M,-200.20M,,,1.269B,1.90M,0.00,1.90M,,,-292.00M,978.70M,,118.80M,786.60M,,905.30M,,1.90M,,,0.00,,,,,
1999-09,-124.40M,,,-15.80M,,,28.70M,28.70M,,,,,-128.30M,,,,,101.40M,,101.40M,,-138.40M,,-33.10M,-33.10M,,,-53.00M,69.00M,-17.10M,,,-5.30M,2.00M,0.00,2.00M,,,,-3.30M,,277.50M,-158.80M,,118.80M,,2.00M,,,0.00,,,,,
1999-06,-76.17M,,,22.98M,,,26.70M,26.70M,,,,,156.83M,,,,,,-63.91M,-63.91M,,66.44M,,-23.35M,-23.35M,,,172.18M,-78.07M,70.76M,,,-280.78M,3.475M,0.034M,3.509M,,,273.67M,-3.60M,,143.90M,133.60M,,277.50M,,3.475M,,,0.034M,,,,,
1999-03,-103.33M,,,8.615M,,,36.10M,36.10M,,,,,0.07M,,,,,,63.91M,63.91M,,5.361M,,-8.854M,-8.854M,,,15.42M,77.17M,83.74M,,,311.38M,1.525M,-90.93M,-89.41M,,,-273.67M,-51.70M,,106.55M,37.40M,,143.90M,,1.525M,,,-90.93M,,,,,
1998-12,-113.33M,,,6.409M,-59.08M,-108.32M,60.99M,60.99M,,,,,47.14M,,,,,,,,,-0.786M,,-19.67M,-19.67M,,,-63.97M,-13.64M,-97.28M,,,-4.431M,1.248M,,1.248M,,,,-3.183M,,207.86M,-101.25M,,106.50M,,1.248M,,,,,,,,
1998-09,-51.97M,,,2.67M,21.90M,35.03M,56.93M,56.93M,,,,,-43.17M,,,,,,,,,-35.55M,,-31.28M,-31.28M,,,-22.22M,40.88M,-12.62M,,,-3.902M,0.35M,,0.35M,,,,-3.552M,,259.57M,-51.72M,,207.86M,,0.35M,,,,,,,,
1998-06,-45.71M,,,4.982M,18.76M,34.47M,53.23M,53.23M,,,,,27.12M,,,,,,,,,39.62M,,-84.48M,-84.48M,,,23.40M,50.09M,-10.99M,,,-4.142M,1.032M,,1.032M,,,,-3.11M,,234.05M,25.52M,,259.57M,,1.032M,,,,,,,,
1998-03,-49.89M,,,3.439M,18.43M,38.82M,57.25M,57.25M,,,,,-30.99M,,,,,,,,,-20.18M,,-25.67M,-25.67M,,,120.59M,17.96M,112.88M,,,-4.025M,0.17M,,0.17M,,,,-3.855M,,145.21M,88.84M,,234.05M,,0.17M,,,,,,,,
1997-12,-71.00M,,,11.00M,,,62.00M,62.00M,0.00,,,,-7.60M,,51.60M,,,81.50M,,45.70M,,40.10M,,-85.30M,-85.30M,,,-244.20M,55.40M,-274.10M,,,-4.90M,353.00M,,353.00M,,,0.10M,348.20M,,31.00M,114.20M,,145.20M,,353.00M,,,,,,,,
1997-09,-115.10M,,,-7.90M,,,69.00M,69.00M,0.00,,,,23.10M,,,,,,,,,-30.90M,,-127.70M,-127.70M,,,-25.70M,35.00M,-118.40M,,,-2.80M,0.40M,,0.40M,,,-0.10M,-2.50M,,182.90M,-151.80M,,31.00M,,0.40M,,,,,,,,
1997-06,-63.80M,,,7.90M,,,66.20M,66.20M,-0.40M,,,,-12.90M,,2.30M,,,-3.20M,,-0.90M,,-3.90M,,-6.60M,-6.60M,,,-1.10M,-196.50M,-204.20M,,,360.00M,0.30M,,0.30M,,,0.20M,360.50M,,30.50M,152.40M,,182.90M,,0.30M,,,,,,,,
1997-03,-62.90M,,,,,,59.30M,59.30M,,,,,-2.60M,,-2.30M,,,3.20M,,0.90M,,-5.30M,,-12.50M,-12.50M,,,13.30M,-1.30M,-0.50M,,,-3.10M,0.20M,,0.20M,,,-0.10M,-3.00M,,39.20M,-8.80M,,30.50M,,0.20M,,,,,,,,
1996-12,-48.71M,,,-0.498M,-20.02M,-41.99M,43.09M,43.09M,-24.92M,,,,-0.158M,9.039M,-28.74M,14.41M,-81.73M,52.32M,,-34.70M,,-65.89M,,-208.50M,-208.50M,,,17.13M,267.29M,75.92M,,,-2.487M,0.732M,,0.732M,,,-0.10M,-1.855M,,31.08M,8.175M,,39.20M,,0.732M,,,,,,,,
1996-09,-22.49M,,,3.598M,20.02M,41.99M,27.71M,27.71M,-13.98M,,,,17.36M,-13.34M,-8.056M,7.386M,-8.969M,69.38M,,46.40M,,58.59M,,-5.90M,-5.90M,,,-2.226M,-95.39M,-103.52M,,,-3.113M,0.868M,,0.868M,,,-0.10M,-2.345M,,78.40M,-47.28M,,31.08M,,0.868M,,,,,,,,
1996-06,-22.58M,,,-0.30M,-3.33M,-5.347M,25.62M,25.62M,-10.13M,,,,-17.30M,2.766M,-11.24M,5.464M,2.431M,-2.59M,,-3.173M,,-27.86M,,-4.785M,-4.785M,,,-39.08M,-15.30M,-59.17M,,,-0.121M,0.587M,,0.587M,,,0.10M,0.566M,,164.81M,-86.46M,,78.40M,,0.587M,,,,,,,,
1996-03,-7.221M,,,4.50M,3.33M,5.347M,8.677M,8.677M,-1.371M,,,,,-2.766M,11.24M,-5.464M,-2.431M,2.59M,,3.173M,,7.758M,,-2.715M,-2.715M,,,-0.023M,-198.10M,-200.83M,,,336.02M,0.113M,,0.113M,,,,336.13M,,21.75M,143.06M,,164.81M,,0.113M,,,,,,,,
1995-12,-7.10M,,,-15.40M,,,25.20M,25.20M,1.70M,,,,0.10M,-4.30M,-13.30M,14.60M,-9.70M,-2.20M,,-14.90M,,-10.40M,,-2.40M,-2.40M,,,36.10M,-4.70M,29.00M,,,0.00,0.00,,0.00,,,-0.10M,-0.10M,,0.00,18.50M,,21.80M,,0.00,,,,,,,,
1995-09,-0.40M,,,5.70M,,,0.70M,0.70M,-1.90M,,,,-0.10M,-2.70M,2.40M,-6.50M,-0.80M,-0.60M,,-8.20M,,-4.20M,,-0.50M,-0.50M,,,18.70M,-24.00M,-5.80M,,,-63.10M,62.90M,,62.90M,,,0.20M,0.00,,0.00,-10.00M,,0.00,,62.90M,,,,,,,,
1995-06,-1.80M,,,12.40M,,,-6.00M,-6.00M,-2.10M,,,,-0.10M,2.00M,-4.60M,-2.80M,0.80M,0.30M,,-4.30M,,-1.90M,,-0.70M,-0.70M,,,-67.00M,0.40M,-67.30M,,,63.00M,,,,,,-0.10M,62.90M,,0.00,-6.30M,,0.00,,,,,,,,,,
1995-03,-2.20M,,,0.20M,,,6.80M,6.80M,-2.50M,,,,0.10M,-0.60M,-4.20M,-1.10M,-0.80M,0.50M,,-6.20M,,-3.80M,,-0.50M,-0.50M,,,12.60M,-6.10M,6.00M,,,-0.10M,,,,,,,-0.10M,,17.50M,2.10M,,0.00,,,,,,,,,,
