,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2017-03,390.08M,-2.272M,,-2.272M,,,204.63M,204.63M,150.01M,,,6.774M,6.752M,,,,,,180.80M,180.80M,,936.77M,,-397.50M,-114.90M,,,-71.09M,13.56M,-455.03M,,990.84M,990.84M,,,,,6.374M,-13.26M,983.96M,,5.325B,1.466B,,6.791B,,,1.00B,-9.162M,,,,,AOR,Restated
2016-12,367.80M,-3.022M,,-3.022M,,,230.05M,230.05M,217.50M,,,2.507M,0.184M,,,,,,-150.56M,-152.24M,,662.78M,,-305.01M,-144.38M,0.00,,172.35M,2.752M,-129.91M,,-11.09M,-11.09M,,,,,6.439M,11.92M,7.27M,,4.785B,540.15M,,5.325B,,,0.00,-11.09M,,,,,AOR,Restated
2016-09,332.98M,-3.058M,,-3.058M,,,224.00M,224.00M,104.28M,,,6.785M,33.17M,,,,,,-98.34M,-98.34M,,599.81M,,-1.809B,-149.91M,-1.50B,,-75.97M,3.697M,-1.881B,,2.988B,2.988B,,,,,380.34M,-652.99M,2.716B,,3.350B,1.435B,,4.785B,,,3.00B,-11.57M,,,,,AOR,Restated
2016-06,438.06M,-46.03M,,-46.03M,,,239.58M,239.58M,106.30M,,,-0.732M,43.42M,,,,,,-116.99M,-116.99M,,663.61M,,-338.28M,-158.57M,,,350.96M,-4.581M,8.099M,,1.989B,1.989B,,,,,4.387M,-25.29M,1.969B,,709.86M,2.640B,,3.350B,,,2.00B,-10.51M,,,,,AOR,Restated
2016-03,411.94M,-66.98M,,-66.98M,,,227.57M,227.57M,78.73M,,,4.477M,9.002M,,,,,,263.30M,263.30M,,928.04M,,-386.56M,-161.20M,,,638.48M,13.63M,265.55M,,-1.510B,-1.510B,,,,,3.056M,-30.42M,-1.538B,,1.054B,-344.13M,,709.86M,,,,-1.510B,,,,,AOR,Restated
2015-12,-46.16M,4.188M,,4.188M,,,202.06M,202.06M,71.26M,,,1.485M,-18.27M,,,,,,-580.49M,-111.23M,,229.09M,,-189.20M,-129.51M,105.18M,,-201.28M,-14.51M,-405.00M,,-13.38M,-13.38M,0.00,,0.00,,12.58M,-14.34M,-15.13M,,1.244B,-191.05M,,1.054B,,0.00,,-13.38M,,,,,AOR,Restated
2015-09,202.61M,-28.71M,,-28.71M,,,252.20M,252.20M,84.76M,,,2.891M,102.79M,,,,,,164.35M,164.35M,,780.88M,,-258.56M,-195.63M,0.00,,28.07M,3.632M,-226.86M,,-8.417M,-8.417M,0.00,,0.00,,3.284M,1.242M,-3.891M,,694.25M,550.13M,,1.244B,,0.00,,-8.417M,,,,,AOR,Restated
2015-06,332.33M,-135.70M,,-135.70M,,,262.89M,262.89M,59.95M,,,7.114M,18.31M,,,,,,12.68M,12.68M,,557.56M,,-660.49M,-197.74M,0.00,,-8.83M,-3.32M,-272.64M,,-657.94M,-657.94M,0.00,,0.00,,11.66M,5.711M,-640.57M,,1.050B,-355.65M,,694.25M,,0.00,,-657.94M,,,,,AOR,Restated
2015-03,353.25M,-127.02M,,-127.02M,,,246.21M,246.21M,12.48M,,,7.709M,20.75M,,,,,,378.22M,378.22M,,891.60M,,-8.950B,-212.11M,-8.676B,,1.789B,3.282M,-7.158B,,-7.116M,-7.116M,204.20M,,204.20M,,6.345M,7.967M,211.40M,,7.104B,-6.055B,,1.050B,,204.20M,,-7.116M,,,,,AOR,Restated
2014-12,407.92M,15.02M,,15.02M,,,286.93M,286.93M,66.48M,,,9.195M,-8.714M,,,,,,-140.30M,-185.39M,30.01M,621.45M,,-1.618B,-84.40M,-1.32B,,2.151B,87.66M,599.79M,,1.092B,1.092B,20.70M,,20.70M,,13.58M,6.573M,1.133B,,4.751B,2.354B,,7.104B,,20.70M,,-908.15M,,,,,AOR,Restated
2014-09,143.04M,52.40M,,52.40M,,,269.89M,269.89M,9.932M,,,4.314M,92.71M,,,,,,63.24M,63.24M,0.00,635.52M,,-316.85M,-316.85M,0.00,,387.52M,2.301M,72.98M,,-106.68M,-106.68M,,,,,7.656M,13.73M,-85.30M,,4.127B,623.20M,,4.751B,,,,-106.68M,,,,,AOR,Restated
2014-06,207.13M,-8.427M,,-8.427M,,,271.90M,271.90M,33.03M,,,10.78M,9.649M,,,,,,-56.81M,-56.81M,0.00,467.25M,,-407.27M,-299.76M,-107.51M,,-38.69M,4.716M,-441.24M,,-109.09M,-109.09M,0.00,,0.00,,23.68M,18.07M,-67.34M,,4.169B,-41.33M,,4.127B,,0.00,,-109.09M,,,,,AOR,Restated
