,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2004-03,654.00M,654.00M,492.70M,161.30M,103.60M,,-1.40M,,,,,103.60M,57.70M,,,,-1.40M,,52.00M,16.60M,35.40M,0.10M,,,35.50M,13.30M,57.70M,,2004-03,0.27,,0.2772,0.27,,2004-03,,,0.2671,2004-03,132.40M,134.20M,0.05,,2004-03,,
2003-12,593.90M,593.90M,440.40M,153.50M,101.00M,,-6.00M,,,,,101.00M,52.50M,,,,-6.00M,,41.70M,10.00M,31.70M,1.40M,,,33.10M,13.70M,52.50M,,2003-12,0.24,,0.2744,0.25,,2003-12,,,0.2625,2003-12,132.60M,140.20M,0.05,,2003-12,,
2003-09,547.90M,547.90M,413.70M,134.20M,91.60M,,,,,,,91.60M,42.60M,,,,,,37.60M,12.10M,25.50M,0.50M,,,26.00M,13.40M,42.60M,,2003-09,0.19,,0.19,0.195,,2003-09,,,0.19,2003-09,132.60M,139.80M,0.05,,2003-09,,
2003-06,547.60M,547.60M,414.30M,133.30M,110.80M,,1.60M,,,,,110.80M,22.50M,,,,1.60M,,19.10M,7.60M,11.50M,,,,0.70M,15.60M,22.50M,,2003-06,0.085,,0.0777,0.005,,2003-06,,,0.0777,2003-06,131.69M,131.69M,0.04,,2003-06,,
2003-03,538.90M,538.90M,404.90M,134.00M,97.60M,,2.80M,,,,,97.60M,36.40M,,,,2.80M,,34.20M,11.60M,22.60M,,,,22.60M,14.60M,36.40M,,2003-03,0.17,,0.1560,0.17,,2003-03,,,0.1561,2003-03,132.40M,132.80M,0.04,,2003-03,,
2002-12,523.90M,523.90M,388.70M,135.20M,108.90M,,3.10M,,,,,108.90M,26.30M,,,,3.10M,,24.70M,8.40M,16.30M,,,,16.30M,12.70M,26.30M,,2002-12,0.125,,0.1095,0.125,,2002-12,,,0.1096,2002-12,132.40M,132.60M,0.04,,2002-12,,
2002-09,450.20M,450.20M,335.30M,114.90M,96.80M,,16.20M,,,,,96.80M,18.10M,,,,16.20M,,30.20M,10.30M,19.90M,,,,19.90M,13.50M,18.10M,,2002-09,0.15,,0.0694,0.15,,2002-09,,,0.0699,2002-09,132.40M,133.20M,0.04,,2002-09,,
2002-06,457.60M,457.60M,334.50M,123.10M,81.90M,,7.70M,,,,,81.90M,41.20M,,,,7.70M,,46.90M,15.90M,31.00M,,,,26.60M,14.90M,41.20M,,2002-06,0.2307,,0.1921,0.1975,,2002-06,,,0.1932,2002-06,131.80M,135.70M,0.025,,2002-06,,
2002-03,483.30M,483.30M,354.30M,129.00M,99.30M,,7.60M,,,,,99.30M,29.70M,,,,7.60M,,34.10M,11.60M,22.50M,,,,22.50M,13.80M,29.70M,,2002-03,0.17,,0.1320,0.17,,2002-03,,,0.1322,2002-03,132.00M,132.60M,0.025,,2002-03,,
2001-12,451.50M,451.50M,333.80M,117.70M,97.50M,,7.80M,,,,-7.80M,89.70M,28.00M,,,,7.80M,,24.80M,8.40M,16.40M,,,,16.40M,12.80M,28.00M,,2001-12,0.125,,0.0859,0.125,,2001-12,,,0.0861,2001-12,131.80M,132.60M,0.025,,2001-12,,
2001-09,443.40M,443.40M,330.80M,112.60M,99.60M,,17.90M,,,,-17.90M,81.70M,30.90M,,,,17.90M,,25.90M,8.80M,17.10M,,,,17.10M,13.60M,30.90M,,2001-09,0.13,,0.0401,0.13,,2001-09,,,0.0405,2001-09,131.40M,132.00M,0.025,,2001-09,,
2001-06,528.50M,528.50M,380.40M,148.10M,113.10M,6.00M,20.60M,,,,-20.60M,98.50M,49.60M,,,,20.60M,,44.70M,15.60M,29.10M,,,,29.10M,21.20M,49.60M,,2001-06,0.22,,0.1196,0.22,,2001-06,,,0.1196,2001-06,133.60M,133.60M,0.025,,2001-06,,
2001-03,479.30M,479.30M,352.60M,126.70M,104.80M,6.00M,7.60M,,,,-7.60M,103.20M,23.50M,,,,7.60M,,17.00M,5.90M,11.10M,,,,11.10M,21.00M,23.50M,,2001-03,0.085,,0.0472,0.085,,2001-03,,,0.0473,2001-03,131.40M,131.60M,0.025,,2001-03,,
2000-12,486.90M,486.90M,362.50M,124.40M,95.70M,5.70M,7.90M,,,,-7.90M,93.50M,30.90M,,,,7.90M,,24.60M,8.60M,16.00M,,,,16.00M,20.10M,30.90M,,2000-12,0.12,,0.0813,0.12,,2000-12,,,0.0814,2000-12,132.80M,133.20M,0.025,,2000-12,,
2000-09,460.40M,460.40M,335.60M,124.80M,100.80M,4.50M,-29.60M,,,,-43.90M,61.40M,63.40M,,,,-29.60M,,-13.90M,20.90M,-34.80M,,,,-34.80M,17.40M,63.40M,,2000-09,-0.255,,-0.1250,-0.255,,2000-09,,,-0.1250,2000-09,136.60M,136.60M,0.025,,2000-09,,
2000-06,512.40M,512.40M,367.70M,144.70M,120.60M,,18.10M,,,,,138.70M,6.00M,,,,18.10M,,25.30M,8.90M,16.40M,0.00,,,16.40M,18.10M,6.00M,,2000-06,0.1263,,0.0475,0.1205,,2000-06,,,-0.0487,2000-06,149.00M,149.00M,0.025,,2000-06,,
2000-03,455.20M,455.20M,327.60M,127.60M,108.30M,,-22.10M,,,,,127.10M,0.50M,,,,-22.10M,,-22.10M,-7.80M,-14.30M,,,,-14.30M,18.80M,0.50M,,2000-03,-0.105,,-0.0012,-0.105,,2000-03,,,-0.0012,2000-03,137.80M,137.80M,0.025,,2000-03,,
1999-12,441.00M,441.00M,313.40M,127.60M,96.50M,,3.80M,,,,,112.30M,15.30M,,,,3.80M,,21.00M,7.40M,13.60M,1.00M,,,14.60M,15.80M,15.30M,,1999-12,0.09,,0.0736,0.095,,1999-12,,,0.0736,1999-12,150.00M,150.20M,0.025,,1999-12,,
1999-09,398.80M,398.80M,283.60M,115.20M,92.00M,,7.40M,,,,,107.90M,7.30M,,,,7.40M,,14.30M,5.00M,9.30M,-8.00M,,,1.30M,15.90M,7.30M,,1999-09,0.03,,-0.0004,0.005,,1999-09,,,-0.0004,1999-09,158.11M,158.11M,0.12,,1999-09,,
1999-06,468.00M,468.00M,332.60M,135.40M,114.90M,,-1.10M,,,,,130.60M,4.80M,,,,-1.10M,,4.80M,1.70M,3.10M,-63.40M,,,-69.50M,15.70M,4.80M,,1999-06,-0.455,,-0.4505,-0.435,,1999-06,,,-0.4505,1999-06,156.37M,156.37M,0.12,,1999-06,,
1999-03,445.40M,445.40M,327.30M,118.10M,86.30M,,4.30M,,,,,87.40M,30.70M,,,,4.30M,,34.70M,12.50M,22.20M,19.20M,,,41.40M,16.20M,30.70M,,1999-03,0.14,,0.1227,0.26,,1999-03,,,0.1227,1999-03,159.23M,159.23M,0.12,,1999-03,,
1998-12,417.50M,417.50M,281.00M,136.50M,98.70M,,5.10M,,,,,114.60M,21.90M,,,,5.10M,,27.20M,9.80M,17.40M,35.40M,,,52.80M,16.40M,21.90M,,1998-12,0.11,,0.0896,0.33,,1998-12,,,0.0896,1998-12,160.00M,160.00M,0.12,,1998-12,,
1998-09,412.60M,412.60M,287.40M,125.20M,86.50M,,-14.70M,,,,,101.70M,23.50M,,,,-14.70M,,11.30M,4.10M,7.20M,21.20M,,,28.40M,15.20M,23.50M,,1998-09,0.045,,0.1044,0.18,,1998-09,,,0.1044,1998-09,157.78M,157.78M,0.12,,1998-09,,
1998-06,-986.40M,-986.40M,-387.70M,-598.70M,-321.80M,,-4.00M,,,,,-414.90M,-183.80M,,,,-4.00M,,-133.00M,-43.20M,-89.80M,,,,-23.20M,-93.10M,-183.80M,,1998-06,-0.57,,-0.5531,-0.15,,1998-06,,,-0.5534,1998-06,160.00M,162.80M,0.11,,1998-06,,
1998-03,961.60M,961.60M,569.80M,391.80M,246.00M,,22.60M,,,,,303.70M,88.10M,,,,22.60M,,90.80M,30.90M,59.90M,,,,59.90M,57.70M,88.10M,,1998-03,0.38,,0.2854,0.38,,1998-03,,,0.2817,1998-03,157.63M,159.73M,0.11,,1998-03,,
