,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2016-12,1.449B,1.449B,920.00M,529.00M,252.00M,,,44.00M,1.00M,-43.00M,,252.00M,277.00M,1.00M,44.00M,-43.00M,1.00M,-43.00M,235.00M,72.00M,163.00M,14.00M,,,177.00M,81.00M,279.00M,,2016-12,1.32,,1.32,1.42,,2016-12,,,1.30,2016-12,123.70M,125.40M,0.53,,2016-12,AOR,Restated
2016-09,1.42B,1.42B,897.00M,523.00M,277.00M,,,44.00M,,-44.00M,,277.00M,246.00M,,44.00M,-44.00M,1.00M,-44.00M,203.00M,58.00M,145.00M,15.00M,,,160.00M,86.00M,247.00M,,2016-09,1.17,,1.17,1.29,,2016-09,,,1.16,2016-09,123.90M,125.50M,0.53,,2016-09,AOR,Restated
2016-06,1.533B,1.533B,937.00M,596.00M,346.00M,,,44.00M,1.00M,-43.00M,,346.00M,250.00M,1.00M,44.00M,-43.00M,,-43.00M,217.00M,75.00M,142.00M,18.00M,,,160.00M,99.00M,261.00M,,2016-06,1.30,,1.30,1.29,,2016-06,,,1.29,2016-06,124.10M,125.60M,0.50,,2016-06,AOR,Restated
2016-03,1.55B,1.55B,1.009B,541.00M,273.00M,,,46.00M,0.00,-46.00M,,273.00M,268.00M,0.00,46.00M,-46.00M,-1.00M,-46.00M,221.00M,62.00M,159.00M,9.00M,,,168.00M,82.00M,267.00M,,2016-03,1.27,,1.27,1.35,,2016-03,,,1.26,2016-03,124.00M,125.10M,0.50,,2016-03,AOR,Restated
2015-12,1.748B,1.748B,1.203B,545.00M,217.00M,,,46.00M,0.00,-46.00M,,217.00M,328.00M,0.00,46.00M,-46.00M,,-46.00M,282.00M,85.00M,197.00M,-349.00M,,,-152.00M,86.00M,328.00M,,2015-12,1.59,,1.59,-1.23,,2015-12,,,1.577,2015-12,123.80M,124.90M,0.50,,2015-12,AOR,Restated
2015-09,1.811B,1.811B,1.22B,591.00M,329.00M,,,48.00M,1.00M,-47.00M,,329.00M,262.00M,1.00M,48.00M,-47.00M,1.00M,-47.00M,216.00M,68.00M,148.00M,,,,148.00M,94.00M,264.00M,,2015-09,1.20,,1.20,1.20,,2015-09,,,1.18,2015-09,123.50M,124.70M,0.50,,2015-09,AOR,Restated
2015-06,337.00M,337.00M,46.00M,291.00M,280.00M,,-109.00M,51.00M,0.00,-51.00M,,280.00M,11.00M,0.00,51.00M,-51.00M,,-51.00M,-148.00M,-45.00M,-103.00M,47.00M,,,-56.00M,80.00M,-97.00M,,2015-06,-0.51,,0.1765,-0.51,,2015-06,,,0.1697,2015-06,110.50M,111.60M,0.47,,2015-06,AOR,Restated
2015-03,1.187B,1.187B,754.00M,433.00M,220.00M,,0.00,34.00M,0.00,-34.00M,,220.00M,213.00M,0.00,34.00M,-34.00M,,-34.00M,179.00M,53.00M,126.00M,0.00,,,126.00M,60.00M,213.00M,,2015-03,1.21,,1.21,1.21,,2015-03,,,1.20,2015-03,103.70M,104.80M,0.47,,2015-03,AOR,Restated
2014-12,1.206B,1.206B,808.00M,398.00M,188.00M,,0.00,22.00M,1.00M,-21.00M,,188.00M,210.00M,1.00M,22.00M,-21.00M,,-21.00M,189.00M,50.00M,139.00M,0.00,,,139.00M,53.00M,211.00M,,2014-12,1.34,,1.34,1.34,,2014-12,,,1.325,2014-12,103.90M,104.90M,0.47,,2014-12,AOR,Restated
2014-09,1.155B,1.155B,762.00M,393.00M,195.00M,,,23.00M,1.00M,-22.00M,,195.00M,198.00M,1.00M,23.00M,-22.00M,,-22.00M,176.00M,51.00M,125.00M,,,,125.00M,51.00M,199.00M,,2014-09,1.19,,1.19,1.19,,2014-09,,,1.18,2014-09,104.60M,105.80M,0.47,,2014-09,AOR,Restated
