,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,82.23M,16.35B,16.44B,,407.68M,407.68M,16.84B,,441.59M,,441.59M,537.81M,16.35B,17.85B,22.88B,,,1.098B,1.098B,1.098B,292.14M,373.90M,5.625M,671.67M,671.67M,,,1.770B,817.47M,817.47M,,,,66.87M,,884.35M,17.31B,,124.22M,5.115B,517.08M,788.26M,603.50M,5.572B,,AOR,Restated
2018-03,88.62M,16.72B,16.80B,,396.38M,396.38M,17.20B,,441.59M,,441.59M,532.38M,16.72B,18.22B,23.18B,,,1.217B,1.217B,1.217B,,360.16M,5.00M,365.16M,365.16M,,,1.582B,1.131B,1.131B,,,,67.06M,,1.198B,17.36B,,124.22M,4.956B,508.94M,708.66M,940.20M,5.820B,,AOR,Restated
2017-12,118.56M,17.10B,17.21B,,391.78M,391.78M,17.61B,108.00M,441.59M,,441.59M,529.53M,17.10B,18.60B,23.47B,,,1.312B,1.312B,1.312B,,323.69M,4.375M,328.07M,328.07M,,,1.640B,1.132B,1.132B,,,,61.43M,,1.194B,17.24B,,124.22M,4.806B,508.48M,631.76M,1.424B,6.231B,,AOR,Restated
2017-09,88.46M,16.72B,16.81B,,389.08M,389.08M,17.20B,,441.59M,,441.59M,523.32M,16.72B,18.23B,22.99B,,,2.069B,2.069B,2.069B,,305.25M,3.75M,309.00M,309.00M,,,2.378B,1.131B,1.131B,,,,61.54M,,1.192B,17.83B,,127.22M,4.240B,508.39M,746.80M,1.039B,5.168B,,AOR,Restated
2017-06,97.65M,16.41B,16.51B,,380.03M,380.03M,16.89B,,441.59M,,441.59M,516.06M,16.41B,17.89B,22.58B,,,2.010B,2.010B,2.010B,,303.15M,3.125M,306.27M,306.27M,,,2.316B,1.132B,1.132B,,,,69.11M,,1.201B,17.52B,,127.22M,4.113B,500.12M,671.24M,984.56M,5.053B,,AOR,Restated
2017-03,61.75M,16.00B,16.06B,,370.31M,370.31M,16.43B,,441.59M,,441.59M,510.57M,16.00B,17.46B,22.09B,,,1.864B,1.864B,1.864B,,324.52M,2.50M,327.02M,327.02M,,,2.191B,1.133B,1.133B,,,,70.02M,,1.203B,17.34B,,127.22M,3.995B,491.77M,591.69M,722.86M,4.745B,,AOR,Restated
2016-12,76.16M,15.32B,15.39B,,384.45M,384.45M,15.78B,97.00M,441.59M,,441.59M,507.98M,15.32B,16.79B,21.44B,,,1.744B,1.744B,1.744B,,262.60M,1.875M,264.48M,264.48M,,,2.008B,1.133B,1.133B,,,,64.02M,,1.197B,16.87B,,127.22M,3.891B,490.42M,519.15M,577.57M,4.567B,,AOR,Restated
2016-09,104.90M,15.90B,16.01B,,361.28M,361.28M,16.37B,,441.59M,,441.59M,499.08M,15.90B,17.35B,22.08B,,,2.024B,2.024B,2.024B,,265.64M,1.25M,266.89M,266.89M,,,2.291B,1.134B,1.134B,,,,63.20M,,1.197B,16.99B,,130.22M,3.934B,496.07M,616.76M,1.143B,5.086B,,AOR,Restated
2016-06,49.68M,15.49B,15.54B,,358.69M,358.69M,15.90B,,441.59M,,441.59M,501.56M,15.49B,16.94B,21.57B,,,1.887B,1.887B,1.887B,,285.39M,0.625M,286.01M,286.01M,,,2.173B,1.134B,1.134B,,,,72.65M,,1.207B,16.70B,,130.22M,3.818B,489.73M,549.01M,989.16M,4.878B,,AOR,Restated
2016-03,12.76M,14.60B,14.62B,,349.65M,349.65M,14.97B,,441.59M,,441.59M,496.84M,14.61B,16.06B,20.62B,,,1.665B,1.665B,1.665B,,,557.16M,557.16M,557.16M,,,2.222B,743.95M,743.95M,,,,71.54M,,815.49M,16.23B,,130.22M,3.715B,482.67M,471.80M,535.48M,4.392B,,AOR,Restated
2015-12,61.38M,13.81B,13.87B,,344.55M,344.55M,14.22B,83.00M,441.59M,,441.59M,492.46M,13.81B,15.27B,19.85B,,,1.451B,1.451B,1.451B,249.75M,240.38M,0.00,490.13M,490.13M,,,1.941B,743.73M,743.73M,,,,67.02M,,810.75M,15.80B,,130.22M,3.614B,482.28M,403.27M,231.95M,4.056B,,AOR,Restated
2015-09,59.48M,14.14B,14.20B,,676.16M,676.16M,14.88B,,441.59M,,441.59M,486.04M,14.15B,15.57B,20.12B,,,1.589B,1.589B,1.589B,249.37M,368.87M,,618.24M,618.24M,,,2.207B,743.50M,743.50M,,,,70.33M,,813.83M,15.84B,,134.22M,3.686B,488.32M,525.44M,499.83M,4.283B,,AOR,Restated
2015-06,62.85M,14.15B,14.21B,,627.66M,627.66M,14.84B,,441.59M,,441.59M,479.95M,14.15B,15.56B,20.02B,,,1.565B,1.565B,1.565B,,,636.86M,636.86M,636.86M,,,2.202B,743.30M,743.30M,,,,76.98M,,820.28M,15.71B,,134.22M,3.569B,476.79M,428.99M,555.32M,4.306B,,AOR,Restated
2015-03,3.086M,14.99B,14.99B,,565.96M,565.96M,15.56B,,441.59M,,441.59M,474.72M,14.99B,16.39B,20.70B,,,1.919B,1.919B,1.919B,,258.92M,,258.92M,258.92M,,,2.178B,992.50M,992.50M,,,,74.73M,,1.067B,15.81B,,134.22M,3.472B,462.95M,351.23M,1.166B,4.884B,,AOR,Restated
2014-12,66.02M,14.51B,14.57B,,327.86M,327.86M,14.90B,54.00M,441.59M,,441.59M,472.11M,14.51B,15.92B,20.27B,,,1.786B,1.786B,1.786B,,238.40M,,238.40M,238.40M,,,2.024B,992.13M,992.13M,,,,71.70M,,1.064B,15.57B,,134.22M,3.377B,457.61M,268.66M,997.45M,4.697B,,AOR,Restated
2014-09,67.00M,14.23B,14.30B,,499.88M,499.88M,14.80B,,441.59M,,441.59M,465.00M,14.23B,15.65B,19.87B,,,1.696B,1.696B,1.696B,,290.42M,,290.42M,290.42M,,,1.986B,991.80M,991.80M,,,,74.20M,,1.066B,15.34B,,139.22M,3.444B,460.02M,396.08M,882.83M,4.530B,,AOR,Restated
2014-06,45.80M,14.18B,14.22B,,425.42M,425.42M,14.65B,,441.59M,,441.59M,457.82M,14.18B,15.57B,19.65B,,,1.648B,1.648B,1.648B,,274.94M,,274.94M,274.94M,,,1.923B,991.50M,991.50M,,,,74.97M,,1.066B,15.14B,,139.22M,3.329B,450.73M,298.38M,887.97M,4.509B,,AOR,Restated
2014-03,40.02M,13.73B,13.77B,,372.62M,372.62M,14.14B,,441.59M,,441.59M,451.97M,13.73B,15.06B,19.06B,,,1.529B,1.529B,1.529B,,264.92M,,264.92M,264.92M,,,1.794B,991.20M,991.20M,,,,77.91M,,1.069B,14.88B,,100.81M,3.659B,473.96M,651.59M,606.06M,4.189B,,AOR,Restated
2013-12,36.94M,12.96B,12.99B,,331.10M,331.10M,13.32B,51.00M,441.59M,,441.59M,448.89M,12.96B,14.27B,18.19B,,,1.286B,1.286B,1.286B,,229.07M,,229.07M,229.07M,,,1.515B,990.86M,990.86M,,,,74.17M,,1.065B,14.42B,,151.22M,3.496B,462.06M,543.45M,210.98M,3.776B,,AOR,Restated
2013-09,38.79M,12.89B,12.93B,,412.97M,412.97M,13.34B,,441.59M,,441.59M,441.87M,12.89B,14.16B,18.14B,,,1.272B,1.272B,1.272B,,227.93M,,227.93M,227.93M,,,1.500B,990.60M,990.60M,,,,78.10M,,1.069B,14.36B,,105.81M,3.724B,471.57M,761.79M,237.14M,3.777B,,AOR,Restated
2013-06,44.94M,12.97B,13.01B,,388.74M,388.74M,13.40B,,441.59M,,441.59M,433.33M,12.97B,14.23B,18.14B,,,1.300B,1.300B,1.300B,94.00M,255.00M,,349.00M,349.00M,,,1.649B,990.30M,990.30M,,,,79.33M,,1.070B,14.32B,,105.81M,3.613B,460.24M,690.98M,333.90M,3.822B,,AOR,Restated
2013-03,25.26M,13.75B,13.77B,,393.87M,393.87M,14.17B,,441.59M,,441.59M,428.01M,13.75B,15.01B,18.88B,,,1.604B,1.604B,1.604B,94.00M,275.00M,,369.00M,369.00M,,,1.973B,990.00M,990.00M,,,,80.22M,,1.070B,14.57B,,105.81M,3.499B,450.24M,600.21M,850.03M,4.305B,,AOR,Restated
2012-12,61.71M,13.64B,13.70B,,383.71M,383.71M,14.08B,46.00M,441.59M,,441.59M,424.05M,13.65B,14.92B,18.78B,,,1.610B,1.610B,1.610B,93.96M,225.09M,,319.04M,319.04M,,,1.929B,989.69M,989.69M,,,,76.09M,,1.066B,14.42B,,105.81M,3.403B,439.78M,512.42M,925.28M,4.362B,,AOR,Restated
2012-09,298.83M,386.02M,684.86M,334.60M,,334.60M,1.019B,,396.89M,,396.89M,417.21M,12.91B,14.09B,17.94B,,236.18M,,360.61M,360.61M,,,319.71M,319.71M,319.71M,1.612B,1.612B,2.292B,965.30M,965.30M,,,,70.14M,,1.035B,13.63B,,112.31M,3.569B,453.34M,786.30M,960.89M,4.309B,,AOR,Restated
2012-06,70.67M,109.54M,180.21M,308.58M,,308.58M,488.79M,,396.89M,,396.89M,410.80M,12.44B,13.62B,17.19B,,221.65M,,346.07M,346.07M,,,319.83M,319.83M,319.83M,1.461B,1.461B,2.127B,791.07M,791.07M,,,,71.73M,,862.80M,13.19B,,112.31M,3.462B,443.63M,754.93M,734.38M,3.998B,,AOR,Restated
2012-03,78.30M,55.98M,134.28M,264.43M,,264.43M,398.71M,,396.89M,,396.89M,404.56M,12.03B,13.22B,16.73B,,241.19M,,365.61M,365.61M,,,224.88M,224.88M,224.88M,1.332B,1.332B,1.923B,790.82M,790.82M,,,,74.48M,,865.29M,12.90B,,112.31M,3.350B,437.04M,566.34M,501.29M,3.834B,,AOR,Restated
2011-12,84.11M,11.91B,11.99B,,253.55M,253.55M,12.25B,48.00M,396.89M,,396.89M,400.91M,11.93B,13.12B,16.59B,,,1.320B,1.320B,1.320B,0.00,224.84M,,224.84M,224.84M,,,1.545B,914.99M,914.99M,,,,69.54M,,984.53M,12.73B,,112.31M,3.265B,425.33M,492.64M,549.92M,3.860B,,AOR,Restated
2011-09,175.96M,48.54M,224.50M,232.35M,,232.35M,456.85M,,396.89M,,396.89M,395.39M,11.72B,12.90B,16.97B,,227.16M,,351.59M,351.59M,,,225.67M,225.67M,225.67M,1.501B,1.501B,2.078B,790.34M,790.34M,,,,73.20M,,863.54M,12.79B,,119.81M,3.814B,445.24M,741.56M,545.60M,4.183B,,AOR,Restated
2011-06,90.23M,20.40M,110.64M,223.87M,,223.87M,334.50M,,396.89M,,396.89M,387.34M,11.06B,12.23B,16.22B,,211.13M,,335.55M,335.55M,,,199.86M,199.86M,199.86M,1.278B,1.278B,1.813B,790.10M,790.10M,,,,76.60M,,866.70M,12.44B,,119.81M,3.693B,439.04M,625.32M,153.26M,3.780B,,AOR,Restated
2011-03,283.67M,271.02M,554.69M,254.11M,,254.11M,808.80M,,396.89M,,396.89M,382.15M,10.97B,12.12B,16.33B,,229.07M,,353.49M,353.49M,,,200.44M,200.44M,200.44M,1.248B,1.248B,1.802B,789.87M,789.87M,,,,78.94M,,868.81M,12.37B,,79.88M,3.599B,441.06M,216.83M,55.76M,3.959B,,AOR,Restated
2010-12,365.68M,216.68M,582.36M,230.32M,,230.32M,812.68M,,396.89M,,396.89M,378.12M,10.78B,11.93B,16.16B,,221.60M,,346.02M,346.02M,,,198.88M,198.88M,198.88M,1.209B,1.209B,1.754B,789.64M,789.64M,,,,74.16M,,863.81M,12.14B,,79.88M,3.513B,432.61M,32.62M,22.96M,4.016B,,AOR,Restated
2010-06,27.29M,254.22M,281.51M,200.34M,,200.34M,481.85M,,423.52M,,423.52M,396.38M,11.19B,12.31B,16.95B,,,,,,,,200.45M,200.45M,200.45M,1.204B,1.204B,1.405B,913.63M,913.63M,,,226.84M,83.09M,,1.224B,13.00B,,83.88M,3.452B,443.79M,107.40M,72.71M,3.945B,,AOR,Restated
2010-03,39.94M,332.48M,372.41M,195.13M,,195.13M,567.54M,,423.52M,,423.52M,389.22M,10.78B,11.86B,16.60B,,,,,,,,199.92M,199.92M,199.92M,1.115B,1.115B,1.314B,920.68M,920.68M,,,232.27M,84.87M,,1.238B,12.92B,,83.88M,3.338B,440.49M,44.36M,-141.40M,3.677B,,AOR,Restated
2009-12,231.92M,357.60M,589.52M,197.23M,,197.23M,786.75M,,423.52M,,423.52M,384.08M,10.07B,11.11B,16.02B,,,,,,,,233.31M,233.31M,233.31M,966.43M,966.43M,1.200B,920.47M,920.47M,,,220.16M,82.49M,,1.223B,12.62B,,83.88M,3.229B,441.36M,36.07M,-319.18M,3.399B,,AOR,Restated
2009-09,171.52M,250.25M,421.77M,,,,421.77M,,423.52M,,423.52M,375.94M,9.321B,11.24B,15.85B,,,,,,,,233.41M,233.41M,233.41M,959.14M,959.14M,1.193B,920.27M,920.27M,,,221.01M,84.70M,,1.226B,12.53B,,85.88M,3.185B,449.40M,107.79M,-297.53M,3.315B,,AOR,Restated
2009-06,339.61M,628.54M,968.14M,228.64M,,228.64M,1.197B,,423.52M,,423.52M,368.96M,8.714B,9.736B,14.71B,,,,,,,,337.04M,337.04M,337.04M,613.74M,613.74M,950.78M,920.06M,920.06M,,,218.45M,86.60M,,1.225B,12.08B,,85.88M,3.096B,446.78M,109.52M,-896.34M,2.623B,,AOR,Restated
2009-03,46.68M,292.25M,338.94M,179.91M,,179.91M,518.84M,,,423.52M,423.52M,363.56M,7.645B,8.640B,13.25B,,,,,,,,372.85M,372.85M,372.85M,345.90M,345.90M,718.74M,623.61M,623.61M,,,242.98M,89.46M,,956.05M,11.27B,,85.88M,2.994B,444.04M,109.52M,-1.438B,1.976B,,AOR,Restated
2008-12,46.40M,130.95M,177.35M,151.68M,,151.68M,329.04M,,,423.52M,423.52M,360.43M,7.964B,8.929B,13.53B,,,,,,,,403.71M,403.71M,403.71M,419.20M,419.20M,822.91M,623.47M,623.47M,,,236.31M,85.19M,,944.97M,11.31B,,85.88M,2.929B,446.06M,67.57M,-1.170B,2.223B,,AOR,Restated
2008-09,16.50M,65.80M,82.30M,90.19M,,90.19M,172.49M,,423.52M,,423.52M,354.82M,8.251B,9.212B,13.95B,,,,,,,,345.34M,345.34M,345.34M,540.06M,540.06M,885.40M,623.33M,623.33M,,,235.64M,89.39M,,948.37M,11.51B,,94.88M,3.270B,489.65M,512.28M,-900.86M,2.441B,,AOR,Restated
2008-06,18.22M,72.07M,90.29M,95.55M,,95.55M,185.84M,,423.52M,,423.52M,350.04M,8.966B,9.915B,14.74B,,,,,,,,124.40M,124.40M,124.40M,808.86M,808.86M,933.26M,598.26M,598.26M,,,241.56M,93.52M,,933.35M,11.77B,,94.88M,3.226B,484.66M,402.52M,-429.68M,2.974B,,AOR,Restated
2008-03,7.944M,84.37M,92.31M,91.48M,,91.48M,183.79M,,423.52M,,423.52M,346.60M,9.213B,10.24B,14.97B,,,,,,,,241.10M,241.10M,241.10M,,,241.10M,722.56M,722.56M,898.16M,898.16M,8.561B,87.47M,,10.27B,11.89B,,94.88M,3.108B,480.67M,314.23M,-289.80M,3.080B,,AOR,Restated
2007-12,20.10M,111.22M,131.32M,96.75M,,96.75M,228.07M,,,423.52M,423.52M,344.35M,9.359B,10.30B,15.24B,,,,,,,,202.06M,202.06M,202.06M,966.01M,966.01M,1.168B,722.43M,722.43M,,,256.46M,86.71M,,1.066B,11.92B,,94.88M,3.003B,481.23M,173.69M,-80.94M,3.325B,,AOR,Restated
2007-09,9.07M,99.04M,108.11M,97.32M,,97.32M,205.43M,,423.52M,,423.52M,338.84M,9.260B,10.28B,15.15B,,,,,,,,204.15M,204.15M,204.15M,,,204.15M,722.31M,722.31M,988.20M,988.20M,8.254B,89.32M,,10.05B,11.89B,,99.88M,3.176B,503.83M,495.69M,-20.63M,3.264B,,AOR,Restated
2007-06,14.10M,104.47M,118.57M,97.97M,,97.97M,216.54M,,423.52M,,423.52M,333.52M,9.288B,10.29B,15.10B,,,,,,,,263.45M,263.45M,263.45M,,,263.45M,722.19M,722.19M,970.30M,970.30M,8.174B,90.19M,,9.957B,11.85B,,99.88M,3.056B,501.81M,392.71M,-17.19M,3.248B,,AOR,Restated
2007-03,0.328M,106.58M,106.90M,92.76M,,92.76M,199.66M,,423.51M,,423.51M,330.66M,311.34M,10.31B,15.06B,,,,,,,,152.86M,152.86M,152.86M,,,152.86M,722.08M,722.08M,1.028B,1.028B,8.045B,91.51M,,9.887B,11.66B,,99.88M,2.942B,499.86M,262.34M,116.31M,3.395B,,AOR,Restated
2006-12,16.72M,156.67M,173.39M,78.81M,,78.81M,252.20M,,378.44M,,378.44M,328.89M,9.325B,11.76B,14.98B,,,,,,,,169.74M,169.74M,169.74M,,,169.74M,721.96M,721.96M,1.011B,1.011B,7.878B,88.04M,,9.699B,11.52B,,99.88M,2.827B,492.33M,100.40M,140.10M,3.459B,,AOR,Restated
2006-09,25.16M,85.19M,110.35M,93.80M,,93.80M,204.15M,,378.44M,,378.44M,325.22M,9.300B,10.25B,14.94B,,,,,,,,235.85M,235.85M,235.85M,,,235.85M,872.94M,872.94M,1.032B,1.032B,7.722B,90.67M,,9.717B,11.57B,,104.88M,2.955B,516.18M,376.32M,164.78M,3.365B,,AOR,Restated
2006-06,12.70M,69.98M,82.68M,110.57M,,110.57M,193.25M,,378.44M,,378.44M,321.26M,8.790B,9.927B,14.78B,,,,,,,,480.90M,480.90M,480.90M,,,480.90M,872.63M,872.63M,931.41M,931.41M,7.635B,91.59M,,9.531B,11.66B,,104.88M,2.843B,513.83M,336.07M,2.053M,3.127B,,AOR,Restated
2006-03,6.342M,23.22M,29.57M,111.37M,,111.37M,140.93M,,378.44M,,378.44M,318.33M,8.584B,9.784B,14.76B,,,,,,,,729.24M,729.24M,729.24M,,,729.24M,509.71M,509.71M,953.70M,953.70M,7.551B,92.71M,,9.108B,11.53B,,104.88M,2.727B,511.69M,237.04M,117.55M,3.224B,,AOR,Restated
2005-12,19.30M,118.31M,137.61M,67.26M,,67.26M,204.87M,,378.44M,,378.44M,316.83M,8.746B,11.50B,14.77B,,,,,,,,638.90M,638.90M,638.90M,,,638.90M,509.84M,509.84M,1.011B,1.011B,7.440B,91.76M,,9.052B,11.34B,,104.88M,2.622B,508.71M,71.46M,269.08M,3.433B,,AOR,Restated
2005-09,5.601M,39.20M,44.80M,66.08M,,66.08M,110.88M,28.21M,378.44M,,378.44M,344.62M,8.710B,9.967B,14.66B,,,,,,,,504.34M,504.34M,504.34M,,,504.34M,690.40M,690.40M,1.050B,1.050B,7.342B,90.26M,,9.173B,11.30B,,108.88M,2.703B,526.88M,279.11M,300.00M,3.360B,,AOR,Restated
2005-06,11.67M,34.61M,46.28M,66.54M,,66.54M,112.82M,28.71M,378.44M,,378.44M,342.38M,8.783B,10.04B,14.65B,,,,,,,,484.58M,484.58M,484.58M,,,484.58M,692.96M,692.96M,1.072B,1.072B,7.241B,92.98M,,9.099B,11.20B,,108.88M,2.596B,526.71M,227.36M,451.22M,3.455B,,AOR,Restated
2005-03,8.90M,16.30M,25.20M,76.70M,,76.70M,101.90M,29.10M,378.40M,,378.40M,339.50M,8.644B,9.690B,14.17B,,,,,,,,376.40M,376.40M,376.40M,,,376.40M,692.00M,692.00M,1.010B,1.010B,7.151B,92.40M,,8.946B,10.88B,,108.80M,2.568B,485.50M,213.30M,332.70M,3.282B,,AOR,Restated
2004-12,10.65M,88.21M,98.86M,73.41M,,73.41M,172.27M,29.50M,378.44M,,378.44M,304.98M,8.667B,9.665B,14.25B,,,,,,,,342.95M,342.95M,342.95M,,,342.95M,696.62M,696.62M,993.54M,993.54M,7.064B,93.07M,,8.847B,10.83B,,108.78M,2.463B,484.89M,42.26M,405.92M,3.420B,,AOR,Restated
2004-09,4.13M,39.84M,43.97M,81.05M,,81.05M,125.01M,29.21M,378.44M,,378.44M,407.30M,8.443B,9.548B,13.89B,,156.58M,993.60M,1.150B,1.150B,,,268.64M,268.64M,268.64M,,,1.419B,543.89M,543.89M,,,6.866B,93.81M,,7.504B,10.55B,,113.78M,2.586B,505.38M,261.58M,400.12M,3.344B,,AOR,Restated
2004-06,5.142M,32.30M,37.45M,86.25M,,86.25M,123.70M,29.66M,378.44M,,378.44M,405.88M,8.202B,9.160B,13.43B,,156.58M,865.82M,1.022B,1.022B,,,154.33M,154.33M,154.33M,,,1.177B,538.94M,538.94M,,,6.763B,96.76M,,7.399B,10.28B,,113.78M,2.475B,504.81M,180.37M,240.16M,3.154B,,AOR,Restated
2004-03,19.97M,70.32M,90.29M,69.85M,,69.85M,160.14M,29.93M,378.44M,,378.44M,410.01M,8.631B,9.619B,13.84B,,154.64M,995.28M,1.150B,1.150B,,,223.31M,223.31M,223.31M,,,1.373B,546.70M,546.70M,,,6.646B,96.82M,,7.290B,10.44B,,113.78M,2.372B,503.45M,89.28M,500.05M,3.400B,,AOR,Restated
2003-12,12.70M,51.60M,64.30M,85.40M,,85.40M,149.70M,29.80M,378.40M,,378.40M,294.10M,8.212B,9.201B,13.47B,,,,,,,,182.40M,182.40M,182.40M,,,182.40M,700.00M,700.00M,905.10M,905.10M,6.637B,96.60M,,8.338B,10.23B,,113.80M,2.273B,501.00M,41.20M,393.10M,3.240B,,AOR,Restated
2003-09,10.50M,39.54M,50.04M,80.01M,,80.01M,130.05M,31.72M,378.44M,,378.44M,409.11M,8.067B,9.076B,13.22B,,,911.29M,911.29M,911.29M,,,170.94M,170.94M,170.94M,,,1.082B,697.70M,697.70M,,,6.519B,97.48M,,7.314B,10.04B,,118.78M,2.341B,521.74M,214.06M,405.69M,3.173B,,AOR,Restated
2003-06,7.669M,126.35M,134.02M,69.95M,,69.95M,203.97M,32.80M,378.44M,,378.44M,409.30M,7.979B,9.014B,13.10B,,,924.67M,924.67M,924.67M,,,133.46M,133.46M,133.46M,,,1.058B,554.25M,554.25M,,,6.307B,97.28M,144.44M,6.958B,9.770B,,118.78M,2.246B,521.20M,155.13M,451.74M,3.183B,,AOR,Restated
