,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2021-03,1.267B,1.267B,,62.66M,62.66M,,-4.828M,21.18M,-21.18M,13.72M,71.55M,21.18M,-21.18M,0.295M,-21.18M,218.79M,40.28M,178.52M,,,,,178.52M,182.46M,,239.97M,,1.73,,,,1.768,1.73,,1.70,,,,1.738,1.70,,103.48M,104.84M,0.1975,,AOR,
2020-12,1.229B,1.229B,,60.03M,60.03M,,0.00,21.41M,-21.41M,14.31M,74.34M,21.41M,-21.41M,0.304M,-21.41M,249.98M,45.74M,204.24M,0.00,,,,204.24M,204.24M,,271.39M,,1.96,0.00,,,1.96,1.96,,1.931,0.00,,,1.931,1.93,,104.43M,105.78M,0.1875,,AOR,
2020-09,1.196B,1.196B,,72.38M,72.38M,,-0.634M,21.67M,-21.67M,3.012M,74.76M,21.67M,-21.67M,0.292M,-21.67M,231.54M,42.59M,188.94M,0.00,,,,188.94M,189.46M,,253.21M,,1.78,0.00,,,1.785,1.78,,1.76,0.00,,,1.765,1.76,,106.15M,107.05M,0.1875,,AOR,
2020-06,1.181B,1.181B,,70.20M,70.20M,,,22.81M,-22.81M,2.516M,72.71M,22.81M,-22.81M,0.404M,-22.81M,212.24M,39.19M,173.05M,0.00,,,,173.05M,173.05M,,235.05M,,1.63,0.00,,,1.63,1.63,,1.62,0.00,,,1.62,1.62,,106.44M,107.13M,0.1875,,AOR,
2020-03,1.133B,1.133B,,61.76M,61.76M,,-3.275M,20.81M,-20.81M,13.55M,72.03M,20.81M,-20.81M,0.325M,-20.81M,202.92M,37.38M,165.54M,,,,,165.54M,168.21M,,223.73M,,1.54,,,,1.565,1.54,,1.52,,,,1.544,1.52,,107.29M,109.13M,0.1875,,AOR,Restated
2019-12,1.137B,1.137B,,62.21M,62.21M,,-2.858M,20.50M,-20.50M,13.34M,72.70M,20.50M,-20.50M,0.241M,-20.50M,227.09M,40.03M,187.06M,0.00,,,,187.06M,189.42M,,247.59M,,1.73,0.00,,,1.752,1.73,,1.690,0.00,,,1.712,1.69,,108.11M,110.75M,0.1725,,AOR,Restated
2019-09,1.141B,1.141B,,72.10M,72.10M,,,21.09M,-21.09M,2.472M,74.58M,21.09M,-21.09M,0.438M,-21.09M,247.33M,45.51M,201.82M,0.00,,,,201.82M,201.82M,,268.42M,,1.85,0.00,,,1.85,1.85,,1.82,0.00,,,1.82,1.82,,108.81M,110.91M,0.1725,,AOR,Restated
2019-06,1.130B,1.130B,,,,,,21.43M,-21.43M,79.04M,79.04M,21.43M,-21.43M,0.398M,-21.43M,228.76M,42.15M,186.61M,-0.043M,,,,186.57M,186.61M,,250.19M,,1.70,0.00,,,1.70,1.70,,1.67,0.00,,,1.67,1.67,,109.65M,111.59M,0.1725,,AOR,Restated
2019-03,1.119B,1.119B,,59.98M,59.98M,,0.00,21.28M,-21.28M,12.82M,72.79M,21.28M,-21.28M,0.241M,-21.28M,228.10M,42.71M,185.39M,-0.049M,,,,185.34M,185.39M,,249.38M,,1.68,0.00,,,1.68,1.68,,1.65,0.00,,,1.65,1.65,,110.30M,112.33M,0.1725,,AOR,Restated
2018-12,1.076B,1.076B,,58.80M,58.80M,,-11.08M,23.61M,-23.61M,11.29M,59.00M,23.61M,-23.61M,0.033M,-23.61M,203.64M,38.93M,164.71M,0.011M,,,,164.72M,173.67M,,227.24M,,1.48,0.00,,,1.560,1.48,,1.45,0.00,,,1.529,1.45,,111.39M,113.64M,0.16,,AOR,Restated
