,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,AsOriginallyReported,Restated
2020-10,592.94M,592.94M,296.17M,296.77M,48.18M,48.18M,,5.032M,,-5.032M,,48.18M,248.59M,,5.032M,-5.032M,3.253M,-5.032M,246.82M,46.53M,200.28M,,,200.28M,200.28M,251.85M,,2020-10,0.85,,,2020-10,0.83,,0.83,2020-10,235.79M,239.97M,AOR,
2020-07,525.66M,525.66M,275.23M,250.43M,44.72M,44.72M,,4.902M,0.099M,-4.803M,,44.72M,205.72M,0.099M,4.902M,-4.803M,0.971M,-4.803M,201.88M,36.35M,165.53M,,,165.53M,165.53M,206.78M,,2020-07,0.70,,,2020-07,0.69,,0.69,2020-07,234.87M,238.93M,AOR,
2020-04,550.36M,550.36M,307.75M,242.61M,47.51M,47.51M,,5.803M,0.225M,-5.578M,,47.51M,195.10M,0.225M,5.803M,-5.578M,2.277M,-5.578M,191.80M,44.31M,147.49M,,,147.49M,147.49M,197.60M,,2020-04,0.63,,,2020-04,0.62,,0.62,2020-04,234.13M,238.59M,AOR,
2020-01,575.14M,575.14M,315.25M,259.89M,50.00M,50.00M,,4.914M,0.45M,-4.464M,,50.00M,209.89M,0.45M,4.914M,-4.464M,-0.354M,-4.464M,205.07M,36.37M,168.71M,,,168.71M,168.71M,209.99M,,2020-01,0.73,,,2020-01,0.71,,0.71,2020-01,232.67M,238.47M,AOR,
2019-10,554.42M,554.42M,299.56M,254.87M,49.48M,49.48M,,4.026M,,-4.026M,,49.48M,205.39M,,4.026M,-4.026M,0.717M,-4.026M,202.08M,-16.10M,218.18M,,,218.18M,218.18M,206.11M,,2019-10,0.94,,,2019-10,0.91,,0.91,2019-10,231.17M,238.66M,AOR,Restated
2019-07,542.58M,542.58M,299.96M,242.62M,49.82M,49.82M,,4.602M,0.347M,-4.255M,,49.82M,192.80M,0.347M,4.602M,-4.255M,-1.477M,-4.255M,187.07M,33.57M,153.50M,,,153.50M,153.50M,191.67M,,2019-07,0.67,,,2019-07,0.64,,0.64,2019-07,229.19M,238.34M,AOR,Restated
2019-04,553.12M,553.12M,301.54M,251.58M,44.08M,44.08M,,5.324M,0.24M,-5.084M,,44.08M,207.49M,0.24M,5.324M,-5.084M,1.719M,-5.084M,204.13M,11.39M,192.74M,,,192.74M,192.74M,209.45M,,2019-04,0.85,,,2019-04,0.81,,0.81,2019-04,227.98M,237.89M,AOR,Restated
2019-01,484.90M,484.90M,276.67M,208.23M,43.49M,43.49M,,5.233M,0.678M,-4.555M,,43.49M,164.74M,0.678M,5.233M,-4.555M,4.782M,-4.555M,164.97M,33.59M,131.37M,,,131.37M,131.37M,170.20M,,2019-01,0.57,,,2019-01,0.55,,0.55,2019-01,230.80M,240.66M,AOR,Restated
2018-10,461.37M,461.37M,265.45M,195.92M,44.48M,44.48M,,4.651M,0.96M,-3.691M,,44.48M,151.44M,0.96M,4.651M,-3.691M,1.037M,-3.691M,148.79M,34.70M,114.08M,,,114.08M,114.08M,153.44M,,2018-10,0.49,,,2018-10,0.47,,0.47,2018-10,233.89M,244.83M,AOR,Restated
2018-07,449.22M,449.22M,260.80M,188.42M,52.46M,52.46M,,4.599M,0.617M,-3.982M,,52.46M,135.97M,0.617M,4.599M,-3.982M,0.743M,-3.982M,132.73M,22.99M,109.74M,,0.007M,109.75M,109.75M,137.33M,,2018-07,0.47,,,2018-07,0.45,,0.45,2018-07,233.01M,244.42M,AOR,Restated
2018-04,478.20M,478.20M,259.13M,219.07M,44.45M,44.45M,,4.416M,0.282M,-4.134M,,44.45M,174.62M,0.282M,4.416M,-4.134M,0.731M,-4.134M,171.22M,43.81M,127.40M,,-0.057M,127.35M,127.35M,175.63M,,2018-04,0.55,,,2018-04,0.52,,0.52,2018-04,232.01M,242.96M,AOR,Restated
2018-01,459.11M,459.11M,267.50M,191.61M,40.66M,40.66M,,5.758M,0.197M,-5.561M,,40.66M,150.95M,0.197M,5.758M,-5.561M,-0.948M,-5.561M,144.44M,41.14M,103.30M,,-0.045M,103.26M,103.26M,150.20M,,2018-01,0.45,,,2018-01,0.43,,0.43,2018-01,231.48M,241.36M,AOR,Restated
2017-10,419.17M,419.17M,255.90M,163.26M,39.32M,39.32M,,5.595M,0.197M,-5.398M,,39.32M,123.94M,0.197M,5.595M,-5.398M,-4.416M,-5.398M,114.13M,36.57M,77.56M,,-0.045M,77.52M,77.52M,119.72M,,2017-10,0.34,,,2017-10,0.32,,0.32,2017-10,230.69M,238.79M,AOR,Restated
